Allium jodanthum
Allium karsianum
Allium moly
Allium mongolicum
Allium moschatum
Allium neapolitanum
Allium nigrum
Allium nutans
Allium oleraceum
Allium palentinum
Allium paniculatum
Allium paradoxum
Allium polyrhizum
Allium porrum
Allium pseudostrictum
Allium ramosum
Allium roseum
Allium rotundum
Allium sabulosum
Allium sativum
Allium saxatile
Allium schoenophrasum
Allium schoenoprasum
Allium schuberti
Allium scorodoprasum
Allium senescens
Allium sphaerocephalon
Allium strictum
Allium suaveolens
Allium subhirsutum
Allium tenuissimum
Allium textile
Allium triquetrum
Allium ursinum
Allium victorialis
Allium vineale
Allium waldsteinii
Allophylus abyssinicus
Alloteropsis cimicina
Alloteropsis semialata
Alniphyllum fortunei
Alnus crispa
Alnus formosana
Alnus glutinosa
Alnus hirsute
Alnus incana
Alnus japonica
Alnus mandshurica
Alnus rubra
Alnus sibirica
Alnus viridis
Alocasia macrorhiza
Aloe littoralis
Aloe vera
Alopecurus aequalis
Alopecurus alpinus
Alopecurus arundinaceus
Alopecurus bulbosus
Alopecurus dasyanthus
Alopecurus geniculatus
Alopecurus glacialis
Alopecurus magellanicus
Alopecurus pratensis
Alopecurus sericeus
Alopecurus soongaricus
Alopecurus vaginatus
Alpinia japonica
Alseis blackiana
Alstonia scholaris
Alternanthera philoxeroides
Alternanthera sessilis
Althaea officinalis
Althaea rosea
Altingia gracilipes
Altingia obovata
Alysicarpus monilifer
Alyssum dasycarpum
Alyssum linifolius
Alyssum maritimum
Alyssum tortuosum
Alyssum turkestanicum
Amaranthus blitoides
Amaranthus blitum
Amaranthus caudatus
Amaranthus cruentus
Amaranthus hypochondriacus
Amaranthus retroflexus
Amaranthus tricolor
Amberboa turanica
Ambrosia acanthicarpa
Ambrosia artemisiifolia
Ambrosia dumosa
Ambrosia psilostachya
Amelanchier alnifolia
Amelanchier spp.
Ammodendron argenteum
Ammodendron conollyi
Ammophila arenaria
Amomum villosum
Amomyrtus luma
Amomyrtus meli
Amorpha canescen
Amorpha canescens
Amorpha fruticosa
Ampelocera ruizii
Amphibromus fluitans
Amphipterygium adstringens
Anabasis aphylla
Anabasis salsa
Anacamptis morio
Anacamptis pyramidalis
Anacardium excelsum
Anadenanthera colubrina
Anagallis tenella
