genus,count
Trichosalpinx,112
Trichostachys,13
Trichostema,19
Trichotosia,76
Tridactyle,49
Tridesmostemon,2
Trigonobalanus,3
Trigonopleura,3
Trigonostemon,61
Triphora,25
Triplarina,7
Tripora,1
Trisetella,28
Tristania,3
Tristaniopsis,42
Bertya,28
Tritaxis,16
Trithrinax,3
Trizeuxis,1
Tropidia,34
Tsaiorchis,2
Tsebona,2
Tuberolabium,10
Tylostigma,8
Typhonium,72
Typhonodorum,1
Uapaca,25
Betonica,10
Ugni,4
Ulearum,2
Uleiorchis,4
Uncaria,38
Uncifera,6
Urceola,21
Uromyrtus,22
Urophyllum,126
Urospatha,13
Vahadenia,2
Valantia,7
Betula,85
Vallaris,3
Vallesia,12
Vanda,96
Vandopsis,2
Vangueria,58
Vangueriella,17
Vangueriopsis,4
Vanilla,121
Van-royena,1
Vargasiella,3
Vasqueziella,1
Vaupesia,1
Veillonia,1
Veitchia,11
Verbena,166
Vernicia,3
Verschaffeltia,1
Verticordia,103
Veyretella,2
Veyretia,11
Vidalasia,5
Villaria,11
Vinca,6
Virectaria,8
Vitellaria,1
Vitellariopsis,5
Voacanga,14
Voanioala,1
Voatamalo,2
Volkameria,10
Vonitra,10
Vrydagzynea,43
Wallichia,8
Warmingia,4
Warnockia,1
Warrea,4
Warreella,2
Warreopsis,1
Warczewiczella,11
Warszewiczia,8
Washingtonia,1
Welchiodendron,1
Welfia,2
Wenchengia,1
Wendlandia,82
Wendlandiella,1
Westringia,32
Wetria,2
Wettinia,22
Whiteodendron,1
Whyanbeelia,1
Wielandia,13
Willughbeia,16
Wittmackanthus,1
Wodyetia,1
Wolffia,11
Wolffiella,10
Wollemia,1
Woodburnia,1
Wrightia,35
Wullschlaegelia,2
Xanthomyrtus,23
Xanthophytum,32
Xanthosoma,198
Xanthostemon,49
Xantolis,15
Acoelorraphe,1
Xantonneopsis,1
Xerorchis,2
Xylobium,36
Yoania,5
Ypsilopus,13
Zamioculcas,1
Zantedeschia,8
Zataria,1
Zelenkoa,1
Zeuxine,81
Ziziphora,17
Zombia,1
Zomicarpa,2
Zomicarpella,2
Zootrophion,32
Zuccarinia,1
Acokanthera,5
Zygopetalum,6
Zygosepalum,5
Zygostates,26
Amaracarpus,30
Caladenia,325
Afrocanthium,17
Agouticarpa,7
Alseis,18
Amphidasya,13
Bouvardia,57
Breonia,20
Canthium,80
Carapichea,24
Catunaregam,14
Ceriscoides,12
Chomelia,75
Coffea,132
Coprosma,121
Coptosperma,19
Cordiera,25
Coussarea,122
Cyclophyllum,42
Denscantia,5
Deppea,39
Dolianthus,13
Faramea,190
Galianthe,53
Galium,672
Gonzalagunia,37
Guettarda,146
Hedyotis,189
Hippotis,18
Hoffmannia,113
Pitardella,3
Pseudodiplospora,1
Pseudomiltemia,2
Robbrechtia,2
Rovaeanthus,2
Stenotis,8
Campomanesia,44
Corymbia,97
Darwinia,53
Decaspermum,34
Eucalyptus,859
Eugenia,1262
Gossia,47
Lenwebbia,2
Stockwellia,1
Cyrtopodium,50
Habenaria,904
Abildgaardia,10
Abolboda,22
Acanthostachys,3
Achlydosa,1
Achlyphila,1
Acianthera,299
Actinoschoenus,3
Actinoscirpus,1
Adamantinia,1
Adelia,10
Adelmeria,5
Adenoncos,17
Adriana,3
Aechmea,259
Aegiphila,139
Aerangis,62
Aerides,39
Aetheolirion,1
Aframomum,62
Afrocalathea,1
Afrothismia,15
Afrotrilepis,2
Aiphanes,37
Ajuga,70
Alatiliparis,14
Alcantarea,46
Alexgeorgea,3
Beyeria,26
Alocasia,90
Alpinia,248
Alyxia,106
Amischotolype,27
Amomum,125
Bia,5
Biarum,23
Amphiphyllum,1
Amphiscirpus,1
Ananas,2
Anarthria,6
Anathallis,135
Ancistrorhynchus,17
Andinia,79
Androlepis,3
Aneilema,70
Biermannia,10
Angraecopsis,20
Anigozanthos,12
Bifrenaria,23
Anthochortus,7
Aphelia,6
Apodasmia,4
Apteranthes,7
Apteria,1
Araeococcus,4
Aratitiyopea,1
Arthrostylis,2
Askidiosperma,12
Aulotandra,5
Bakerantha,5
Baloskion,8
Barberetta,1
Baxteria,1
Becquerelia,6
Billbergia,65
Bikkia,11
Bisboeckelera,4
Bletia,56
Blysmus,2
Boesenbergia,89
Bolboschoenus,18
Brachionidium,82
Brassaiopsis,46
Brazoria,3
Brocchinia,21
Bromelia,73
Bryobium,27
Buforrestia,3
Bulbophyllum,2187
Bipinnula,11
Bulbostylis,223
Bischofia,2
Bismarckia,1
Burbidgea,5
Burmannia,61
Bixa,6
Byblis,8
Calamus,432
Calanthe,245
Calathea,59
Blachia,13
Calectasia,15
Callisia,20
Calochilus,31
Blepharidium,1
Calorophus,2
Calyptrocarya,8
Calyptrotheca,2
Camptandra,3
Campylocentrum,77
Campylosiphon,2
Canistropsis,10
Canistrum,16
Canna,13
Blepharocalyx,4
Cannomois,12
Capeobolus,1
Caperonia,36
Capitularina,1
Blephilia,4
Bletilla,5
Blumeodendron,9
Bobea,5
Bocquillonia,16
Bognera,1
Bogoria,14
Boholia,1
Bolusiella,6
Bonania,7
Bonatea,14
Borassodendron,2
Borassus,5
Borneodendron,1
Acorus,2
Carpha,14
Carruthersia,4
Cartonema,7
Catacolea,1
Catasetum,228
Catopsis,23
Cattleya,228
Caucaea,17
Caustis,7
Cautleya,2
Centrolepis,26
Cephalanthera,25
Cephalocarpus,24
Cephalostemon,5
Ceraria,7
Ceratocaryum,8
Chaetanthus,3
Chaetocarpus,16
Justicia,924
Chaetospora,3
Juglans,23
Juniperus,72
Jobinia,25
Johrenia,6
Chamaedorea,106
Cheirostylis,60
Jadunia,2
Jordaaniella,5
Chlorospatha,70
Jovellana,4
Julostylis,3
Jumelleanthus,1
Jubelina,6
Jateorhiza,2
Janusia,2
Jaeschkea,3
Chordifex,20
Chorizandra,6
Jamesbrittenia,84
Jerdonia,1
Jacquinia,21
Jarandersonia,8
Jagera,3
Jollydora,4
Chrysitrix,4
Johnstonella,17
Jordania,14
Chrysophyllum,38
Jacaratia,7
Chysis,14
Cipuropsis,12
Cischweinfia,11
Kostermansia,1
Krugiodendron,1
Karwinskia,22
Kernera,1
Cladium,4
Kalmiothamnus,1
Knautia,67
Kalmia,9
Kosteletzkya,27
Kibara,47
Knema,96
Kearnemalvastrum,2
Kitaibela,2
Kokia,4
Kayea,41
Kielmeyera,55
Krascheninnikovia,3
Kalanchoe,169
Kalidium,6
Kokoona,10
Klarobelia,13
Kadenia,2
Kedarnatha,6
Kenopleurum,1
Kamelinia,1
Kailashia,3
Kalakia,1
Kandaharia,1
Karatavia,1
Koordersiodendron,1
Kosmosiphon,1
Khadia,6
Kanahia,2
Kitagawia,9
Keraymonia,4
Krubera,1
Kundmannia,3
Korshinskia,4
Kozlovia,2
Koenigia,1
Knightia,3
Kermadecia,4
Knowltonia,26
Kaufmannia,1
Keteleeria,3
Klaprothia,2
Cleisocentron,8
Cleisostomopsis,5
Clerodendrum,251
Khaya,5
Kolobopetalum,3
Kairoa,4
Kirkia,6
Kopsiopsis,2
Kickxia,25
Kelleronia,3
Kallstroemia,21
Korthalsella,10
Koelreuteria,3
Cnidoscolus,92
Kadsura,17
Kedrostis,22
Khmeriosicyos,1
Kleinhovia,1
Cochliostema,2
Coelogyne,594
Krameria,18
Kubitzkia,2
Coleocarya,1
Coleochloa,8
Kohleria,36
Coleotrype,10
Karina,1
Kaisupeea,3
Kirengeshoma,1
Kabulia,1
Collinsonia,11
Klainedoxa,2
Colocasia,14
Kelussia,1
Colpothrinax,3
Comanthera,38
Commelina,207
Lobivia,38
Lepismium,5
Linnaea,18
Leptocereus,21
Lophocereus,3
Lophophora,3
Leycesteria,8
Lobostemon,29
Lymanbensonia,5
Lepidium,274
Lyonia,64
Leucothoe,20
Libocedrus,6
Linconia,5
Litwinowia,1
Lobularia,4
Leucopogon,119
Luffa,10
Lamanonia,6
Loeseneriella,29
Laguncularia,1
Lumnitzera,3
Lophopetalum,20
Lydenburgia,2
Lechea,18
Lorostemon,5
Lebrunia,1
Lysinema,6
Lissanthe,10
Lepidoceras,3
Lateropora,3
Lomelosia,61
Ledothamnus,7
Leptecophylla,14
Lonicera,195
Loeflingia,4
Lannea,36
Leea,48
Loxopterygium,4
Laserpitium,8
Laser,7
Letestudoxa,3
Lalldhwojia,4
Lagoecia,1
Lithops,39
Lecosia,2
Ligusticum,37
Lignocarpa,2
Ligusticopsis,19
Lefebvrea,10
Ledebouriella,1
Lecokia,1
Leutea,10
Levisticum,1
Lepidotrichum,1
Leiotulus,10
Leptaleum,2
Lereschia,1
Lepidagathis,152
Linariantha,1
Leptosiphonium,10
Leucosphaera,1
Lampranthus,196
Louteridium,11
Lankesteria,7
Lilaeopsis,12
Leptadenia,9
Langsdorffia,4
Lophophytum,4
Leontice,4
Lygisma,5
Lithraea,3
Leipoldtia,13
Lepechiniella,14
Lepidocordia,2
Lindelofia,10
Lappula,87
Lagenaria,6
Lenophyllum,8
Conamomum,11
Connellia,6
Conostylis,46
Lithospermum,76
Lithodora,5
Lomatium,100
Lisaea,3
Lithosciadium,2
Lachnostoma,16
Lomatocarum,1
Lunaria,3
Lutzia,1
Cornukaempferia,3
Cornus,56
Larryleachia,6
Coryanthes,70
Corybas,156
Costus,99
Bossera,1
Bothriospora,1
Linum,215
Limnanthes,7
Lennoa,1
Lepidobotrys,1
Botryarrhena,2
Cottendorfia,1
Lasianthera,1
Leretia,1
Lavigeria,1
Lyallia,1
Lacistema,12
Lozania,5
Lactoris,1
Cranichis,92
Cremastra,7
Crepidium,295
Liquidambar,15
Laurembergia,7
Laurus,3
Licaria,85
Botryophora,1
Croizatia,5
Crossoglossa,53
Croton,1171
Leptoboea,2
Lomatogonium,27
Lysionotus,35
Loxocarpus,24
Loxostigma,14
Loxonia,3
Lisianthius,34
Bouchea,13
Lagenias,1
Lagenanthus,1
Cryptanthus,62
Cryptocoryne,83
Ctenanthe,15
Lindera,94
Cuitlauzina,8
Curcuma,149
Loranthus,8
Loasa,26
Cyanotis,50
Lissocarpa,8
Lepidaria,10
Lepeostegeres,9
Lophopyxis,1
Logania,23
Lawsonia,1
Lagerstroemia,48
Lythrum,39
Lysiana,8
Lafoensia,6
Cyanthera,1
Cyathochaeta,6
Cyathocoma,3
Loxanthera,1
Cymbidium,105
Cynorkis,176
Liberatia,2
Lactomamillara,1
Bousigonia,3
Myosotis,152
Moltkia,8
Mimophytum,10
Mondia,2
Maytenus,177
Microtropis,65
Monotoca,10
Myosotidium,2
Mertensia,49
Moltkiopsis,1
Microparacaryum,3
Malcolmia,9
Myriopus,15
Matthiola,50
Mathewsia,7
Mattiastrum,35
Maresia,5
Monolluma,5
Microloma,13
Minaria,22
Matelea,201
Metastelma,97
Matisia,60
Myagrum,1
Maihueniopsis,20
Maihuenia,2
Mammillaria,199
Marshallocereus,1
Melocactus,52
Murbeckiella,6
Morisia,1
Menonvillea,24
Microthlaspi,5
Megacarpaea,8
Meniocus,7
Menkea,6
Morettia,4
Moricandia,8
Microstigma,3
Mesembryanthemum,106
Mimulopsis,20
Mendoncia,88
Mitrephora,50
Morsacanthus,1
Monothecium,3
Mangifera,64
Mellera,7
Megaskepasma,1
Mackaya,5
Marcania,1
Megalochlamys,10
Marsdenia,90
Marlothistella,2
Malephora,17
Macroscepis,22
Margaretta,1
Mahawoa,1
Myrrhis,1
Myrrhidendron,5
Mutellina,3
Musineon,6
Maharanga,10
Mairetis,1
Malmea,6
Mosquitoxylum,1
Meiogyne,34
Marsypopetalum,5
Melanochyla,23
Metopium,5
Mezzettia,5
Miliusa,60
Marcelliopsis,3
Mitrophyllum,7
Mestoklema,6
Meyerophytum,2
Mauria,15
Mechowia,1
Melanosciadium,3
Magydaris,2
Magadania,2
Mogoltavia,2
Molopospermum,1
Meum,1
Micropleura,2
Microsciadium,1
Monanthotaxis,94
Mischogyne,5
Monoon,77
Monodora,14
Mathiasella,1
Mosannona,15
Mastigosciadium,1
Monocarpia,4
Mezilaurus,24
Myriophyllum,70
Maingaya,1
Matudaea,2
Molinadendron,3
Moussoniantha,1
Moussonia,24
Monopyle,25
Machilus,130
Miquelia,10
Metteniusa,7
Medusanthera,8
Merrilliodendron,1
Mappianthus,2
Mappia,13
Mitreola,17
Mitrasacme,55
Mentzelia,100
Moehringia,30
Minuartia,98
Moenchia,3
Myrianthus,8
Musanga,2
Menepetalum,4
Mahurea,2
Microcnemum,1
Mammea,45
Acranthera,42
Monanthes,22
Maurocenia,1
Micranthocereus,9
Myrtgerocactus,1
Maerua,70
Moschopsis,10
Mitrocereus,1
Mesostemma,11
Manotes,5
Morisonia,87
Melichrus,6
Momordica,50
Macleania,50
Monotes,34
Muellerargia,2
Microbiota,1
Microrphium,1
Metagentiana,12
Macrocarpaea,121
Monophyllaea,38
Monsonia,27
Mycerinus,3
Monotropa,2
Moneses,1
Monotropastrum,1
Mesua,11
Marila,20
Moronobea,7
Macropteranthes,5
Montrouziera,6
Mystroxylon,2
Mortonia,7
Maireana,57
Melothria,13
Marah,8
Marquesia,3
Montigena,1
Maracanthus,3
Muellerina,5
Macrosolen,39
Mostuea,10
Micklethwaitia,1
Micropuntia,1
Noahdendron,1
Nevada,1
Nasa,101
Neothorelia,1
Neocalyptrocalyx,10
Neoalsomitra,11
Nanophyton,1
Nicobariodendron,1
Nouhuysia,3
Neotatea,4
Brachycorythis,37
Noaea,2
Nucularia,1
Neuburgia,12
Norrisia,2
Nuytsia,1
Notanthera,1
Nemophila,13
Natsiatopsis,1
Natsiatum,1
Nectandra,99
Napeanthus,18
Neurotheca,3
Neblinantha,2
Nautilocalyx,42
Neodillenia,3
Nama,57
Nothoalsomitra,1
Notopora,5
Nectaropetalum,8
Nematanthus,32
Negria,1
Niphaea,3
Neostrearia,1
Nephradenia,5
Neesia,8
Neoschumannia,3
Nautonia,1
Nonea,47
Neatostema,1
Naufraga,1
Neo-uvaria,7
Neogaya,1
Neoconopodium,2
Nothopegia,10
Neostenanthera,5
Niphogeton,18
Nirarathamnos,1
Nandina,1
Nasturtiopsis,3
Neriacanthus,5
Neuracanthus,32
Nelsonia,3
Nicoteba,4
Nothosaerva,1
Nelsia,3
Nyssanthes,2
Nananthus,6
Nasturtium,6
Neotorularia,6
Neslia,1
Noccaea,101
Notoceras,1
Neurotropis,3
Neomillspaughia,2
Navarretia,46
Nesiota,1
Neoschmidia,2
Namataea,1
Naringi,1
Naudinia,1
Neobyrnesia,1
Neoraputia,6
Nematolepis,7
Nigella,26
Nymphaea,72
Nageia,7
Nothotsuga,1
Neogontscharovia,3
Nothocnide,4
Nardostachys,1
Nitraria,9
Neoluederitzia,1
Notothixos,8
Nesogordonia,24
Neoregnellia,1
Nanorrhinum,30
Nephelium,24
Nemesia,69
Neopicrorhiza,2
Nuttallanthus,3
Nothochilus,1
Nothochelone,1
Nothobartsia,2
Nephrodesmus,4
Nuphar,19
Neolitsea,101
Nototriche,114
Neobrittonia,1
Neobuchia,1
Neocinnamomum,6
Nothaphoebe,21
Neea,72
Neurada,2
Norantea,2
Naucleopsis,24
Nymphoides,53
Nelumbo,2
Nymania,1
Naregamia,1
Neuontobotrys,14
Neonelsonia,1
Niedenzuella,18
Ocotea,539
Orostachys,13
Oligarrhena,1
Opocunonia,1
Oreomunnea,4
Ochthocosmus,8
Orchadocarpa,1
Oreocharis,160
Brachypeza,12
Orthaea,36
Oreosyce,1
Ortegia,1
Oreobliton,1
Ofaiston,1
Oerstedina,3
Orphium,1
Ottoschulzia,4
Ostrearia,1
Ornithoboea,17
Orthilia,1
Oreonesion,1
Brachysola,2
Brachystele,24
Ophionella,2
Oistonema,1
Orbea,60
Oxypolis,4
Ottoa,1
Odontostephana,7
Orbelia,2
Oenanthe,34
Orthosia,56
Oreosparte,1
Oreoschimperella,3
Osmorhiza,12
Ostericum,11
Orlaya,3
Oschatzia,2
Ormopterum,2
Ormosciadium,1
Omphalodes,10
Omphalolappula,1
Oxypetalum,126
Oxystelma,2
Ogastemma,1
Octopoma,4
Ochoterenaea,1
Opopanax,4
Opoidia,1
Oliveria,1
Oscularia,8
Orthopterum,2
Cyphostigma,1
Oplonia,21
Odontonema,32
Cypripedium,63
Orophea,62
Cyrtochiloides,3
Oxandra,30
Cyrtochilum,206
Oedibasis,4
Ozoroa,45
Cytogonidium,1
Dactylodenia,25
Dactylorhiza,101
Oreocome,10
Onychopetalum,2
Opuntia,181
Dapsilanthus,4
Dasypogon,3
Deinacanthon,1
Dendrobium,1639
Oreocereus,11
Dendrophylax,15
Onosma,277
Desmocladus,23
Odontarrhena,88
Olimarabidopsis,3
Deuterocohnia,16
Oreocarya,67
Onuris,5
Devogelia,1
Oxalis,567
Dichaea,130
Dichorisandra,56
Brachytome,8
Oxygonum,24
Oserya,5
Dichromanthus,4
Opilia,2
Bradea,6
Orobanche,202
Octolepis,7
Obetia,5
Odyendea,2
Octolobus,3
Orthion,6
Oreocnide,17
Ourisia,35
Dictyospermum,5
Okoubaka,2
Dictyostega,1
Osyris,5
Orites,8
Ochradenus,7
Omphalogramma,12
Oxyria,2
Opisthiolepis,1
Oreorhamnus,1
Oxygraphis,6
Didymiandrum,1
Ochetophila,2
Dielsia,1
Odontites,38
Dilatris,4
Dimerocostus,3
Odontocarya,38
Ophiocaryon,10
Owenia,6
Oryctina,5
Oryctanthus,18
Dinklageella,4
Diodonopsis,6
Orthomene,4
Dioscorea,640
Oncocalyx,12
Ochna,81
Oxybaphus,8
Okenia,1
Otoba,12
Oncostemum,103
Oenothera,165
Olinia,11
Ongokea,1
Olax,52
Oncotheca,2
Ouratea,294
Braemia,1
Octoknema,14
Ochanostachys,1
Brahea,11
Opsicarpium,1
Ochroma,1
Pimpinella,160
Physospermum,2
Physotrichia,6
Peucedanum,74
Prangos,50
Pozoa,2
Portenschlagiella,1
Polyzygus,1
Platysace,23
Petroedmondia,1
Petagnaea,1
Perissocoeleum,4
Pastinaca,16
Palimbia,3
Pedinopetalum,1
Paulita,3
Pastinacopsis,1
Phlojodicarpus,3
Pleurospermum,10
Periploca,17
Pergularia,2
Periglossum,4
Phaeostemma,9
Peplonia,8
Pentopetia,22
Pentasacme,4
Pseudolithos,8
Brasenia,1
Polystemma,27
Paracaryum,27
Pachystachys,18
Pycnorhachis,1
Phyllanthera,10
Psammogeton,18
Prionosciadium,23
Polemannia,3
Pentatropis,4
Pachycarpus,39
Pternopetalum,21
Pseudotrachydium,5
Pseudoselinum,1
Ptychotis,2
Pycnocycla,15
Pyramidoptera,1
Ptilimnium,5
Psiloesthes,1
Ptyssiglottis,38
Pulchranthus,4
Peersia,3
Psammophora,4
Psammanthe,1
Pleiospilos,5
Petalidium,42
Pseuderanthemum,129
Phialacanthus,5
Phlogacanthus,42
Phaulopsis,21
Pararuellia,11
Pseudocalyx,6
Poikilacanthus,13
Physacanthus,3
Polylychnis,1
Pseudacanthopale,1
Platymitra,2
Piptostigma,13
Polyalthia,100
Phaeanthus,8
Pellegrinia,11
Pleiogynium,3
Pistacia,13
Pseudospondias,2
Poupartia,7
Poupartiopsis,1
Popowia,30
Pseudephedranthus,2
Porcelia,8
Pseudomalmea,4
Pseuduvaria,60
Pyramidanthe,12
Pseudoxandra,24
Polyceratocarpus,9
Pandiaka,13
Pfaffia,28
Psilotrichum,16
Pupalia,3
Ptilotus,16
Pentaspadon,6
Pterisanthes,16
Parishia,8
Pseudoplantago,2
Pleuropetalum,3
Perrottetia,21
Pristimera,37
Peritassa,21
Pourouma,31
Prionostemma,1
Psammomoya,4
Pleurostylia,6
Poikilospermum,28
Pseudoscabiosa,3
Pterocephalus,34
Psorospermum,49
Pentachondra,4
Platonia,1
Petrosimonia,9
Polycnemum,5
Patellifolia,1
Pentadesma,5
Peripentadenia,2
Pentastemonodiscus,1
Petrocoptis,9
Pirinia,1
Petrorhagia,14
Pentadiplandra,1
Polycarpaea,20
Pleodendron,3
Poilanedora,1
Polycarpon,7
Psammosilene,1
Pseudostellaria,14
Polytepalum,1
Pterocelastrus,4
Putterlickia,5
Phyllodoce,9
Phylliopsis,1
Phyllothamnus,1
Plutarchia,11
Pieris,23
Paphia,21
Planocarpa,3
Pseudomonotes,1
Prionotes,1
Pyrola,43
Phyllonoma,5
Polyosma,92
Pinacopodium,2
Psammisia,79
Penelopeia,2
Papuasicyos,7
Pistorinia,4
Pseudosedum,14
Prometheum,3
Peponium,20
Pseudoconnarus,6
Pseudotsuga,4
Petrosedum,24
Phedimus,16
Psiguria,6
Pinzona,1
Pakaraimaea,1
Parashorea,14
Pentacme,2
Pycnocomon,2
Pullea,3
Pseudoweinmannia,2
Pancheria,27
Pilgerodendron,1
Platycladus,1
Papuacedrus,1
Pteropepon,5
Purdiaea,13
Prosopanche,7
Diplacrum,13
Physaria,110
Petrocallis,1
Phlegmatospermum,4
Parrya,43
Diplasia,1
Parlatoria,2
Peltaria,3
Protium,155
Pachylobus,17
Planodes,3
Diplopanax,2
Psychine,1
Pseudoarabidopsis,1
Pseuderucaria,2
Disa,189
Pachira,52
Pseudobombax,28
Pentaplaris,3
Phragmotheca,11
Disperis,82
Pentaglottis,1
Pectocarya,12
Pardoglossum,1
Paramoltkia,1
Disteganthus,4
Podophyllum,17
Pulmonaria,27
Distichochlamys,4
Pteleocarpa,1
Pachycladon,12
Pachyphragma,1
Plagiobothrys,68
Podonosma,4
Pilosocereus,55
Pfeiffera,6
Pereskiopsis,6
Phyllocereus,1
Pterocactus,10
Pygmaeocereus,2
Praecereus,2
Diuris,104
Parodia,69
Donax,1
Pacherocactus,1
Pseudodacryodes,1
Pachycereus,5
Peniocereus,9
Pereskia,10
Dracula,151
Dresslerella,17
Drosera,244
Pectinaria,5
Pachyphytum,19
Dryadella,62
Parolinia,6
Dryadorchis,5
Duckea,4
Dulichium,1
Pseudorhipsalis,5
Phyllodoleuria,1
Phiambolia,10
Quaqua,20
Quaternella,2
Quararibea,56
Qualea,53
Quiina,32
Rourea,83
Rapicactus,5
Rhodiola,53
Rhodalsine,1
Ritchiea,23
Reissantia,9
Rzedowskia,1
Robsonodendron,2
Ruthalicia,2
Rosularia,25
Raphidiocystis,5
Richetia,33
Rosselia,1
Rathbunillocactus,1
Rorippa,101
Romanschulzia,13
Ribes,204
Rhipsalis,48
Rebutia,7
Rhipsalidopsis,3
Rhododendron,1203
Brassavola,20
Rumex,152
Dyckia,188
Richea,13
Ruschia,219
Rhombophyllum,5
Robeschia,1
Ecdeiocolea,2
Rungia,87
Ruspolia,5
Echinosepala,17
Rhus,58
Rostellularia,29
Edmundoa,3
Rochelia,19
Rochefortia,12
Rhinacanthus,26
Rhaphidospora,8
Elasis,2
Elegia,50
Raphionacme,36
Rutheopsis,2
Rhodosciadium,15
Rhopalosciadium,1
Rhabdosciadium,8
Ridolfia,1
Rohmooa,1
Riocreuxia,10
Rhodognaphalon,4
Rhytidocaulon,17
Raphiocarpus,18
Ramonda,4
Registaniella,1
Raphanus,3
Rhizobotrya,1
Ricotia,10
Eleocharis,311
Rapistrum,2
Rindera,30
Ruehssia,146
Rotula,2
Ruschiella,4
Acriopsis,10
Brassia,69
Roupala,44
Rheum,44
Ruprechtia,35
Rotala,74
Ruagea,15
Rhigiocarya,4
Rhaptonema,7
Robinsonella,16
Reinwardtiodendron,6
Ruyschia,10
Rojasimalva,1
Rhyncholacis,28
Reynoutria,7
Retrophyllum,6
Rhytidosporum,5
Rhaptopetalum,13
Rivina,1
Rhaphiostylis,12
Rhopalopilia,3
Rupicapnos,6
Rogeria,4
Roemeria,15
Resia,4
Ridleyandra,30
Rhabdothamnus,1
Rhytidophyllum,22
Rhynchotechum,19
Rhynchoglossum,13
Rigiolepis,28
Rhodothamnus,2
Rogersonanthus,2
Ruptiliocarpon,1
Roucheria,7
Reinwardtia,3
Rivasgodaya,1
Ryticaryum,12
Romanzoffia,5
Rhodostemonodaphne,41
Elettaria,7
Triplateia,1
Tuberaria,13
Triosteum,7
Thurya,1
Tetrasiphon,1
Thyrsosalacia,4
Tontelea,19
Turbinicarpus,59
Terminalia,282
Trichoechinopsis,1
Trichomoza,1
Tirania,1
Tovaria,2
Turbiniphora,1
Tovomita,77
Elleanthus,129
Tapura,38
Traganopsis,1
Tripterygium,3
Traganum,2
Touroulia,2
Thysanocarpus,8
Turritis,2
Tropidocarpum,4
Brassiophoenix,2
Embreea,2
Empodisma,3
Thlaspi,7
Encholirium,37
Brassocattleya,5
Trattinnickia,20
Thamnea,9
Encyclia,196
Tephrocactus,13
Tacinga,14
Triomma,1
Endostemon,20
Thuja,5
Trochomeria,9
Ensete,7
Tetracera,53
Tetraphyllum,3
Trichosanthes,107
Epidendrum,1860
Themistoclesia,41
Trochocarpa,17
Epidryos,4
Thibaudia,114
Epipactis,77
Eremospatha,11
Taxodium,2
Taiwania,1
Taxus,13
Eria,48
Eriocaulon,488
Tylecodon,50
Brenania,2
Thladiantha,25
Torreya,6
Thujopsis,1
Toxicodendron,30
Trichoscypha,32
Thyrsodium,7
Torilis,15
Breonadia,1
Tapirira,9
Tetrastigma,140
Trachymene,61
Tilingia,3
Thapsia,20
Thecocarpus,2
Tordylium,20
Trivalvaria,12
Trigynaea,9
Tetrameranthus,8
Tetrataenium,21
Thamnosciadium,1
Tauschia,34
Tamamschjanella,2
Thunbergia,151
Tetramerium,30
Thomandersia,6
Tetragonia,52
Trichodiadema,32
Trachydium,11
Trichocalyx,2
Trichanthera,2
Thysanostigma,2
Tanquana,3
Trigonotis,66
Tournefortia,106
Trichodesma,40
Thonningia,1
Thaumatocaryon,3
Tianschaniella,1
Trigonocaryum,1
Tiquilia,28
Thelypodium,16
Trachelanthus,4
Trachystemon,1
Bretschneidera,1
Teesdalia,3
Tetracme,8
Trinia,13
Trigonosciadium,7
Trocdaris,1
Trochiscanthes,1
Tricholaser,2
Tassadia,30
Telectadium,3
Tavaresia,3
Thottea,46
Breviea,1
Turgenia,2
Turgeniopsis,1
Tacazzea,5
Trachyspermum,15
Tromotriche,11
Tweedia,6
Trichosandra,1
Tylodontia,4
Toxocarpus,34
Telosma,8
Treutlera,1
Breynia,96
Taxillus,36
Trithecanthera,5
Tolypanthus,8
Tristerix,13
Trilepidea,1
Tripodanthus,3
Tapinanthus,33
Triadodaphne,3
Tropaeolum,97
Tripterospermum,36
Tachia,14
Tetrapollinia,1
Tapeinostemon,9
Trichocladus,4
Tersonia,2
Tylopsacas,1
Tristemonanthus,2
Thinicola,1
Eriochilus,12
Eriophorum,24
Thelocactus,14
Tridentapelia,1
Erioscirpus,2
Tetracarpaea,1
Erythrodes,27
Urera,29
Bridelia,50
Urbanodendron,3
Umbilicus,17
Etlingera,148
Utricularia,286
Unonopsis,48
Uvaria,176
Eulophia,285
Uvariastrum,5
Urostephanus,2
Uebelmannia,4
Uvariodendron,18
Uvariopsis,18
Urtica,72
Ulmus,44
Urena,11
Usteria,1
Eurychorda,1
Evandra,2
Ungulipetalum,1
Exocarya,1
Urvillea,20
Exochogyne,2
Ungeria,1
Uvedalia,2
Urobotrya,8
Fascicularia,1
Fernseea,2
Ficinia,92
Utsetela,2
Uncarina,14
Wallenia,29
Walsura,17
Wallacea,3
Waltheria,61
Valeriana,424
Verbascum,740
Acrobotrys,1
Weinmannia,93
Zaleya,6
Verhuellia,3
Vexatorella,4
Ventilago,38
Vepris,97
Vavaea,5
Virola,71
Vegaea,1
Vismia,47
Veronica,505
Vandellia,52
Vellosiella,3
Vahlia,5
Vouarana,2
Varronia,105
Vincetoxicum,257
Viburnum,196
Vaccinium,549
Vella,8
Voyria,21
Vitis,91
Vanheerdea,2
Vasconcellea,27
Vicatia,5
Visnaga,2
Vanhouttea,10
Viviania,7
Voyriella,1
Vantanea,23
Vateria,3
Velascoa,1
Villadia,30
Vesselowskya,2
Viscaria,3
Vatica,80
Viola,723
Viscum,114
Vochysia,148
