source, https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2745.13412
phylo.name,photosynthetic.pathway,avg.RGR,leaf.N,leaf.C,SLA,LDMC,leaf.PC1,leaf.PC2,root.N,root.C,SRL,SRA,root.avg.diam.mm,root.PC1,root.PC2
Digitaria_ciliaris,C4,0.087615244,0.885375456,3.719801909,5.852811015,2.799449682,-0.541871447,0.05631921,-0.374218112,3.876881277,9.272382156,6.880524809,-1.231892892,0.112515402,-0.812641523
Digitaria_sanguinalis,C4,0.180741719,0.693775723,3.730171378,5.988987246,2.667189831,-0.730312825,0.151934699,NA,NA,NA,NA,NA,NA,NA
Digitaria_seriata,C4,0.137944567,1.010007983,3.702640249,5.77296724,2.716686276,-0.616173339,0.075252418,NA,NA,NA,NA,NA,NA,NA
Digitaria_setigera,C4,0.016296513,0.684259342,3.72235953,5.813898971,2.875459477,-0.398986375,0.261391871,-0.109701785,3.808805451,9.597442193,7.138618897,-1.280873733,-0.14405735,-0.126888087
Diheteropogon_hagerupii,C4,0.119501336,1.083021926,3.738034128,5.698743573,3.034401249,-0.159888403,-0.260280302,NA,NA,NA,NA,NA,NA,NA
Echinochloa_crus-galli,C4,0.063111744,0.964940439,3.74078393,5.656422022,3.137298741,-0.000106278,-0.145814892,-0.188645459,3.786274186,9.554677533,7.185175343,-1.179336633,-0.025184646,-0.064648524
Echinochloa_crus-pavonis,C4,0.166949697,0.929450253,3.745087329,5.827415582,2.895584609,-0.362841396,-0.178337434,NA,NA,NA,NA,NA,NA,NA
Echinochloa_esculenta,C4,0.169070794,1.001143527,3.724558393,6.018062701,2.523605288,-0.952444298,-0.139881596,NA,NA,NA,NA,NA,NA,NA
Echinochloa_frumentacea,C4,0.127536678,0.57232709,3.721050612,5.662465802,2.888247186,-0.239866262,0.430976404,-0.278533647,3.78968223,8.960564943,6.786431804,-0.993174587,0.596116682,-0.233637911
Echinochloa_haploclada,C4,0.077863265,0.529736196,3.68350853,5.496466925,3.06679547,-0.02463265,0.799330009,-0.538414537,3.798926959,9.606239746,7.185180334,-1.258340997,-0.082700561,-0.491378865
Echinochloa_muricata,C4,0.168937324,1.064092551,3.736319258,5.873961972,3.040268994,-0.312106554,-0.27297867,NA,NA,NA,NA,NA,NA,NA
Echinochloa_oryzicola,C4,0.08629797,0.812596982,3.719325828,5.513600452,3.021851832,-0.021316475,0.220906865,-0.365841363,3.820201878,9.445300623,7.10878089,-1.16375099,0.051726617,-0.443214877
Echinochloa_picta,C4,0.163753801,0.770003492,3.732441899,5.3583076,2.954402818,0.096492044,0.210006112,NA,NA,NA,NA,NA,NA,NA
Echinochloa_stagnina,C4,0.165418893,0.709309039,3.728475233,5.401611056,3.131487165,0.222799802,0.289105716,-0.200624006,3.770818029,9.93810935,7.4196363,-1.354505039,-0.432910773,0.037975405
Ehrharta_calycina,C3,0.062719328,1.276867435,3.64686201,5.314988084,3.113726661,-0.032237238,0.319164673,0.388014574,3.772758877,9.817670345,7.34356319,-1.303885225,-0.382185401,0.605686007
Eleusine_coracana,C4,0.052473773,0.371345433,3.733834201,5.545447585,2.943270087,-0.018297557,0.579574109,-0.304824644,3.765453295,9.052431334,6.717067717,-1.162070347,0.490197121,-0.151321054
Eleusine_indica,C4,0.077082958,1.038026723,3.743905218,5.749519058,2.988496724,-0.225060774,-0.268330184,-0.232345842,3.770520703,9.615757788,7.142424268,-1.213753816,-0.028544536,-0.028147895
Eleusine_kigeziensis,C4,0.175814765,1.179633373,3.727721386,5.970914532,2.749353715,-0.714291252,-0.349626576,0.094458048,3.630480216,9.705510925,7.151397131,-1.384096778,-0.068649244,1.057953276
Elymus_glaucissimus,C3,0.021561749,1.175307652,3.787772146,5.099390319,3.347241868,0.796288392,-0.587440485,0.659527547,3.76741804,9.862660968,7.533495745,-1.136158405,-0.391135714,0.954898169
Enneapogon_scoparius,C4,0.147208853,0.998888009,3.758010093,5.639404966,3.181917296,0.101322817,-0.309398778,-0.093987528,3.82169696,8.955218916,6.75120915,-1.017942854,0.52835841,-0.234244111
Enteropogon_prieurii,C4,-0.142198274,0.839685615,3.759941864,5.540656538,3.10058919,0.140872218,-0.12469945,-0.895135352,3.868642808,9.215832973,6.841918165,-1.203486852,0.261699624,-1.292351945
Eragrostis_airoides,C4,0.133814106,0.780643925,3.784992998,5.478636873,3.375985043,0.536064204,-0.241997224,-0.198835053,3.853406267,10.01915454,7.371940719,-1.46772136,-0.647167706,-0.433249262
Eragrostis_capensis,C4,0.10092672,0.976966088,3.804526289,5.295367619,3.352063271,0.70338578,-0.552278806,-0.393358591,3.835325083,9.831603137,7.296643355,-1.385095081,-0.410070389,-0.537017379
Eragrostis_cilianensis,C4,0.223440984,1.0253878,3.7522112,6.048411892,2.971656056,-0.48091648,-0.395348845,-0.14878059,3.801239781,9.80534089,7.292892861,-1.320132159,-0.329478309,-0.097874953
Eragrostis_intermedia,C4,0.160973614,1.27888323,3.747568534,5.719184596,3.040351626,-0.173721425,-0.548578038,NA,NA,NA,NA,NA,NA,NA
