"rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874530905508093,10737037057.502,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874538935401111,5181933016.4043,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874544170061922,3043808146.86252,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874538426642337,5585084024.92369,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874538426642337,5585084024.92369,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531159376363,9059579813.89979,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531235626073,36277369541.1412,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874556502060391,677951775.365695,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874556502060391,677951775.365695,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874532527431265,20457263344.7665,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874532881270854,29181828920.9159,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874530929137876,880693918.509,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874530867949554,3200423937.8828,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874549354535698,1534561899.6034,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874549354535698,1534561899.6034,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531929755747,24137149999.9696,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874534264215335,21831009446.8299,"AM","RD",TRUE
0.00111420889697715,2.30627516785097e-05,0.172946239349867,-1.16105219283126,-0.933244298404094,44.2445139146621,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874552014979706,1151248211.26184,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874552014979706,1151248211.26184,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874542794675346,3150577736.40826,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874542794675346,3150577736.40826,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874532178842049,22404926591.9165,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874550171543621,1406123243.80572,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874550171543621,1406123243.80572,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.87454502579868,2444724451.59469,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.87454502579868,2444724451.59469,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531266381236,39143344612.3637,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874545339345121,2361761684.44942,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874545339345121,2361761684.44942,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874541378435632,3739510855.40802,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874541378435632,3739510855.40802,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874530608221407,1005565696.68217,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531024388443,23151127930.5439,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531329788348,39462679280.9854,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531314046092,39148385686.9361,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874562680494404,468112744.954226,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874562680494404,468112744.954226,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874540589859438,4610465584.1364,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874540589859438,4610465584.1364,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874535065153438,10822065153.2156,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874535065153438,10822065153.2156,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.87453101279087,26732719394.6717,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531103902144,25504010960.2207,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.8745312030641,1880377280.40913,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874562625654555,271835473.563344,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874562625654555,271835473.563344,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874553868493757,979705899.008824,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874553868493757,979705899.008824,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531872257162,24471335439.1067,"AM","RD",TRUE
0.00139659371779316,0.0318813074068235,0.172946239349867,-0.87453058171721,-0.874531313519673,7802213565.50477,"AM","RD",TRUE
