species,genus,family,species.relative,genus.relative
Machilus breviflora,Machilus,,,
Lindera communis,Lindera,,,
Goniothalamus griffithii,Goniothalamus,,,
Magnolia championii,Magnolia,,,
Knema erratica,Knema,,,
Populus cathayana,Populus,,,
Tilia mandshurica,Tilia,,,
Tilia mongolica,Tilia,,,
Memecylon nigrescens,Memecylon,,,
Larix gmelinii,Larix,,,
Picea meyeri,Picea,,,
Picea wilsonii,Picea,,,
Pinus armandii,Pinus,,,
Pinus tabuliformis,Pinus,,,
Dacrycarpus imbricatus,Dacrycarpus,,,
Ulmus macrocarpa,Ulmus,,,
Ulmus davidiana,Ulmus,,,
Malus baccata,Malus,,,
Pyrus betulifolia,Pyrus,,,
Sorbus aucuparia,Sorbus,,,
Aphanamixis polystachya,Aphanamixis,,,
Dysoxylum excelsum,Dysoxylum,,,
Acer davidii,Acer,,,
Acer truncatum,Acer,,,
Rhodoleia championii,Rhodoleia,,,
Dicranopteris linearis,Dicranopteris,,,
Cunninghamia lanceolata,Cunninghamia,,,
Acer negundo,Acer,,,
Acer rubrum,Acer,,,
Carya glabra,Carya,,,
Pinus strobus,Pinus,,,
Pinus virginiana,Pinus,,,
Populus tremuloides,Populus,,,
Quercus alba,Quercus,,,
Quercus rubra,Quercus,,,
Pleioblastus amarus,Pleioblastus,,,
Nyssa aquatica,Nyssa,,,
Platanus acerifolia,Platanus,,,
