binominal,F01286,F01287,F00645,F00679,F00727
Cryptocarya concinna,Cryptocarya,concinna,AM,0.46125,25.628882955
Cryptomeria japonica,Cryptomeria,japonica,AM,0.3974833,50.72764606
Cunninghamia lanceolata,Cunninghamia,lanceolata,AM,0.4366486213333334,23.94290829222222
Dacrycarpus imbricatus,Dacrycarpus,imbricatus,AM,0.489705882,38.3874209
Daphniphyllum pentandrum,Daphniphyllum,pentandrum,AM,0.2725333,63.17596899
Decaspermum gracilentum,Decaspermum,gracilentum,AM,0.15535,63.99
Dendropanax dentiger,Dendropanax,dentiger,AM,0.1273,223.2676
Deutzia glabrata,Deutzia,glabrata,AM,0.184,214.6035484
Deutzia grandiflora,Deutzia,grandiflora,AM,0.32837500000000003,156.31638565
Dicranopteris pedata,Dicranopteris,pedata,NM,0.20445,80.98027027
Dioscorea nipponica,Dioscorea,nipponica,AM,0.2018,264.2472414
Diospyros strigosa,Diospyros,strigosa,AM,0.356122449,40.00319502
Diospyros virginiana,Diospyros,virginiana,AM,0.37338619500000003,24.38063865
Diplospora dubia,Diplospora,dubia,AM,0.3013,83.34823529
Doellingeria scabra,Doellingeria,scabra,AM,0.2113,219.2008
Dryopteris lepidopoda,Dryopteris,lepidopoda,NM,0.1998667,122.6113953
Dryopteris sparsa,Dryopteris,sparsa,AM,0.19875415000000002,189.91332060000002
Duchesnea indica,Duchesnea,indica,AM,0.1938,204.2005085
Dysoxylum excelsum,Dysoxylum,excelsum,AM,0.886523438,9.100844511
Elaeocarpus dubius,Elaeocarpus,dubius,AM,0.29794,58.391206894999996
Elaeocarpus glabripetalus,Elaeocarpus,glabripetalus,AM,0.28,76.7
Elaeocarpus sylvestris,Elaeocarpus,sylvestris,AM,0.2349721265,89.815946135
Eleutherococcus senticosus,Eleutherococcus,senticosus,AM,0.2245,193.1835714
Embelia vestita,Embelia,vestita,AM,0.20785,96.43036364
Endospermum chinense,Endospermum,chinense,AM,0.750757826,20.754213293333333
Engelhardia roxburghiana,Engelhardia,roxburghiana,EM,0.1765,106.58500000000001
Equisetum hyemale,Equisetum,hyemale,AM,0.478689502,85.98739783
Eriobotrya japonica,Eriobotrya,japonica,AM,0.31884,46.15
Eucalyptus urophylla,Eucalyptus,urophylla,AMEM,0.14444,106.21
Euonymus alatus,Euonymus,alatus,AM,0.22473558333333332,107.19515355666665
Euonymus verrucosus,Euonymus,verrucosus,AM,0.233333604,185.4772787
Eurya japonica,Eurya,japonica,AM,0.175657895,126.8491646
Fagus engleriana,Fagus,engleriana,EM,0.184175,93.53339118
Ficus variolosa,Ficus,variolosa,AM,0.13292,143.45
Filipendula palmata,Filipendula,palmata,AMNM,0.183,220.6077778
Fraxinus americana,Fraxinus,americana,AM,1.7611435133333335,26.02132883333333
Fraxinus chinensis,Fraxinus,chinensis,AM,0.3675190476666667,43.628958219999994
Fraxinus excelsior,Fraxinus,excelsior,AM,0.373682861,32.82298012
Fraxinus mandshurica,Fraxinus,mandshurica,AM,0.2748168275333333,103.60824795533334
Galium aparine,Galium,aparine,AM,0.1891,240.5986667
Garcinia cowa,Garcinia,cowa,AM,0.29289,87.27
Garcinia oblongifolia,Garcinia,oblongifolia,AM,0.19019,90.87
Ginkgo biloba,Ginkgo,biloba,AM,0.677,19.926
Gironniera subaequalis,Gironniera,subaequalis,NM,0.1249,67.58
Gleditsia triacanthos,Gleditsia,triacanthos,AM,0.379290275,20.16580475
Goniothalamus griffithii,Goniothalamus,griffithii,AM,0.614634146,16.58542002
Gordonia axillaris,Gordonia,axillaris,AM,0.54176,16.33
Halesia tetraptera,Halesia,tetraptera,AM,0.22442758000000002,50.525798734999995
Hamamelis virginiana,Hamamelis,virginiana,AM,0.26510931,24.294909850000003
Helicia formosana,Helicia,formosana,AM,0.18426,97.81
Hosta ventricosa,Hosta,ventricosa,AM,0.40705,60.45922807
Ilex opaca,Ilex,opaca,AM,0.22143414,44.46771745
Iris japonica,Iris,japonica,AM,0.4238,68.55555556
Itea chinensis,Itea,chinensis,AM,0.11926,110.33
Juglans mandshurica,Juglans,mandshurica,AM,0.2581569033846154,109.1548591223077
Juglans nigra,Juglans,nigra,AM,0.26609704,24.60819736
Juniperus sabina,Juniperus,sabina,AM,0.3998,38.21711538
Knema erratica,Knema,erratica,AM,0.848165138,4.774158719
Koelreuteria paniculata,Koelreuteria,paniculata,AM,0.24690002,97.53809795000001
Lamium album,Lamium,album,AM,0.1354,327.7189189
Larix gmelinii,Larix,gmelinii,EM,0.3399907495555555,37.318871450555555
Lespedeza bicolor,Lespedeza,bicolor,AM,0.2449,138.6036364
Lindera communis,Lindera,communis,AM,0.395,38.76733436
Lindera obtusiloba,Lindera,obtusiloba,AM,0.261375,92.51081301
Liquidambar formosana,Liquidambar,formosana,AM,0.27378335,71.455758425
Liquidambar styraciflua,Liquidambar,styraciflua,AM,0.299814855,31.72214725
Liriodendron chinense,Liriodendron,chinense,AM,0.558055,21.192
Liriodendron tulipifera,Liriodendron,tulipifera,AM,0.5745604120000001,11.8251194
Lithocarpus chiungchungensis,Lithocarpus,chiungchungensis,EM,0.21954,75.71
Lithocarpus cleistocarpus,Lithocarpus,cleistocarpus,EM,0.274125,68.80162393
Lithocarpus fenestratus,Lithocarpus,fenestratus,EM,0.595625,13.835
Litsea baviensis,Litsea,baviensis,AM,0.70594,13.02
Litsea cubeba,Litsea,cubeba,AM,0.40593,39.99
Litsea elongata,Litsea,elongata,AM,0.3189333,48.22580247
Litsea ichangensis,Litsea,ichangensis,AM,0.4037375,61.46794831
Litsea verticillata,Litsea,verticillata,AM,0.52339,15.59
Lonicera chrysantha,Lonicera,chrysantha,AM,0.253525,171.05046295
Macaranga sampsonii,Macaranga,sampsonii,AM,0.138946515,113.26702005
Machilus breviflora,Machilus,breviflora,AM,0.559169136,19.589081725
Machilus kwangtungensis,Machilus,kwangtungensis,AM,0.42593,32.3
Machilus nanmu,Machilus,nanmu,AM,0.48080415,28.339731094999998
Machilus oculodracontis,Machilus,oculodracontis,AM,0.47,27.7
Machilus robusta,Machilus,robusta,AM,0.47895,18.0
Machilus shweliensis,Machilus,shweliensis,AM,0.400120192,37.169
Machilus velutina,Machilus,velutina,AM,0.45361,21.78
Macropanax undulatus,Macropanax,undulatus,AM,0.2637,28.7
Magnolia acuminata,Magnolia,acuminata,AM,0.541701225,12.382547800000001
Magnolia baillonii,Magnolia,baillonii,AM,0.57475,19.33
Magnolia balansae,Magnolia,balansae,AM,0.58004,20.16
Magnolia cavaleriei,Magnolia,cavaleriei,AM,0.74241,15.4
Magnolia champaca,Magnolia,champaca,AM,0.46352,19.9
Magnolia championii,Magnolia,championii,AM,0.543,31.403
Magnolia chapensis,Magnolia,chapensis,AM,0.60676665,23.247184685
Magnolia dandyi,Magnolia,dandyi,AM,0.6237,17.69
Magnolia denudata,Magnolia,denudata,AM,0.496648755,20.900723999999997
Magnolia ernestii,Magnolia,ernestii,AM,0.7408049999999999,15.899000000000001
Magnolia fulva,Magnolia,fulva,AM,0.66407,19.39
Magnolia grandiflora,Magnolia,grandiflora,AM,0.6432250033333333,9.307037876666667
Magnolia kobus,Magnolia,kobus,AM,0.4374226,27.3223821
Magnolia lotungensis,Magnolia,lotungensis,AM,0.69685,12.01
Magnolia macclurei,Magnolia,macclurei,AM,0.520244524,22.4083889
Magnolia macrophylla,Magnolia,macrophylla,AM,0.649202055,12.89750285
Magnolia maudiae,Magnolia,maudiae,AM,0.60317,20.65447826
Magnolia odora,Magnolia,odora,AM,0.566552686,20.3519985075
Magnolia opipara,Magnolia,opipara,AM,0.56288,12.67
Magnolia stellata,Magnolia,stellata,AM,0.43328456000000004,31.164053350000003
Magnolia tripetala,Magnolia,tripetala,AM,0.507611895,17.9969887
Magnolia virginiana,Magnolia,virginiana,AM,0.59429524,20.130442199999997
Magnolia yunnanensis,Magnolia,yunnanensis,AM,0.72074,17.24
Magnolia yuyuanensis,Magnolia,yuyuanensis,AM,0.51,35.8
Mallotus paniculatus,Mallotus,paniculatus,AM,0.2358,97.12113636
Malus baccata,Malus,baccata,AM,0.235897436,71.42969735
Manglietia paruicula,Manglietia,paruicula,AM,0.50389,21.82
Melicope pteleifolia,Melicope,pteleifolia,AM,0.25397,97.19
Memecylon nigrescens,Memecylon,nigrescens,AM,0.20275974,88.05012329
Microcos paniculata,Microcos,paniculata,AM,0.11685,115.38
Microtropis discolor,Microtropis,discolor,AM,0.45889,79.59
Millettia leptobotrya,Millettia,leptobotrya,AM,0.34158,25.62
Myrsine seguinii,Myrsine,seguinii,AM,0.282291667,56.47293753
Nabalus tatarinowii,Nabalus,tatarinowii,AM,0.1784,342.7914286
Neolitsea phanerophlebia,Neolitsea,phanerophlebia,AM,0.52,36.8
Nephelium lappaceum,Nephelium,lappaceum,AM,0.15885,58.45
Nyssa sylvatica,Nyssa,sylvatica,AM,0.87833333,13.5728051
Ocotea lancifolia,Ocotea,lancifolia,AM,0.34881024699999996,33.968189655
Olea rosea,Olea,rosea,AM,0.39436,28.91
Oreocnide frutescens,Oreocnide,frutescens,AM,0.2392,94.0809434
Orophea creaghii,Orophea,creaghii,AM,0.39934,45.31
Osmanthus didymopetalus,Osmanthus,didymopetalus,AM,0.71949,4.42
Osmunda japonica,Osmunda,japonica,AM,0.418775,23.52217391
Parthenocissus quinquefolia,Parthenocissus,quinquefolia,AM,0.1757667,152.6108108
Pentaphylax euryoides,Pentaphylax,euryoides,AM,0.12066,97.84
Pertusadina metcalfii,Pertusadina,metcalfii,AM,0.15444,99.96
Phellodendron amurense,Phellodendron,amurense,AM,0.4984083738571429,36.43878731428571
Phlomoides umbrosa,Phlomoides,umbrosa,AM,0.24455,122.8399898
Picea koraiensis,Picea,koraiensis,EM,0.3279288185,54.366752715000004
Picea meyeri,Picea,meyeri,EM,0.279044118,48.49432024
Picea wilsonii,Picea,wilsonii,EM,0.264039409,66.49294054
Pinus armandii,Pinus,armandii,EM,0.27813635049999996,45.195959009999996
Pinus koraiensis,Pinus,koraiensis,EM,0.4912225062,23.823450728
Pinus massoniana,Pinus,massoniana,EM,0.2909,59.85230769
Pinus pumila,Pinus,pumila,EM,0.2823,53.1400472
Pinus sylvestris,Pinus,sylvestris,EM,0.32954351621875,32.105391925625
Pinus tabuliformis,Pinus,tabuliformis,EM,0.20843377922222223,84.52238504222221
Pistacia chinensis,Pistacia,chinensis,AM,0.23907,90.48
Platanus occidentalis,Platanus,occidentalis,AM,0.48675,11.9773904
Podocarpus chinensis,Podocarpus,chinensis,AM,0.79,15.4
Podocarpus neriifolius,Podocarpus,neriifolius,AM,0.2398667,106.9029829
Populus cathayana,Populus,cathayana,AMEM,0.22219861666666665,155.94455491666668
Populus deltoides,Populus,deltoides,AM,0.25304561000000003,87.2551465
Populus koreana,Populus,koreana,AMEM,0.21495,190.85129666666668
Prunus alabamensis,Prunus,alabamensis,AM,0.1935,143.1475794
Prunus armeniaca,Prunus,armeniaca,AM,0.443,33.74603524
Prunus avium,Prunus,avium,AM,0.2005625,142.0840804
Prunus padus,Prunus,padus,AMEM,0.1471,246.2047059
Prunus sargentii,Prunus,sargentii,AM,0.15857724,81.442719665
Prunus sibirica,Prunus,sibirica,AM,0.228423742,110.1123957
Psychotria asiatica,Psychotria,asiatica,AM,0.20865,87.78890000000001
Pteridium aquilinum,Pteridium,aquilinum,AM,0.2511,109.2390984
Pterospermum acerifolium,Pterospermum,acerifolium,AM,0.28074,25.66
Pyrus betulifolia,Pyrus,betulifolia,AM,0.476089015,17.68724614
Quercus aliena,Quercus,aliena,EM,0.17469222550000002,101.25977734
Quercus asymmetrica,Quercus,asymmetrica,EM,0.34704,45.18
Quercus mongolica,Quercus,mongolica,EM,0.218030525,99.19425233000001
Quercus multinervis,Quercus,multinervis,EM,0.231575,77.13546392
Quercus oxyodon,Quercus,oxyodon,EM,0.181225,173.8745652
Quercus serrata,Quercus,serrata,EM,0.1831875,128.324
Quercus variabilis,Quercus,variabilis,EM,0.13962585,80.16390306
Quercus wutaishanica,Quercus,wutaishanica,EM,0.28783354033333336,55.25902850333333
