binominal,F00679,F00727
Betula platyphylla,0.2041,115.9356707
Syringa reticulata,0.2351,137.3144615
Phlomoides umbrosa,0.24455,122.8399898
Acer tataricum,0.2331333,172.4784783
Dioscorea nipponica,0.2018,264.2472414
Rubus idaeus,0.1632,187.6849057
Adenocaulon himalaicum,0.1734,192.9116901
Juglans mandshurica,0.2815667,73.77576908
Sorbus discolor,0.21445,113.9467816
Larix gmelinii,0.2842667,53.78890778
Philadelphus incanus,0.1793,243.7697917
Rosa xanthina,0.1844,186.3612731
Lonicera chrysantha,0.2605,171.9445946
Cotoneaster acutifolius,0.2034,102.698
Lonicera chrysantha,0.24655,170.1563313
Rubus idaeus,0.1989,155.7729091
Caulophyllum robustum,0.3578,91.70646617
Actaea cimicifuga,0.3594,38.77167905
Quercus wutaishanica,0.3603,52.3664428
Anaphalis hancockii,0.1787,319.8579487
Agrimonia pilosa,0.2442,97.37914894
Corylus sieboldiana,0.2259,104.507722
Artemisia mongolica,0.1661,195.6701563
Cotoneaster multiflorus,0.22965,146.1748496
Artemisia igniaria,0.1672,204.1528571
Cornus bretschneideri,0.3345333,54.856512
Vitis amurensis,0.2238,127.9060759
Populus cathayana,0.2204,154.2140741
Crataegus pinnatifida,0.21435,105.2808225
Duchesnea indica,0.1938,204.2005085
Adina pilulifera,0.1376,580.271875
Thalictrum simplex,0.1997,259.0515625
Sambucus williamsii,0.2885,154.1714103
Populus koreana,0.3062,61.289375
Lamium album,0.1354,327.7189189
Ulmus davidiana,0.1635,155.4958081
Acer barbinerve,0.2523,143.6789729
Pinus koraiensis,0.3456833,35.1293428
Juglans mandshurica,0.1692,146.9701911
Phellodendron amurense,0.4477333,47.23529245
Quercus mongolica,0.2233,131.8906555
Acer triflorum,0.2341,110.6332214
Acer pictum,0.2373,80.30968331
Fraxinus mandshurica,0.1988,119.6229501
Pinus massoniana,0.2909,59.85230769
Castanopsis carlesii,0.1827,123.4213043
Schima superba,0.2106333,126.9396875
Castanopsis faberi,0.1975,133.9614
Fraxinus mandshurica,0.252904855,128.181834
Juglans mandshurica,0.26171904,103.1250247
Betula platyphylla,0.23710301,92.96877668
Larix gmelinii,0.336688997,42.99174745
Picea koraiensis,0.300781569,67.50000606
Pinus koraiensis,0.420896008,25.29363582
Pinus sylvestris,0.331570852,54.36906441
Malus domestica,0.182033333,49.6822337
Malus domestica,0.1704,79.39593278
Malus domestica,0.201066667,40.11459888
Prunus persica,0.1306,82.66571076
Prunus persica,0.1461,100.6111898
Prunus persica,0.1628,45.50720373
Vitis vinifera,0.1306,0.0529
Vitis vinifera,0.146066667,0.0359
Vitis vinifera,0.1628,0.0591
