binominal,F00679,F00727
Litsea baviensis,0.70594,13.02
Cinnamomum porrectum,0.44185,14.68
Ocotea lancifolia,0.35796,30.07
Orophea creaghii,0.39934,45.31
Helicia formosana,0.18426,97.81
Syzygium hancei,0.14568,100.3
Syzygium levinei,0.1187,118.85
Eucalyptus urophylla,0.14444,106.21
Syzygium globiflorum,0.19611,40.88
Microtropis discolor,0.45889,79.59
Castanea henryi,0.16803,40.96
Castanopsis fissa,0.2037,63.81
Quercus asymmetrica,0.34704,45.18
Castanopsis hystrix,0.16749,70.61
Castanopsis echinocarpa,0.16343,81.68
Castanopsis wattii,0.16121,92.32
Lithocarpus chiungchungensis,0.21954,75.71
Aporosa octandra,0.36662,29.15
Macaranga sampsonii,0.07259,67.1
Aporosa yunnanensis,0.25882,49.73
Endospermum chinense,1.00963,5.37
Antidesma maclurei,0.40253,19.99
Engelhardia roxburghiana,0.1523,103.48
Elaeocarpus dubius,0.25778,76.3
Ficus variolosa,0.13292,143.45
Artocarpus styracifolius,0.28296,34.54
Gironniera subaequalis,0.1249,67.58
Celtis sinensis,0.14043,113.0
Canarium album,0.17623,130.88
Pistacia chinensis,0.23907,90.48
Acronychia pedunculata,0.28343,78.12
Melicope pteleifolia,0.25397,97.19
Nephelium lappaceum,0.15885,58.45
Allophylus cobbe,0.15617,75.07
Vaccinium mandarinorum,0.07812,106.71
Barringtonia racemosa,0.37056,26.71
Pentaphylax euryoides,0.12066,97.84
Alniphyllum fortunei,0.30253,89.09
Gordonia axillaris,0.54362,14.98
Schima wallichii,0.23986,98.43
Alstonia scholaris,0.5237,25.76
Catunaregam spinosa,0.25699,80.24
Wendlandia uvariifolia,0.22417,45.27
Pertusadina metcalfii,0.15444,99.96
Psychotria asiatica,0.19185,81.04
Saprosma ternatum,0.14506,116.95
Osmanthus didymopetalus,0.71949,4.42
Olea rosea,0.39436,28.91
Schefflera minutistellata,0.33263,37.91
Macropanax undulatus,0.2637,28.7
Pterospermum acerifolium,0.28074,25.66
Sterculia lanceolata,0.21389,72.15
Itea chinensis,0.11926,110.33
Garcinia oblongifolia,0.19019,90.87
Cratoxylum cochinchinense,0.12092,32.53
Garcinia cowa,0.29289,87.27
Eriobotrya japonica,0.31884,46.15
Rhaphiolepis indica,0.14481,86.79
Archidendron lucidum,0.26056,58.89
Acacia crassicarpa,0.22593,108.28
Acacia mangium,0.25255,99.19
Acacia auriculiformis,0.38313,93.62
Archidendron clypearia,0.27083,70.33
Millettia leptobotrya,0.34158,25.62
Carallia brachiata,0.21426,109.24
Alangium chinense,0.09315,169.91
Microcos paniculata,0.11685,115.38
Acer fabri,0.18574,67.16
Decaspermum gracilentum,0.15535,63.99
Adiantum pedatum,0.36842516,210.1911064
Athyrium multidentatum,0.223407236,136.9427611
Athyrium sinense,0.265480361,116.2421463
Cystopteris sudetica,0.339810499,251.5923562
Equisetum hyemale,0.478689502,85.98739783
Equisetum pratense,0.243316685,254.7770675
Matteuccia struthiopteris,0.214458722,261.1464891
Onoclea sensibilis,0.250080285,148.0892597
Athyrium spinulosum,0.17606237,235.6688042
Juglans mandshurica,0.212903405,191.7611931
Juglans mandshurica,0.248848131,143.0225543
Fraxinus mandshurica,0.251613149,112.6198554
Fraxinus mandshurica,0.312442616,96.28791365
Phellodendron amurense,0.522580711,32.33185169
Phellodendron amurense,0.481106091,43.77707747
Chenopodium serotinum,0.128382353,98.82889326
Euonymus alatus,0.133277027,99.29258117
Cornus officinalis,0.404791173,29.36726272
Cornus bretschneideri,0.333528037,56.1492
Sambucus williamsii,0.348913043,103.5210551
Ardisia depressa,0.234375,64.31648438
Eurya japonica,0.175657895,126.8491646
Diospyros strigosa,0.356122449,40.00319502
Barringtonia racemosa,0.48516129,16.30610484
Myrsine seguinii,0.282291667,56.47293753
Betula albosinensis,0.210436893,57.21364621
