F00679,F00727,F00261,F00709,F00043,F00056,F00645,F00004,F01286,F01287,F01289,F01290
0.230710953,96.7742137,18.39805969,0.324138331,C3,1.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales
0.254854958,48.38715702,14.902917,0.393103793,C3,2.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales
0.279281347,30.96781639,14.46602417,0.544827806,C3,3.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales
0.493753478,50.32263988,15.33980987,0.137931592,C3,1.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Endospermum,chinense,Euphorbiaceae,Malpighiales
0.551501403,30.96781719,14.61165515,0.200000508,C3,2.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Endospermum,chinense,Euphorbiaceae,Malpighiales
0.642570868,22.25814702,14.46602421,0.248276331,C3,3.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Endospermum,chinense,Euphorbiaceae,Malpighiales
0.373682861,32.82298012,17.88461507,0.370786634,C3,1.0,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Fraxinus,excelsior,Oleaceae,Lamiales
0.477964146,16.41151438,15.5769247,0.286517078,C3,2.0,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Fraxinus,excelsior,Oleaceae,Lamiales
0.704766949,6.028750949,13.46154185,0.320224944,C3,3.0,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Fraxinus,excelsior,Oleaceae,Lamiales
0.266508286,62.63158463,14.23077151,0.380898991,C3,1.0,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Acer,pseudoplatanus,Sapindaceae,Sapindales
0.301891675,23.11007683,10.48077454,0.596629217,C3,2.0,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Acer,pseudoplatanus,Sapindaceae,Sapindales
0.398554037,19.42587374,8.942314498,0.52584276,C3,3.0,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Acer,pseudoplatanus,Sapindaceae,Sapindales
0.3277509,29.80862631,11.44231091,0.468539413,C3,1.0,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Acer,platanoides,Sapindaceae,Sapindales
0.416721549,19.0909394,9.326929059,0.529213543,C3,2.0,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Acer,platanoides,Sapindaceae,Sapindales
0.589937111,10.04788792,8.461545604,0.502247274,C3,3.0,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Acer,platanoides,Sapindaceae,Sapindales
0.266508286,41.19618489,15.57692458,0.458427058,C3,1.0,EM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Carpinus,betulus,Betulaceae,Fagales
