binominal,F01286,F01287,F01289,F01290,F00004,F00043,F00645
Betula platyphylla,Betula,platyphylla,Betulaceae,Fagales,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",C3,EM
Betula costata,Betula,costata,Betulaceae,Fagales,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",C3,EM
Quercus mongolica,Quercus,mongolica,Fagaceae,Fagales,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",C3,EM
Tilia mandshurica,Tilia,mandshurica,Malvaceae,Malvales,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",C3,EM
Ulmus davidiana,Ulmus,davidiana,Ulmaceae,Rosales,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",C3,EM
Ulmus laciniata,Ulmus,laciniata,Ulmaceae,Rosales,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",C3,EM
Platycladus orientalis,Platycladus,orientalis,Cupressaceae,Pinales,"Li R, Ling N, Hao J, Min J, Chen X, Guan Q. 2013. Effects of stand ages on carbon storage, fine root morphology and biomass in Platycladus orientalis  plantation. Journal of Nanjing Forestry University (Natural Sciences edition) 37: 21-27.",C3,
Alnus formosana,Alnus,formosana,Betulaceae,Fagales,"Miao Y, Chen YL, Li XW, Fan C, Liu YK, Yang ZJ, Zhang J, Cai XL. 2013. Effects of fertilization on Alnus formosana fine root morphological characteristics, biomass and issue content of C, N under A. formosana-Hemarthria compressa compound mode. Chinese Journal of Plant Ecology 37: 674-683.",,
Pinus tabuliformis,Pinus,tabuliformis,Pinaceae,Pinales,"Wang G, Fahey TJ, Xue S, Liu F. 2013. Root morphology and architecture respond to N addition in Pinus tabuliformis, west China. Oecologia 171:583-590.",C3,
Cinnamomum micranthum,Cinnamomum,micranthum,Lauraceae,Laurales,"Xiong D, Huang J, Yang Z, Lu Z, Chen G, Yang Y. 2012. Fine root architecture and morphology among different branch orders of six subtropical tree species. Acta Ecologica Sinica 32: 1888-1897.",,
Magnolia odora,Magnolia,odora,Magnoliaceae,Magnoliales,"Xiong D, Huang J, Yang Z, Lu Z, Chen G, Yang Y. 2012. Fine root architecture and morphology among different branch orders of six subtropical tree species. Acta Ecologica Sinica 32: 1888-1897.",C3,
Cinnamomum chekiangense,Cinnamomum,chekiangense,Lauraceae,Laurales,"Xiong D, Huang J, Yang Z, Lu Z, Chen G, Yang Y. 2012. Fine root architecture and morphology among different branch orders of six subtropical tree species. Acta Ecologica Sinica 32: 1888-1897.",C3,
Castanopsis faberi,Castanopsis,faberi,Fagaceae,Fagales,"Xiong D, Huang J, Yang Z, Lu Z, Chen G, Yang Y. 2012. Fine root architecture and morphology among different branch orders of six subtropical tree species. Acta Ecologica Sinica 32: 1888-1897.",C3,
Altingia gracilipes,Altingia,gracilipes,Altingiaceae,Saxifragales,"Xiong D, Huang J, Yang Z, Lu Z, Chen G, Yang Y. 2012. Fine root architecture and morphology among different branch orders of six subtropical tree species. Acta Ecologica Sinica 32: 1888-1897.",,
Castanopsis carlesii,Castanopsis,carlesii,Fagaceae,Fagales,"Xiong D, Huang J, Yang Z, Lu Z, Chen G, Yang Y. 2012. Fine root architecture and morphology among different branch orders of six subtropical tree species. Acta Ecologica Sinica 32: 1888-1897.",C3,
Populus tremuloides,Populus,tremuloides,Salicaceae,Malpighiales,"Zadworny M, Eissenstat DM. 2011. Contrasting the morphology, anatomy and fungal colonization of new pioneer and fibrous roots. New Phytologist 190:213-221.",C3,
