binominal,F01286,F01287,F01289,F01290,F00004,F00043,F00645
Magnolia balansae,Magnolia,balansae,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia odora,Magnolia,odora,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia fulva,Magnolia,fulva,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia cavaleriei,Magnolia,cavaleriei,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Manglietia paruicula,Manglietia,paruicula,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Magnolia champaca,Magnolia,champaca,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia opipara,Magnolia,opipara,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Magnolia maudiae,Magnolia,maudiae,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Liriodendron chinense,Liriodendron,chinense,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia ernestii,Magnolia,ernestii,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia baillonii,Magnolia,baillonii,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia dandyi,Magnolia,dandyi,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Magnolia chapensis,Magnolia,chapensis,Magnoliaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Cryptocarya chinensis,Cryptocarya,chinensis,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Machilus velutina,Machilus,velutina,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Machilus kwangtungensis,Machilus,kwangtungensis,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Litsea cubeba,Litsea,cubeba,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Cinnamomum camphora,Cinnamomum,camphora,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Litsea verticillata,Litsea,verticillata,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Cryptocarya concinna,Cryptocarya,concinna,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Machilus robusta,Machilus,robusta,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Cinnamomum micranthum,Cinnamomum,micranthum,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Cinnamomum cassia,Cinnamomum,cassia,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Litsea baviensis,Litsea,baviensis,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Cinnamomum porrectum,Cinnamomum,porrectum,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Ocotea lancifolia,Ocotea,lancifolia,Lauraceae,Laurales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Orophea creaghii,Orophea,creaghii,Annonaceae,Magnoliales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Helicia formosana,Helicia,formosana,Proteaceae,Proteales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Syzygium hancei,Syzygium,hancei,Myrtaceae,Myrtales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Syzygium levinei,Syzygium,levinei,Myrtaceae,Myrtales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Eucalyptus urophylla,Eucalyptus,urophylla,Myrtaceae,Myrtales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM + EM
Syzygium globiflorum,Syzygium,globiflorum,Myrtaceae,Myrtales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Microtropis discolor,Microtropis,discolor,Celastraceae,Celastrales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Castanea henryi,Castanea,henryi,Fagaceae,Fagales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,EM
Castanopsis fissa,Castanopsis,fissa,Fagaceae,Fagales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,EM
Quercus asymmetrica,Quercus,asymmetrica,Fagaceae,Fagales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,EM
Castanopsis hystrix,Castanopsis,hystrix,Fagaceae,Fagales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,EM
Castanopsis echinocarpa,Castanopsis,echinocarpa,Fagaceae,Fagales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,EM
Castanopsis wattii,Castanopsis,wattii,Fagaceae,Fagales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,EM
Lithocarpus chiungchungensis,Lithocarpus,chiungchungensis,Fagaceae,Fagales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,EM
Aporosa octandra,Aporosa,octandra,Phyllanthaceae,Malpighiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Macaranga sampsonii,Macaranga,sampsonii,Euphorbiaceae,Malpighiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Aporosa yunnanensis,Aporosa,yunnanensis,Phyllanthaceae,Malpighiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Endospermum chinense,Endospermum,chinense,Euphorbiaceae,Malpighiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Antidesma maclurei,Antidesma,maclurei,Phyllanthaceae,Malpighiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Engelhardia roxburghiana,Engelhardia,roxburghiana,Juglandaceae,Fagales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,EM
Elaeocarpus dubius,Elaeocarpus,dubius,Elaeocarpaceae,Oxalidales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Ficus variolosa,Ficus,variolosa,Moraceae,Rosales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Artocarpus styracifolius,Artocarpus,styracifolius,Moraceae,Rosales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Gironniera subaequalis,Gironniera,subaequalis,Cannabaceae,Rosales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,NM
Celtis sinensis,Celtis,sinensis,Cannabaceae,Rosales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Canarium album,Canarium,album,Burseraceae,Sapindales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Pistacia chinensis,Pistacia,chinensis,Anacardiaceae,Sapindales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Acronychia pedunculata,Acronychia,pedunculata,Rutaceae,Sapindales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Melicope pteleifolia,Melicope,pteleifolia,Rutaceae,Sapindales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Nephelium lappaceum,Nephelium,lappaceum,Sapindaceae,Sapindales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Allophylus cobbe,Allophylus,cobbe,Sapindaceae,Sapindales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Vaccinium mandarinorum,Vaccinium,mandarinorum,Ericaceae,Ericales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,ErM
Barringtonia racemosa,Barringtonia,racemosa,Lecythidaceae,Ericales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Pentaphylax euryoides,Pentaphylax,euryoides,Pentaphylacaceae,Ericales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Alniphyllum fortunei,Alniphyllum,fortunei,Styracaceae,Ericales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Gordonia axillaris,Gordonia,axillaris,Theaceae,Ericales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Schima wallichii,Schima,wallichii,Theaceae,Ericales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Alstonia scholaris,Alstonia,scholaris,Apocynaceae,Gentianales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Catunaregam spinosa,Catunaregam,spinosa,Rubiaceae,Gentianales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Wendlandia uvariifolia,Wendlandia,uvariifolia,Rubiaceae,Gentianales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Pertusadina metcalfii,Pertusadina,metcalfii,Rubiaceae,Gentianales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Psychotria asiatica,Psychotria,asiatica,Rubiaceae,Gentianales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Saprosma ternatum,Saprosma,ternatum,Rubiaceae,Gentianales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Osmanthus didymopetalus,Osmanthus,didymopetalus,Oleaceae,Lamiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Olea rosea,Olea,rosea,Oleaceae,Lamiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Schefflera minutistellata,Schefflera,minutistellata,Araliaceae,Apiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Macropanax undulatus,Macropanax,undulatus,Araliaceae,Apiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Pterospermum acerifolium,Pterospermum,acerifolium,Malvaceae,Malvales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Sterculia lanceolata,Sterculia,lanceolata,Malvaceae,Malvales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Itea chinensis,Itea,chinensis,Iteaceae,Saxifragales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Garcinia oblongifolia,Garcinia,oblongifolia,Clusiaceae,Malpighiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Cratoxylum cochinchinense,Cratoxylum,cochinchinense,Hypericaceae,Malpighiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Garcinia cowa,Garcinia,cowa,Clusiaceae,Malpighiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Eriobotrya japonica,Eriobotrya,japonica,Rosaceae,Rosales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Rhaphiolepis indica,Rhaphiolepis,indica,Rosaceae,Rosales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Archidendron lucidum,Archidendron,lucidum,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM + EM
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM + EM
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Archidendron clypearia,Archidendron,clypearia,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Millettia leptobotrya,Millettia,leptobotrya,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Carallia brachiata,Carallia,brachiata,Rhizophoraceae,Malpighiales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Alangium chinense,Alangium,chinense,Cornaceae,Cornales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Microcos paniculata,Microcos,paniculata,Malvaceae,Malvales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Acer fabri,Acer,fabri,Sapindaceae,Sapindales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Decaspermum gracilentum,Decaspermum,gracilentum,Myrtaceae,Myrtales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM
Adiantum pedatum,Adiantum,pedatum,Pteridaceae,Polypodiales,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.",C3,AM
Athyrium multidentatum,Athyrium,multidentatum,Athyriaceae,Polypodiales,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.",,AM
Athyrium sinense,Athyrium,sinense,Athyriaceae,Polypodiales,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.",,AM
Cystopteris sudetica,Cystopteris,sudetica,Cystopteridaceae,Polypodiales,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.",C3,
Equisetum hyemale,Equisetum,hyemale,Equisetaceae,Equisetales,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.",C3,AM
Equisetum pratense,Equisetum,pratense,Equisetaceae,Equisetales,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.",C3,
Matteuccia struthiopteris,Matteuccia,struthiopteris,Onocleaceae,Polypodiales,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.",C3,
Onoclea sensibilis,Onoclea,sensibilis,Onocleaceae,Polypodiales,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.",C3,
Athyrium spinulosum,Athyrium,spinulosum,Athyriaceae,Polypodiales,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.",,AM
Juglans mandshurica,Juglans,mandshurica,Juglandaceae,Fagales,"Wang Y, Dong X, Wang H, Wang Z, Gu J. 2016. Root tip morphology, anatomy, chemistry and potential hydraulic conductivity vary with soil depth in three temperate hardwood species. Tree Physiology 36:99-108.",C3,
Fraxinus mandshurica,Fraxinus,mandshurica,Oleaceae,Lamiales,"Wang Y, Dong X, Wang H, Wang Z, Gu J. 2016. Root tip morphology, anatomy, chemistry and potential hydraulic conductivity vary with soil depth in three temperate hardwood species. Tree Physiology 36:99-108.",C3,
Phellodendron amurense,Phellodendron,amurense,Rutaceae,Sapindales,"Wang Y, Dong X, Wang H, Wang Z, Gu J. 2016. Root tip morphology, anatomy, chemistry and potential hydraulic conductivity vary with soil depth in three temperate hardwood species. Tree Physiology 36:99-108.",C3,
Chenopodium serotinum,Chenopodium,serotinum,Amaranthaceae,Caryophyllales,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.",C3,AM
Euonymus alatus,Euonymus,alatus,Celastraceae,Celastrales,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.",C3,AM
Cornus officinalis,Cornus,officinalis,Cornaceae,Cornales,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.",C3,AM + EM
Cornus bretschneideri,Cornus,bretschneideri,Cornaceae,Cornales,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.",C3,AM
Sambucus williamsii,Sambucus,williamsii,Adoxaceae,Dipsacales,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.",C3,AM
