binominal,F01286,F01287,F00679,F00727
Cryptocarya chinensis,Cryptocarya,chinensis,0.8687832725,10.490511742
Cryptocarya concinna,Cryptocarya,concinna,0.46125,25.628882955
Cryptomeria japonica,Cryptomeria,japonica,0.3974833,50.72764606
Cunninghamia lanceolata,Cunninghamia,lanceolata,0.4366486213333334,23.94290829222222
Cupressus funebris,Cupressus,funebris,0.3784093785,21.5836050125
Cystopteris sudetica,Cystopteris,sudetica,0.339810499,251.5923562
Dacrycarpus imbricatus,Dacrycarpus,imbricatus,0.489705882,38.3874209
Daphniphyllum pentandrum,Daphniphyllum,pentandrum,0.2725333,63.17596899
Decaspermum gracilentum,Decaspermum,gracilentum,0.15535,63.99
Dendropanax dentiger,Dendropanax,dentiger,0.1273,223.2676
Deutzia glabrata,Deutzia,glabrata,0.184,214.6035484
Deutzia grandiflora,Deutzia,grandiflora,0.32837500000000003,156.31638565
Dicranopteris linearis,Dicranopteris,linearis,0.1968,75.1
Dicranopteris pedata,Dicranopteris,pedata,0.20445,80.98027027
Dioscorea nipponica,Dioscorea,nipponica,0.2018,264.2472414
Diospyros strigosa,Diospyros,strigosa,0.356122449,40.00319502
Diospyros virginiana,Diospyros,virginiana,0.37338619500000003,24.38063865
Diplospora dubia,Diplospora,dubia,0.3013,83.34823529
Doellingeria scabra,Doellingeria,scabra,0.2113,219.2008
Dryopteris lepidopoda,Dryopteris,lepidopoda,0.1998667,122.6113953
Dryopteris sparsa,Dryopteris,sparsa,0.19875415000000002,189.91332060000002
Duchesnea indica,Duchesnea,indica,0.1938,204.2005085
Dysoxylum excelsum,Dysoxylum,excelsum,0.886523438,9.100844511
Elaeocarpus dubius,Elaeocarpus,dubius,0.29794,58.391206894999996
Elaeocarpus glabripetalus,Elaeocarpus,glabripetalus,0.28,76.7
Elaeocarpus sylvestris,Elaeocarpus,sylvestris,0.2349721265,89.815946135
Eleutherococcus senticosus,Eleutherococcus,senticosus,0.2245,193.1835714
Embelia vestita,Embelia,vestita,0.20785,96.43036364
Endospermum chinense,Endospermum,chinense,0.750757826,20.754213293333333
Engelhardia roxburghiana,Engelhardia,roxburghiana,0.1765,106.58500000000001
Equisetum hyemale,Equisetum,hyemale,0.478689502,85.98739783
Equisetum pratense,Equisetum,pratense,0.243316685,254.7770675
Eriobotrya japonica,Eriobotrya,japonica,0.31884,46.15
Eucalyptus urophylla,Eucalyptus,urophylla,0.14444,106.21
Euonymus alatus,Euonymus,alatus,0.22473558333333332,107.19515355666665
Euonymus verrucosus,Euonymus,verrucosus,0.233333604,185.4772787
Euptelea pleiosperma,Euptelea,pleiosperma,0.3194083,60.28073226
Eurya japonica,Eurya,japonica,0.175657895,126.8491646
Fagus engleriana,Fagus,engleriana,0.184175,93.53339118
Ficus variolosa,Ficus,variolosa,0.13292,143.45
Filipendula palmata,Filipendula,palmata,0.183,220.6077778
Fraxinus americana,Fraxinus,americana,1.7611435133333335,26.02132883333333
Fraxinus chinensis,Fraxinus,chinensis,0.3675190476666667,43.628958219999994
Fraxinus excelsior,Fraxinus,excelsior,0.373682861,32.82298012
Fraxinus mandshurica,Fraxinus,mandshurica,0.2748168275333333,103.60824795533334
Galium aparine,Galium,aparine,0.1891,240.5986667
Garcinia cowa,Garcinia,cowa,0.29289,87.27
Garcinia oblongifolia,Garcinia,oblongifolia,0.19019,90.87
Ginkgo biloba,Ginkgo,biloba,0.677,19.926
Gironniera subaequalis,Gironniera,subaequalis,0.1249,67.58
Gleditsia triacanthos,Gleditsia,triacanthos,0.379290275,20.16580475
Goniothalamus griffithii,Goniothalamus,griffithii,0.614634146,16.58542002
Gordonia axillaris,Gordonia,axillaris,0.54176,16.33
Halesia tetraptera,Halesia,tetraptera,0.22442758000000002,50.525798734999995
Hamamelis virginiana,Hamamelis,virginiana,0.26510931,24.294909850000003
Helicia formosana,Helicia,formosana,0.18426,97.81
Hosta ventricosa,Hosta,ventricosa,0.40705,60.45922807
Hydrophyllum canadense,Hydrophyllum,canadense,12.73,0.1
Ilex opaca,Ilex,opaca,0.22143414,44.46771745
Iris japonica,Iris,japonica,0.4238,68.55555556
Itea chinensis,Itea,chinensis,0.11926,110.33
Juglans mandshurica,Juglans,mandshurica,0.2581569033846154,109.1548591223077
Juglans nigra,Juglans,nigra,0.26609704,24.60819736
Juniperus monosperma,Juniperus,monosperma,0.4,21.0
Juniperus sabina,Juniperus,sabina,0.3998,38.21711538
Knema erratica,Knema,erratica,0.848165138,4.774158719
Koelreuteria paniculata,Koelreuteria,paniculata,0.24690002,97.53809795000001
Lamium album,Lamium,album,0.1354,327.7189189
Larix gmelinii,Larix,gmelinii,0.3399907495555555,37.318871450555555
Lespedeza bicolor,Lespedeza,bicolor,0.2449,138.6036364
Lespedeza thunbergii,Lespedeza,thunbergii,0.2289,116.4530579
Lindera communis,Lindera,communis,0.395,38.76733436
Lindera obtusiloba,Lindera,obtusiloba,0.261375,92.51081301
Liquidambar formosana,Liquidambar,formosana,0.27378335,71.455758425
Liquidambar styraciflua,Liquidambar,styraciflua,0.299814855,31.72214725
Liriodendron chinense,Liriodendron,chinense,0.558055,21.192
Liriodendron tulipifera,Liriodendron,tulipifera,0.5745604120000001,11.8251194
Lithocarpus chiungchungensis,Lithocarpus,chiungchungensis,0.21954,75.71
Lithocarpus cleistocarpus,Lithocarpus,cleistocarpus,0.274125,68.80162393
Lithocarpus fenestratus,Lithocarpus,fenestratus,0.595625,13.835
Litsea baviensis,Litsea,baviensis,0.70594,13.02
Litsea cubeba,Litsea,cubeba,0.40593,39.99
Litsea elongata,Litsea,elongata,0.3189333,48.22580247
Litsea ichangensis,Litsea,ichangensis,0.4037375,61.46794831
Litsea verticillata,Litsea,verticillata,0.52339,15.59
Lonicera chrysantha,Lonicera,chrysantha,0.253525,171.05046295
Macaranga sampsonii,Macaranga,sampsonii,0.138946515,113.26702005
Machilus breviflora,Machilus,breviflora,0.559169136,19.589081725
Machilus kwangtungensis,Machilus,kwangtungensis,0.42593,32.3
Machilus nanmu,Machilus,nanmu,0.48080415,28.339731094999998
Machilus oculodracontis,Machilus,oculodracontis,0.47,27.7
Machilus robusta,Machilus,robusta,0.47895,18.0
Machilus shweliensis,Machilus,shweliensis,0.400120192,37.169
Machilus velutina,Machilus,velutina,0.45361,21.78
Macropanax undulatus,Macropanax,undulatus,0.2637,28.7
Magnolia acuminata,Magnolia,acuminata,0.541701225,12.382547800000001
Magnolia baillonii,Magnolia,baillonii,0.57475,19.33
Magnolia balansae,Magnolia,balansae,0.58004,20.16
Magnolia cavaleriei,Magnolia,cavaleriei,0.74241,15.4
Magnolia champaca,Magnolia,champaca,0.46352,19.9
Magnolia championii,Magnolia,championii,0.543,31.403
Magnolia chapensis,Magnolia,chapensis,0.60676665,23.247184685
Magnolia dandyi,Magnolia,dandyi,0.6237,17.69
Magnolia denudata,Magnolia,denudata,0.496648755,20.900723999999997
Magnolia ernestii,Magnolia,ernestii,0.7408049999999999,15.899000000000001
Magnolia fulva,Magnolia,fulva,0.66407,19.39
Magnolia grandiflora,Magnolia,grandiflora,0.6432250033333333,9.307037876666667
Magnolia kobus,Magnolia,kobus,0.4374226,27.3223821
Magnolia lotungensis,Magnolia,lotungensis,0.69685,12.01
Magnolia macclurei,Magnolia,macclurei,0.520244524,22.4083889
