binominal,F01286,F01287,F01289,F01290,F00679,F00727,F00261,F00709
Magnolia cavaleriei,Magnolia,cavaleriei,Magnoliaceae,Magnoliales,0.74241,15.4,21.1,0.22
Manglietia paruicula,Manglietia,paruicula,Magnoliaceae,Magnoliales,0.50389,21.82,22.15,0.19
Magnolia champaca,Magnolia,champaca,Magnoliaceae,Magnoliales,0.46352,19.9,16.22,0.29
Magnolia opipara,Magnolia,opipara,Magnoliaceae,Magnoliales,0.56288,12.67,26.76,0.19
Magnolia maudiae,Magnolia,maudiae,Magnoliaceae,Magnoliales,0.56276,17.86,17.3,0.29
Liriodendron chinense,Liriodendron,chinense,Magnoliaceae,Magnoliales,0.53111,19.09,15.52,0.19
Magnolia ernestii,Magnolia,ernestii,Magnoliaceae,Magnoliales,0.66861,17.82,21.83,0.22
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales,0.57981,9.74,21.64,0.24
Magnolia baillonii,Magnolia,baillonii,Magnoliaceae,Magnoliales,0.575,19.33,18.79,0.27
Magnolia dandyi,Magnolia,dandyi,Magnoliaceae,Magnoliales,0.6237,17.69,23.33,0.13
Magnolia chapensis,Magnolia,chapensis,Magnoliaceae,Magnoliales,0.5768,23.43,23.52,0.17
Cryptocarya chinensis,Cryptocarya,chinensis,Lauraceae,Laurales,0.75796,4.93,21.06,0.31
Machilus velutina,Machilus,velutina,Lauraceae,Laurales,0.45361,21.78,27.5,0.28
Machilus kwangtungensis,Machilus,kwangtungensis,Lauraceae,Laurales,0.42593,32.3,21.25,0.3
Litsea cubeba,Litsea,cubeba,Lauraceae,Laurales,0.40593,39.99,25.62,0.42
Cinnamomum camphora,Cinnamomum,camphora,Lauraceae,Laurales,0.41574,35.41,25.86,0.27
Litsea verticillata,Litsea,verticillata,Lauraceae,Laurales,0.52339,15.59,31.63,0.35
Cryptocarya concinna,Cryptocarya,concinna,Lauraceae,Laurales,0.48475,18.16,22.84,0.37
Machilus robusta,Machilus,robusta,Lauraceae,Laurales,0.47895,18.0,19.57,0.25
Cinnamomum micranthum,Cinnamomum,micranthum,Lauraceae,Laurales,0.3063,18.17,19.64,0.32
Cinnamomum cassia,Cinnamomum,cassia,Lauraceae,Laurales,0.53449,22.75,29.24,0.13
Litsea baviensis,Litsea,baviensis,Lauraceae,Laurales,0.70594,13.02,34.54,0.13
Cinnamomum porrectum,Cinnamomum,porrectum,Lauraceae,Laurales,0.44185,14.68,20.93,0.28
Ocotea lancifolia,Ocotea,lancifolia,Lauraceae,Laurales,0.35796,30.07,20.82,0.44
Orophea creaghii,Orophea,creaghii,Annonaceae,Magnoliales,0.39934,45.31,24.45,0.39
Helicia formosana,Helicia,formosana,Proteaceae,Proteales,0.18426,97.81,13.16,0.72
Syzygium hancei,Syzygium,hancei,Myrtaceae,Myrtales,0.14568,100.3,12.31,0.34
Syzygium levinei,Syzygium,levinei,Myrtaceae,Myrtales,0.1187,118.85,15.8,0.29
Eucalyptus urophylla,Eucalyptus,urophylla,Myrtaceae,Myrtales,0.14444,106.21,5.83,0.63
Syzygium globiflorum,Syzygium,globiflorum,Myrtaceae,Myrtales,0.19611,40.88,11.17,0.37
Microtropis discolor,Microtropis,discolor,Celastraceae,Celastrales,0.45889,79.59,22.46,0.33
Castanea henryi,Castanea,henryi,Fagaceae,Fagales,0.16803,40.96,19.06,0.49
Castanopsis fissa,Castanopsis,fissa,Fagaceae,Fagales,0.2037,63.81,17.6,0.54
Quercus asymmetrica,Quercus,asymmetrica,Fagaceae,Fagales,0.34704,45.18,15.11,0.21
Castanopsis hystrix,Castanopsis,hystrix,Fagaceae,Fagales,0.16749,70.61,13.35,0.55
Castanopsis echinocarpa,Castanopsis,echinocarpa,Fagaceae,Fagales,0.16343,81.68,12.01,0.53
Castanopsis wattii,Castanopsis,wattii,Fagaceae,Fagales,0.16121,92.32,22.63,0.51
Lithocarpus chiungchungensis,Lithocarpus,chiungchungensis,Fagaceae,Fagales,0.21954,75.71,21.95,0.43
Aporosa octandra,Aporosa,octandra,Phyllanthaceae,Malpighiales,0.36662,29.15,20.92,0.34
Macaranga sampsonii,Macaranga,sampsonii,Euphorbiaceae,Malpighiales,0.07259,67.1,23.33,0.33
