binominal,F01286,F01287,F01289,F01290,F00679,F00727,F00261,F00709
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales,0.487243204,14.2655628,11.62044007,0.040000083
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales,0.238016529,15.92307692,12.44444444,0.049786511
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales,0.297520661,12.46153846,10.48148148,0.062239593
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales,0.07029462,60.68,10.75,0.086666667
Aesculus hippocastanum,Aesculus,hippocastanum,Sapindaceae,Sapindales,0.09204845,19.4575,12.15,0.1575
Aesculus parviflora,Aesculus,parviflora,Sapindaceae,Sapindales,0.05444722,43.2,13.1,0.105
Asimina triloba,Asimina,triloba,Annonaceae,Magnoliales,0.17697552,13.54666667,25.13333333,0.166666667
Catalpa bignonioides,Catalpa,bignonioides,Bignoniaceae,Lamiales,0.14620989,37.2625,27.35,0.11
Cercidiphyllum japonicum,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales,0.05889539,27.3525,12.425,0.16
Chionanthus virginicus,Chionanthus,virginicus,Oleaceae,Lamiales,0.10320651,13.8825,17.75,0.1625
Cornus florida,Cornus,florida,Cornaceae,Cornales,0.03740209,39.045,16.5,0.12
Diospyros virginiana,Diospyros,virginiana,Ebenaceae,Ericales,0.07677239,24.38,18.675,0.125
Fraxinus americana,Fraxinus,americana,Oleaceae,Lamiales,0.13193054,38.9325,22.175,0.14
Gleditsia triacanthos,Gleditsia,triacanthos,Fabaceae,Fabales,0.18058055,20.165,21.775,0.135
Halesia tetraptera,Halesia,tetraptera,Styracaceae,Ericales,0.09352183,50.52666667,21.6,0.096666667
Hamamelis virginiana,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,0.04246862,24.295,12.625,0.1875
Ilex opaca,Ilex,opaca,Aquifoliaceae,Aquifoliales,0.09411828,44.4675,15.925,0.1075
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales,0.0534852,31.23,19.6,0.146666667
Koelreuteria paniculata,Koelreuteria,paniculata,Sapindaceae,Sapindales,0.13930004,97.54,10.6,0.06
Liquidambar styraciflua,Liquidambar,styraciflua,Altingiaceae,Saxifragales,0.12212971,31.7225,11.65,0.1475
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales,0.06005206,15.1875,20.5,0.1275
Magnolia acuminata,Magnolia,acuminata,Magnoliaceae,Magnoliales,0.10065245,12.3825,20.475,0.1425
Magnolia denudata,Magnolia,denudata,Magnoliaceae,Magnoliales,0.18879751,20.9,19.2,0.11
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales,0.12586501,9.09,18.35,0.135
Magnolia kobus,Magnolia,kobus,Magnoliaceae,Magnoliales,0.2333452,27.32,36.95,0.12
Magnolia macrophylla,Magnolia,macrophylla,Magnoliaceae,Magnoliales,0.19940411,12.9,31.9,0.13
Magnolia stellata,Magnolia,stellata,Magnoliaceae,Magnoliales,0.13506912,31.1625,26.275,0.0925
Magnolia tripetala,Magnolia,tripetala,Magnoliaceae,Magnoliales,0.18597379,17.9975,23.625,0.135
Magnolia virginiana,Magnolia,virginiana,Magnoliaceae,Magnoliales,0.10884048,20.13,24.725,0.1175
Nyssa aquatica,Nyssa,aquatica,Cornaceae,Cornales,0.18002592,13.57333333,16.43333333,0.16
Platanus acerifolia,Platanus,acerifolia,Platanaceae,Proteales,0.2820609,23.93,13.0,0.1475
Populus deltoides,Populus,deltoides,Salicaceae,Malpighiales,0.16859122,87.255,13.85,0.0675
Prunus sargentii,Prunus,sargentii,Rosaceae,Rosales,0.04215448,81.44333333,19.36666667,0.103333333
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales,0.21953796,20.51333333,23.2,0.116666667
Styphnolobium japonicum,Styphnolobium,japonicum,Fabaceae,Fabales,0.0869885,36.8175,26.3,0.155
Syringa reticulata,Syringa,reticulata,Oleaceae,Lamiales,0.06142204,89.92,23.9,0.075
Ulmus americana,Ulmus,americana,Ulmaceae,Rosales,0.07658111,71.77,16.325,0.0775
