binominal,F01286,F01287,F01289,F01290,F00043,F00645,F00004
Hamamelis virginiana,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Ilex opaca,Ilex,opaca,Aquifoliaceae,Aquifoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Koelreuteria paniculata,Koelreuteria,paniculata,Sapindaceae,Sapindales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Liquidambar styraciflua,Liquidambar,styraciflua,Altingiaceae,Saxifragales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Magnolia acuminata,Magnolia,acuminata,Magnoliaceae,Magnoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Magnolia denudata,Magnolia,denudata,Magnoliaceae,Magnoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Magnolia kobus,Magnolia,kobus,Magnoliaceae,Magnoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
