binominal,F01286,F01287,F01289,F01290,F00043,F00645,F00004
Vaccinium mandarinorum,Vaccinium,mandarinorum,Ericaceae,Ericales,C3,ErM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Barringtonia racemosa,Barringtonia,racemosa,Lecythidaceae,Ericales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Pentaphylax euryoides,Pentaphylax,euryoides,Pentaphylacaceae,Ericales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Alniphyllum fortunei,Alniphyllum,fortunei,Styracaceae,Ericales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Gordonia axillaris,Gordonia,axillaris,Theaceae,Ericales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Schima wallichii,Schima,wallichii,Theaceae,Ericales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Alstonia scholaris,Alstonia,scholaris,Apocynaceae,Gentianales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Catunaregam spinosa,Catunaregam,spinosa,Rubiaceae,Gentianales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Wendlandia uvariifolia,Wendlandia,uvariifolia,Rubiaceae,Gentianales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Pertusadina metcalfii,Pertusadina,metcalfii,Rubiaceae,Gentianales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Psychotria asiatica,Psychotria,asiatica,Rubiaceae,Gentianales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Saprosma ternatum,Saprosma,ternatum,Rubiaceae,Gentianales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Osmanthus didymopetalus,Osmanthus,didymopetalus,Oleaceae,Lamiales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Olea rosea,Olea,rosea,Oleaceae,Lamiales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Schefflera minutistellata,Schefflera,minutistellata,Araliaceae,Apiales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Macropanax undulatus,Macropanax,undulatus,Araliaceae,Apiales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Pterospermum acerifolium,Pterospermum,acerifolium,Malvaceae,Malvales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Sterculia lanceolata,Sterculia,lanceolata,Malvaceae,Malvales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Itea chinensis,Itea,chinensis,Iteaceae,Saxifragales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Garcinia oblongifolia,Garcinia,oblongifolia,Clusiaceae,Malpighiales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Cratoxylum cochinchinense,Cratoxylum,cochinchinense,Hypericaceae,Malpighiales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Garcinia cowa,Garcinia,cowa,Clusiaceae,Malpighiales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Eriobotrya japonica,Eriobotrya,japonica,Rosaceae,Rosales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Rhaphiolepis indica,Rhaphiolepis,indica,Rosaceae,Rosales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Archidendron lucidum,Archidendron,lucidum,Fabaceae,Fabales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,C3,AM + EM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,C3,AM + EM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Archidendron clypearia,Archidendron,clypearia,Fabaceae,Fabales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Millettia leptobotrya,Millettia,leptobotrya,Fabaceae,Fabales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Carallia brachiata,Carallia,brachiata,Rhizophoraceae,Malpighiales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Alangium chinense,Alangium,chinense,Cornaceae,Cornales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Microcos paniculata,Microcos,paniculata,Malvaceae,Malvales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Acer fabri,Acer,fabri,Sapindaceae,Sapindales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Decaspermum gracilentum,Decaspermum,gracilentum,Myrtaceae,Myrtales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Adiantum pedatum,Adiantum,pedatum,Pteridaceae,Polypodiales,C3,AM,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227."
Athyrium multidentatum,Athyrium,multidentatum,Athyriaceae,Polypodiales,,AM,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227."
Athyrium sinense,Athyrium,sinense,Athyriaceae,Polypodiales,,AM,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227."
Cystopteris sudetica,Cystopteris,sudetica,Cystopteridaceae,Polypodiales,C3,,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227."
Equisetum hyemale,Equisetum,hyemale,Equisetaceae,Equisetales,C3,AM,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227."
Equisetum pratense,Equisetum,pratense,Equisetaceae,Equisetales,C3,,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227."
Matteuccia struthiopteris,Matteuccia,struthiopteris,Onocleaceae,Polypodiales,C3,,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227."
Onoclea sensibilis,Onoclea,sensibilis,Onocleaceae,Polypodiales,C3,,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227."
Athyrium spinulosum,Athyrium,spinulosum,Athyriaceae,Polypodiales,,AM,"Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227."
Juglans mandshurica,Juglans,mandshurica,Juglandaceae,Fagales,C3,,"Wang Y, Dong X, Wang H, Wang Z, Gu J. 2016. Root tip morphology, anatomy, chemistry and potential hydraulic conductivity vary with soil depth in three temperate hardwood species. Tree Physiology 36:99-108."
Fraxinus mandshurica,Fraxinus,mandshurica,Oleaceae,Lamiales,C3,,"Wang Y, Dong X, Wang H, Wang Z, Gu J. 2016. Root tip morphology, anatomy, chemistry and potential hydraulic conductivity vary with soil depth in three temperate hardwood species. Tree Physiology 36:99-108."
Phellodendron amurense,Phellodendron,amurense,Rutaceae,Sapindales,C3,,"Wang Y, Dong X, Wang H, Wang Z, Gu J. 2016. Root tip morphology, anatomy, chemistry and potential hydraulic conductivity vary with soil depth in three temperate hardwood species. Tree Physiology 36:99-108."
Chenopodium serotinum,Chenopodium,serotinum,Amaranthaceae,Caryophyllales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Cornus officinalis,Cornus,officinalis,Cornaceae,Cornales,C3,AM + EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Cornus bretschneideri,Cornus,bretschneideri,Cornaceae,Cornales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Ardisia depressa,Ardisia,depressa,Primulaceae,Ericales,,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Eurya japonica,Eurya,japonica,Pentaphylacaceae,Ericales,,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Diospyros strigosa,Diospyros,strigosa,Ebenaceae,Ericales,,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Myrsine seguinii,Myrsine,seguinii,Primulaceae,Ericales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Betula albosinensis,Betula,albosinensis,Betulaceae,Fagales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Carpinus cordata,Carpinus,cordata,Betulaceae,Fagales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Quercus aliena,Quercus,aliena,Fagaceae,Fagales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Quercus variabilis,Quercus,variabilis,Fagaceae,Fagales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Quercus wutaishanica,Quercus,wutaishanica,Fagaceae,Fagales,,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Ginkgo biloba,Ginkgo,biloba,Ginkgoaceae,Ginkgoales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Fraxinus chinensis,Fraxinus,chinensis,Oleaceae,Lamiales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Syringa reticulata,Syringa,reticulata,Oleaceae,Lamiales,C3,AM + EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Machilus breviflora,Machilus,breviflora,Lauraceae,Laurales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Lindera communis,Lindera,communis,Lauraceae,Laurales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Goniothalamus griffithii,Goniothalamus,griffithii,Annonaceae,Magnoliales,,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Magnolia championii,Magnolia,championii,Magnoliaceae,Magnoliales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Knema erratica,Knema,erratica,Myristicaceae,Magnoliales,,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Populus cathayana,Populus,cathayana,Salicaceae,Malpighiales,C3,AM + EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Tilia mandshurica,Tilia,mandshurica,Malvaceae,Malvales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Tilia mongolica,Tilia,mongolica,Malvaceae,Malvales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Memecylon nigrescens,Memecylon,nigrescens,Melastomataceae,Myrtales,,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Larix gmelinii,Larix,gmelinii,Pinaceae,Pinales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Picea meyeri,Picea,meyeri,Pinaceae,Pinales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Picea wilsonii,Picea,wilsonii,Pinaceae,Pinales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Pinus armandii,Pinus,armandii,Pinaceae,Pinales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Pinus tabuliformis,Pinus,tabuliformis,Pinaceae,Pinales,C3,EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Dacrycarpus imbricatus,Dacrycarpus,imbricatus,Podocarpaceae,Pinales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Ulmus macrocarpa,Ulmus,macrocarpa,Ulmaceae,Rosales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Ulmus davidiana,Ulmus,davidiana,Ulmaceae,Rosales,C3,AM + EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Malus baccata,Malus,baccata,Rosaceae,Rosales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Pyrus betulifolia,Pyrus,betulifolia,Rosaceae,Rosales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Sorbus aucuparia,Sorbus,aucuparia,Rosaceae,Rosales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Aphanamixis polystachya,Aphanamixis,polystachya,Meliaceae,Sapindales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Dysoxylum excelsum,Dysoxylum,excelsum,Meliaceae,Sapindales,,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Acer davidii,Acer,davidii,Sapindaceae,Sapindales,C3,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Acer truncatum,Acer,truncatum,Sapindaceae,Sapindales,C3,AM + EM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Rhodoleia championii,Rhodoleia,championii,Hamamelidaceae,Saxifragales,,AM,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856."
Dicranopteris linearis,Dicranopteris,linearis,Gleicheniaceae,Gleicheniales,C3,,"Kong DL, Wang JJ, Kardol P, Wu HF, Zeng H, Deng XB, Deng Y. 2016. Economic strategies of plant absorptive roots vary with root diameter. Biogeosciences 13: 415-424."
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,C3,,"Kong DL, Wang JJ, Kardol P, Wu HF, Zeng H, Deng XB, Deng Y. 2016. Economic strategies of plant absorptive roots vary with root diameter. Biogeosciences 13: 415-424."
Gordonia axillaris,Gordonia,axillaris,Theaceae,Ericales,,,"Kong DL, Wang JJ, Kardol P, Wu HF, Zeng H, Deng XB, Deng Y. 2016. Economic strategies of plant absorptive roots vary with root diameter. Biogeosciences 13: 415-424."
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales,C3,,"Kong DL, Wang JJ, Kardol P, Wu HF, Zeng H, Deng XB, Deng Y. 2016. Economic strategies of plant absorptive roots vary with root diameter. Biogeosciences 13: 415-424."
Magnolia baillonii,Magnolia,baillonii,Magnoliaceae,Magnoliales,C3,,"Kong DL, Wang JJ, Kardol P, Wu HF, Zeng H, Deng XB, Deng Y. 2016. Economic strategies of plant absorptive roots vary with root diameter. Biogeosciences 13: 415-424."
Acer negundo,Acer,negundo,Sapindaceae,Sapindales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Acer rubrum,Acer,rubrum,Sapindaceae,Sapindales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Carya glabra,Carya,glabra,Juglandaceae,Fagales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Pinus strobus,Pinus,strobus,Pinaceae,Pinales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Pinus virginiana,Pinus,virginiana,Pinaceae,Pinales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Populus tremuloides,Populus,tremuloides,Salicaceae,Malpighiales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Quercus alba,Quercus,alba,Fagaceae,Fagales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Quercus rubra,Quercus,rubra,Fagaceae,Fagales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales,C3,,"McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831."
Pleioblastus amarus,Pleioblastus,amarus,Poaceae,Poales,,,"Chen G-T, Tu L-H, Peng Y, Hu H-L, Hu T-X, Xu Z-F, Liu L, Tang Y. 2017. Effect of nitrogen additions on root morphology and chemistry in a subtropical bamboo forest. Plant Soil 412: 441-451."
Aesculus hippocastanum,Aesculus,hippocastanum,Sapindaceae,Sapindales,,,Valverde et al (unpublished)
Aesculus parviflora,Aesculus,parviflora,Sapindaceae,Sapindales,C3,,Valverde et al (unpublished)
Asimina triloba,Asimina,triloba,Annonaceae,Magnoliales,,,Valverde et al (unpublished)
Catalpa bignonioides,Catalpa,bignonioides,Bignoniaceae,Lamiales,C3,,Valverde et al (unpublished)
Cercidiphyllum japonicum,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales,C3,,Valverde et al (unpublished)
Chionanthus virginicus,Chionanthus,virginicus,Oleaceae,Lamiales,C3,,Valverde et al (unpublished)
Cornus florida,Cornus,florida,Cornaceae,Cornales,C3,,Valverde et al (unpublished)
Diospyros virginiana,Diospyros,virginiana,Ebenaceae,Ericales,C3,,Valverde et al (unpublished)
Fraxinus americana,Fraxinus,americana,Oleaceae,Lamiales,C3,,Valverde et al (unpublished)
Gleditsia triacanthos,Gleditsia,triacanthos,Fabaceae,Fabales,C3,,Valverde et al (unpublished)
Halesia tetraptera,Halesia,tetraptera,Styracaceae,Ericales,,,Valverde et al (unpublished)
Hamamelis virginiana,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,,,Valverde et al (unpublished)
Ilex opaca,Ilex,opaca,Aquifoliaceae,Aquifoliales,C3,,Valverde et al (unpublished)
Koelreuteria paniculata,Koelreuteria,paniculata,Sapindaceae,Sapindales,C3,,Valverde et al (unpublished)
Liquidambar styraciflua,Liquidambar,styraciflua,Altingiaceae,Saxifragales,C3,,Valverde et al (unpublished)
Magnolia acuminata,Magnolia,acuminata,Magnoliaceae,Magnoliales,C3,,Valverde et al (unpublished)
Magnolia denudata,Magnolia,denudata,Magnoliaceae,Magnoliales,C3,,Valverde et al (unpublished)
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales,C3,,Valverde et al (unpublished)
Magnolia kobus,Magnolia,kobus,Magnoliaceae,Magnoliales,C3,,Valverde et al (unpublished)
Magnolia macrophylla,Magnolia,macrophylla,Magnoliaceae,Magnoliales,C3,,Valverde et al (unpublished)
