binominal,state,F00679,F00727,F01286,F01287,F01289,F01290
Acer_tegmentosum,AM,0.312299061,85.62979168,Acer,tegmentosum,Sapindaceae,Sapindales
Acer_triflorum,AM,0.2341,110.6332214,Acer,triflorum,Sapindaceae,Sapindales
Acer_truncatum,AM,0.257219251,59.2477843,Acer,truncatum,Sapindaceae,Sapindales
Acronychia_pedunculata,AM,0.288715,84.6435,Acronychia,pedunculata,Rutaceae,Sapindales
Actaea_cimicifuga,AM,0.26705,117.113061725,Actaea,cimicifuga,Ranunculaceae,Ranunculales
Actinidia_kolomikta,AM,0.23,224.5237681,Actinidia,kolomikta,Actinidiaceae,Ericales
Adenocaulon_himalaicum,AM,0.1734,192.9116901,Adenocaulon,himalaicum,Asteraceae,Asterales
Adiantum_pedatum,AM,0.29842923,163.3648238,Adiantum,pedatum,Pteridaceae,Polypodiales
Adina_pilulifera,AM,0.1376,580.271875,Adina,pilulifera,Rubiaceae,Gentianales
Aesculus_hippocastanum,AM,0.2718992249999999,19.4563402,Aesculus,hippocastanum,Sapindaceae,Sapindales
Aesculus_parviflora,AM,0.20597361,43.19903485,Aesculus,parviflora,Sapindaceae,Sapindales
Agrimonia_pilosa,AM,0.2265,161.80276892,Agrimonia,pilosa,Rosaceae,Rosales
Aidia_oxyodonta,AM,0.074522293,190.86,Aidia,oxyodonta,Rubiaceae,Gentianales
Alangium_chinense,AM,0.09315,169.91,Alangium,chinense,Cornaceae,Cornales
Alchornea_tiliifolia,AM,0.15,280.467,Alchornea,tiliifolia,Euphorbiaceae,Malpighiales
Alchornea_trewioides,AM,0.2543,92.55217391,Alchornea,trewioides,Euphorbiaceae,Malpighiales
Allophylus_cobbe,AM,0.15617,75.07,Allophylus,cobbe,Sapindaceae,Sapindales
Alniphyllum_fortunei,AM,0.28547415,88.2974757125,Alniphyllum,fortunei,Styracaceae,Ericales
Alnus_formosana,EcM,0.29166702275,202.95237015,Alnus,formosana,Betulaceae,Fagales
Alnus_hirsuta,EcM,0.243751035,69.66302961,Alnus,hirsuta,Betulaceae,Fagales
Alnus_mandshurica,EcM,0.196876092,108.9888417,Alnus,mandshurica,Betulaceae,Fagales
Alpinia_japonica,AM,0.16895,246.0725,Alpinia,japonica,Zingiberaceae,Zingiberales
Alstonia_scholaris,AM,0.5237,25.76,Alstonia,scholaris,Apocynaceae,Gentianales
Altingia_gracilipes,AM,0.445911212,13.02535614,Altingia,gracilipes,Altingiaceae,Saxifragales
Altingia_obovata,AM,0.309778103,50.32260667,Altingia,obovata,Altingiaceae,Saxifragales
Anaphalis_aureopunctata,AM,0.13695,479.155,Anaphalis,aureopunctata,Asteraceae,Asterales
Anaphalis_hancockii,AM,0.1787,319.8579487,Anaphalis,hancockii,Asteraceae,Asterales
Antidesma_maclurei,AM,0.40253,19.99,Antidesma,maclurei,Phyllanthaceae,Malpighiales
Aphanamixis_polystachya,AM,0.173529412,172.2821657,Aphanamixis,polystachya,Meliaceae,Sapindales
Aporosa_octandra,AM,0.36662,29.15,Aporosa,octandra,Phyllanthaceae,Malpighiales
Aporosa_yunnanensis,AM,0.261335,65.445892855,Aporosa,yunnanensis,Phyllanthaceae,Malpighiales
Archidendron_clypearia,AM,0.27083,70.33,Archidendron,clypearia,Fabaceae,Fabales
Archidendron_lucidum,AM,0.26056,58.89,Archidendron,lucidum,Fabaceae,Fabales
Ardisia_depressa,AM,0.234375,64.31648438,Ardisia,depressa,Primulaceae,Ericales
Ardisia_japonica,AM,0.2301,101.4998413,Ardisia,japonica,Primulaceae,Ericales
Ardisia_quinquegona,AM,0.42,20.1,Ardisia,quinquegona,Primulaceae,Ericales
Artemisia_halodendron,AM,0.36,16.32,Artemisia,halodendron,Asteraceae,Asterales
Artemisia_igniaria,AM,0.1672,204.1528571,Artemisia,igniaria,Asteraceae,Asterales
Artemisia_mongolica,AM,0.1661,195.6701563,Artemisia,mongolica,Asteraceae,Asterales
Artocarpus_styracifolius,AM,0.28296,34.54,Artocarpus,styracifolius,Moraceae,Rosales
Asimina_triloba,AM,0.524821095,13.548187485,Asimina,triloba,Annonaceae,Magnoliales
Asparagus_schoberioides,AM,0.3427,119.765,Asparagus,schoberioides,Asparagaceae,Asparagales
Aster_tataricus,AM,0.197,297.11,Aster,tataricus,Asteraceae,Asterales
Astilbe_rivularis,NMAM,0.38425,36.77078652,Astilbe,rivularis,Saxifragaceae,Saxifragales
Astilbe_rubra,NMAM,0.1717,216.4679545,Astilbe,rubra,Saxifragaceae,Saxifragales
Athyrium_multidentatum,AM,0.223407236,136.9427611,Athyrium,multidentatum,Athyriaceae,Polypodiales
Athyrium_sinense,AM,0.265480361,116.2421463,Athyrium,sinense,Athyriaceae,Polypodiales
Athyrium_spinulosum,AM,0.17606237,235.6688042,Athyrium,spinulosum,Athyriaceae,Polypodiales
Barringtonia_racemosa,AM,0.427860645,21.50805242,Barringtonia,racemosa,Lecythidaceae,Ericales
Betula_albosinensis,EcM,0.210436893,57.21364621,Betula,albosinensis,Betulaceae,Fagales
Betula_costata,EcM,0.2623202155,98.75884312,Betula,costata,Betulaceae,Fagales
Betula_dahurica,EcM,0.3151503605,54.69310733,Betula,dahurica,Betulaceae,Fagales
Betula_fruticosa,EcM,0.2803,48.76427618,Betula,fruticosa,Betulaceae,Fagales
Betula_platyphylla,EcM,0.2512358226,102.152567264,Betula,platyphylla,Betulaceae,Fagales
Blastus_cochinchinesis,AM,0.2030833,205.3856606,Blastus,cochinchinesis,Melastomataceae,Myrtales
Blastus_pauciflorus,AM,0.1627833,242.4380923,Blastus,pauciflorus,Melastomataceae,Myrtales
Blechnum_orientale,AM,0.2088,185.3453333,Blechnum,orientale,Blechnaceae,Polypodiales
Calamus_rhabdocladus,AM,0.2187,103.2453571,Calamus,rhabdocladus,Arecaceae,Arecales
Caltha_palustris,NMAM,0.2098,346.6829091,Caltha,palustris,Ranunculaceae,Ranunculales
Canarium_album,AM,0.193884231,104.342482135,Canarium,album,Burseraceae,Sapindales
Caragana_microphylla,AM,0.41,25.04,Caragana,microphylla,Fabaceae,Fabales
Carallia_brachiata,AM,0.21426,109.24,Carallia,brachiata,Rhizophoraceae,Malpighiales
Carpinus_betulus,EcM,0.266508286,41.19618489,Carpinus,betulus,Betulaceae,Fagales
Carpinus_cordata,EcM,0.146527778,63.68610264,Carpinus,cordata,Betulaceae,Fagales
Carya_glabra,EcM,0.16,90.97666666666667,Carya,glabra,Juglandaceae,Fagales
Caryota_maxima,AM,0.29225,57.57059687,Caryota,maxima,Arecaceae,Arecales
Castanea_henryi,EcM,0.16803,40.96,Castanea,henryi,Fagaceae,Fagales
Castanopsis_carlesii,EcM,0.273186396,74.647654775,Castanopsis,carlesii,Fagaceae,Fagales
Castanopsis_echinocarpa,EcM,0.16343,81.68,Castanopsis,echinocarpa,Fagaceae,Fagales
Castanopsis_eyrei,EcM,0.1946333,102.2997561,Castanopsis,eyrei,Fagaceae,Fagales
Castanopsis_faberi,EcM,0.251325789,94.87390974666664,Castanopsis,faberi,Fagaceae,Fagales
Castanopsis_fargesii,EcM,0.2027,114.7843243,Castanopsis,fargesii,Fagaceae,Fagales
Castanopsis_fissa,EcM,0.2053375,93.4408108,Castanopsis,fissa,Fagaceae,Fagales
Castanopsis_hystrix,EcM,0.16749,70.61,Castanopsis,hystrix,Fagaceae,Fagales
Castanopsis_wattii,EcM,0.16121,92.32,Castanopsis,wattii,Fagaceae,Fagales
Catalpa_bignonioides,AM,0.285104945,37.2625147,Catalpa,bignonioides,Bignoniaceae,Lamiales
Catunaregam_spinosa,AM,0.25699,80.24,Catunaregam,spinosa,Rubiaceae,Gentianales
Caulophyllum_robustum,AM,0.3578,91.70646617,Caulophyllum,robustum,Berberidaceae,Ranunculales
Celtis_sinensis,AM,0.14043,113.0,Celtis,sinensis,Cannabaceae,Rosales
Cercidiphyllum_japonicum,AM,0.213447695,27.3521509,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales
Chamaecyparis_obtusa,AM,0.3805176246666666,29.29062012,Chamaecyparis,obtusa,Cupressaceae,Pinales
Chenopodium_serotinum,NMAM,0.128382353,98.82889326,Chenopodium,serotinum,Amaranthaceae,Caryophyllales
Chionanthus_virginicus,AM,0.406728255,13.88270365,Chionanthus,virginicus,Oleaceae,Lamiales
Chloranthus_henryi,AM,0.462,37.27738562,Chloranthus,henryi,Chloranthaceae,Chloranthales
Choerospondias_axillaris,AM,0.264225,75.85721698,Choerospondias,axillaris,Anacardiaceae,Sapindales
Cibotium_barometz,AM,0.24825,83.95513514,Cibotium,barometz,Cibotiaceae,Cyatheales
Cinnamomum_austrosinense,AM,0.411275,36.961442785,Cinnamomum,austrosinense,Lauraceae,Laurales
Cinnamomum_camphora,AM,0.41333875,53.898336575,Cinnamomum,camphora,Lauraceae,Laurales
Cinnamomum_cassia,AM,0.53449,22.75,Cinnamomum,cassia,Lauraceae,Laurales
Cinnamomum_chekiangense,AM,0.499444455,23.18048968,Cinnamomum,chekiangense,Lauraceae,Laurales
Cinnamomum_micranthum,AM,0.4044290245,21.160006155,Cinnamomum,micranthum,Lauraceae,Laurales
