binominal,F01286,F01287,F01289,F01290
Neolitsea phanerophlebia,Neolitsea,phanerophlebia,Lauraceae,Laurales
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales
Podocarpus chinensis,Podocarpus,chinensis,Podocarpaceae,Pinales
Ardisia quinquegona,Ardisia,quinquegona,Primulaceae,Ericales
Magnolia macclurei,Magnolia,macclurei,Magnoliaceae,Magnoliales
Magnolia yunnanensis,Magnolia,yunnanensis,Magnoliaceae,Magnoliales
Magnolia lotungensis,Magnolia,lotungensis,Magnoliaceae,Magnoliales
Magnolia balansae,Magnolia,balansae,Magnoliaceae,Magnoliales
Magnolia fulva,Magnolia,fulva,Magnoliaceae,Magnoliales
Magnolia cavaleriei,Magnolia,cavaleriei,Magnoliaceae,Magnoliales
Manglietia paruicula,Manglietia,paruicula,Magnoliaceae,Magnoliales
Magnolia champaca,Magnolia,champaca,Magnoliaceae,Magnoliales
Magnolia opipara,Magnolia,opipara,Magnoliaceae,Magnoliales
Magnolia maudiae,Magnolia,maudiae,Magnoliaceae,Magnoliales
Liriodendron chinense,Liriodendron,chinense,Magnoliaceae,Magnoliales
Magnolia ernestii,Magnolia,ernestii,Magnoliaceae,Magnoliales
Magnolia baillonii,Magnolia,baillonii,Magnoliaceae,Magnoliales
Magnolia dandyi,Magnolia,dandyi,Magnoliaceae,Magnoliales
Magnolia chapensis,Magnolia,chapensis,Magnoliaceae,Magnoliales
Machilus velutina,Machilus,velutina,Lauraceae,Laurales
Machilus kwangtungensis,Machilus,kwangtungensis,Lauraceae,Laurales
Litsea cubeba,Litsea,cubeba,Lauraceae,Laurales
Cinnamomum camphora,Cinnamomum,camphora,Lauraceae,Laurales
Litsea verticillata,Litsea,verticillata,Lauraceae,Laurales
Cryptocarya concinna,Cryptocarya,concinna,Lauraceae,Laurales
Machilus robusta,Machilus,robusta,Lauraceae,Laurales
Cinnamomum cassia,Cinnamomum,cassia,Lauraceae,Laurales
Litsea baviensis,Litsea,baviensis,Lauraceae,Laurales
Ocotea lancifolia,Ocotea,lancifolia,Lauraceae,Laurales
Orophea creaghii,Orophea,creaghii,Annonaceae,Magnoliales
Helicia formosana,Helicia,formosana,Proteaceae,Proteales
Syzygium hancei,Syzygium,hancei,Myrtaceae,Myrtales
Syzygium levinei,Syzygium,levinei,Myrtaceae,Myrtales
Eucalyptus urophylla,Eucalyptus,urophylla,Myrtaceae,Myrtales
Syzygium globiflorum,Syzygium,globiflorum,Myrtaceae,Myrtales
Microtropis discolor,Microtropis,discolor,Celastraceae,Celastrales
Castanea henryi,Castanea,henryi,Fagaceae,Fagales
Castanopsis fissa,Castanopsis,fissa,Fagaceae,Fagales
Quercus asymmetrica,Quercus,asymmetrica,Fagaceae,Fagales
Castanopsis hystrix,Castanopsis,hystrix,Fagaceae,Fagales
Castanopsis echinocarpa,Castanopsis,echinocarpa,Fagaceae,Fagales
Castanopsis wattii,Castanopsis,wattii,Fagaceae,Fagales
Lithocarpus chiungchungensis,Lithocarpus,chiungchungensis,Fagaceae,Fagales
Aporosa octandra,Aporosa,octandra,Phyllanthaceae,Malpighiales
Macaranga sampsonii,Macaranga,sampsonii,Euphorbiaceae,Malpighiales
Aporosa yunnanensis,Aporosa,yunnanensis,Phyllanthaceae,Malpighiales
Antidesma maclurei,Antidesma,maclurei,Phyllanthaceae,Malpighiales
Engelhardia roxburghiana,Engelhardia,roxburghiana,Juglandaceae,Fagales
Elaeocarpus dubius,Elaeocarpus,dubius,Elaeocarpaceae,Oxalidales
Ficus variolosa,Ficus,variolosa,Moraceae,Rosales
Artocarpus styracifolius,Artocarpus,styracifolius,Moraceae,Rosales
Gironniera subaequalis,Gironniera,subaequalis,Cannabaceae,Rosales
Celtis sinensis,Celtis,sinensis,Cannabaceae,Rosales
Canarium album,Canarium,album,Burseraceae,Sapindales
Pistacia chinensis,Pistacia,chinensis,Anacardiaceae,Sapindales
Acronychia pedunculata,Acronychia,pedunculata,Rutaceae,Sapindales
Melicope pteleifolia,Melicope,pteleifolia,Rutaceae,Sapindales
Nephelium lappaceum,Nephelium,lappaceum,Sapindaceae,Sapindales
Allophylus cobbe,Allophylus,cobbe,Sapindaceae,Sapindales
Vaccinium mandarinorum,Vaccinium,mandarinorum,Ericaceae,Ericales
Barringtonia racemosa,Barringtonia,racemosa,Lecythidaceae,Ericales
Pentaphylax euryoides,Pentaphylax,euryoides,Pentaphylacaceae,Ericales
Gordonia axillaris,Gordonia,axillaris,Theaceae,Ericales
Schima wallichii,Schima,wallichii,Theaceae,Ericales
Alstonia scholaris,Alstonia,scholaris,Apocynaceae,Gentianales
Catunaregam spinosa,Catunaregam,spinosa,Rubiaceae,Gentianales
Wendlandia uvariifolia,Wendlandia,uvariifolia,Rubiaceae,Gentianales
Pertusadina metcalfii,Pertusadina,metcalfii,Rubiaceae,Gentianales
Psychotria asiatica,Psychotria,asiatica,Rubiaceae,Gentianales
Saprosma ternatum,Saprosma,ternatum,Rubiaceae,Gentianales
Osmanthus didymopetalus,Osmanthus,didymopetalus,Oleaceae,Lamiales
Olea rosea,Olea,rosea,Oleaceae,Lamiales
Schefflera minutistellata,Schefflera,minutistellata,Araliaceae,Apiales
Macropanax undulatus,Macropanax,undulatus,Araliaceae,Apiales
Pterospermum acerifolium,Pterospermum,acerifolium,Malvaceae,Malvales
Sterculia lanceolata,Sterculia,lanceolata,Malvaceae,Malvales
Itea chinensis,Itea,chinensis,Iteaceae,Saxifragales
Garcinia oblongifolia,Garcinia,oblongifolia,Clusiaceae,Malpighiales
Cratoxylum cochinchinense,Cratoxylum,cochinchinense,Hypericaceae,Malpighiales
Garcinia cowa,Garcinia,cowa,Clusiaceae,Malpighiales
Eriobotrya japonica,Eriobotrya,japonica,Rosaceae,Rosales
Rhaphiolepis indica,Rhaphiolepis,indica,Rosaceae,Rosales
Archidendron lucidum,Archidendron,lucidum,Fabaceae,Fabales
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales
Acacia mangium,Acacia,mangium,Fabaceae,Fabales
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales
Archidendron clypearia,Archidendron,clypearia,Fabaceae,Fabales
Millettia leptobotrya,Millettia,leptobotrya,Fabaceae,Fabales
Carallia brachiata,Carallia,brachiata,Rhizophoraceae,Malpighiales
Alangium chinense,Alangium,chinense,Cornaceae,Cornales
Microcos paniculata,Microcos,paniculata,Malvaceae,Malvales
Decaspermum gracilentum,Decaspermum,gracilentum,Myrtaceae,Myrtales
Adiantum pedatum,Adiantum,pedatum,Pteridaceae,Polypodiales
Athyrium multidentatum,Athyrium,multidentatum,Athyriaceae,Polypodiales
Athyrium sinense,Athyrium,sinense,Athyriaceae,Polypodiales
Cystopteris sudetica,Cystopteris,sudetica,Cystopteridaceae,Polypodiales
Equisetum hyemale,Equisetum,hyemale,Equisetaceae,Equisetales
Equisetum pratense,Equisetum,pratense,Equisetaceae,Equisetales
Matteuccia struthiopteris,Matteuccia,struthiopteris,Onocleaceae,Polypodiales
Onoclea sensibilis,Onoclea,sensibilis,Onocleaceae,Polypodiales
Athyrium spinulosum,Athyrium,spinulosum,Athyriaceae,Polypodiales
Chenopodium serotinum,Chenopodium,serotinum,Amaranthaceae,Caryophyllales
Cornus officinalis,Cornus,officinalis,Cornaceae,Cornales
Cornus bretschneideri,Cornus,bretschneideri,Cornaceae,Cornales
Sambucus williamsii,Sambucus,williamsii,Adoxaceae,Dipsacales
Ardisia depressa,Ardisia,depressa,Primulaceae,Ericales
Eurya japonica,Eurya,japonica,Pentaphylacaceae,Ericales
Diospyros strigosa,Diospyros,strigosa,Ebenaceae,Ericales
Myrsine seguinii,Myrsine,seguinii,Primulaceae,Ericales
Betula albosinensis,Betula,albosinensis,Betulaceae,Fagales
Carpinus cordata,Carpinus,cordata,Betulaceae,Fagales
Betula dahurica,Betula,dahurica,Betulaceae,Fagales
Lithocarpus fenestratus,Lithocarpus,fenestratus,Fagaceae,Fagales
Quercus aliena,Quercus,aliena,Fagaceae,Fagales
Quercus variabilis,Quercus,variabilis,Fagaceae,Fagales
Quercus wutaishanica,Quercus,wutaishanica,Fagaceae,Fagales
Aidia oxyodonta,Aidia,oxyodonta,Rubiaceae,Gentianales
Ginkgo biloba,Ginkgo,biloba,Ginkgoaceae,Ginkgoales
Fraxinus chinensis,Fraxinus,chinensis,Oleaceae,Lamiales
Machilus breviflora,Machilus,breviflora,Lauraceae,Laurales
Machilus shweliensis,Machilus,shweliensis,Lauraceae,Laurales
Lindera communis,Lindera,communis,Lauraceae,Laurales
Goniothalamus griffithii,Goniothalamus,griffithii,Annonaceae,Magnoliales
Magnolia championii,Magnolia,championii,Magnoliaceae,Magnoliales
Knema erratica,Knema,erratica,Myristicaceae,Magnoliales
Populus cathayana,Populus,cathayana,Salicaceae,Malpighiales
Salix caprea,Salix,caprea,Salicaceae,Malpighiales
Alchornea tiliifolia,Alchornea,tiliifolia,Euphorbiaceae,Malpighiales
Sterculia nobilis,Sterculia,nobilis,Malvaceae,Malvales
Tilia mongolica,Tilia,mongolica,Malvaceae,Malvales
Memecylon nigrescens,Memecylon,nigrescens,Melastomataceae,Myrtales
Syzygium szemaoense,Syzygium,szemaoense,Myrtaceae,Myrtales
Picea meyeri,Picea,meyeri,Pinaceae,Pinales
Picea wilsonii,Picea,wilsonii,Pinaceae,Pinales
Pinus armandii,Pinus,armandii,Pinaceae,Pinales
Dacrycarpus imbricatus,Dacrycarpus,imbricatus,Podocarpaceae,Pinales
Ulmus macrocarpa,Ulmus,macrocarpa,Ulmaceae,Rosales
Malus baccata,Malus,baccata,Rosaceae,Rosales
Pyrus betulifolia,Pyrus,betulifolia,Rosaceae,Rosales
Sanguisorba officinalis,Sanguisorba,officinalis,Rosaceae,Rosales
Sorbus aucuparia,Sorbus,aucuparia,Rosaceae,Rosales
Aphanamixis polystachya,Aphanamixis,polystachya,Meliaceae,Sapindales
Dysoxylum excelsum,Dysoxylum,excelsum,Meliaceae,Sapindales
Acer davidii,Acer,davidii,Sapindaceae,Sapindales
Acer truncatum,Acer,truncatum,Sapindaceae,Sapindales
Rhodoleia championii,Rhodoleia,championii,Hamamelidaceae,Saxifragales
Dicranopteris linearis,Dicranopteris,linearis,Gleicheniaceae,Gleicheniales
Abies fargesii,Abies,fargesii,Pinaceae,Pinales
Quercus robur,Quercus,robur,Fagaceae,Fagales
Acer negundo,Acer,negundo,Sapindaceae,Sapindales
Acer rubrum,Acer,rubrum,Sapindaceae,Sapindales
Carya glabra,Carya,glabra,Juglandaceae,Fagales
Pinus strobus,Pinus,strobus,Pinaceae,Pinales
Pinus virginiana,Pinus,virginiana,Pinaceae,Pinales
Quercus alba,Quercus,alba,Fagaceae,Fagales
Quercus rubra,Quercus,rubra,Fagaceae,Fagales
Pinus elliottii,Pinus,elliottii,Pinaceae,Pinales
Salix gordejevii,Salix,gordejevii,Salicaceae,Malpighiales
Artemisia halodendron,Artemisia,halodendron,Asteraceae,Asterales
Caragana microphylla,Caragana,microphylla,Fabaceae,Fabales
Pinus sylvestris,Pinus,sylvestris,Pinaceae,Pinales
Cupressus funebris,Cupressus,funebris,Cupressaceae,Pinales
Chamaecyparis obtusa,Chamaecyparis,obtusa,Cupressaceae,Pinales
Pinus koraiensis,Pinus,koraiensis,Pinaceae,Pinales
Picea koraiensis,Picea,koraiensis,Pinaceae,Pinales
Juniperus monosperma,Juniperus,monosperma,Cupressaceae,Pinales
Picea glauca,Picea,glauca,Pinaceae,Pinales
Pinus edulis,Pinus,edulis,Pinaceae,Pinales
Pinus resinosa,Pinus,resinosa,Pinaceae,Pinales
Populus balsamifera,Populus,balsamifera,Salicaceae,Malpighiales
Nyssa aquatica,Nyssa,aquatica,Cornaceae,Cornales
Platanus acerifolia,Platanus,acerifolia,Platanaceae,Proteales
Mallotus paniculatus,Mallotus,paniculatus,Euphorbiaceae,Malpighiales
Blastus cochinchinesis,Blastus,cochinchinesis,Melastomataceae,Myrtales
Sarcandra glabra,Sarcandra,glabra,Chloranthaceae,Chloranthales
Cinnamomum tenuifolium,Cinnamomum,tenuifolium,Lauraceae,Laurales
Alchornea trewioides,Alchornea,trewioides,Euphorbiaceae,Malpighiales
Calamus rhabdocladus,Calamus,rhabdocladus,Arecaceae,Arecales
Cibotium barometz,Cibotium,barometz,Cibotiaceae,Cyatheales
Dicranopteris pedata,Dicranopteris,pedata,Gleicheniaceae,Gleicheniales
Machilus nanmu,Machilus,nanmu,Lauraceae,Laurales
Syzygium jambos,Syzygium,jambos,Myrtaceae,Myrtales
Blechnum orientale,Blechnum,orientale,Blechnaceae,Polypodiales
Syzygium acuminatissimum,Syzygium,acuminatissimum,Myrtaceae,Myrtales
Schefflera heptaphylla,Schefflera,heptaphylla,Araliaceae,Apiales
Caryota maxima,Caryota,maxima,Arecaceae,Arecales
Podocarpus neriifolius,Podocarpus,neriifolius,Podocarpaceae,Pinales
Sorbus discolor,Sorbus,discolor,Rosaceae,Rosales
Prunus alabamensis,Prunus,alabamensis,Rosaceae,Rosales
Eleutherococcus senticosus,Eleutherococcus,senticosus,Araliaceae,Apiales
Deutzia grandiflora,Deutzia,grandiflora,Hydrangeaceae,Cornales
Nabalus tatarinowii,Nabalus,tatarinowii,Asteraceae,Asterales
Doellingeria scabra,Doellingeria,scabra,Asteraceae,Asterales
Lespedeza bicolor,Lespedeza,bicolor,Fabaceae,Fabales
Saussurea mongolica,Saussurea,mongolica,Asteraceae,Asterales
Veratrum nigrum,Veratrum,nigrum,Melanthiaceae,Liliales
Convallaria majalis,Convallaria,majalis,Asparagaceae,Asparagales
Abelia biflora,Abelia,biflora,Caprifoliaceae,Dipsacales
Asparagus schoberioides,Asparagus,schoberioides,Asparagaceae,Asparagales
Agrimonia pilosa,Agrimonia,pilosa,Rosaceae,Rosales
Veronica spuria,Veronica,spuria,Plantaginaceae,Lamiales
Astilbe rubra,Astilbe,rubra,Saxifragaceae,Saxifragales
Corylus sieboldiana,Corylus,sieboldiana,Betulaceae,Fagales
Aster tataricus,Aster,tataricus,Asteraceae,Asterales
Vitis amurensis,Vitis,amurensis,Vitaceae,Vitales
Prunus armeniaca,Prunus,armeniaca,Rosaceae,Rosales
Rubus crataegifolius,Rubus,crataegifolius,Rosaceae,Rosales
Rhamnus davurica,Rhamnus,davurica,Rhamnaceae,Rosales
Spiraea pubescens,Spiraea,pubescens,Rosaceae,Rosales
Galium aparine,Galium,aparine,Rubiaceae,Gentianales
Saussurea nivea,Saussurea,nivea,Asteraceae,Asterales
Prunus padus,Prunus,padus,Rosaceae,Rosales
Rosa acicularis,Rosa,acicularis,Rosaceae,Rosales
Salix raddeana,Salix,raddeana,Salicaceae,Malpighiales
Salix viminalis,Salix,viminalis,Salicaceae,Malpighiales
Rubus irritans,Rubus,irritans,Rosaceae,Rosales
Spiraea dahurica,Spiraea,dahurica,Rosaceae,Rosales
Populus koreana,Populus,koreana,Salicaceae,Malpighiales
Juniperus sabina,Juniperus,sabina,Cupressaceae,Pinales
Pinus pumila,Pinus,pumila,Pinaceae,Pinales
Betula fruticosa,Betula,fruticosa,Betulaceae,Fagales
Diplospora dubia,Diplospora,dubia,Rubiaceae,Gentianales
Styrax suberifolius,Styrax,suberifolius,Styracaceae,Ericales
Iris japonica,Iris,japonica,Iridaceae,Asparagales
Daphniphyllum pentandrum,Daphniphyllum,pentandrum,Daphniphyllaceae,Saxifragales
Litsea elongata,Litsea,elongata,Lauraceae,Laurales
Rubus rosifolius,Rubus,rosifolius,Rosaceae,Rosales
Chloranthus henryi,Chloranthus,henryi,Chloranthaceae,Chloranthales
Dryopteris lepidopoda,Dryopteris,lepidopoda,Dryopteridaceae,Polypodiales
Dryopteris sparsa,Dryopteris,sparsa,Dryopteridaceae,Polypodiales
Trachelospermum axillare,Trachelospermum,axillare,Apocynaceae,Gentianales
Cryptomeria japonica,Cryptomeria,japonica,Cupressaceae,Pinales
Smilax trinervula,Smilax,trinervula,Smilacaceae,Liliales
Strobilanthes dimorphotricha,Strobilanthes,dimorphotricha,Acanthaceae,Lamiales
Strobilanthes villosum,Strobilanthes,villosum,Acanthaceae,Lamiales
Alpinia japonica,Alpinia,japonica,Zingiberaceae,Zingiberales
Castanopsis fargesii,Castanopsis,fargesii,Fagaceae,Fagales
Castanopsis eyrei,Castanopsis,eyrei,Fagaceae,Fagales
Embelia vestita,Embelia,vestita,Primulaceae,Ericales
Parthenocissus quinquefolia,Parthenocissus,quinquefolia,Vitaceae,Vitales
Blastus pauciflorus,Blastus,pauciflorus,Melastomataceae,Myrtales
Dendropanax dentiger,Dendropanax,dentiger,Araliaceae,Apiales
Ardisia japonica,Ardisia,japonica,Primulaceae,Ericales
Oreocnide frutescens,Oreocnide,frutescens,Urticaceae,Rosales
Abies nephrolepis,Abies,nephrolepis,Pinaceae,Pinales
Philadelphus incanus,Philadelphus,incanus,Hydrangeaceae,Cornales
Actinidia kolomikta,Actinidia,kolomikta,Actinidiaceae,Ericales
Deutzia glabrata,Deutzia,glabrata,Hydrangeaceae,Cornales
Caltha palustris,Caltha,palustris,Ranunculaceae,Ranunculales
Filipendula palmata,Filipendula,palmata,Rosaceae,Rosales
Saussurea amurensis,Saussurea,amurensis,Asteraceae,Asterales
Tilia amurensis,Tilia,amurensis,Malvaceae,Malvales
Lithocarpus cleistocarpus,Lithocarpus,cleistocarpus,Fagaceae,Fagales
Sanicula orthacantha,Sanicula,orthacantha,Apiaceae,Apiales
Corylus ferox,Corylus,ferox,Betulaceae,Fagales
Astilbe rivularis,Astilbe,rivularis,Saxifragaceae,Saxifragales
Cornus controversa,Cornus,controversa,Cornaceae,Cornales
Quercus serrata,Quercus,serrata,Fagaceae,Fagales
Quercus multinervis,Quercus,multinervis,Fagaceae,Fagales
