"shifts","delta_rd","delta_srl"
"AM_to_AM",0.00248061867544547,0.00652481633616686
"AM_to_AM",-0.054448122905566,0.2346651752398
"AM_to_AM",0.0315893774346401,-0.0563661432698637
"AM_to_AM",0.00354355871399303,-0.00609536489004769
"AM_to_AM",0.070699187586069,-0.0724165721979393
"AM_to_AM",0.0200777422866558,-0.0136655624869744
"AM_to_AM",0.0969257922367933,-0.076016386431931
"AM_to_AM",0.00499639739872371,-0.00489538293865799
"AM_to_AM",0.00339201040853343,-0.0150569362106641
"AM_to_AM",0.00562473752410741,-0.0527107190259741
"AM_to_AM",-0.00900361641862046,-0.0103243464830634
"AM_to_AM",-0.0300658031857812,-0.00741900591838363
"AM_to_AM",-0.000384268580897684,-0.051461193217389
"AM_to_AM",-0.00476109475123909,-0.110570085788013
"AM_to_AM",0.0554274889631967,-0.22008722850064
"AM_to_AM",0.0458806051670262,-0.290595724826086
"AM_to_AM",2.22044604925031e-16,0
"AM_to_AM",0.590617999812468,-0.758658369861984
"AM_to_AM",0,0
"AM_to_AM",0,0
"AM_to_AM",-0.0197317553169369,0.092100220449975
"AM_to_AM",-0.00225625574432198,-0.0552557998317527
"AM_to_AM",-0.0400125800574394,0.139321684189708
"AM_to_AM",-0.00702305174682372,0.0185584131721876
"AM_to_AM",0.00195952983090142,0.068288772729769
"AM_to_AM",-0.0485781691975726,-0.0168321418059296
"AM_to_AM",-0.00978727496472631,0.00913824673294172
"AM_to_AM",0.00611527557027935,0.104757263857914
"AM_to_AM",-0.243714236978816,-0.238529144088963
"AM_to_AM",-0.0370745666272414,0.0603697259812801
"AM_to_AM",0.408312662623314,-0.259128839359695
"AM_to_AM",-0.342432393129603,1.31795626457245
"AM_to_NMAM",0.228324115736742,0.0128835344281306
"AM_to_AM",-0.010762634944621,0.656166855737769
"AM_to_AM",-0.163065790394448,-0.647764239489151
"AM_to_AM",-0.0105600476015142,-0.111916958554116
"AM_to_AM",-0.0210340921288956,-0.327630663474114
"AM_to_AM",-0.190842733993361,-0.757565510577902
"AM_to_AM",-0.000771966017338865,0.0329853355080738
"AM_to_AM",-0.190454805713722,-0.158005940638847
"AM_to_AM",-0.190842733993361,-0.757565510577902
"AM_to_AM",0.00578823124176731,-0.00658112872524974
"AM_to_AM",0.0128078421453455,0.0284108792504538
"AM_to_AM",-0.000472729194597288,-0.025435963114953
"AM_to_AM",6.81968320737081e-06,-0.121990562097692
"AM_to_AM",0.0310421168311682,-0.00379478341716855
"AM_to_AM",0.00812830553370569,0.0174480954418677
"AM_to_AM",0.00375246464304546,0.015690760896212
"AM_to_AM",-0.0183605122350641,0.0448026002876336
"AM_to_AM",-0.00242156745460487,0.0266550326810391
"AM_to_AM",-0.0132775195472085,0.112309601441541
"AM_to_AM",0.0665871005034271,0.314202389450688
"AM_to_AM",-0.0510688170482977,-0.0907057643884777
"AM_to_AM",-0.103708172561897,0.109792091064733
"AM_to_AM",0.201425423823963,0.0447997021082864
"AM_to_AM",0.0474122678718107,-0.063037513810186
"AM_to_AM",0.0411049754094033,0.252527623503066
"AM_to_AM",-0.00730202979400474,-0.271820012086338
"AM_to_AM",-0.000771903496426307,-0.00112424830092639
"AM_to_AM",0.00211113041135746,-0.000251661057435015
"AM_to_AM",0.078226398579335,-0.100420343018972
"AM_to_AM",0.0879518552663219,-0.065806151015706
"AM_to_AM",-0.0943624192698955,0.136582161358849
"AM_to_AM",-0.0599519590515537,-0.0118638752622386
"AM_to_AM",0.0550570638897886,-0.536567606973146
"AM_to_AM",0.0590779365464408,-0.166594750749213
"AM_to_AM",-0.1284434929107,-0.166299443204601
"AM_to_AM",-0.320654263783531,0.11052589041211
"AM_to_AM",-0.118925003238411,-0.199319987790043
"AM_to_AM",0.117786919173236,0.155712650033609
"AM_to_AM",0.0144459415924629,-0.052741583047597
"AM_to_AM",0.0368423556644741,-0.0848366366490216
"AM_to_AM",0.00202857507024623,0.00170647718311656
"AM_to_AM",0.0783401733241704,-0.0909720645556797
"AM_to_AM",0.210130010164519,0.00698039611813872
"AM_to_AM",-0.159995667346815,0.0561109031119997
"AM_to_AM",0.158932930800274,-0.118087698506849
"AM_to_AM",-0.0111668526723379,-0.310133674952377
"AM_to_AM",-0.0288234307226449,-0.135530551985799
"AM_to_AM",0.126827161014614,-0.327050279711349
"AM_to_AM",-0.0301665266695941,0.155118703824288
"AM_to_AM",-0.259916543124543,0.300677237051837
"AM_to_AM",-0.0327966437272533,0.443553295841142
"AM_to_AM",0.00702424784255207,-0.095067238906779
"AM_to_AM",0.359210134919468,1.59650816658389
"AM_to_AM",-0.0923784720899059,-0.0159252548300088
"AM_to_AM",0.109386275740508,0.496162248594604
"AM_to_AM",0.0113149881956287,-1.02491952900252
"AM_to_AM",-0.283766601375008,-0.650860571942305
"AM_to_AM",0.16014578788153,-0.4989050608804
"AM_to_AM",0.0195326120318183,0.693642323437743
"AM_to_NMAM",-0.315640141746866,0.18022613647967
"AM_to_AM",0.0141905227330041,-0.486826959342496
"AM_to_AM",-0.453032925704094,-1.30753933902716
"AM_to_AM",0.728477410887299,2.26966387731938
"AM_to_AM",0.105694071093088,-1.03009109588083
"AM_to_EcMAM",-0.322745044844755,1.46512491253012
"AM_to_EcMAM",-0.764272934563636,2.56608929462543
"AM_to_EcMAM",-0.420407765413633,0.920961451465975
"EcMAM_to_AM",1.04059009154577,-3.74626049353947
"EcMAM_to_AM",0.774497565089477,-3.3421133445825
"AM_to_AM",0.988994538732343,0.592937281045943
"AM_to_AM",-0.269106909299709,2.41935506548878
"AM_to_AM",-0.308258609662103,-1.20120030967605
"AM_to_AM",-0.0682012596579322,-2.22208663445227
"AM_to_AM",-0.019036272551854,5.9908252121843
"AM_to_AM",-0.217646318547707,-0.781502724759051
"AM_to_AM",0.107009227417394,0.836812029791568
"AM_to_AM",-0.136151425189779,-0.708529374633762
"AM_to_AM",-0.102321347786704,0.232954277423349
"AM_to_AM",0.175343397626374,-0.37311027882424
"AM_to_AM",0.00679594792993843,-0.0188037291693339
"AM_to_AM",0.0180183339171491,-0.00554891153392756
"AM_to_AM",0.0277574462764894,-0.0221172350895564
"AM_to_AM",0.0242329825016048,-0.0191246008501134
"AM_to_AM",-0.109168617783902,-0.206954323655627
"AM_to_AM",-0.0269136763683184,-0.0115518224732973
"AM_to_AM",0.0153976257718436,0.0885909590333629
"AM_to_AM",2.22044604925031e-16,0
"AM_to_AM",-0.198894591359283,0.00125029713287717
"AM_to_AM",0.491969483186094,-0.243604678353229
"AM_to_AM",-2.22044604925031e-16,8.88178419700125e-16
"AM_to_AM",-0.141483080959955,-0.00373337055495071
"AM_to_AM",-0.000632869315549511,0.000177361953577204
"AM_to_AM",0.166364910230431,-0.485112633212427
"AM_to_AM",0.09737203874348,-0.0179219453433062
