"rx","ry","rxy","corr","rx.hat","ry.hat","rxy.hat","corr.hat","rx0.hat","ry0.hat","LR","kx","ky","tree.index","tree.size"
0.0138187215282507,0.00383853375784742,0,0,0.0134323017388497,0.00314028364213314,0,0,0.0134194935053035,0.00314028391997147,1.05567860941846e-05,2,4,1,120
0.0122833080251118,0.0130510147766812,0,0,0.0143266157614556,0.0129092312643279,0,0,0.0143232885351921,0.012898501502585,9.25067286061676e-06,3,2,1,120
0.00690936076412536,0.0115156012735423,0,0,0.0068823031708305,0.0065474663890106,0.00133226077044426,0.165592778264292,0.00823184741526238,0.00788086548936481,2.173074191924,4,2,1,120
0.0099801877704033,0.0138187215282507,0,0,0.00988835164919881,0.0145550832499321,0,0,0.00988612706688965,0.0145502578850617,2.14685127275516e-06,2,3,1,120
0.0138187215282507,0.00537394726098639,0,0,0.0126482959159679,0.00489641103954195,0,0,0.0126464019800893,0.00489607737866734,3.62052418267922e-07,5,2,1,120
0.0138187215282507,0.00230312025470845,0,0,0.00816361027324571,0.00236213009469,0,0,0.00816332465573957,0.00236212657747636,1.2285340744711e-08,4,2,1,120
0.0122833080251118,0.0130510147766812,0,0,0.010781165800988,0.0118735358991758,0.000110725426907382,0.00969147947458106,0.01089439256635,0.0119691749347372,0.00337845887716526,4,2,1,120
0.00614165401255588,0.00844477426726433,0,0,0.0139219780978806,0.0110442055305865,0,0,0.0139200857075221,0.0110437175311845,2.97304069363236e-07,3,3,1,120
0.00767706751569485,0.0115156012735423,0,0,0.00303939295519707,0.0145310077340497,0.000153749351097171,0.022452813612571,0.00319364333609636,0.0146931994906952,0.0153743796727497,2,2,1,120
0.0145864282798202,0.00844477426726433,0,0,0.00879488700595416,0.0097892078573547,0.00189777964149868,0.169766298607625,0.0107136095412895,0.0117223120107214,3.66616407787981,5,4,1,120
0.0106430209592204,0.0183833998386534,0,0,0.0120556922994588,0.025110796406889,0.00122773851649845,0.0656379403292214,0.0133151715388014,0.0262338639723078,0.530177785871047,4,5,2,178
0.0125781156790787,0.00580528415957477,0,0,0.0131726221633647,0.00509750472316587,1.62857557595352e-09,1.98743477780574e-07,0.0131644106882538,0.00509738988327202,1.60860335540747e-06,2,2,2,178
0.015480757758866,0.0193509471985826,0,0,0.00944745442939721,0.0152376249749788,0,0,0.00944615286541267,0.0152267999349982,6.60717671507882e-06,2,2,2,178
0.0135456630390078,0.00677283151950389,0,0,0.0140736890419057,0.00747912293410238,0.00052581437000773,0.0486389780489404,0.014614510296343,0.00800749295508149,0.351540053306252,3,3,2,178
0.0106430209592204,0.0193509471985826,0,0,0.013475827551256,0.0186272544884084,0.00167554942618871,0.095532948380584,0.0151364700759384,0.020295994486969,0.618783551270724,2,3,2,178
0.00580528415957477,0.015480757758866,0,0,0.00835106145442572,0.02027269875576,0,0,0.00835065243733379,0.0202684776563958,8.06854188795114e-07,3,4,2,178
0.00483773679964564,0.00677283151950389,0,0,0.00292890984413254,0.00838685085573161,0.00100319092986966,0.165096366275826,0.00393249958494124,0.00939524740253875,4.48929489798769,3,2,2,178
0.00483773679964564,0.00387018943971651,0,0,0.00495358068236561,0.00394474828823816,0,0,0.00495344281162201,0.00394470475136355,4.60049420780706e-09,3,4,2,178
0.0145132103989369,0.00193509471985826,0,0,0.00902959980348842,0.00196783152854315,0,0,0.00902894269532958,0.00196780978849263,5.21699945466025e-08,5,2,2,178
0.0125781156790787,0.00774037887943302,0,0,0.0117077566285192,0.00768297883730267,0.0016447352551223,0.147376156932264,0.0133754916490266,0.00927395692956592,2.47225877373327,3,3,2,178
0.00044742946194254,0.00156600311679889,0,0,0.000564181347316203,0.000936400344457841,0,0,0.000564180794879834,0.000936375967862818,6.31067109679861e-09,4,2,3,481
0.000783001558399445,0.00145414575131326,0,0,0.000794200841213548,0.00116022629705484,0,0,0.000794198081184097,0.00116019444527161,7.47479589335853e-09,5,2,3,481
0.0022371473097127,0.00201343257874143,0,0,0.00329141087532449,0.00172598712558526,0,0,0.00329136474642816,0.00172598761552405,6.2959770730231e-09,4,4,3,481
0.000783001558399445,0.00067114419291381,0,0,0.00125330407094873,0.00138991430575307,0,0,0.00125328562552148,0.00138985586039089,2.44486955125467e-08,3,3,3,481
0.00145414575131326,0.00123043102034199,0,0,0.000824044803581967,0.000941680355420397,0.000197218590975935,0.182867434990554,0.00102093942974742,0.001138810010411,3.97504861942724,4,4,3,481
0.00134228838582762,0.00067114419291381,0,0,0.00148988734280736,0.000907962519477026,0,0,0.00148987340009498,0.000907960859257184,1.2014993444609e-09,5,4,3,481
0.00178971784777016,0.00178971784777016,0,0,0.00159182214128761,0.00163112507746956,0.000212466825080668,0.116494570785024,0.00175844602323823,0.00183992952102724,1.75547779567682,2,5,3,481
0.00167786048228453,0.00089485892388508,0,0,0.00234760347652494,0.00102434142047863,0,0,0.0023472017443479,0.00102433472683381,5.74308785417088e-07,3,4,3,481
0.000783001558399445,0.00167786048228453,0,0,0.000570060547018237,0.00127137437771625,0,0,0.000570055960227011,0.00127130912476254,2.87013506294898e-08,2,2,3,481
0.00089485892388508,0.000559286827428175,0,0,0.000796426905412348,0.000453591144863478,0,0,0.0007964201489105,0.000453590992689584,4.92946128360927e-10,2,2,3,481
0.00159127588506279,0.00260390599373912,0,0,0.00170602170706243,0.00246645975135634,0.000135503519215777,0.0619029231419758,0.00183899383133358,0.00261067617646191,1.12161737422832,3,3,4,371
0.0024592445496425,0.0024592445496425,0,0,0.00287863705451248,0.00151653398499863,0.000109707768879641,0.0497656263772324,0.00299577565043894,0.00162670734656369,0.751452234667624,2,4,4,371
0.000433984332289853,0.000723307220483088,0,0,0.00103103991298624,0.000728660660623907,0,0,0.00103103685807781,0.000728660230098518,6.30393515166361e-11,3,5,4,371
0.00216992166144926,0.00231458310554588,0,0,0.00223655037290826,0.0020931082981001,0,0,0.00223647801213684,0.00209301661463126,4.2271153688489e-08,5,4,4,371
0.00173593732915941,0.00260390599373912,0,0,0.00208449612562346,0.00216625555657173,0,0,0.00208449283407541,0.00216614218798747,3.74243995793222e-08,4,2,4,371
0.00130195299686956,0.000867968664579706,0,0,0.00151738422101117,0.00154633502998606,0.00011074831985344,0.0674248658889438,0.00162809636242952,0.00165736528818812,1.0522343717769,4,2,4,371
0.00130195299686956,0.000723307220483088,0,0,0.00177866117936044,0.00073328023609029,0,0,0.00177863175533685,0.000733279171256467,3.32650529344392e-09,5,4,4,371
0.00274856743783573,0.00260390599373912,0,0,0.00260210501953962,0.00240150648749284,0,0,0.00260204954590652,0.00240150070707822,8.60876525621279e-09,3,5,4,371
0.00289322888193235,0.00173593732915941,0,0,0.00264336840532951,0.00228195440715783,0,0,0.00264309198518141,0.00228192248263688,1.79758160356869e-07,2,3,4,371
0.00188059877325603,0.00216992166144926,0,0,0.00144402592928686,0.00191188341279317,3.38011973162224e-05,0.0199335222545247,0.0014774793841942,0.00194550628045333,0.0434802606841345,4,3,4,371
0.00581976543130234,0.00513508714526677,0,0,0.00424510568976832,0.00705468198118941,0,0,0.00424487080216567,0.00705434871145082,8.08492472970102e-08,3,5,5,419
0.00581976543130234,0.00547742628828456,0,0,0.0062338836715412,0.0064255974001952,0,0,0.006233514355215,0.00642553850907463,5.9396199958428e-08,2,3,5,419
0.00376573057319563,0.00068467828603557,0,0,0.00279751969261162,0.00103295589209821,0,0,0.00279747980260931,0.0010329559956702,1.62091851052537e-09,3,3,5,419
0.00616210457432013,0.00616210457432013,0,0,0.00385191602052585,0.00637502819523643,0,0,0.00385182505661932,0.00637465410706931,7.31618001736933e-08,3,5,5,419
0.0068467828603557,0.00308105228716006,0,0,0.00434184300917336,0.0035062908495343,0,0,0.00434068577120373,0.00350623164983521,8.35828046774623e-07,2,4,5,419
0.0068467828603557,0.00205403485810671,0,0,0.00824371476493696,0.00174575035143588,0,0,0.00824359134766472,0.00174575068958936,5.0190465117339e-09,3,2,5,419
0.00342339143017785,0.00410806971621342,0,0,0.00207809107656196,0.00348651422787631,0,0,0.00207808593984138,0.00348646926063594,1.77007564161613e-09,3,3,5,419
0.00376573057319563,0.0044504088592312,0,0,0.0045646982765436,0.0024242602713609,0,0,0.00456453933035735,0.00242425395903413,1.56151713781583e-08,3,5,5,419
0.00171169571508892,0.0068467828603557,0,0,0.00138073791070319,0.010136493389172,0,0,0.00138073823516522,0.0101339202304642,1.68725381399781e-06,3,2,5,419
