binominal,F01286,F01287,F01289,F01290,state
Diplospora dubia,Diplospora,dubia,Rubiaceae,Gentianales,AM
Dovyalis abyssinica,Dovyalis,abyssinica,Salicaceae,Malpighiales,AM
Draba nemorosa,Draba,nemorosa,Brassicaceae,Brassicales,NM
Dracophyllum longifolium,Dracophyllum,longifolium,Ericaceae,Ericales,ErM
Drymocallis arguta,Drymocallis,arguta,Rosaceae,Rosales,AM
Dryopteris lepidopoda,Dryopteris,lepidopoda,Dryopteridaceae,Polypodiales,AM
Dryopteris sparsa,Dryopteris,sparsa,Dryopteridaceae,Polypodiales,AM
Dussia tessmannii,Dussia,tessmannii,Fabaceae,Fabales,AM
Echinacea serotina,Echinacea,serotina,Asteraceae,Asterales,AM
Ekebergia capensis,Ekebergia,capensis,Meliaceae,Sapindales,AM
Elaeagnus commutata,Elaeagnus,commutata,Elaeagnaceae,Rosales,AM
Elaeocarpus dentatus,Elaeocarpus,dentatus,Elaeocarpaceae,Oxalidales,AM
Elaeocarpus dubius,Elaeocarpus,dubius,Elaeocarpaceae,Oxalidales,AM
Elaeocarpus glabripetalus,Elaeocarpus,glabripetalus,Elaeocarpaceae,Oxalidales,AM
Elaeocarpus hookerianus,Elaeocarpus,hookerianus,Elaeocarpaceae,Oxalidales,AM
Elaeocarpus sylvestris,Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales,AM
Eleutherococcus senticosus,Eleutherococcus,senticosus,Araliaceae,Apiales,AM
Elymus canadensis,Elymus,canadensis,Poaceae,Poales,AM
Elymus lanceolatus,Elymus,lanceolatus,Poaceae,Poales,AM
Elymus repens,Elymus,repens,Poaceae,Poales,AM
Elymus virginicus,Elymus,virginicus,Poaceae,Poales,AM
Embelia vestita,Embelia,vestita,Primulaceae,Ericales,uncertain
Encephalartos gratus,Encephalartos,gratus,Zamiaceae,Cycadales,AM
Endlicheria anomala,Endlicheria,anomala,Lauraceae,Laurales,AM
Endlicheria arenosa,Endlicheria,arenosa,Lauraceae,Laurales,AM
Endlicheria bracteolata,Endlicheria,bracteolata,Lauraceae,Laurales,AM
Endlicheria citriodora,Endlicheria,citriodora,Lauraceae,Laurales,AM
Endlicheria longicaudata,Endlicheria,longicaudata,Lauraceae,Laurales,AM
Endlicheria macrophylla,Endlicheria,macrophylla,Lauraceae,Laurales,AM
Endlicheria oreocola,Endlicheria,oreocola,Lauraceae,Laurales,AM
Endlicheria ruforamula,Endlicheria,ruforamula,Lauraceae,Laurales,AM
Endospermum chinense,Endospermum,chinense,Euphorbiaceae,Malpighiales,AM
Engelhardia roxburghiana,Engelhardia,roxburghiana,Juglandaceae,Fagales,EcM
Engelhardia serrata,Engelhardia,serrata,Juglandaceae,Fagales,EcM
Engelhardia spicata,Engelhardia,spicata,Juglandaceae,Fagales,EcM
Ephedra distachya,Ephedra,distachya,Ephedraceae,Ephedrales,AM
Ephedra fragilis,Ephedra,fragilis,Ephedraceae,Ephedrales,AM
Equisetum hyemale,Equisetum,hyemale,Equisetaceae,Equisetales,NMAM
Equisetum pratense,Equisetum,pratense,Equisetaceae,Equisetales,NMAM
Eragrostis trichodes,Eragrostis,trichodes,Poaceae,Poales,NMAM
Erica arborea,Erica,arborea,Ericaceae,Ericales,ErM
Erica scoparia,Erica,scoparia,Ericaceae,Ericales,ErM
Erigeron canadensis,Erigeron,canadensis,Asteraceae,Asterales,AM
Erigeron glabellus,Erigeron,glabellus,Asteraceae,Asterales,AM
Erigeron pumilus,Erigeron,pumilus,Asteraceae,Asterales,AM
Eriobotrya japonica,Eriobotrya,japonica,Rosaceae,Rosales,AM
Eriotheca longitubulosa,Eriotheca,longitubulosa,Malvaceae,Malvales,AM
Eriotheca surinamensis,Eriotheca,surinamensis,Malvaceae,Malvales,AM
Erysimum inconspicuum,Erysimum,inconspicuum,Brassicaceae,Brassicales,NM
Eschweilera albiflora,Eschweilera,albiflora,Lecythidaceae,Ericales,AM
Eschweilera atropetiolata,Eschweilera,atropetiolata,Lecythidaceae,Ericales,AM
Eschweilera bracteosa,Eschweilera,bracteosa,Lecythidaceae,Ericales,AM
Eschweilera coriacea,Eschweilera,coriacea,Lecythidaceae,Ericales,AM
Eschweilera decolorans,Eschweilera,decolorans,Lecythidaceae,Ericales,AM
Eschweilera grandiflora,Eschweilera,grandiflora,Lecythidaceae,Ericales,AM
Eschweilera ovata,Eschweilera,ovata,Lecythidaceae,Ericales,AM
Eschweilera parviflora,Eschweilera,parviflora,Lecythidaceae,Ericales,AM
Eschweilera pedicellata,Eschweilera,pedicellata,Lecythidaceae,Ericales,AM
Eschweilera tenuifolia,Eschweilera,tenuifolia,Lecythidaceae,Ericales,AM
Eschweilera truncata,Eschweilera,truncata,Lecythidaceae,Ericales,AM
Eschweilera wachenheimii,Eschweilera,wachenheimii,Lecythidaceae,Ericales,AM
Eucalyptus urophylla,Eucalyptus,urophylla,Myrtaceae,Myrtales,EcMAM
Eugenia biflora,Eugenia,biflora,Myrtaceae,Myrtales,AM
Eugenia florida,Eugenia,florida,Myrtaceae,Myrtales,AM
Eugenia lambertiana,Eugenia,lambertiana,Myrtaceae,Myrtales,AM
Eugenia lisboae,Eugenia,lisboae,Myrtaceae,Myrtales,AM
Eugenia patrisii,Eugenia,patrisii,Myrtaceae,Myrtales,AM
Eugenia protenta,Eugenia,protenta,Myrtaceae,Myrtales,AM
Eugenia pseudopsidium,Eugenia,pseudopsidium,Myrtaceae,Myrtales,AM
Eugenia pusilliflora,Eugenia,pusilliflora,Myrtaceae,Myrtales,AM
Eugenia sinemariensis,Eugenia,sinemariensis,Myrtaceae,Myrtales,AM
Eugenia spruceana,Eugenia,spruceana,Myrtaceae,Myrtales,AM
Eumachia astrellantha,Eumachia,astrellantha,Rubiaceae,Gentianales,AM
Eumachia podocephala,Eumachia,podocephala,Rubiaceae,Gentianales,AM
Euonymus alatus,Euonymus,alatus,Celastraceae,Celastrales,AM
Euonymus verrucosus,Euonymus,verrucosus,Celastraceae,Celastrales,AM
Euptelea pleiosperma,Euptelea,pleiosperma,Eupteleaceae,Ranunculales,AM
Eurya japonica,Eurya,japonica,Pentaphylacaceae,Ericales,AM
Fagus engleriana,Fagus,engleriana,Fagaceae,Fagales,EcM
Fagus grandifolia,Fagus,grandifolia,Fagaceae,Fagales,EcM
Fagus sylvatica,Fagus,sylvatica,Fagaceae,Fagales,EcM
Fallopia convolvulus,Fallopia,convolvulus,Polygonaceae,Caryophyllales,NMAM
Faramea bangii,Faramea,bangii,Rubiaceae,Gentianales,AM
Faramea capillipes,Faramea,capillipes,Rubiaceae,Gentianales,AM
Faramea platyneura,Faramea,platyneura,Rubiaceae,Gentianales,AM
Faramea torquata,Faramea,torquata,Rubiaceae,Gentianales,AM
Ferdinandusa hirsuta,Ferdinandusa,hirsuta,Rubiaceae,Gentianales,AM
Ferdinandusa rudgeoides,Ferdinandusa,rudgeoides,Rubiaceae,Gentianales,AM
Festuca christianii-bernardii,Festuca,christianii-bernardii,Poaceae,Poales,AM
Festuca hallii,Festuca,hallii,Poaceae,Poales,AM
Festuca ovina,Festuca,ovina,Poaceae,Poales,AM
Festuca rubra,Festuca,rubra,Poaceae,Poales,AM
Ficus apollinaris,Ficus,apollinaris,Moraceae,Rosales,AM
Ficus carica,Ficus,carica,Moraceae,Rosales,AM
Ficus citrifolia,Ficus,citrifolia,Moraceae,Rosales,AM
Ficus fistulosa,Ficus,fistulosa,Moraceae,Rosales,AM
Ficus langkokensis,Ficus,langkokensis,Moraceae,Rosales,AM
Ficus maclellandii,Ficus,maclellandii,Moraceae,Rosales,AM
Ficus pertusa,Ficus,pertusa,Moraceae,Rosales,AM
Ficus simplicissima,Ficus,simplicissima,Moraceae,Rosales,AM
Ficus sodiroi,Ficus,sodiroi,Moraceae,Rosales,AM
Ficus tonduzii,Ficus,tonduzii,Moraceae,Rosales,AM
Ficus variolosa,Ficus,variolosa,Moraceae,Rosales,AM
Ficus vasculosa,Ficus,vasculosa,Moraceae,Rosales,AM
Filipendula digitata,Filipendula,digitata,Rosaceae,Rosales,AM
Fraxinus americana,Fraxinus,americana,Oleaceae,Lamiales,AM
Fraxinus angustifolia,Fraxinus,angustifolia,Oleaceae,Lamiales,AM
Fraxinus chinensis,Fraxinus,chinensis,Oleaceae,Lamiales,AM
Fraxinus excelsior,Fraxinus,excelsior,Oleaceae,Lamiales,AM
Fraxinus mandshurica,Fraxinus,mandshurica,Oleaceae,Lamiales,AM
Fraxinus nigra,Fraxinus,nigra,Oleaceae,Lamiales,AM
Fuchsia excorticata,Fuchsia,excorticata,Onagraceae,Myrtales,AM
Fumana thymifolia,Fumana,thymifolia,Cistaceae,Malvales,EcM
Gahnia procera,Gahnia,procera,Cyperaceae,Poales,NMAM
Gahnia xanthocarpa,Gahnia,xanthocarpa,Cyperaceae,Poales,NMAM
Galearia maingayi,Galearia,maingayi,Fabaceae,Fabales,AM
Galium aparine,Galium,aparine,Rubiaceae,Gentianales,NMAM
Galium boreale,Galium,boreale,Rubiaceae,Gentianales,NMAM
Garcinia cowa,Garcinia,cowa,Clusiaceae,Malpighiales,AM
Garcinia oblongifolia,Garcinia,oblongifolia,Clusiaceae,Malpighiales,AM
Garcinia xanthochymus,Garcinia,xanthochymus,Clusiaceae,Malpighiales,AM
Garuga floribunda,Garuga,floribunda,Burseraceae,Sapindales,AM
Geissanthus vanderwerffii,Geissanthus,vanderwerffii,Primulaceae,Ericales,AM
Genista hirsuta,Genista,hirsuta,Fabaceae,Fabales,AM
Genista triacanthos,Genista,triacanthos,Fabaceae,Fabales,AM
Gentiana andrewsii,Gentiana,andrewsii,Gentianaceae,Gentianales,AM
Geranium rotundifolium,Geranium,rotundifolium,Geraniaceae,Geraniales,AM
Ginkgo biloba,Ginkgo,biloba,Ginkgoaceae,Ginkgoales,AM
Gironniera subaequalis,Gironniera,subaequalis,Cannabaceae,Rosales,AM
Gleditsia triacanthos,Gleditsia,triacanthos,Fabaceae,Fabales,AM
Glochidion eriocarpum,Glochidion,eriocarpum,Phyllanthaceae,Malpighiales,AM
Glochidion lanceolarium,Glochidion,lanceolarium,Phyllanthaceae,Malpighiales,AM
Gnetum gnemon,Gnetum,gnemon,Gnetaceae,Gnetales,EcM
Goniothalamus griffithii,Goniothalamus,griffithii,Annonaceae,Magnoliales,AM
Gordonia fruticosa,Gordonia,fruticosa,Theaceae,Ericales,AM
Graffenrieda emarginata,Graffenrieda,emarginata,Melastomataceae,Myrtales,AM
Graffenrieda harlingii,Graffenrieda,harlingii,Melastomataceae,Myrtales,AM
Graffenrieda uribei,Graffenrieda,uribei,Melastomataceae,Myrtales,AM
Grias peruviana,Grias,peruviana,Lecythidaceae,Ericales,AM
Guarea kunthiana,Guarea,kunthiana,Meliaceae,Sapindales,AM
Guarea macrophylla,Guarea,macrophylla,Meliaceae,Sapindales,AM
Guarea subandina,Guarea,subandina,Meliaceae,Sapindales,AM
Gutierrezia sarothrae,Gutierrezia,sarothrae,Asteraceae,Asterales,AM
Gymnosporia arbutifolia,Gymnosporia,arbutifolia,Celastraceae,Celastrales,AM
Hakea ceratophylla,Hakea,ceratophylla,Proteaceae,Proteales,NM
Hakea cyclocarpa,Hakea,cyclocarpa,Proteaceae,Proteales,NM
Hakea linearis,Hakea,linearis,Proteaceae,Proteales,NM
Hakea lissocarpha,Hakea,lissocarpha,Proteaceae,Proteales,NM
Hakea oldfieldii,Hakea,oldfieldii,Proteaceae,Proteales,NM
Hakea tuberculata,Hakea,tuberculata,Proteaceae,Proteales,NM
Hakea varia,Hakea,varia,Proteaceae,Proteales,NM
Halocarpus biformis,Halocarpus,biformis,Podocarpaceae,Araucariales,AM
Halocarpus kirkii,Halocarpus,kirkii,Podocarpaceae,Araucariales,AM
Hamamelis virginiana,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,AM
Handroanthus guayacan,Handroanthus,guayacan,Bignoniaceae,Lamiales,AM
Handroanthus ochraceus,Handroanthus,ochraceus,Bignoniaceae,Lamiales,AM
Harpullia cupanioides,Harpullia,cupanioides,Sapindaceae,Sapindales,AM
Hedeoma hispida,Hedeoma,hispida,Lamiaceae,Lamiales,AM
Hedera helix,Hedera,helix,Araliaceae,Apiales,AM
Hedycarya arborea,Hedycarya,arborea,Minimiaceae,Laurales,AM
Hedyosmum goudotianum,Hedyosmum,goudotianum,Chloranthaceae,Chloranthales,AM
Hedyosmum purpurascens,Hedyosmum,purpurascens,Chloranthaceae,Chloranthales,AM
Helesia tetraptera,Helesia,tetraptera,Styracaceae,Ericales,
Helianthemum almeriense,Helianthemum,almeriense,Cistaceae,Malvales,EcM
Helianthemum apenninum,Helianthemum,apenninum,Cistaceae,Malvales,EcM
Helianthemum oelandicum,Helianthemum,oelandicum,Cistaceae,Malvales,EcM
Helianthemum syriacum,Helianthemum,syriacum,Cistaceae,Malvales,EcM
Helianthus agrestis,Helianthus,agrestis,Asteraceae,Asterales,AM
Helianthus angustifolius,Helianthus,angustifolius,Asteraceae,Asterales,AM
Helianthus annuus,Helianthus,annuus,Asteraceae,Asterales,AM
Helianthus argophyllus,Helianthus,argophyllus,Asteraceae,Asterales,AM
Helianthus atrorubens,Helianthus,atrorubens,Asteraceae,Asterales,AM
Helianthus carnosus,Helianthus,carnosus,Asteraceae,Asterales,AM
Helianthus cusickii,Helianthus,cusickii,Asteraceae,Asterales,AM
Helianthus debilis,Helianthus,debilis,Asteraceae,Asterales,AM
Helianthus floridanus,Helianthus,floridanus,Asteraceae,Asterales,AM
Helianthus giganteus,Helianthus,giganteus,Asteraceae,Asterales,AM
Helianthus grosseserratus,Helianthus,grosseserratus,Asteraceae,Asterales,AM
Helianthus heterophyllus,Helianthus,heterophyllus,Asteraceae,Asterales,AM
Helianthus longifolius,Helianthus,longifolius,Asteraceae,Asterales,AM
Helianthus maximiliani,Helianthus,maximiliani,Asteraceae,Asterales,AM
Helianthus mollis,Helianthus,mollis,Asteraceae,Asterales,AM
Helianthus neglectus,Helianthus,neglectus,Asteraceae,Asterales,AM
Helianthus niveus,Helianthus,niveus,Asteraceae,Asterales,AM
Helianthus occidentalis,Helianthus,occidentalis,Asteraceae,Asterales,AM
Helianthus pauciflorus,Helianthus,pauciflorus,Asteraceae,Asterales,AM
Helianthus petiolaris,Helianthus,petiolaris,Asteraceae,Asterales,AM
Helianthus porteri,Helianthus,porteri,Asteraceae,Asterales,AM
Helianthus praecox,Helianthus,praecox,Asteraceae,Asterales,AM
Helianthus radula,Helianthus,radula,Asteraceae,Asterales,AM
Helianthus salicifolius,Helianthus,salicifolius,Asteraceae,Asterales,AM
Helianthus silphioides,Helianthus,silphioides,Asteraceae,Asterales,AM
Helianthus verticillatus,Helianthus,verticillatus,Asteraceae,Asterales,AM
Helichrysum italicum,Helichrysum,italicum,Asteraceae,Asterales,species-specific: AM or rarely EcM-AM or AM
Helichrysum stoechas,Helichrysum,stoechas,Asteraceae,Asterales,species-specific: AM or rarely EcM-AM or AM
Helicia formosana,Helicia,formosana,Proteaceae,Proteales,NM
Helicostylis scabra,Helicostylis,scabra,Moraceae,Rosales,AM
Helicostylis tomentosa,Helicostylis,tomentosa,Moraceae,Rosales,AM
Helicostylis tovarensis,Helicostylis,tovarensis,Moraceae,Rosales,AM
Heliocarpus americanus,Heliocarpus,americanus,Malvaceae,Malvales,AM
Heliopsis helianthoides,Heliopsis,helianthoides,Asteraceae,Asterales,uncertain
Heptapleurum heptaphyllum,Heptapleurum,heptaphyllum,Araliaceae,Apiales,
Heptapleurum minutistellatum,Heptapleurum,minutistellatum,Araliaceae,Apiales,
Hesperostipa comata,Hesperostipa,comata,Poaceae,Poales,
Hesperostipa spartea,Hesperostipa,spartea,Poaceae,Poales,
Heuchera richardsonii,Heuchera,richardsonii,Saxifragaceae,Saxifragales,NMAM
Hieronyma asperifolia,Hieronyma,asperifolia,Phyllanthaceae,Malpighiales,AM
Hieronyma fendleri,Hieronyma,fendleri,Phyllanthaceae,Malpighiales,AM
Hieronyma macrocarpa,Hieronyma,macrocarpa,Phyllanthaceae,Malpighiales,AM
Hieronyma oblonga,Hieronyma,oblonga,Phyllanthaceae,Malpighiales,AM
Hoheria lyallii,Hoheria,lyallii,Malvaceae,Malvales,AM
Hoheria sexstylosa,Hoheria,sexstylosa,Malvaceae,Malvales,AM
Holcus lanatus,Holcus,lanatus,Poaceae,Poales,AM
Horsfieldia amygdalina,Horsfieldia,amygdalina,Myristicaceae,Magnoliales,AM
Hosta ventricosa,Hosta,ventricosa,Asparagaceae,Asparagales,AM
Hymenopus adolphoduckei,Hymenopus,adolphoduckei,Chrysobalanaceae,Malpighiales,
Hymenopus caudatus,Hymenopus,caudatus,Chrysobalanaceae,Malpighiales,
Hymenopus macrophyllus,Hymenopus,macrophyllus,Chrysobalanaceae,Malpighiales,
Hymenopus reticulatus,Hymenopus,reticulatus,Chrysobalanaceae,Malpighiales,
Hymenopus sothersiae,Hymenopus,sothersiae,Chrysobalanaceae,Malpighiales,
Hymenoxys richardsonii,Hymenoxys,richardsonii,Asteraceae,Asterales,NMAM
Hypobathrum racemosum,Hypobathrum,racemosum,Rubiaceae,Gentianales,AM
Ilex laurina,Ilex,laurina,Aquifoliaceae,Aquifoliales,AM
Ilex macropoda,Ilex,macropoda,Aquifoliaceae,Aquifoliales,AM
Ilex opaca,Ilex,opaca,Aquifoliaceae,Aquifoliales,AM
Ilex pedunculosa,Ilex,pedunculosa,Aquifoliaceae,Aquifoliales,AM
Ilex teratopis,Ilex,teratopis,Aquifoliaceae,Aquifoliales,AM
Ilex verticillata,Ilex,verticillata,Aquifoliaceae,Aquifoliales,AM
Imbralyx leptobotrys,Imbralyx,leptobotrys,Fabaceae,Fabales,
Inga alba,Inga,alba,Fabaceae,Fabales,AM
Inga auristellae,Inga,auristellae,Fabaceae,Fabales,AM
Inga bicoloriflora,Inga,bicoloriflora,Fabaceae,Fabales,AM
Inga brevipes,Inga,brevipes,Fabaceae,Fabales,AM
Inga cayennensis,Inga,cayennensis,Fabaceae,Fabales,AM
Inga cordatoalata,Inga,cordatoalata,Fabaceae,Fabales,AM
Inga extra-nodis,Inga,extra-nodis,Fabaceae,Fabales,AM
Inga gracilifolia,Inga,gracilifolia,Fabaceae,Fabales,AM
Inga huberi,Inga,huberi,Fabaceae,Fabales,AM
Inga lateriflora,Inga,lateriflora,Fabaceae,Fabales,AM
Inga loubryana,Inga,loubryana,Fabaceae,Fabales,AM
Inga macrophylla,Inga,macrophylla,Fabaceae,Fabales,AM
Inga marginata,Inga,marginata,Fabaceae,Fabales,AM
Inga nobilis,Inga,nobilis,Fabaceae,Fabales,AM
Inga obidensis,Inga,obidensis,Fabaceae,Fabales,AM
Inga paraensis,Inga,paraensis,Fabaceae,Fabales,AM
Inga rubiginosa,Inga,rubiginosa,Fabaceae,Fabales,AM
Inga ruiziana,Inga,ruiziana,Fabaceae,Fabales,AM
Inga splendens,Inga,splendens,Fabaceae,Fabales,AM
Inga stipularis,Inga,stipularis,Fabaceae,Fabales,AM
Inga suberosa,Inga,suberosa,Fabaceae,Fabales,AM
Inga thibaudiana,Inga,thibaudiana,Fabaceae,Fabales,AM
Inga umbellifera,Inga,umbellifera,Fabaceae,Fabales,AM
Inga umbratica,Inga,umbratica,Fabaceae,Fabales,AM
Inula conyza,Inula,conyza,Asteraceae,Asterales,AM
Iris japonica,Iris,japonica,Iridaceae,Asparagales,AM
Iris versicolor,Iris,versicolor,Iridaceae,Asparagales,AM
Itea chinensis,Itea,chinensis,Iteaceae,Saxifragales,AM
Ixora intensa,Ixora,intensa,Rubiaceae,Gentianales,AM
Ixora panurensis,Ixora,panurensis,Rubiaceae,Gentianales,AM
Juglans mandshurica,Juglans,mandshurica,Juglandaceae,Fagales,AM
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales,AM
Juniperus chinensis,Juniperus,chinensis,Cupressaceae,Cupressales,AM
Juniperus communis,Juniperus,communis,Cupressaceae,Cupressales,AM
Juniperus phoenicea,Juniperus,phoenicea,Cupressaceae,Cupressales,AM
Juniperus sabina,Juniperus,sabina,Cupressaceae,Cupressales,AM
Knema erratica,Knema,erratica,Myristicaceae,Magnoliales,AM
Knightia excelsa,Knightia,excelsa,Proteaceae,Proteales,NM
Koeleria macrantha,Koeleria,macrantha,Poaceae,Poales,AM
Koeleria pyramidata,Koeleria,pyramidata,Poaceae,Poales,AM
Koeleria vallesiana,Koeleria,vallesiana,Poaceae,Poales,AM
Koelreuteria paniculata,Koelreuteria,paniculata,Sapindaceae,Sapindales,AM
Krascheninnikovia ceratoides,Krascheninnikovia,ceratoides,Amaranthaceae,Caryophyllales,AM
Kubitzkia mezii,Kubitzkia,mezii,Lauraceae,Laurales,AM
Kunzea ericoides,Kunzea,ericoides,Myrtaceae,Myrtales,EcMAM
Kutchubaea oocarpa,Kutchubaea,oocarpa,Rubiaceae,Gentianales,AM
Kutchubaea semisericea,Kutchubaea,semisericea,Rubiaceae,Gentianales,AM
Kutchubaea sericantha,Kutchubaea,sericantha,Rubiaceae,Gentianales,AM
Lactuca tatarica,Lactuca,tatarica,Asteraceae,Asterales,AM
Ladenbergia riveroana,Ladenbergia,riveroana,Rubiaceae,Gentianales,AM
Lamium album,Lamium,album,Lamiaceae,Lamiales,NMAM
Larix decidua,Larix,decidua,Pinaceae,Pinales,EcM
Larix gmelinii,Larix,gmelinii,Pinaceae,Pinales,EcM
Larix kaempferi,Larix,kaempferi,Pinaceae,Pinales,EcM
Lathyrus venosus,Lathyrus,venosus,Fabaceae,Fabales,AM
Launaea arborescens,Launaea,arborescens,Asteraceae,Asterales,AM
Laurelia novae-zelandiae,Laurelia,novae-zelandiae,Atherospermataceae,Laurales,AM
Lavandula multifida,Lavandula,multifida,Lamiaceae,Lamiales,AM
Leonia glycycarpa,Leonia,glycycarpa,Violaceae,Malpighiales,AM
Lepidium densiflorum,Lepidium,densiflorum,Brassicaceae,Brassicales,NM
Lepidothamnus intermedius,Lepidothamnus,intermedius,Podocarpaceae,Araucariales,AM
Lepisanthes senegalensis,Lepisanthes,senegalensis,Sapindaceae,Sapindales,AM
Leptecophylla juniperina,Leptecophylla,juniperina,Ericaceae,Ericales,ErM
Leptobalanus granvillei,Leptobalanus,granvillei,Chrysobalanaceae,Malpighiales,
Leptobalanus latus,Leptobalanus,latus,Chrysobalanaceae,Malpighiales,
Leptobalanus longistylus,Leptobalanus,longistylus,Chrysobalanaceae,Malpighiales,
Leptobalanus octandrus,Leptobalanus,octandrus,Chrysobalanaceae,Malpighiales,
Leptobalanus sprucei,Leptobalanus,sprucei,Chrysobalanaceae,Malpighiales,
Leptospermum scoparium,Leptospermum,scoparium,Myrtaceae,Myrtales,EcMAM
Lespedeza bicolor,Lespedeza,bicolor,Fabaceae,Fabales,AM
Lespedeza capitata,Lespedeza,capitata,Fabaceae,Fabales,AM
Lespedeza davurica,Lespedeza,davurica,Fabaceae,Fabales,AM
Lespedeza thunbergii,Lespedeza,thunbergii,Fabaceae,Fabales,AM
Leymus chinensis,Leymus,chinensis,Poaceae,Poales,AM
Liatris aspera,Liatris,aspera,Asteraceae,Asterales,AM
Licania bracteata,Licania,bracteata,Chrysobalanaceae,Malpighiales,AM
Licania gracilipes,Licania,gracilipes,Chrysobalanaceae,Malpighiales,AM
Licania harlingii,Licania,harlingii,Chrysobalanaceae,Malpighiales,AM
Licania hypoleuca,Licania,hypoleuca,Chrysobalanaceae,Malpighiales,AM
Licania irwinii,Licania,irwinii,Chrysobalanaceae,Malpighiales,AM
Licania micrantha,Licania,micrantha,Chrysobalanaceae,Malpighiales,AM
Licania niloi,Licania,niloi,Chrysobalanaceae,Malpighiales,AM
Licania ovalifolia,Licania,ovalifolia,Chrysobalanaceae,Malpighiales,AM
Licania parviflora,Licania,parviflora,Chrysobalanaceae,Malpighiales,AM
Licania rodriguesii,Licania,rodriguesii,Chrysobalanaceae,Malpighiales,AM
Licaria chrysophylla,Licaria,chrysophylla,Lauraceae,Laurales,AM
Licaria guianensis,Licaria,guianensis,Lauraceae,Laurales,AM
Licaria hirsuta,Licaria,hirsuta,Lauraceae,Laurales,AM
Licaria macrophylla,Licaria,macrophylla,Lauraceae,Laurales,AM
Licaria oppositifolia,Licaria,oppositifolia,Lauraceae,Laurales,AM
Lindera benzoin,Lindera,benzoin,Lauraceae,Laurales,AM
Lindera communis,Lindera,communis,Lauraceae,Laurales,AM
Lindera metcalfiana,Lindera,metcalfiana,Lauraceae,Laurales,AM
Lindera obtusiloba,Lindera,obtusiloba,Lauraceae,Laurales,AM
Linum lewisii,Linum,lewisii,Linaceae,Malpighiales,AM
Liquidambar formosana,Liquidambar,formosana,Altingiaceae,Saxifragales,AM
Liquidambar gracilipes,Liquidambar,gracilipes,Altingiaceae,Saxifragales,AM
Liquidambar obovata,Liquidambar,obovata,Altingiaceae,Saxifragales,AM
Liquidambar styraciflua,Liquidambar,styraciflua,Altingiaceae,Saxifragales,AM
Liriodendron chinense,Liriodendron,chinense,Magnoliaceae,Magnoliales,AM
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales,AM
Lithocarpus bacgiangensis,Lithocarpus,bacgiangensis,Fagaceae,Fagales,EcM
Lithocarpus chiungchungensis,Lithocarpus,chiungchungensis,Fagaceae,Fagales,EcM
Lithocarpus cleistocarpus,Lithocarpus,cleistocarpus,Fagaceae,Fagales,EcM
Lithocarpus clementianus,Lithocarpus,clementianus,Fagaceae,Fagales,EcM
Lithocarpus confertus,Lithocarpus,confertus,Fagaceae,Fagales,EcM
Lithocarpus elegans,Lithocarpus,elegans,Fagaceae,Fagales,EcM
Lithocarpus fenestratus,Lithocarpus,fenestratus,Fagaceae,Fagales,EcM
Lithocarpus fohaiensis,Lithocarpus,fohaiensis,Fagaceae,Fagales,EcM
Lithocarpus lampadarius,Lithocarpus,lampadarius,Fagaceae,Fagales,EcM
Lithocarpus rigidus,Lithocarpus,rigidus,Fagaceae,Fagales,EcM
Lithocarpus variolosus,Lithocarpus,variolosus,Fagaceae,Fagales,EcM
Litsea baviensis,Litsea,baviensis,Lauraceae,Laurales,AM
Litsea cubeba,Litsea,cubeba,Lauraceae,Laurales,AM
Litsea elongata,Litsea,elongata,Lauraceae,Laurales,AM
Litsea glutinosa,Litsea,glutinosa,Lauraceae,Laurales,AM
Litsea ichangensis,Litsea,ichangensis,Lauraceae,Laurales,AM
Litsea martabanica,Litsea,martabanica,Lauraceae,Laurales,AM
Litsea mollis,Litsea,mollis,Lauraceae,Laurales,AM
Litsea panamanja,Litsea,panamanja,Lauraceae,Laurales,AM
Litsea salicifolia,Litsea,salicifolia,Lauraceae,Laurales,AM
Litsea szemaois,Litsea,szemaois,Lauraceae,Laurales,AM
Litsea umbellata,Litsea,umbellata,Lauraceae,Laurales,AM
Litsea verticillata,Litsea,verticillata,Lauraceae,Laurales,AM
Lolium arundinaceum,Lolium,arundinaceum,Poaceae,Poales,AM
Lolium perenne,Lolium,perenne,Poaceae,Poales,AM
Lomaria discolor,Lomaria,discolor,Blechnaceae,Polypodiales,
Lonicera chrysantha,Lonicera,chrysantha,Caprifoliaceae,Dipsacales,AM
Lonicera maackii,Lonicera,maackii,Caprifoliaceae,Dipsacales,AM
Lotus corniculatus,Lotus,corniculatus,Fabaceae,Fabales,AM
Lupinus perennis,Lupinus,perennis,Fabaceae,Fabales,NM
Lygodesmia juncea,Lygodesmia,juncea,Asteraceae,Asterales,AM
Macaranga sampsonii,Macaranga,sampsonii,Euphorbiaceae,Malpighiales,AM
Machilus breviflora,Machilus,breviflora,Lauraceae,Laurales,AM
Machilus kwangtungensis,Machilus,kwangtungensis,Lauraceae,Laurales,AM
Machilus nanmu,Machilus,nanmu,Lauraceae,Laurales,AM
Machilus oculodracontis,Machilus,oculodracontis,Lauraceae,Laurales,AM
