binominal,F01286,F01287,F01289,F01290,state
Aniba terminalis,Aniba,terminalis,Lauraceae,Laurales,AM
Antennaria neglecta,Antennaria,neglecta,Asteraceae,Asterales,AM
Antennaria parvifolia,Antennaria,parvifolia,Asteraceae,Asterales,AM
Anthyllis cytisoides,Anthyllis,cytisoides,Fabaceae,Fabales,AM
Anthyllis terniflora,Anthyllis,terniflora,Fabaceae,Fabales,AM
Antiaris toxicaria,Antiaris,toxicaria,Moraceae,Rosales,AM
Antidesma maclurei,Antidesma,maclurei,Phyllanthaceae,Malpighiales,AM
Aphanamixis polystachya,Aphanamixis,polystachya,Meliaceae,Sapindales,AM
Apodytes dimidiata,Apodytes,dimidiata,Metteniusaceae,Metteniusales,AM
Aporosa octandra,Aporosa,octandra,Phyllanthaceae,Malpighiales,AM
Aporosa subcaudata,Aporosa,subcaudata,Phyllanthaceae,Malpighiales,AM
Aporosa yunnanensis,Aporosa,yunnanensis,Phyllanthaceae,Malpighiales,AM
Araucaria luxurians,Araucaria,luxurians,Araucariaceae,Araucariales,AM
Araucaria rulei,Araucaria,rulei,Araucariaceae,Araucariales,AM
Arbutus unedo,Arbutus,unedo,Ericaceae,Ericales,EcM
Archidendron clypearia,Archidendron,clypearia,Fabaceae,Fabales,AM
Archidendron lucidum,Archidendron,lucidum,Fabaceae,Fabales,AM
Ardisia depressa,Ardisia,depressa,Primulaceae,Ericales,AM
Ardisia japonica,Ardisia,japonica,Primulaceae,Ericales,AM
Ardisia quinquegona,Ardisia,quinquegona,Primulaceae,Ericales,AM
Arenaria serpyllifolia,Arenaria,serpyllifolia,Caryophyllaceae,Caryophyllales,NMAM
Aristotelia serrata,Aristotelia,serrata,Elaeocarpaceae,Oxalidales,AM
Armeria velutina,Armeria,velutina,Plumbaginaceae,Caryophyllales,NMAM
Arnica fulgens,Arnica,fulgens,Asteraceae,Asterales,AM
Arnica sororia,Arnica,sororia,Asteraceae,Asterales,AM
Artemisia barrelieri,Artemisia,barrelieri,Asteraceae,Asterales,AM
Artemisia cana,Artemisia,cana,Asteraceae,Asterales,AM
Artemisia frigida,Artemisia,frigida,Asteraceae,Asterales,AM
Artemisia igniaria,Artemisia,igniaria,Asteraceae,Asterales,AM
Artemisia ludoviciana,Artemisia,ludoviciana,Asteraceae,Asterales,AM
Artemisia mongolica,Artemisia,mongolica,Asteraceae,Asterales,AM
Artocarpus lakoocha,Artocarpus,lakoocha,Moraceae,Rosales,AM
Artocarpus styracifolius,Artocarpus,styracifolius,Moraceae,Rosales,AM
Ascarina lucida,Ascarina,lucida,Chloranthaceae,Chloranthales,AM
Asclepias incarnata,Asclepias,incarnata,Apocynaceae,Gentianales,AM
Asclepias syriaca,Asclepias,syriaca,Apocynaceae,Gentianales,AM
Asclepias tuberosa,Asclepias,tuberosa,Apocynaceae,Gentianales,AM
Asimina triloba,Asimina,triloba,Annonaceae,Magnoliales,AM
Asparagus schoberioides,Asparagus,schoberioides,Asparagaceae,Asparagales,AM
Asplenium bulbiferum,Asplenium,bulbiferum,Aspleniaceae,Polypodiales,NMAM
Astelia fragrans,Astelia,fragrans,Asteliaceae,Asparagales,AM
Astelia nervosa,Astelia,nervosa,Asteliaceae,Asparagales,AM
Aster lanceolatus,Aster,lanceolatus,Asteraceae,Asterales,AM
Aster scaber,Aster,scaber,Asteraceae,Asterales,AM
Aster tataricus,Aster,tataricus,Asteraceae,Asterales,AM
Astilbe rivularis,Astilbe,rivularis,Saxifragaceae,Saxifragales,NMAM
Astilbe rubra,Astilbe,rubra,Saxifragaceae,Saxifragales,NMAM
Astragalus aboriginum,Astragalus,aboriginum,Fabaceae,Fabales,AM
Astragalus agrestis,Astragalus,agrestis,Fabaceae,Fabales,AM
Astragalus bisulcatus,Astragalus,bisulcatus,Fabaceae,Fabales,AM
Astragalus canadensis,Astragalus,canadensis,Fabaceae,Fabales,AM
Astragalus scaberrimus,Astragalus,scaberrimus,Fabaceae,Fabales,AM
Athyrium monomachii,Athyrium,monomachii,Athyriaceae,Polypodiales,AM
Athyrium sinense,Athyrium,sinense,Athyriaceae,Polypodiales,AM
Athyrium spinulosum,Athyrium,spinulosum,Athyriaceae,Polypodiales,AM
Atractylis humilis,Atractylis,humilis,Asteraceae,Asterales,AM
Austroblechnum lanceolatum,Austroblechnum,lanceolatum,Blechnaceae,Polypodiales,
Baccaurea ramiflora,Baccaurea,ramiflora,Phyllanthaceae,Malpighiales,AM
Baptisia alba,Baptisia,alba,Fabaceae,Fabales,AM
Barringtonia fusicarpa,Barringtonia,fusicarpa,Lecythidaceae,Ericales,AM
Barringtonia racemosa,Barringtonia,racemosa,Lecythidaceae,Ericales,AM
Bathysa australis,Bathysa,australis,Rubiaceae,Gentianales,AM
Beilschmiedia purpurascens,Beilschmiedia,purpurascens,Lauraceae,Laurales,AM
Beilschmiedia tarairi,Beilschmiedia,tarairi,Lauraceae,Laurales,AM
Beilschmiedia tawa,Beilschmiedia,tawa,Lauraceae,Laurales,AM
Berberis thunbergii,Berberis,thunbergii,Berberidaceae,Ranunculales,AM
Berteroa incana,Berteroa,incana,Brassicaceae,Brassicales,NM
Betula costata,Betula,costata,Betulaceae,Fagales,EcM
Betula dahurica,Betula,dahurica,Betulaceae,Fagales,EcM
Betula fruticosa,Betula,fruticosa,Betulaceae,Fagales,EcM
Betula lenta,Betula,lenta,Betulaceae,Fagales,EcM
Betula pendula,Betula,pendula,Betulaceae,Fagales,EcM
Betula utilis,Betula,utilis,Betulaceae,Fagales,EcM
Bituminaria bituminosa,Bituminaria,bituminosa,Fabaceae,Fabales,AM
Blastus cochinchinensis,Blastus,cochinchinensis,Melastomataceae,Myrtales,AM
Blastus pauciflorus,Blastus,pauciflorus,Melastomataceae,Myrtales,AM
Blechnopsis orientalis,Blechnopsis,orientalis,Blechnaceae,Polypodiales,AM
Blepharocalyx eggersii,Blepharocalyx,eggersii,Myrtaceae,Myrtales,AM
Blumeodendron tokbrai,Blumeodendron,tokbrai,Euphorbiaceae,Malpighiales,AM
Bouteloua curtipendula,Bouteloua,curtipendula,Poaceae,Poales,AM
Bouteloua gracilis,Bouteloua,gracilis,Poaceae,Poales,AM
Brachypodium phoenicoides,Brachypodium,phoenicoides,Poaceae,Poales,AM
Brachypodium pinnatum,Brachypodium,pinnatum,Poaceae,Poales,AM
Brachypodium sylvaticum,Brachypodium,sylvaticum,Poaceae,Poales,AM
Bromus catharticus,Bromus,catharticus,Poaceae,Poales,AM
Bromus erectus,Bromus,erectus,Poaceae,Poales,AM
Bromus inermis,Bromus,inermis,Poaceae,Poales,AM
Bromus madritensis,Bromus,madritensis,Poaceae,Poales,AM
Brosimum lactescens,Brosimum,lactescens,Moraceae,Rosales,AM
Brosimum rubescens,Brosimum,rubescens,Moraceae,Rosales,AM
Brosimum utile,Brosimum,utile,Moraceae,Rosales,AM
Calamagrostis canadensis,Calamagrostis,canadensis,Poaceae,Poales,AM
Calamus rhabdocladus,Calamus,rhabdocladus,Arecaceae,Arecales,AM
Calliandra houstoniana,Calliandra,houstoniana,Fabaceae,Fabales,AM
Callitropsis nootkatensis,Callitropsis,nootkatensis,Cupressaceae,Cupressales,
Calluna vulgaris,Calluna,vulgaris,Ericaceae,Ericales,ErM
Calocedrus decurrens,Calocedrus,decurrens,Cupressaceae,Cupressales,AM
Calpurnia aurea,Calpurnia,aurea,Fabaceae,Fabales,AM
Caltha palustris,Caltha,palustris,Ranunculaceae,Ranunculales,NMAM
Calycolpus goetheanus,Calycolpus,goetheanus,Myrtaceae,Myrtales,AM
Campanula rotundifolia,Campanula,rotundifolia,Campanulaceae,Asterales,AM
Canarium album,Canarium,album,Burseraceae,Sapindales,AM
Canarium subulatum,Canarium,subulatum,Burseraceae,Sapindales,AM
Carallia brachiata,Carallia,brachiata,Rhizophoraceae,Malpighiales,AM
Carapichea pacimonica,Carapichea,pacimonica,Rubiaceae,Gentianales,AM
Carex atrofusca,Carex,atrofusca,Cyperaceae,Poales,NMAM
Carex coriophora,Carex,coriophora,Cyperaceae,Poales,NMAM
Carex filifolia,Carex,filifolia,Cyperaceae,Poales,NMAM
Carex flacca,Carex,flacca,Cyperaceae,Poales,NMAM
Carex humulis,Carex,humulis,Cyperaceae,Poales,NMAM
Carex korshinskyi,Carex,korshinskyi,Cyperaceae,Poales,NMAM
Carex lasiocarpa,Carex,lasiocarpa,Cyperaceae,Poales,NMAM
Carex obtusata,Carex,obtusata,Cyperaceae,Poales,NMAM
Carex pseuduncinoides,Carex,pseuduncinoides,Cyperaceae,Poales,NMAM
Carex tibetikobresia,Carex,tibetikobresia,Cyperaceae,Poales,NMAM
Carpinus betulus,Carpinus,betulus,Betulaceae,Fagales,EcM
Carpinus caroliniana,Carpinus,caroliniana,Betulaceae,Fagales,EcM
Carpinus cordata,Carpinus,cordata,Betulaceae,Fagales,EcM
Carpodetus serratus,Carpodetus,serratus,Rousseaceae,Asterales,AM
Carya cordiformis,Carya,cordiformis,Juglandaceae,Fagales,EcM
Carya glabra,Carya,glabra,Juglandaceae,Fagales,EcM
Carya ovata,Carya,ovata,Juglandaceae,Fagales,EcM
Caryota maxima,Caryota,maxima,Arecaceae,Arecales,AM
Castanea henryi,Castanea,henryi,Fagaceae,Fagales,EcM
Castanopsis boisii,Castanopsis,boisii,Fagaceae,Fagales,EcM
Castanopsis calathiformis,Castanopsis,calathiformis,Fagaceae,Fagales,EcM
Castanopsis carlesii,Castanopsis,carlesii,Fagaceae,Fagales,EcM
Castanopsis echinocarpa,Castanopsis,echinocarpa,Fagaceae,Fagales,EcM
Castanopsis eyrei,Castanopsis,eyrei,Fagaceae,Fagales,EcM
Castanopsis fabri,Castanopsis,fabri,Fagaceae,Fagales,EcM
Castanopsis fargesii,Castanopsis,fargesii,Fagaceae,Fagales,EcM
Castanopsis ferox,Castanopsis,ferox,Fagaceae,Fagales,EcM
