name,synonym
Asclepias incarnata,"('Acerates incarnata',)"
Asimina triloba,"('Uvaria triloba', 'Porcelia triloba', 'Annona triloba')"
Asplenium bulbiferum,"('Asplenium marinum var. bulbiferum', 'Caenopteris bulbifera', 'Chamaefilix bulbifera')"
Astelia fragrans,"('Funckia fragrans',)"
Astelia nervosa,"('Funckia nervosa',)"
Aster lanceolatus,"('Symphyotrichum lanceolatum',)"
Aster scaber,"('Cardiagyris scabra', 'Doellingeria scabra')"
Astragalus agrestis,"('Phaca agrestis',)"
Astragalus bisulcatus,"('Phaca bisulcata', 'Diholcos bisulcatus', 'Tragacantha bisulcata')"
Astragalus canadensis,"('Phaca canadensis', 'Tragacantha canadensis')"
Astragalus scaberrimus,"('Tragacantha scaberrima',)"
Athyrium monomachii,"('Athyrium filix-femina var. monomachii',)"
Athyrium sinense,"('Athyrium filix-femina subsp. sinense',)"
Athyrium spinulosum,"('Cystopteris spinulosa', 'Pseudocystopteris spinulosa')"
Baptisia alba,"('Podalyria alba', 'Sophora alba', 'Crotalaria alba')"
Barringtonia racemosa,"('Caryophyllus racemosus', 'Butonica racemosa', 'Butonica alba', 'Eugenia racemosa', 'Michelia racemosa', 'Stravadium racemosum', 'Huttum racemosum')"
Bathysa australis,"('Voigtia australis', 'Cinchona australis', 'Exostema australe')"
Beilschmiedia tarairi,"('Laurus tarairi',)"
Beilschmiedia tawa,"('Laurus tawa',)"
Berteroa incana,"('Moenchia incana', 'Vesicaria incana', 'Alyssum incanum', 'Farsetia incana')"
Betula costata,"('Betula ermanii f. costata', 'Betula ermanii var. costata', 'Betula ulmifolia var. costata')"
Betula pendula,"('Betula alba lusus pendula', 'Betula alba var. pendula', 'Betula alba var. pendula')"
Bituminaria bituminosa,"('Aspalthium bituminosum', 'Lotodes bituminosum', 'Rhynchodium bituminosum', 'Psoralea bituminosa', 'Bipontinia bituminosa')"
Blastus pauciflorus,"('Oxyspora pauciflora', 'Allomorphia pauciflora')"
Blechnopsis orientalis,"('Blechnum orientale',)"
Blepharocalyx eggersii,"('Marlieriopsis eggersii', 'Mitranthes eggersii')"
Blumeodendron tokbrai,"('Mallotus tokbrai', 'Elateriospermum tokbrai', 'Blumeodendron elateriospermum', 'Rottlera tokbrai')"
Bouteloua curtipendula,"('Cynodon curtipendulus', 'Atheropogon curtipendulus', 'Dinebra curtipendula', 'Andropogon curtipendulus', 'Chloris curtipendula', 'Eutriana curtipendula')"
Bouteloua gracilis,"('Atheropogon gracilis', 'Chondrosum gracile', 'Eutriana gracilis', 'Actinochloa gracilis')"
Brachypodium phoenicoides,"('Schedonorus phoenicoides', 'Brachypodium pinnatum subsp. phoenicoides', 'Brachypodium pinnatum var. phoenicoides', 'Festuca phoenicoides', 'Brachypodium pinnatum subsp. phoenicoides', 'Brachypodium cespitosum var. phoenicoides', 'Poa phoenicoides', 'Brachypodium ramosum var. phoenicoides', 'Brachypodium ramosum proles phoenicoides', 'Brachypodium pinnatum var. phoenicoides', 'Brachypodium caespitosum var. phoenicoides', 'Triticum phoenicoides', 'Bromus phoenicoides')"
Brachypodium pinnatum,"('Festuca pinnata', 'Bromus pinnatus', 'Tragus pinnatus', 'Triticum pinnatum', 'Agropyron pinnatum')"
Brachypodium sylvaticum,"('Bromus pinnatus var. sylvaticus', 'Festuca sylvatica', 'Brachypodium pinnatum var. sylvaticum', 'Brachypodium pinnatum var. sylvaticum', 'Festuca pinnata var. sylvatica', 'Brevipodium sylvaticum', 'Agropyron sylvaticum', 'Bromus sylvaticus', 'Triticum sylvaticum')"
Bromus catharticus,"('Ceratochloa cathartica',)"
Bromus erectus,"('Forasaccus erectus', 'Festuca erecta', 'Schedonorus erectus', 'Bromopsis erecta', 'Zerna erecta')"
Bromus inermis,"('Forasaccus inermis', 'Zerna inermis', 'Festuca inermis', 'Schedonorus inermis', 'Bromopsis inermis')"
Bromus madritensis,"('Anisantha madritensis', 'Zerna madritensis', 'Genea madritensis', 'Festuca madritensis', 'Bromus rubens subsp. madritensis', 'Bromus sterilis var. madritensis')"
Brosimum lactescens,"('Brosimopsis lactescens',)"
Brosimum rubescens,"('Piratinera rubescens',)"
Brosimum utile,"('Piratinera utilis', 'Galactodendrum utile')"
Calamagrostis canadensis,"('Arundo canadensis', 'Calamagrostis langsdorffii var. marylandica', 'Deyeuxia canadensis')"
Calliandra houstoniana,"('Mimosa houstoniana', 'Anneslia houstoniana')"
Callitropsis nootkatensis,"('Xanthocyparis nootkatensis', 'Chamaecyparis nootkatensis', 'Cupressus nootkatensis')"
Calluna vulgaris,"('Ericoides vulgaris', 'Erica vulgaris')"
Calocedrus decurrens,"('Heyderia decurrens', 'Thuja decurrens', 'Libocedrus decurrens')"
Calpurnia aurea,"('Virgilia aurea', 'Podalyria aurea', 'Sophora aurea')"
Caltha palustris,"('Populago palustris', 'Trollius palustris')"
Calycolpus goetheanus,"('Myrtus goetheana',)"
Canarium album,"('Pimela alba',)"
Carallia brachiata,"('Karekandelia brachiata', 'Petalotoma brachiata', 'Diatoma brachiata')"
Carapichea pacimonica,"('Uragoga pacimonica', 'Psychotria pacimonica')"
Carex atrofusca,"('Proteocarpus atrofuscus',)"
Carex coriophora,"('Carex atrofusca subsp. coriophora', 'Carex atrofusca var. coriophora')"
Carex filifolia,"('Olotrema filifolia', 'Uncinia filifolia')"
Carex korshinskyi,"('Carex supina var. korshinskyi', 'Carex supina subsp. korshinskyi')"
Carex obtusata,"('Genersichia obtusata', 'Psyllophora obtusata')"
Carex pseuduncinoides,"('Kobresia pseuduncinoides',)"
Carex tibetikobresia,"('Kobresia capillifolia var. tibetica', 'Kobresia tibetica')"
Carpinus cordata,"('Distegocarpus cordatus',)"
Carya cordiformis,"('Juglans cordiformis', 'Hicorius cordiformis')"
Carya glabra,"('Juglans glabra', 'Hicorius glabra', 'Scoria glabra')"
Carya ovata,"('Juglans alba var. ovata', 'Juglans alba ovata', 'Carya alba subsp. ovata', 'Juglans ovata', 'Hicorius ovata', 'Scoria ovata')"
Caryota maxima,"('Caryota rumphiana var. javanica',)"
Castanea henryi,"('Castanopsis henryi',)"
Castanopsis calathiformis,"('Lithocarpus calathiformis', 'Pasania calathiformis', 'Quercus calathiformis', 'Synaedrys calathiformis')"
Castanopsis carlesii,"('Shiia carlesii', 'Synaedrys carlesii', 'Quercus carlesii', 'Castanopsis cuspidata var. carlesii')"
Castanopsis echinocarpa,"('Castanopsis tribuloides var. echinocarpa',)"
Castanopsis eyrei,"('Lithocarpus eyrei', 'Pasania eyrei', 'Quercus eyrei')"
Castanopsis ferox,"('Quercus ferox', 'Castanopsis tribuloides var. ferox')"
Castanopsis fissa,"('Lithocarpus fissus', 'Pasania fissa', 'Quercus fissa', 'Shiia fissa', 'Synaedrys fissa')"
Castanopsis indica,"('Quercus indica', 'Castanea indica')"
Castanopsis wattii,"('Castanea wattii', 'Castanopsis tribuloides var. wattii')"
Catunaregam spinosa,"('Xeromphis spinosa', 'Randia spinosa', 'Canthium spinosum', 'Gardenia spinosa')"
Caulophyllum robustum,"('Leontice robusta', 'Caulophyllum thalictroides subsp. robustum')"
Cedrela montana,"('Surenus montana',)"
Cedrus libani,"('Larix cedrus', 'Picea cedrus', 'Abies cedrus', 'Cedrus effusa', 'Cedrus libanotica subsp. libani', 'Pinus cedrus')"
Celtis sinensis,"('Celtis tetrandra subsp. sinensis',)"
Celtis tetrandra,"('Celtis sinensis var. tetrandra',)"
Cenchrus americanus,"('Pennisetum americanum', 'Panicum americanum')"
Centaurea pectinata,"('Jacea pectinata',)"
Cerastium arvense,"('Alsine arvensis', 'Leucodonium arvense', 'Centunculus arvensis')"
Cercis canadensis,"('Siliquastrum canadense',)"
Chamaecrista fasciculata,"('Cassia fasciculata',)"
Chamaecyparis obtusa,"('Retinispora obtusa', 'Cupressus obtusa', 'Chamaepeuce obtusa')"
Chamaecyparis pisifera,"('Thuja pisifera', 'Retinispora pisifera', 'Cupressus pisifera')"
Chamaerhodos erecta,"('Sibbaldia erecta',)"
Chassalia subnuda,"('Uragoga subnuda', 'Psychotria subnuda')"
Chenopodium album,"('Chenopodium viride var. album', 'Botrys albus', 'Atriplex alba')"
Choerospondias axillaris,"('Spondias axillaris', 'Poupartia axillaris')"
Chomelia tenuiflora,"('Caruelina tenuiflora', 'Anisomeris tenuiflora')"
Chromolucuma rubriflora,"('Pouteria rubriflora',)"
Chrysojasminum fruticans,"('Jasminum fruticans',)"
Chrysophyllum sanguinolentum,"('Ragala sanguinolenta',)"
Chrysopsis villosa,"('Heterotheca villosa',)"
Cibotium barometz,"('Dicksonia barometz', 'Polypodium barometz', 'Aspidium barometz', 'Nephrodium barometz')"
Cinnamomum camphora,"('Camphora officinarum',)"
Cinnamomum glanduliferum,"('Camphora glandulifera',)"
Cinnamomum iners,"('Cinnamomum nitidum var. iners', 'Laurus iners')"
Cinnamomum micranthum,"('Camphora micrantha',)"
Cinnamomum parthenoxylon,"('Camphora parthenoxylon',)"
Cistus albidus,"('Cistus vulgaris var. albidus',)"
Cistus calycinus,"('Stegitris calicinus', 'Halimium calycinum', 'Halimium atriplicifolium var. calycinum', 'Helianthemum calycinum')"
Cistus crispus,"('Cistus vulgaris var. crispus',)"
Cistus halimifolius,"('Strobon halimifolium', 'Helianthemum halimifolium', 'Halimium halimifolium')"
Cistus monspeliensis,"('Stephanocarpus monspeliensis',)"
Cistus salviifolius,"('Ledonia peduncularis var. salviifolia',)"
Cleistogenes squarrosa,"('Molinia squarrosa', 'Kengia squarrosa', 'Diplachne squarrosa')"
Clethra revoluta,"('Cuellaria revoluta',)"
Clinopodium nepeta,"('Melissa nepeta', 'Satureja nepeta', 'Calamintha officinalis var. nepeta', 'Satureja calamintha var. nepeta', 'Thymus nepeta', 'Satureja calamintha subsp. nepeta', 'Calamintha nepeta')"
Clitoria javitensis,"('Ternatea javitensis', 'Neurocarpum javitense')"
Coccoloba manzinellensis,"('Uvifera manzinellensis',)"
Comandra umbellata,"('Thesium umbellatum',)"
Combretum decandrum,"('Poivrea decandra',)"
Convallaria majalis,"('Polygonatum majale', 'Lilium-convallium majale')"
Coprosma linariifolia,"('Coprosma propinqua var. linariifolia',)"
Cordiera myrciifolia,"('Alibertia myrciifolia',)"
Coreopsis palmata,"('Anacis palmata',)"
Cornus bretschneideri,"('Swida bretschneideri',)"
Cornus controversa,"('Bothrocaryum controversum', 'Swida controversa')"
Cornus florida,"('Benthamia florida', 'Benthamidia florida', 'Cynoxylon floridum')"
Cornus kousa,"('Benthamia kousa', 'Benthamia japonica', 'Dendrobenthamia japonica', 'Benthamidia japonica', 'Cynoxylon japonicum', 'Cynoxylon kousa')"
Cornus officinalis,"('Macrocarpium officinale',)"
Cornus ulotricha,"('Swida ulotricha',)"
Coronilla juncea,"('Ornithopus junceus',)"
Coronilla minima,"('Ornithopus minimus',)"
Corylus sieboldiana,"('Corylus heterophylla var. sieboldiana', 'Corylus rostrata var. sieboldiana')"
Cotoneaster acutifolius,"('Pyrus acutifolia', 'Cotoneaster niger var. acutifolius')"
Cotoneaster adpressus,"('Cotoneaster horizontalis var. adpressus', 'Pyrus adpressa')"
Cotoneaster multiflorus,"('Pyrus multiflora',)"
Crataegus monogyna,"('Oxyacantha apiifolia', 'Mespilus oxyacantha subsp. monogyna', 'Mespilus monogyna', 'Crataegus oxyacantha proles monogyna', 'Oxyacantha monogyna', 'Crataegus oxyacantha var. monogyna', 'Crataegus oxyacantha subsp. monogyna', 'Crataegus oxyacantha monogyna')"
Crataegus pinnatifida,"('Mespilus pinnatifida', 'Mespilus pentagyna var. pinnatifida', 'Crataegus oxyacantha var. pinnatifida')"
Cratoxylum cochinchinense,"('Vismia cochinchinensis', 'Hypericum cochinchinense')"
Crepis foetida,"('Hostia foetida', 'Wibelia foetida', 'Rhynchopappus foetidus', 'Anisoderis foetida', 'Arnoseris foetida', 'Barkhausia foetida', 'Berinia foetida', 'Picris foetida', 'Hieracium foetidum', 'Hieracioides foetida')"
Crepis tectorum,"('Hieracioides tectorum', 'Hedypnois tectorum', 'Hieracium tectorum')"
Critoniopsis floribunda,"('Vernonia floribunda',)"
Critoniopsis pycnantha,"('Vernonia pycnantha',)"
Cryptocarya chinensis,"('Beilschmiedia chinensis',)"
Cryptomeria japonica,"('Cupressus japonica', 'Schubertia japonica', 'Taxodium japonicum')"
Cunninghamia lanceolata,"('Araucaria lanceolata', 'Belis lanceolata', 'Abies lanceolata', 'Pinus lanceolata')"
Cyathea smithii,"('Alsophila smithii',)"
Cydonia oblonga,"('Pyrus cydonia', 'Pyrus oblonga', 'Cydonia vulgaris silvestris')"
Cystopteris sudetica,"('Rhizomatopteris sudetica',)"
Cytisus grandiflorus,"('Laburnum grandiflorum', 'Sarothamnus grandiflorus', 'Genista grandiflora')"
Dacrycarpus dacrydioides,"('Nageia excelsa', 'Podocarpus dacrydioides', 'Nageia dacrydioides', 'Podocarpus excelsus')"
Dacrycarpus imbricatus,"('Bracteocarpus imbricatus', 'Podocarpus imbricatus')"
Dacrydium balansae,"('Metadacrydium balansae',)"
Dacrydium cupressinum,"('Thalamia cupressina',)"
Dacrydium gracile,"('Corneria gracilis',)"
Dacrydium pectinatum,"('Corneria pectinata',)"
Dacryodes peruviana,"('Pachylobus peruvianus',)"
Dactylis glomerata,"('Koeleria dactylis', 'Phalaris glomerata', 'Limnetis glomerata', 'Bromus glomeratus', 'Festuca glomerata')"
Dalea purpurea,"('Petalostemon purpureus', 'Psoralea purpurea', 'Kuhnistera purpurea')"
Danthonia intermedia,"('Merathrepta intermedia', 'Pentameris intermedia')"
Daucus carota,"('Caucalis carota',)"
Decaspermum gracilentum,"('Eugenia gracilenta', 'Syzygium gracilentum')"
Dendropanax dentigerus,"('Textoria dentigera', 'Dendropanax chevalieri var. dentigerus', 'Gilibertia dentigera')"
Deschampsia cespitosa,"('Agrostis cespitosa', 'Aira major subsp. cespitosa', 'Avena cespitosa', 'Campella cespitosa', 'Aira cespitosa', 'Podionapus cespitosus')"
Descurainia sophia,"('Phryne sophia', 'Arabis sophia', 'Crucifera sophia', 'Discurea sophia', 'Sisymbrium sophia', 'Sophia vulgaris')"
Desmodium canadense,"('Pleurolobus canadensis', 'Hedysarum canadense', 'Edusaron canadense')"
Dicksonia squarrosa,"('Trichomanes squarrosum',)"
Dicranopteris linearis,"('Gleichenia linearis', 'Polypodium lineare')"
Dicranopteris pedata,"('Polypodium pedatum',)"
Didymocheton spectabilis,"('Dysoxylum spectabile', 'Trichilia spectabilis')"
Diospyros virginiana,"('Persimon virginiana',)"
Diplospora dubia,"('Canthium dubium', 'Discospermum dubium', 'Tricalysia dubia')"
Dovyalis abyssinica,"('Rumea abyssinica',)"
Draba nemorosa,"('Tomostima nemorosum',)"
Dracophyllum longifolium,"('Epacris longifolia',)"
Drymocallis arguta,"('Potentilla agrimonioides var. arguta', 'Potentilla arguta', 'Potentilla pensylvanica var. arguta')"
Dryopteris sparsa,"('Aspidium sparsum', 'Lastrea sparsa', 'Nephrodium sparsum', 'Polystichum sparsum')"
Ekebergia capensis,"('Trichilia capensis',)"
Elaeocarpus dentatus,"('Monocera dentata', 'Skidanthera dentata', 'Cassine dentata', 'Eriostemon dentatus', 'Dicera dentata')"
Elaeocarpus hookerianus,"('Cassine hookeriana',)"
Elaeocarpus sylvestris,"('Adenodus sylvestris',)"
Eleutherococcus senticosus,"('Hedera senticosa', 'Acanthopanax senticosus')"
Elymus canadensis,"('Hordeum canadense', 'Clinelymus canadensis', 'Roegneria canadensis', 'Terrellia canadensis')"
Elymus lanceolatus,"('Agropyron lanceolatum',)"
Elymus repens,"('Agropyron repens', 'Frumentum repens', 'Triticum repens', 'Agropyron junceum var. repens', 'Elytrigia repens', 'Zeia repens')"
Elymus virginicus,"('Hordeum virginicum', 'Terrellia virginica', 'Leptothrix virginica')"
Embelia vestita,"('Ribesiodes vestitum', 'Samara vestita')"
Endlicheria anomala,"('Goeppertia anomala',)"
Endlicheria bracteolata,"('Goeppertia sericea var. bracteolata',)"
Endlicheria longicaudata,"('Huberodaphne longicaudata',)"
Endlicheria macrophylla,"('Ampelodaphne macrophylla',)"
Engelhardia roxburghiana,"('Alfaropsis roxburghiana', 'Alfaroa roxburghiana')"
Engelhardia spicata,"('Engelhardia pterococca var. spicata',)"
Ephedra distachya,"('Chaetocladus distachys',)"
Equisetum hyemale,"('Presla hyemalis', 'Hippochaete hyemalis')"
Eragrostis trichodes,"('Poa trichodes',)"
Erica arborea,"('Arsace arborea', 'Ericoides arborea')"
Erica scoparia,"('Ericoides scoparia', 'Ericoides scoparia', 'Chlorocodon scoparius')"
Erigeron canadensis,"('Leptilon canadense', 'Marsea canadensis', 'Conyzella canadensis', 'Tessenia canadensis', 'Trimorpha canadensis', 'Conyza canadensis')"
Erigeron glabellus,"('Tessenia glabella',)"
Erigeron pumilus,"('Tessenia pumila', 'Fragmosa pumila', 'Erigeron hirsutus')"
Eriobotrya japonica,"('Photinia japonica', 'Mespilus japonica')"
Eriotheca surinamensis,"('Bombax surinamense',)"
Erysimum inconspicuum,"('Erysimum asperum var. inconspicuum',)"
Eschweilera albiflora,"('Lecythis albiflora',)"
Eschweilera bracteosa,"('Lecythis bracteosa',)"
Eschweilera coriacea,"('Lecythis coriacea', 'Jugastrum coriaceum')"
Eschweilera decolorans,"('Chytroma decolorans',)"
Eschweilera grandiflora,"('Lecythis grandiflora',)"
Eschweilera ovata,"('Lecythis ovata',)"
Eschweilera parviflora,"('Lecythis parviflora',)"
Eschweilera pedicellata,"('Lecythis pedicellata',)"
Eschweilera tenuifolia,"('Lecythis tenuifolia',)"
Eschweilera wachenheimii,"('Lecythis wachenheimii',)"
Eugenia biflora,"('Myrtus biflora',)"
Eugenia patrisii,"('Myrtus patrisii', 'Stenocalyx patrisii')"
Eugenia pseudopsidium,"('Eugenia willdenowii', 'Myrtus pseudopsidium', 'Stenocalyx pseudopsidium')"
Eugenia sinemariensis,"('Myrtus sinemariensis', 'Epleienda sinemariensis')"
Eumachia astrellantha,"('Chytropsia astrellantha', 'Margaritopsis astrellantha', 'Psychotria astrellantha')"
Eumachia podocephala,"('Psychotria podocephala', 'Uragoga podocephala', 'Mapouria podocephala', 'Margaritopsis podocephala')"
Euonymus alatus,"('Melanocarya alata', 'Euonymus striatus var. alatus', 'Euonymus striatus subsp. alatus', 'Celastrus alatus')"
Fallopia convolvulus,"('Tiniaria convolvulus', 'Polygonum convolvulus', 'Reynoutria convolvulus', 'Bilderdykia convolvulus', 'Helxine convolvulus', 'Fagopyrum convolvulus')"
Ferdinandusa rudgeoides,"('Aspidanthera rudgeoides',)"
Festuca hallii,"('Festuca altaica subsp. hallii', 'Festuca altaica subvar. hallii', 'Melica hallii', 'Dalucum hallii', 'Festuca scabrella subsp. hallii')"
Festuca ovina,"('Bromus ovinus', 'Gnomonia ovina')"
Festuca rubra,"('Gramen rubrum', 'Festuca polymorpha var. rubra', 'Festuca communis var. rubra', 'Festuca ovina subsp. rubra', 'Festuca ovina var. rubra', 'Festuca duriuscula var. rubra')"
Ficus pertusa,"('Urostigma pertusum',)"
Filipendula digitata,"('Spiraea digitata',)"
Fraxinus americana,"('Ornus americana', 'Ornanthes americana', 'Calycomelia americana')"
Fraxinus angustifolia,"('Fraxinus oxyphylla subsp. angustifolia', 'Fraxinus excelsior proles angustifolia', 'Fraxinus oxycarpa var. angustifolia', 'Fraxinus excelsior subsp. angustifolia', 'Fraxinus excelsior var. angustifolia')"
Fraxinus mandshurica,"('Fraxinus nigra var. mandshurica', 'Fraxinus nigra subsp. mandshurica')"
Fraxinus nigra,"('Leptalix nigra', 'Fraxinus americana var. nigra', 'Fraxinoides nigra', 'Calycomelia nigra')"
Fuchsia excorticata,"('Skinnera excorticata',)"
Fumana thymifolia,"('Helianthemum thymifolium', 'Helianthemum glutinosum var. thymifolium', 'Cistus thymifolius', 'Fumana glutinosa var. thymifolia', 'Fumanopsis thymifolia')"
Gahnia xanthocarpa,"('Gahnia setifolia var. xanthocarpa', 'Mariscus xanthocarpus', 'Lampocarya xanthocarpa', 'Cladium xanthocarpum')"
