name,synonym
Handroanthus ochraceus,"('Tecoma ochracea', 'Tabebuia ochracea')"
Hedeoma hispida,"('Cunila hispida', 'Ziziphora hispida')"
Hedyosmum goudotianum,"('Tafalla goudotiana',)"
Helianthemum apenninum,"('Helianthemum polifolium subsp. apenninum', 'Helianthemum polifolium var. apenninum', 'Cistus apenninus')"
Helianthemum oelandicum,"('Helianthemum oelandicum var. glabrum', 'Cistus oelandicus')"
Helianthemum syriacum,"('Halimium syriacum', 'Cistus lavandulifolius var. syriacus', 'Cistus syriacus', 'Helianthemum racemosum var. syriacum', 'Helianthemum lavandulifolium var. syriacum')"
Helianthus angustifolius,"('Discomela angustifolius',)"
Helianthus argophyllus,"('Helianthus annuus var. argophyllus',)"
Helianthus debilis,"('Helianthus annuus var. debilis',)"
Helianthus giganteus,"('Helianthus angustifolius subsp. giganteus',)"
Helianthus heterophyllus,"('Helianthus atrorubens subsp. heterophyllus',)"
Helianthus niveus,"('Helianthus annuus var. niveus', 'Encelia nivea')"
Helianthus petiolaris,"('Helianthus annuus subsp. petiolaris',)"
Helianthus porteri,"('Gymnolomia porteri', 'Rudbeckia porteri')"
Helianthus praecox,"('Helianthus debilis subsp. praecox', 'Helianthus cucumerifolius var. praecox')"
Helianthus radula,"('Centrocarpha radula', 'Helianthus atrorubens subsp. radula', 'Rudbeckia radula')"
Helichrysum italicum,"('Gnaphalium italicum',)"
Helichrysum stoechas,"('Gnaphalium stoechas',)"
Helicostylis scabra,"('Pseudolmedia scabra',)"
Helicostylis tomentosa,"('Olmedia tomentosa',)"
Helicostylis tovarensis,"('Olmedia tovarensis',)"
Heliopsis helianthoides,"('Buphthalmum helianthoides',)"
Heptapleurum heptaphyllum,"('Aralia heptaphylla', 'Sciodaphyllum heptaphyllum', 'Schefflera heptaphylla', 'Vitis heptaphylla', 'Ampelopsis heptaphylla')"
Heptapleurum minutistellatum,"('Schefflera minutistellata',)"
Hesperostipa comata,"('Stipa comata',)"
Hesperostipa spartea,"('Stipa spartea',)"
Heuchera richardsonii,"('Heuchera hispida var. richardsonii',)"
Hieronyma fendleri,"('Hieronyma moritziana var. fendleri',)"
Hieronyma oblonga,"('Stilaginella oblonga',)"
Hoheria lyallii,"('Gaya lyallii', 'Plagianthus lyallii')"
Holcus lanatus,"('Notholcus lanatus', 'Avena lanata', 'Nothoholcus lanatus', 'Ginannia lanata')"
Horsfieldia amygdalina,"('Palala amygdalina', 'Myristica amygdalina')"
Hosta ventricosa,"('Niobe caerulea', 'Hemerocallis caerulea', 'Saussurea caerulea', 'Funkia caerulea', 'Hosta japonica var. caerulea', 'Funkia ovata var. caerulea')"
Hymenopus adolphoduckei,"('Licania adolphoduckei',)"
Hymenopus caudatus,"('Licania caudata',)"
Hymenopus macrophyllus,"('Licania macrophylla',)"
Hymenopus reticulatus,"('Licania reticulata',)"
Hymenopus sothersiae,"('Licania sothersiae',)"
Hymenoxys richardsonii,"('Picradenia richardsonii', 'Actinea richardsonii', 'Actinella richardsonii')"
Hypobathrum racemosum,"('Randia racemosa', 'Petunga racemosa')"
Ilex macropoda,"('Ilex montana var. macropoda', 'Ilex monticola var. macropoda', 'Ilex dubia var. macropoda', 'Ilex ambigua subsp. macropoda', 'Ilex ambigua var. macropoda')"
Ilex opaca,"('Ageria opaca', 'Ilex aquifolium var. opaca')"
Ilex verticillata,"('Prinos verticillatus',)"
Imbralyx leptobotrys,"('Fordia leptobotrys', 'Millettia leptobotrys')"
Inga alba,"('Feuilleea alba', 'Mimosa alba')"
Inga brevipes,"('Feuilleea alata',)"
Inga cayennensis,"('Feuilleea cayennensis',)"
Inga lateriflora,"('Feuilleea lateriflora',)"
Inga macrophylla,"('Feuilleea macrophylla', 'Mimosa macrophylla')"
Inga marginata,"('Inga fagifolia var. marginata', 'Feuilleea marginata')"
Inga nobilis,"('Feuilleea nobilis',)"
Inga rubiginosa,"('Feuilleea rubiginosa', 'Mimosa rubiginosa')"
Inga ruiziana,"('Feuilleea ruiziana',)"
Inga splendens,"('Mimosa splendens', 'Feuilleea splendens')"
Inga stipularis,"('Feuilleea stipularis',)"
Inga thibaudiana,"('Feuilleea thibaudiana',)"
Inga umbellifera,"('Feuilleea umbellifera', 'Mimosa umbellifera')"
Inga umbratica,"('Feuilleea umbratica',)"
Iris japonica,"('Evansia japonica',)"
Iris versicolor,"('Xiphion versicolor', 'Limniris versicolor')"
Itea chinensis,"('Polyosma chinensis',)"
Juglans nigra,"('Wallia nigra',)"
Juniperus chinensis,"('Sabina chinensis',)"
Juniperus phoenicea,"('Sabinella phoenicea', 'Sabina phoenicea')"
Juniperus sabina,"('Sabina vulgaris',)"
Knema erratica,"('Myristica longifolia var. erratica', 'Myristica erratica')"
Knightia excelsa,"('Rymandra excelsa',)"
Koeleria macrantha,"('Koeleria cristata var. macrantha', 'Aira macrantha', 'Koeleria cristata subsp. macrantha')"
Koeleria pyramidata,"('Poa pyramidata', 'Koeleria cristata subsp. pyramidata', 'Koeleria cristata var. pyramidata', 'Koeleria ciliata var. pyramidata')"
Koeleria vallesiana,"('Airochloa vallesiana', 'Aira vallesiana', 'Poa vallesiana', 'Koeleria setacea var. glabra')"
Koelreuteria paniculata,"('Sapindus paniculata',)"
Krascheninnikovia ceratoides,"('Axyris ceratoides', 'Ceratoides papposa', 'Diotis ceratoides', 'Eurotia ceratoides')"
Kubitzkia mezii,"('Systemonodaphne mezii',)"
Kunzea ericoides,"('Leptospermum ericoides',)"
Kutchubaea oocarpa,"('Amaioua oocarpa', 'Duroia oocarpa')"
Kutchubaea sericantha,"('Einsteinia sericantha',)"
Lactuca tatarica,"('Lagedium tataricum', 'Wiestia tatarica', 'Mulgedium tataricum', 'Sonchus tataricus', 'Agathyrsus tataricus')"
Ladenbergia riveroana,"('Remijia riveroana', 'Cascarilla riveroana')"
Larix decidua,"('Abies larix', 'Picea larix', 'Pinus larix')"
Larix gmelinii,"('Abies gmelinii',)"
Larix kaempferi,"('Abies kaempferi', 'Pinus kaempferi', 'Pseudolarix kaempferi', 'Laricopsis kaempferi')"
Launaea arborescens,"('Zollikoferia arborescens',)"
Laurelia novae-zelandiae,"('Atherosperma novae-zelandiae', 'Pavonia novozelandiae')"
Leonia glycycarpa,"('Theophrasta glycycarpa',)"
Lepidothamnus intermedius,"('Dacrydium intermedium',)"
Lepisanthes senegalensis,"('Sapindus senegalensis', 'Aphania senegalensis')"
Leptecophylla juniperina,"('Styphelia juniperina', 'Epacris juniperina', 'Cyathodes juniperina')"
Leptobalanus granvillei,"('Licania granvillei',)"
Leptobalanus latus,"('Licania lata',)"
Leptobalanus longistylus,"('Licania longistyla', 'Moquilea longistyla')"
Leptobalanus octandrus,"('Licania octandra', 'Hirtella octandra')"
Leptobalanus sprucei,"('Moquilea sprucei', 'Licania sprucei')"
Leptospermum scoparium,"('Melaleuca scoparia', 'Philadelphus scoparius')"
Lespedeza capitata,"('Despeleza capitata',)"
Lespedeza thunbergii,"('Desmodium thunbergii',)"
Leymus chinensis,"('Agropyron chinense', 'Aneurolepidium chinense', 'Elymus chinensis', 'Triticum chinense')"
Liatris aspera,"('Lacinaria scariosa var. aspera', 'Lacinaria aspera')"
Licaria chrysophylla,"('Misanteca chrysophylla', 'Acrodiclidium chrysophyllum')"
Licaria macrophylla,"('Misanteca macrophylla', 'Acrodiclidium macrophyllum')"
Licaria oppositifolia,"('Misanteca oppositifolia', 'Acrodiclidium oppositifolium')"
Lindera benzoin,"('Ozanthes benzoin', 'Laurus benzoin')"
Lindera communis,"('Benzoin commune',)"
Lindera obtusiloba,"('Benzoin obtusilobum',)"
Linum lewisii,"('Adenolinum lewisii', 'Linum perenne subsp. lewisii', 'Linum perenne var. lewisii', 'Linum sibiricum var. lewisii')"
Liquidambar gracilipes,"('Altingia gracilipes',)"
Liquidambar obovata,"('Altingia obovata',)"
Liriodendron chinense,"('Liriodendron tulipifera var. chinense',)"
Liriodendron tulipifera,"('Tulipifera liriodendrum',)"
Lithocarpus bacgiangensis,"('Pasania bacgiangensis',)"
Lithocarpus cleistocarpus,"('Synaedrys cleistocarpa', 'Quercus cleistocarpa', 'Pasania cleistocarpa')"
Lithocarpus clementianus,"('Pasania clementiana', 'Quercus clementiana', 'Synaedrys clementiana')"
Lithocarpus elegans,"('Quercus elegans', 'Lithocarpus spicatus var. elegans')"
Lithocarpus fenestratus,"('Pasania fenestrata', 'Synaedrys fenestrata', 'Quercus fenestrata')"
Lithocarpus fohaiensis,"('Pasania fohaiensis',)"
Lithocarpus lampadarius,"('Pasania lampadaria', 'Quercus lampadaria', 'Synaedrys lampadaria')"
Lithocarpus variolosus,"('Quercus variolosa', 'Synaedrys variolosa', 'Pasania variolosa')"
Litsea cubeba,"('Malapoenna cubeba', 'Cubeba pipereta', 'Benzoin cubeba', 'Daphnidium cubeba', 'Tetranthera cubeba', 'Laurus cubeba', 'Persea cubeba')"
Litsea elongata,"('Malapoenna elongata', 'Tetranthera elongata', 'Daphnidium elongatum')"
Litsea glutinosa,"('Sebifera glutinosa',)"
Litsea martabanica,"('Tetranthera martabanica',)"
Litsea panamanja,"('Malapoenna panamonja', 'Tetranthera panamanja')"
Litsea salicifolia,"('Tetranthera salicifolia',)"
Litsea szemaois,"('Litsea baviensis var. szemaois', 'Litsea pierrei var. szemaois')"
Litsea umbellata,"('Hexanthus umbellatus',)"
Lolium arundinaceum,"('Bromus arundinaceus', 'Schedonorus arundinaceus', 'Festuca elatior subsp. arundinacea', 'Festuca elatior var. arundinacea', 'Festuca arundinacea')"
Lolium perenne,"('Festuca perennis',)"
Lomaria discolor,"('Blechnum discolor',)"
Lonicera chrysantha,"('Caprifolium chrysanthum', 'Xylosteon chrysanthum', 'Lonicera xylosteum var. chrysantha')"
Lonicera maackii,"('Xylosteon maackii',)"
Lygodesmia juncea,"('Prenanthes juncea',)"
Machilus kwangtungensis,"('Persea kwangtungensis',)"
Machilus nanmu,"('Persea nanmu', 'Phoebe nanmu')"
Machilus oculodracontis,"('Persea oculodracontis',)"
Machilus rufipes,"('Persea rufipes',)"
Machilus shweliensis,"('Persea shweliensis',)"
Machilus tenuipilis,"('Persea tenuipilis',)"
Macropanax undulatus,"('Hedera undulata', 'Paratropia undulata')"
Magnolia acuminata,"('Kobus acuminata', 'Tulipastrum acuminatum', 'Yulania acuminata', 'Magnolia virginiana var. acuminata', 'Magnolia umbrella var. acuminata')"
Magnolia baillonii,"('Michelia baillonii', 'Paramichelia baillonii', 'Aromadendron baillonii')"
Magnolia balansae,"('Michelia balansae',)"
Magnolia carsonii,"('Aromadendron carsonii',)"
Magnolia cavaleriei,"('Michelia cavaleriei',)"
Magnolia champaca,"('Michelia champaca', 'Michelia tsiampacca var. champaca')"
Magnolia championii,"('Lirianthe championii', 'Magnolia liliifera var. championii', 'Magnolia pumila var. championii')"
Magnolia chapensis,"('Michelia chapensis',)"
Magnolia dandyi,"('Manglietia dandyi',)"
Magnolia denudata,"('Yulania denudata', 'Magnolia purpurea var. denudata')"
Magnolia ernestii,"('Michelia wilsonii',)"
Magnolia fulva,"('Michelia fulva',)"
Magnolia kobus,"('Yulania kobus',)"
Magnolia lotungensis,"('Parakmeria lotungensis', 'Magnolia nitida var. lotungensis')"
Magnolia macclurei,"('Michelia macclurei',)"
Magnolia macrophylla,"('Metamagnolia macrophylla',)"
Magnolia maudiae,"('Michelia maudiae',)"
Magnolia odora,"('Michelia odora', 'Tsoongiodendron odorum')"
Magnolia opipara,"('Michelia opipara',)"
Magnolia stellata,"('Magnolia kobus f. stellata', 'Talauma stellata', 'Buergeria stellata', 'Yulania stellata', 'Magnolia kobus var. stellata')"
Magnolia tripetala,"('Magnolia virginiana var. tripetala', 'Houpoea tripetala', 'Magnolia umbrella var. tripetala')"
Magnolia yunnanensis,"('Parakmeria yunnanensis', 'Pachylarnax yunnanensis')"
Magnolia yuyuanensis,"('Manglietia yuyuanensis',)"
Mallotus paniculatus,"('Croton paniculatus', 'Rottlera paniculata')"
Malus baccata,"('Malus microcarpa baccata', 'Sinomalus baccata', 'Pyrus baccata')"
Manoao colensoi,"('Lagarostrobos colensoi', 'Lepidothamnus colensoi', 'Dacrydium colensoi')"
Maquira calophylla,"('Perebea calophylla', 'Olmedioperebea calophylla', 'Olmedia calophylla')"
Maquira coriacea,"('Pseudolmedia coriacea',)"
Maquira sclerophylla,"('Olmedioperebea sclerophylla',)"
Matteuccia struthiopteris,"('Onoclea struthiopteris',)"
Maytenus schippii,"('Monteverdia schippii',)"
Medicago minima,"('Spirocarpus minimus', 'Medicago polymorpha var. minima')"
Medicago ruthenica,"('Trigonella ruthenica', 'Turukhania ruthenica', 'Pocockia ruthenica', 'Melilotoides ruthenica', 'Melissitus ruthenicus')"
Medicago sativa,"('Medica sativa',)"
Melicope pteleifolia,"('Euodia pteleifolia', 'Zanthoxylum pteleifolium')"
Melilotus officinalis,"('Trifolium officinale', 'Medicago officinalis', 'Sertula officinalis', 'Brachylobus officinalis', 'Trigonella officinalis')"
Meriania franciscana,"('Meriania macrophylla subsp. franciscana',)"
Metasequoia glyptostroboides,"('Sequoia glyptostroboides',)"
Metrosideros diffusa,"('Melaleuca diffusa', 'Nania diffusa')"
Metrosideros robusta,"('Nania robusta',)"
Metrosideros umbellata,"('Agalmanthus umbellata',)"
Mezilaurus ita-uba,"('Endiandra ita-uba', 'Acrodiclidium ita-uba', 'Mezia ita-uba', 'Silvia ita-uba', 'Silvia ita-uba')"
Miconia calophylla,"('Acinodendron calophyllum', 'Cremanium calophyllum')"
Miconia dolichorrhyncha,"('Acinodendron dolichorrhynchum',)"
Miconia punctata,"('Acinodendron punctatum', 'Melastoma punctatum', 'Eurychaenia punctata')"
Miconia radula,"('Acinodendron radula',)"
Microbiota decussata,"('Platycladus decussata',)"
Micromelum integerrimum,"('Micromelum pubescens var. integerrimum', 'Bergera integerrima')"
Micropholis cylindrocarpa,"('Sideroxylon cylindrocarpon', 'Mastichodendron cylindrocarpon', 'Pouteria cylindrocarpa')"
Micropholis egensis,"('Sideroxylon egense', 'Pouteria egensis', 'Sideroxylon rugosum var. egense', 'Bumelia egensis')"
Micropholis guyanensis,"('Sideroxylon guyanense',)"
Micropholis mensalis,"('Pouteria mensalis',)"
Micropholis venulosa,"('Pouteria venulosa', 'Sideroxylon venulosum', 'Xantolis venulosa')"
Microtropis discolor,"('Cassine discolor',)"
Mitrephora tomentosa,"('Kinginda tomentosa',)"
Monoon simiarum,"('Polyalthia simiarum', 'Unona simiarum', 'Guatteria simiarum')"
Morus insignis,"('Paratrophis insignis',)"
Musineon divaricatum,"('Marathrum divaricatum', 'Seseli divaricatum', 'Adorium divaricatum')"
Myrcia bracteata,"('Eugenia bracteata',)"
Myrcia caudata,"('Marlierea caudata',)"
Myrcia citrifolia,"('Myrtus citrifolia', 'Aulomyrcia citrifolia')"
Myrcia crebra,"('Calyptranthes crebra',)"
Myrcia cuspidata,"('Chytraculia cuspidata', 'Calyptranthes cuspidata')"
Myrcia ferruginea,"('Eugenia ferruginea', 'Marlierea ferruginea', 'Krugia ferruginea', 'Myrtus ferruginea')"
Myrcia neospeciosa,"('Calyptranthes speciosa',)"
Myrcia splendens,"('Myrtus splendens',)"
Myrcia sylvatica,"('Myrtus sylvatica', 'Myrcia ambigua var. sylvatica')"
Myrcia umbraticola,"('Marlierea umbraticola', 'Myrtus umbraticola')"
Myrcianthes rhopaloides,"('Eugenia rhopaloides', 'Myrtus rhopaloides')"
Myrciaria floribunda,"('Eugenia floribunda', 'Myrtus floribunda')"
Myrciaria tenella,"('Eugenia tenella',)"
Myrica pubescens,"('Morella pubescens',)"
Myrsine andina,"('Rapanea andina',)"
Myrsine australis,"('Rapanea australis', 'Suttonia australis')"
Myrsine coriacea,"('Rapanea coriacea', 'Samara coriacea', 'Anguillaria coriacea', 'Tinus coriacea', 'Ardisia coriacea')"
Myrsine divaricata,"('Rapanea divaricata',)"
Myrsine seguinii,"('Athruphyllum seguinii',)"
Nabalus tatarinowii,"('Prenanthes tatarinowii',)"
Nageia nagi,"('Morella nagi', 'Podocarpus nagi', 'Decussocarpus nagi', 'Myrica nagi')"
Nassella viridula,"('Stipa viridula',)"
Naucleopsis caloneura,"('Ogcodeia caloneura', 'Olmedia caloneura')"
Naucleopsis imitans,"('Ogcodeia imitans',)"
Naucleopsis krukovii,"('Pseudolmedia krukovii',)"
Naucleopsis ternstroemiiflora,"('Ogcodeia ternstroemiiflora',)"
Neolitsea cassia,"('Laurus cassia', 'Balanopsis cassia', 'Camphorina cassia', 'Persea cassia', 'Cinnamomum cassia')"
Neomyrtus pedunculata,"('Myrtus pedunculata',)"
Neopanax arboreus,"('Pseudopanax arboreus', 'Panax arboreus', 'Nothopanax arboreus')"
Neopanax colensoi,"('Nothopanax colensoi', 'Panax colensoi', 'Pseudopanax colensoi')"
Nestegis lanceolata,"('Notelaea neolanceolata',)"
Noronhia mildbraedii,"('Chionanthus mildbraedii', 'Olea mildbraedii', 'Campanolea mildbraedii')"
Nothofagus fusca,"('Fagus fusca', 'Fuscospora fusca')"
Nothofagus menziesii,"('Fagus menziesii', 'Lophozonia menziesii')"
Nothofagus obliqua,"('Fagus obliqua', 'Lophozonia obliqua')"
Nothofagus solandri,"('Fagus solandri', 'Fuscospora solandri')"
Nyssa sylvatica,"('Nyssa multiflora var. sylvatica',)"
Ocotea aciphylla,"('Oreodaphne aciphylla',)"
Ocotea amazonica,"('Oreodaphne amazonica',)"
Ocotea aurantiodora,"('Laurus aurantiodora', 'Mespilodaphne aurantiodora', 'Nectandra aurantiodora')"
Ocotea boissieriana,"('Oreodaphne boissieriana',)"
Ocotea cujumary,"('Aydendron cujumary', 'Aniba cujumary', 'Alseodaphne cujumary')"
Ocotea cuneifolia,"('Laurus cuneifolia',)"
Ocotea infrafoveolata,"('Andea infrafoveolata',)"
Ocotea lancifolia,"('Oreodaphne lancifolia', 'Persea lancifolia')"
Ocotea myriantha,"('Oreodaphne myriantha',)"
Ocotea pauciflora,"('Oreodaphne pauciflora',)"
Ocotea splendens,"('Oreodaphne splendens',)"
Oenothera biennis,"('Oenothera communis proles biennis', 'Brunyera biennis', 'Onagra biennis')"
Olearia rani,"('Brachyglottis rani', 'Aster rani')"
Onoclea sensibilis,"('Angiopteris sensibilis', 'Calypterium sensibile', 'Riedlea sensibilis', 'Pterinodes sensibilis')"
Oreocnide frutescens,"('Villebrunea frutescens', 'Boehmeria frutescens', 'Urtica frutescens')"
Oreopanax sessiliflorus,"('Hedera sessiliflora',)"
Orophea creaghii,"('Mezzettiopsis creaghii',)"
Osmunda japonica,"('Osmunda regalis var. japonica', 'Osmunda regalis subsp. japonica', 'Osmundastrum japonicum')"
Oxytropis sericea,"('Aragallus lambertii var. sericeus', 'Aragallus sericeus', 'Oxytropis lambertii var. sericea', 'Spiesia lambertii var. sericea')"
Pachira insignis,"('Carolinea insignis',)"
Pachira macrocalyx,"('Bombacopsis macrocalyx', 'Bombax macrocalyx')"
Pachira minor,"('Carolinea minor', 'Rhodognaphalopsis minor', 'Bombax minus', 'Pochota minor')"
Palicourea amplectens,"('Uragoga amplectens', 'Psychotria amplectens')"
Palicourea corymbifera,"('Uragoga urbaniana', 'Psychotria corymbifera')"
Palicourea dichotoma,"('Cephaelis dichotoma',)"
Palicourea hoffmannseggiana,"('Psychotria hoffmannseggiana', 'Uragoga hoffmannseggiana', 'Uragoga hoffmannseggiana', 'Cephaelis hoffmannseggiana')"
Palicourea spicata,"('Psychotria spiciflora', 'Uragoga spicata')"
Palicourea thyrsiflora,"('Uragoga thyrsiflora', 'Psychotria thyrsiflora')"
Palicourea tinctoria,"('Uragoga tinctoria',)"
Palicourea virens,"('Uragoga virens', 'Psychotria virens')"
Panicum capillare,"('Chasea capillaris', 'Leptoloma capillare')"
Panicum virgatum,"('Chasea virgata', 'Milium virgatum')"
Pappobolus microphyllus,"('Leighia microphylla', 'Helianthopsis microphylla', 'Viguiera microphylla', 'Helianthus microphyllus')"
Parablechnum novae-zelandiae,"('Blechnum novae-zelandiae',)"
Parablechnum procerum,"('Blechnum procerum',)"
Parthenocissus quinquefolia,"('Quinaria quinquefolia', 'Psedera quinquefolia', 'Cissus quinquefolia', 'Ampelopsis quinquefolia', 'Vitis quinquefolia', 'Hedera quinquefolia')"
Payena microphylla,"('Isonandra microphylla',)"
Pectinopitys ferruginea,"('Nageia ferruginea', 'Prumnopitys ferruginea', 'Stachycarpus ferrugineus', 'Stachypitys ferruginea', 'Podocarpus ferrugineus')"
Penstemon bradburyi,"('Chelone bradburyi',)"
Penstemon procerus,"('Penstemon confertus var. procerus',)"
Persea areolatocostae,"('Cinnamomum areolatocostae', 'Phoebe areolatocostae')"
Phalaris arundinacea,"('Baldingera arundinacea', 'Calamagrostis colorata', 'Phalaroides arundinacea', 'Phalaridantha arundinacea', 'Typhoides arundinacea', 'Digraphis arundinacea', 'Baldingera colorata')"
Phillyrea angustifolia,"('Phillyrea media var. angustifolia', 'Olea angustifolia', 'Phillyrea variabilis var. angustifolia', 'Phillyrea vulgaris var. angustifolia', 'Phillyrea mucronata var. linearis')"
Phillyrea latifolia,"('Olea latifolia', 'Phillyrea angustifolia subsp. latifolia', 'Phillyrea vulgaris var. latifolia', 'Phillyrea variabilis var. latifolia')"
Phleum pratense,"('Stelephuros pratensis', 'Plantinia pratensis', 'Phleum nodosum var. pratense')"
Phlomoides umbrosa,"('Phlomis umbrosa',)"
Phlox hoodii,"('Fonna hoodii', 'Armeria hoodii')"
Phoebe lanceolata,"('Ocotea lanceolata',)"
Phyllocladus hypophyllus,"('Podocarpus hypophyllus',)"
Phyllocladus trichomanoides,"('Podocarpus trichomanoides',)"
Picea abies,"('Pinus abies', 'Abies picea')"
Picea koraiensis,"('Picea koyamae var. koraiensis',)"
Picris hieracioides,"('Crepis hieracioides',)"
Pilosella officinarum,"('Hieracium pilosella',)"
Pinus koraiensis,"('Apinus koraiensis', 'Strobus koraiensis')"
Pinus massoniana,"('Pinea massoniana',)"
Pinus nigra,"('Pinus nigricans subsp. nigra', 'Pinus laricio var. nigra', 'Pinus laricio subsp. nigra')"
Pinus pinea,"('Apinus pinea',)"
Pinus pumila,"('Pinus cembra var. pumila', 'Pinus cembra subsp. pumila')"
Pinus strobus,"('Leucopitys strobus', 'Strobus weymouthiana')"
Pinus tabuliformis,"('Pinus densiflora var. tabuliformis',)"
Pistacia lentiscus,"('Lentiscus vulgaris', 'Terebinthus lentiscus')"
Pistacia terebinthus,"('Terebinthus vulgaris',)"
Plagianthus regius,"('Betula bella', 'Philippodendrum regium')"
Planchonella grandifolia,"('Lucuma grandifolia', 'Sideroxylon grandifolium', 'Pouteria grandifolia')"
Plantago lanceolata,"('Lagopus lanceolatus', 'Arnoglossum lanceolatum')"
Platanus occidentalis,"('Platanus vulgaris var. angulosa', 'Platanus vulgaris proles occidentalis', 'Platanus orientalis var. occidentalis')"
Platycladus orientalis,"('Thuja orientalis', 'Biota orientalis')"
Platypodium elegans,"('Callisemaea elegans',)"
Pleioblastus amarus,"('Arundinaria amara',)"
Pleroma ochypetalum,"('Lasiandra ochypetala', 'Tibouchina ochypetala', 'Rhexia ochypetala')"
Poa nemoralis,"('Poa serotina var. nemoralis', 'Poa angustifolia var. nemoralis', 'Paneion nemorale')"
Poa pratensis,"('Poa angustifolia var. pratensis', 'Poa angustifolia subsp. pratensis', 'Paneion pratense')"
Podocarpus laetus,"('Nageia laeta',)"
Podocarpus neriifolius,"('Nageia neriifolia', 'Margbensonia neriifolia')"
Podocarpus oleifolius,"('Nageia oleifolia',)"
Podocarpus totara,"('Nageia totara',)"
Polyspora axillaris,"('Camellia axillaris', 'Gordonia axillaris', 'Lasianthus axillaris')"
Pometia pinnata,"('Aporetica pinnata', 'Dabanus pinnatus', 'Nephelium pinnatum', 'Euphoria pinnata')"
Populus alba,"('Leuce alba',)"
Populus grandidentata,"('Populus tremula subsp. grandidentata',)"
Populus suaveolens,"('Populus balsamifera var. suaveolens',)"
Populus tremula,"('Tremula vulgaris',)"
Populus tremuloides,"('Populus tremula subsp. tremuloides',)"
Potentilla acaulis,"('Potentilla verna subsp. acaulis',)"
Potentilla indica,"('Fragaria indica', 'Duchesnea indica')"
Potentilla pusilla,"('Potentilla verna var. pusilla', 'Potentilla verna f. pusilla', 'Potentilla tabernaemontani subvar. pusilla')"
Pouteria austin-smithii,"('Lucuma austin-smithii',)"
Pouteria caimito,"('Guapeba caimito', 'Labatia caimito', 'Lucuma caimito', 'Achras caimito')"
Pouteria cuspidata,"('Sideroxylon cuspidatum',)"
Prasoxylon excelsum,"('Macrochiton excelsum', 'Hartighsea excelsa', 'Dysoxylum excelsum', 'Trichilia excelsa')"
Prionostemma aspera,"('Hippocratea aspera',)"
Protium amazonicum,"('Paraprotium amazonicum',)"
Protium aracouchini,"('Bursera eracouchii', 'Bursera aracouchini', 'Icica aracouchini')"
Protium decandrum,"('Elemifera decandra', 'Bursera decandra', 'Icica decandra', 'Amyris decandra', 'Elaphrium decandrum')"
Protium elegans,"('Tingulonga elegans',)"
Protium ferrugineum,"('Icicopsis ferruginea', 'Tingulonga ferruginea', 'Paraprotium ferrugineum')"
Protium giganteum,"('Tingulonga gigantea',)"
Protium grandifolium,"('Tingulonga grandifolia',)"
Protium heptaphyllum,"('Tingulonga heptaphylla', 'Icica heptaphylla', 'Elaphrium heptaphyllum')"
Protium laxiflorum,"('Tingulonga laxiflora',)"
Protium paniculatum,"('Tingulonga paniculata',)"
Protium pilosissimum,"('Tingulonga pilosissima',)"
Protium pilosum,"('Tetragastris pilosa',)"
Protium spruceanum,"('Tingulonga spruceana', 'Icica spruceana')"
Protium subserratum,"('Tingulonga subserrata', 'Icicopsis subserrata')"
Protium tenuifolium,"('Tingulonga tenuifolia', 'Icicopsis tenuifolia')"
Protium trifoliolatum,"('Tingulonga trifoliolata',)"
Protium unifoliolatum,"('Tetragastris unifoliolata',)"
Prumnopitys montana,"('Torreya montana', 'Van-tieghemia montana', 'Podocarpus montanus', 'Botryopitys montana', 'Nageia montana', 'Taxus montana')"
Prumnopitys taxifolia,"('Dacrydium taxifolium',)"
Prunus armeniaca,"('Prunus armeniaca subsp. vulgaris', 'Amygdalus armeniaca', 'Armeniaca vulgaris')"
Prunus avium,"('Cerasus avium var. juliana', 'Druparia avium', 'Cerasus avium', 'Prunus cerasus subsp. avium', 'Prunus cerasus var. avium')"
Prunus opaca,"('Cerasus opaca', 'Lauro-cerasus opaca')"
Prunus padus,"('Druparia padus', 'Cerasus padus', 'Padus avium')"
Prunus sargentii,"('Cerasus sargentii',)"
Prunus serotina,"('Padus serotina', 'Cerasus serotina')"
Pseudodictamnus hirsutus,"('Marrubium hirsutum',)"
Pseudodiphasium volubile,"('Lycopodium volubile',)"
Pseudolmedia laevis,"('Olmedia laevis',)"
Pseudolmedia rigida,"('Olmedia rigida',)"
Pseudopanax crassifolius,"('Hedera crassifolia', 'Aralia crassifolia', 'Panax crassifolius')"
Pseudotsuga menziesii,"('Abies menziesii',)"
Pseudowintera colorata,"('Drimys axillaris var. colorata', 'Wintera colorata', 'Drimys colorata')"
Pseuduvaria trimera,"('Mitrephora trimera',)"
Psychotria asiatica,"('Psychotrophum asiaticum',)"
Pteridium aquilinum,"('Eupteris aquilina', 'Filix aquilina', 'Cincinalis aquilina', 'Paesia aquilina', 'Asplenium aquilinum', 'Filix-foemina aquilina', 'Pteris aquilina', 'Ornithopteris aquilina', 'Allosorus aquilinus')"
Pterophylla racemosa,"('Weinmannia racemosa', 'Windmannia racemosa', 'Leiospermum racemosum')"
Pterospermum acerifolium,"('Pterospermadendron acerifolium', 'Dombeya acerifolia', 'Cavanilla acerifolia', 'Pentapetes acerifolia')"
