binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Alangium chinense,Alangium,chinense,Cornaceae,Cornales,AM,FRED4,"['Karangolum chinense', 'Stylis chinensis', 'Stylidium chinense', 'Marlea chinensis']"
Alchornea tiliifolia,Alchornea,tiliifolia,Euphorbiaceae,Malpighiales,AM,FRED4,['Stipellaria tiliifolia']
Alchornea trewioides,Alchornea,trewioides,Euphorbiaceae,Malpighiales,AM,FRED4,['Stipellaria trewioides']
Alectryon excelsus,Alectryon,excelsus,Sapindaceae,Sapindales,AM,FRED4,
Alibertia claviflora,Alibertia,claviflora,Rubiaceae,Gentianales,AM,FRED4,"['Borojoa claviflora', 'Cordiera claviflora']"
Alibertia edulis,Alibertia,edulis,Rubiaceae,Gentianales,AM,FRED4,"['Genipa edulis', 'Cordiera edulis', 'Gardenia edulis', 'Amaioua edulis']"
Allantoma lineata,Allantoma,lineata,Lecythidaceae,Ericales,AM,FRED4,['Couratari lineata']
Allium bidentatum,Allium,bidentatum,Amaryllidaceae,Asparagales,AM,FRED4,
Allium tenuissimum,Allium,tenuissimum,Amaryllidaceae,Asparagales,AM,FRED4,
Allium textile,Allium,textile,Amaryllidaceae,Asparagales,AM,FungalRoot,
Allophylus abyssinicus,Allophylus,abyssinicus,Sapindaceae,Sapindales,,,['Schmidelia abyssinica']
Allophylus cobbe,Allophylus,cobbe,Sapindaceae,Sapindales,AM,FRED4,"['Ornitrophe cobbe', 'Schmidelia cobbe', 'Toxicodendrum cobbe', 'Rhus cobbe']"
Alniphyllum fortunei,Alniphyllum,fortunei,Styracaceae,Ericales,AM,FRED4,['Halesia fortunei']
Alnus glutinosa,Alnus,glutinosa,Betulaceae,Fagales,EcM,FRED4,"['Betula alnus var. glutinosa', 'Betula glutinosa', 'Betula alnus subsp. glutinosa']"
Alpinia japonica,Alpinia,japonica,Zingiberaceae,Zingiberales,AM,FRED4,"['Globba japonica', 'Languas japonica']"
Alseis blackiana,Alseis,blackiana,Rubiaceae,Gentianales,AM,FRED4,
Alseodaphnopsis andersonii,Alseodaphnopsis,andersonii,Lauraceae,Laurales,,,"['Alseodaphne andersonii', 'Cryptocarya andersonii']"
Alsophila smithii,Alsophila,smithii,Cyatheaceae,Cyatheales,AM,FRED4,"['Hemitelia smithii', 'Cyathea smithii']"
Alsophila tricolor,Alsophila,tricolor,Cyatheaceae,Cyatheales,AM,FRED4,
Alstonia scholaris,Alstonia,scholaris,Apocynaceae,Gentianales,AM,FRED4,"['Echites scholaris', 'Pala scholaris']"
Amaioua glomerulata,Amaioua,glomerulata,Rubiaceae,Gentianales,AM,FRED4,"['Rondeletia glomerulata', 'Mussaenda glomerulata']"
Amaioua guianensis,Amaioua,guianensis,Rubiaceae,Gentianales,AM,FRED4,
