binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Castanopsis carlesii,Castanopsis,carlesii,Fagaceae,Fagales,EcM,FRED4,"['Shiia carlesii', 'Synaedrys carlesii', 'Quercus carlesii', 'Castanopsis cuspidata var. carlesii']"
Castanopsis echinocarpa,Castanopsis,echinocarpa,Fagaceae,Fagales,EcM,FRED4,['Castanopsis tribuloides var. echinocarpa']
Castanopsis eyrei,Castanopsis,eyrei,Fagaceae,Fagales,EcM,FRED4,"['Lithocarpus eyrei', 'Pasania eyrei', 'Quercus eyrei']"
Castanopsis fabri,Castanopsis,fabri,Fagaceae,Fagales,EcM,FRED4,
Castanopsis fargesii,Castanopsis,fargesii,Fagaceae,Fagales,EcM,FRED4,
Castanopsis ferox,Castanopsis,ferox,Fagaceae,Fagales,,,"['Quercus ferox', 'Castanopsis tribuloides var. ferox']"
Castanopsis fissa,Castanopsis,fissa,Fagaceae,Fagales,EcM,FRED4,"['Lithocarpus fissus', 'Pasania fissa', 'Quercus fissa', 'Shiia fissa', 'Synaedrys fissa']"
Castanopsis fleuryi,Castanopsis,fleuryi,Fagaceae,Fagales,,,
Castanopsis hystrix,Castanopsis,hystrix,Fagaceae,Fagales,EcM,FRED4,
Castanopsis indica,Castanopsis,indica,Fagaceae,Fagales,NMAM,Maherali et. al. 2016,"['Quercus indica', 'Castanea indica']"
Castanopsis wattii,Castanopsis,wattii,Fagaceae,Fagales,EcM,FRED4,"['Castanea wattii', 'Castanopsis tribuloides var. wattii']"
Catalpa bignonioides,Catalpa,bignonioides,Bignoniaceae,Lamiales,AM,FRED4,
Catostemma sclerophyllum,Catostemma,sclerophyllum,Malvaceae,Malvales,AM,FRED4,
Catunaregam spinosa,Catunaregam,spinosa,Rubiaceae,Gentianales,AM,FRED4,"['Xeromphis spinosa', 'Randia spinosa', 'Canthium spinosum', 'Gardenia spinosa']"
Caulophyllum robustum,Caulophyllum,robustum,Berberidaceae,Ranunculales,AM,FRED4,"['Leontice robusta', 'Caulophyllum thalictroides subsp. robustum']"
Cecropia angustifolia,Cecropia,angustifolia,Urticaceae,Rosales,,,
Cedrela montana,Cedrela,montana,Meliaceae,Sapindales,,,['Surenus montana']
Cedrus libani,Cedrus,libani,Pinaceae,Pinales,EcM,FRED4,"['Larix cedrus', 'Picea cedrus', 'Abies cedrus', 'Cedrus effusa', 'Cedrus libanotica subsp. libani', 'Pinus cedrus']"
Celtis australis,Celtis,australis,Cannabaceae,Rosales,AM,FRED4,
Celtis sinensis,Celtis,sinensis,Cannabaceae,Rosales,AM,FRED4,['Celtis tetrandra subsp. sinensis']
Celtis tetrandra,Celtis,tetrandra,Cannabaceae,Rosales,AM,FRED4,['Celtis sinensis var. tetrandra']
Celtis timorensis,Celtis,timorensis,Cannabaceae,Rosales,,,
Cenchrus americanus,Cenchrus,americanus,Poaceae,Poales,,,"['Pennisetum americanum', 'Panicum americanum']"
Centaurea pectinata,Centaurea,pectinata,Asteraceae,Asterales,,,['Jacea pectinata']
Centronia laurifolia,Centronia,laurifolia,Melastomataceae,Myrtales,,,
Cephalotaxus harringtonii,Cephalotaxus,harringtonii,Cephalotaxaceae,Pinales,AM,FRED4,
Cerastium arvense,Cerastium,arvense,Caryophyllaceae,Caryophyllales,NMAM,FRED4,"['Alsine arvensis', 'Leucodonium arvense', 'Centunculus arvensis']"
Cercidiphyllum japonicum,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales,AM,FRED4,
Cercis canadensis,Cercis,canadensis,Fabaceae,Fabales,AM,FRED4,['Siliquastrum canadense']
Cestrum schlechtendalii,Cestrum,schlechtendalii,Solanaceae,Solanales,,,
Chamaecrista fasciculata,Chamaecrista,fasciculata,Fabaceae,Fabales,AM,FungalRoot,['Cassia fasciculata']
Chamaecyparis obtusa,Chamaecyparis,obtusa,Cupressaceae,Cupressales,AM,FRED4,"['Retinispora obtusa', 'Cupressus obtusa', 'Chamaepeuce obtusa']"
Chamaecyparis pisifera,Chamaecyparis,pisifera,Cupressaceae,Cupressales,AM,FRED4,"['Thuja pisifera', 'Retinispora pisifera', 'Cupressus pisifera']"
Chamaerhodos erecta,Chamaerhodos,erecta,Rosaceae,Rosales,NM,FRED4,['Sibbaldia erecta']
Chassalia subnuda,Chassalia,subnuda,Rubiaceae,Gentianales,AM,FRED4,"['Uragoga subnuda', 'Psychotria subnuda']"
Chenopodium album,Chenopodium,album,Amaranthaceae,Caryophyllales,NMAM,FRED4,"['Chenopodium viride var. album', 'Botrys albus', 'Atriplex alba']"
Chionanthus virginicus,Chionanthus,virginicus,Oleaceae,Lamiales,AM,FRED4,
Chloranthus henryi,Chloranthus,henryi,Chloranthaceae,Chloranthales,,,
Choerospondias axillaris,Choerospondias,axillaris,Anacardiaceae,Sapindales,AM,FRED4,"['Spondias axillaris', 'Poupartia axillaris']"
Chomelia psilocarpa,Chomelia,psilocarpa,Rubiaceae,Gentianales,AM,FRED4,
Chomelia tenuiflora,Chomelia,tenuiflora,Rubiaceae,Gentianales,AM,FRED4,"['Caruelina tenuiflora', 'Anisomeris tenuiflora']"
Chromolucuma rubriflora,Chromolucuma,rubriflora,Sapotaceae,Ericales,AM,FRED4,['Pouteria rubriflora']
Chrysojasminum fruticans,Chrysojasminum,fruticans,Oleaceae,Lamiales,AM,FRED4,['Jasminum fruticans']
Chrysophyllum sanguinolentum,Chrysophyllum,sanguinolentum,Sapotaceae,Ericales,AM,FRED4,
Chrysopsis villosa,Chrysopsis,villosa,Asteraceae,Asterales,AM,FungalRoot,
Cibotium barometz,Cibotium,barometz,Cibotiaceae,Cyatheales,NM,FRED4,"['Dicksonia barometz', 'Polypodium barometz', 'Aspidium barometz', 'Nephrodium barometz']"
Cichorium intybus,Cichorium,intybus,Asteraceae,Asterales,AM,FRED4,
Cinnamomum austro-sinensis,Cinnamomum,austro-sinensis,Lauraceae,Laurales,AM,FRED4,
Cinnamomum camphora,Cinnamomum,camphora,Lauraceae,Laurales,AM,FRED4,
Cinnamomum chekiangense,Cinnamomum,chekiangense,Lauraceae,Laurales,AM,FRED4,
Cinnamomum contractum,Cinnamomum,contractum,Lauraceae,Laurales,,,
Cinnamomum glanduliferum,Cinnamomum,glanduliferum,Lauraceae,Laurales,AM,FungalRoot,
Cinnamomum iners,Cinnamomum,iners,Lauraceae,Laurales,AM,FRED4,"['Cinnamomum nitidum var. iners', 'Laurus iners']"
Cinnamomum micranthum,Cinnamomum,micranthum,Lauraceae,Laurales,AM,FRED4,
Cinnamomum parthenoxylon,Cinnamomum,parthenoxylon,Lauraceae,Laurales,AM,FRED4,
Cistus albidus,Cistus,albidus,Cistaceae,Malvales,EcM,FRED4,['Cistus vulgaris var. albidus']
Cistus calycinus,Cistus,calycinus,Cistaceae,Malvales,,,"['Stegitris calicinus', 'Halimium calycinum', 'Halimium atriplicifolium var. calycinum', 'Helianthemum calycinum']"
Cistus crispus,Cistus,crispus,Cistaceae,Malvales,,,['Cistus vulgaris var. crispus']
Cistus halimifolius,Cistus,halimifolius,Cistaceae,Malvales,AM,FungalRoot,"['Strobon halimifolium', 'Helianthemum halimifolium', 'Halimium halimifolium']"
Cistus ladanifer,Cistus,ladanifer,Cistaceae,Malvales,EcM,FRED4,
Cistus libanotis,Cistus,libanotis,Cistaceae,Malvales,,,
Cistus monspeliensis,Cistus,monspeliensis,Cistaceae,Malvales,EcM,FRED4,['Stephanocarpus monspeliensis']
Cistus salviifolius,Cistus,salviifolius,Cistaceae,Malvales,EcM,FRED4,['Ledonia peduncularis var. salviifolia']
Clarisia biflora,Clarisia,biflora,Moraceae,Rosales,,,
Clarisia racemosa,Clarisia,racemosa,Moraceae,Rosales,AM,FungalRoot,
Cleidion brevipetiolatum,Cleidion,brevipetiolatum,Euphorbiaceae,Malpighiales,AM,FungalRoot,
Cleistogenes squarrosa,Cleistogenes,squarrosa,Poaceae,Poales,NMAM,FRED4,"['Molinia squarrosa', 'Kengia squarrosa', 'Diplachne squarrosa']"
Clethra revoluta,Clethra,revoluta,Clethraceae,Ericales,,,['Cuellaria revoluta']
Clinopodium nepeta,Clinopodium,nepeta,Lamiaceae,Lamiales,,,"['Melissa nepeta', 'Satureja nepeta', 'Calamintha officinalis var. nepeta', 'Satureja calamintha var. nepeta', 'Thymus nepeta', 'Satureja calamintha subsp. nepeta', 'Calamintha nepeta']"
Clitoria javitensis,Clitoria,javitensis,Fabaceae,Fabales,AM,FRED4,"['Ternatea javitensis', 'Neurocarpum javitense']"
Clusia alata,Clusia,alata,Clusiaceae,Malpighiales,,,
Clusia ducuoides,Clusia,ducuoides,Clusiaceae,Malpighiales,,,
Clusia elliptica,Clusia,elliptica,Clusiaceae,Malpighiales,,,
Coccoloba excelsa,Coccoloba,excelsa,Polygonaceae,Caryophyllales,EcMAM,FRED4,
Coccoloba manzinellensis,Coccoloba,manzinellensis,Polygonaceae,Caryophyllales,EcMAM,FRED4,['Uvifera manzinellensis']
Comandra umbellata,Comandra,umbellata,Santalaceae,Santalales,AM,FungalRoot,['Thesium umbellatum']
Combretum collinum,Combretum,collinum,Combretaceae,Myrtales,AM,FungalRoot,
Combretum decandrum,Combretum,decandrum,Combretaceae,Myrtales,AM,FRED4,['Poivrea decandra']
Convallaria majalis,Convallaria,majalis,Asparagaceae,Asparagales,NMAM,FRED4,"['Polygonatum majale', 'Lilium-convallium majale']"
Coprosma ciliata,Coprosma,ciliata,Rubiaceae,Gentianales,AM,FRED4,
Coprosma foetidissima,Coprosma,foetidissima,Rubiaceae,Gentianales,AM,FRED4,
Coprosma linariifolia,Coprosma,linariifolia,Rubiaceae,Gentianales,AM,FRED4,['Coprosma propinqua var. linariifolia']
Coprosma lucida,Coprosma,lucida,Rubiaceae,Gentianales,AM,FRED4,
Coprosma rhamnoides,Coprosma,rhamnoides,Rubiaceae,Gentianales,AM,FRED4,
Cordiera myrciifolia,Cordiera,myrciifolia,Rubiaceae,Gentianales,AM,FRED4,['Alibertia myrciifolia']
Coreopsis palmata,Coreopsis,palmata,Asteraceae,Asterales,,,
Coriaria arborea,Coriaria,arborea,Coriariaceae,Cucurbitales,AM,FRED4,
Coriaria nepalensis,Coriaria,nepalensis,Coriariaceae,Cucurbitales,AM,Maherali et. al. 2016,
Cornus bretschneideri,Cornus,bretschneideri,Cornaceae,Cornales,AM,FRED4,['Swida bretschneideri']
Cornus controversa,Cornus,controversa,Cornaceae,Cornales,AM,FRED4,"['Bothrocaryum controversum', 'Swida controversa']"
Cornus florida,Cornus,florida,Cornaceae,Cornales,AM,FRED4,"['Benthamia florida', 'Benthamidia florida', 'Cynoxylon floridum']"
Cornus kousa,Cornus,kousa,Cornaceae,Cornales,AM,FRED4,"['Benthamia kousa', 'Benthamia japonica', 'Dendrobenthamia japonica', 'Benthamidia japonica', 'Cynoxylon japonicum', 'Cynoxylon kousa']"
Cornus officinalis,Cornus,officinalis,Cornaceae,Cornales,EcMAM,FRED4,['Macrocarpium officinale']
Cornus ulotricha,Cornus,ulotricha,Cornaceae,Cornales,AM,FRED4,['Swida ulotricha']
Coronilla juncea,Coronilla,juncea,Fabaceae,Fabales,,,['Ornithopus junceus']
Coronilla minima,Coronilla,minima,Fabaceae,Fabales,,,['Ornithopus minimus']
Corylus ferox,Corylus,ferox,Betulaceae,Fagales,EcM,FRED4,
Corylus sieboldiana,Corylus,sieboldiana,Betulaceae,Fagales,EcM,FRED4,"['Corylus heterophylla var. sieboldiana', 'Corylus rostrata var. sieboldiana']"
Corynocarpus laevigatus,Corynocarpus,laevigatus,Corynocarpaceae,Cucurbitales,AM,FRED4,
Corythophora alta,Corythophora,alta,Lecythidaceae,Ericales,AM,FRED4,
Cotoneaster acutifolius,Cotoneaster,acutifolius,Rosaceae,Rosales,AM,FRED4,"['Pyrus acutifolia', 'Cotoneaster niger var. acutifolius']"
Cotoneaster adpressus,Cotoneaster,adpressus,Rosaceae,Rosales,AM,FRED4,"['Cotoneaster horizontalis var. adpressus', 'Pyrus adpressa']"
Cotoneaster multiflorus,Cotoneaster,multiflorus,Rosaceae,Rosales,AM,FRED4,['Pyrus multiflora']
Couepia magnoliifolia,Couepia,magnoliifolia,Chrysobalanaceae,Malpighiales,AM,FRED4,
Crataegus monogyna,Crataegus,monogyna,Rosaceae,Rosales,AM,FRED4,"['Oxyacantha apiifolia', 'Mespilus oxyacantha subsp. monogyna', 'Mespilus monogyna', 'Crataegus oxyacantha proles monogyna', 'Oxyacantha monogyna', 'Crataegus oxyacantha var. monogyna', 'Crataegus oxyacantha subsp. monogyna', 'Crataegus oxyacantha monogyna']"
Crataegus pinnatifida,Crataegus,pinnatifida,Rosaceae,Rosales,EcMAM,FRED4,"['Mespilus pinnatifida', 'Mespilus pentagyna var. pinnatifida', 'Crataegus oxyacantha var. pinnatifida']"
Cratoxylum cochinchinense,Cratoxylum,cochinchinense,Hypericaceae,Malpighiales,AM,FRED4,"['Vismia cochinchinensis', 'Hypericum cochinchinense']"
Crepis foetida,Crepis,foetida,Asteraceae,Asterales,AM,Maherali et. al. 2016,"['Hostia foetida', 'Wibelia foetida', 'Rhynchopappus foetidus', 'Anisoderis foetida', 'Arnoseris foetida', 'Barkhausia foetida', 'Berinia foetida', 'Picris foetida', 'Hieracium foetidum', 'Hieracioides foetida']"
Crepis tectorum,Crepis,tectorum,Asteraceae,Asterales,NM,FRED4,"['Hieracioides tectorum', 'Hedypnois tectorum', 'Hieracium tectorum']"
Critoniopsis floribunda,Critoniopsis,floribunda,Asteraceae,Asterales,,,['Vernonia floribunda']
Critoniopsis pycnantha,Critoniopsis,pycnantha,Asteraceae,Asterales,,,['Vernonia pycnantha']
Croton kongensis,Croton,kongensis,Euphorbiaceae,Malpighiales,AM,Maherali et. al. 2016,
Cryptocarya acutifolia,Cryptocarya,acutifolia,Lauraceae,Laurales,,,
Cryptocarya brachythyrsa,Cryptocarya,brachythyrsa,Lauraceae,Laurales,,,
Cryptocarya chinensis,Cryptocarya,chinensis,Lauraceae,Laurales,AM,FRED4,['Beilschmiedia chinensis']
Cryptocarya concinna,Cryptocarya,concinna,Lauraceae,Laurales,AM,FRED4,
Cryptocarya yunnanensis,Cryptocarya,yunnanensis,Lauraceae,Laurales,AM,FungalRoot,
Cryptomeria japonica,Cryptomeria,japonica,Cupressaceae,Cupressales,AM,FRED4,"['Cupressus japonica', 'Schubertia japonica', 'Taxodium japonicum']"
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Cupressales,AM,FRED4,"['Araucaria lanceolata', 'Belis lanceolata', 'Abies lanceolata', 'Pinus lanceolata']"
Cyathea smithii,Cyathea,smithii,Cyatheaceae,Cyatheales,AM,FRED4,
Cycas nathorstii,Cycas,nathorstii,Cycadaceae,Cycadales,AM,FRED4,
Cycas panzhihuaensis,Cycas,panzhihuaensis,Cycadaceae,Cycadales,AM,FRED4,
Cydonia oblonga,Cydonia,oblonga,Rosaceae,Rosales,AM,FRED4,"['Pyrus cydonia', 'Pyrus oblonga', 'Cydonia vulgaris silvestris']"
Cystopteris sudetica,Cystopteris,sudetica,Cystopteridaceae,Polypodiales,,,['Rhizomatopteris sudetica']
Cytisus grandiflorus,Cytisus,grandiflorus,Fabaceae,Fabales,,,"['Laburnum grandiflorum', 'Sarothamnus grandiflorus', 'Genista grandiflora']"
Dacrycarpus dacrydioides,Dacrycarpus,dacrydioides,Podocarpaceae,Araucariales,AM,FRED4,"['Nageia excelsa', 'Podocarpus dacrydioides', 'Nageia dacrydioides', 'Podocarpus excelsus']"
Dacrycarpus imbricatus,Dacrycarpus,imbricatus,Podocarpaceae,Araucariales,AM,FRED4,"['Bracteocarpus imbricatus', 'Podocarpus imbricatus']"
Dacrydium balansae,Dacrydium,balansae,Podocarpaceae,Araucariales,AM,FRED4,['Metadacrydium balansae']
Dacrydium cupressinum,Dacrydium,cupressinum,Podocarpaceae,Araucariales,AM,FRED4,['Thalamia cupressina']
Dacrydium gracile,Dacrydium,gracile,Podocarpaceae,Araucariales,AM,FRED4,['Corneria gracilis']
Dacrydium pectinatum,Dacrydium,pectinatum,Podocarpaceae,Araucariales,AM,FRED4,['Corneria pectinata']
Dacryodes peruviana,Dacryodes,peruviana,Burseraceae,Sapindales,,,['Pachylobus peruvianus']
Dactylis glomerata,Dactylis,glomerata,Poaceae,Poales,AM,FRED4,"['Koeleria dactylis', 'Phalaris glomerata', 'Limnetis glomerata', 'Bromus glomeratus', 'Festuca glomerata']"
Dalea purpurea,Dalea,purpurea,Fabaceae,Fabales,AM,Maherali et. al. 2016,"['Petalostemon purpureus', 'Psoralea purpurea', 'Kuhnistera purpurea']"
Danthonia intermedia,Danthonia,intermedia,Poaceae,Poales,,,"['Merathrepta intermedia', 'Pentameris intermedia']"
Daphniphyllum pentandrum,Daphniphyllum,pentandrum,Daphniphyllaceae,Saxifragales,AM,FRED4,
Daucus carota,Daucus,carota,Apiaceae,Apiales,AM,FRED4,['Caucalis carota']
Decaspermum gracilentum,Decaspermum,gracilentum,Myrtaceae,Myrtales,AM,FRED4,"['Eugenia gracilenta', 'Syzygium gracilentum']"
Dendropanax dentigerus,Dendropanax,dentigerus,Araliaceae,Apiales,AM,FRED4,"['Textoria dentigera', 'Dendropanax chevalieri var. dentigerus', 'Gilibertia dentigera']"
Deschampsia cespitosa,Deschampsia,cespitosa,Poaceae,Poales,NMAM,FRED4,"['Agrostis cespitosa', 'Aira major subsp. cespitosa', 'Avena cespitosa', 'Campella cespitosa', 'Aira cespitosa', 'Podionapus cespitosus']"
Descurainia sophia,Descurainia,sophia,Brassicaceae,Brassicales,NM,FRED4,"['Phryne sophia', 'Arabis sophia', 'Crucifera sophia', 'Discurea sophia', 'Sisymbrium sophia', 'Sophia vulgaris']"
Desmodium canadense,Desmodium,canadense,Fabaceae,Fabales,,,"['Pleurolobus canadensis', 'Hedysarum canadense', 'Edusaron canadense']"
Deutzia glabrata,Deutzia,glabrata,Hydrangeaceae,Cornales,AM,FRED4,
Deutzia grandiflora,Deutzia,grandiflora,Hydrangeaceae,Cornales,AM,FRED4,
Dicksonia squarrosa,Dicksonia,squarrosa,Dicksoniaceae,Cyatheales,AM,FRED4,['Trichomanes squarrosum']
Dicranopteris linearis,Dicranopteris,linearis,Gleicheniaceae,Gleicheniales,AM,FRED4,"['Gleichenia linearis', 'Polypodium lineare']"
Dicranopteris pedata,Dicranopteris,pedata,Gleicheniaceae,Gleicheniales,NM,FRED4,['Polypodium pedatum']
Didymocheton spectabilis,Didymocheton,spectabilis,Meliaceae,Sapindales,AM,FRED4,"['Dysoxylum spectabile', 'Trichilia spectabilis']"
Dioon rzedowskii,Dioon,rzedowskii,Zamiaceae,Cycadales,AM,FRED4,
Dioscorea nipponica,Dioscorea,nipponica,Dioscoreaceae,Dioscoreales,AM,FRED4,
Diospyros strigosa,Diospyros,strigosa,Ebenaceae,Ericales,AM,FRED4,
Diospyros virginiana,Diospyros,virginiana,Ebenaceae,Ericales,AM,FRED4,['Persimon virginiana']
Diplospora dubia,Diplospora,dubia,Rubiaceae,Gentianales,AM,FRED4,"['Canthium dubium', 'Discospermum dubium', 'Tricalysia dubia']"
Dovyalis abyssinica,Dovyalis,abyssinica,Salicaceae,Malpighiales,,,['Rumea abyssinica']
Draba nemorosa,Draba,nemorosa,Brassicaceae,Brassicales,NM,Maherali et. al. 2016,['Tomostima nemorosum']
Dracophyllum longifolium,Dracophyllum,longifolium,Ericaceae,Ericales,ErM,FRED4,['Epacris longifolia']
Drymocallis arguta,Drymocallis,arguta,Rosaceae,Rosales,,,"['Potentilla agrimonioides var. arguta', 'Potentilla arguta', 'Potentilla pensylvanica var. arguta']"
Dryopteris lepidopoda,Dryopteris,lepidopoda,Dryopteridaceae,Polypodiales,NM,FRED4,
Dryopteris sparsa,Dryopteris,sparsa,Dryopteridaceae,Polypodiales,AM,FRED4,"['Aspidium sparsum', 'Lastrea sparsa', 'Nephrodium sparsum', 'Polystichum sparsum']"
Dussia tessmannii,Dussia,tessmannii,Fabaceae,Fabales,,,
Echinacea serotina,Echinacea,serotina,Asteraceae,Asterales,,,
Ekebergia capensis,Ekebergia,capensis,Meliaceae,Sapindales,AM,Maherali et. al. 2016,['Trichilia capensis']
Elaeagnus commutata,Elaeagnus,commutata,Elaeagnaceae,Rosales,AM,Maherali et. al. 2016,
Elaeocarpus dentatus,Elaeocarpus,dentatus,Elaeocarpaceae,Oxalidales,AM,FRED4,"['Monocera dentata', 'Skidanthera dentata', 'Cassine dentata', 'Eriostemon dentatus', 'Dicera dentata']"
Elaeocarpus dubius,Elaeocarpus,dubius,Elaeocarpaceae,Oxalidales,AM,FRED4,
Elaeocarpus glabripetalus,Elaeocarpus,glabripetalus,Elaeocarpaceae,Oxalidales,AM,FRED4,
Elaeocarpus hookerianus,Elaeocarpus,hookerianus,Elaeocarpaceae,Oxalidales,AM,FRED4,['Cassine hookeriana']
Elaeocarpus sylvestris,Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales,AM,FRED4,['Adenodus sylvestris']
Eleutherococcus senticosus,Eleutherococcus,senticosus,Araliaceae,Apiales,AM,FRED4,"['Hedera senticosa', 'Acanthopanax senticosus']"
Elymus canadensis,Elymus,canadensis,Poaceae,Poales,AM,FRED4,"['Hordeum canadense', 'Clinelymus canadensis', 'Roegneria canadensis', 'Terrellia canadensis']"
Elymus lanceolatus,Elymus,lanceolatus,Poaceae,Poales,,,['Agropyron lanceolatum']
Elymus repens,Elymus,repens,Poaceae,Poales,AM,FRED4,"['Agropyron repens', 'Frumentum repens', 'Triticum repens', 'Agropyron junceum var. repens', 'Elytrigia repens', 'Zeia repens']"
Elymus virginicus,Elymus,virginicus,Poaceae,Poales,AM,FRED4,"['Hordeum virginicum', 'Terrellia virginica', 'Leptothrix virginica']"
Embelia vestita,Embelia,vestita,Primulaceae,Ericales,AM,FRED4,"['Ribesiodes vestitum', 'Samara vestita']"
Encephalartos gratus,Encephalartos,gratus,Zamiaceae,Cycadales,AM,FRED4,
Endlicheria anomala,Endlicheria,anomala,Lauraceae,Laurales,AM,FRED4,['Goeppertia anomala']
Endlicheria arenosa,Endlicheria,arenosa,Lauraceae,Laurales,AM,FRED4,
Endlicheria bracteolata,Endlicheria,bracteolata,Lauraceae,Laurales,AM,FRED4,['Goeppertia sericea var. bracteolata']
Endlicheria citriodora,Endlicheria,citriodora,Lauraceae,Laurales,AM,FRED4,
Endlicheria longicaudata,Endlicheria,longicaudata,Lauraceae,Laurales,AM,FRED4,['Huberodaphne longicaudata']
Endlicheria macrophylla,Endlicheria,macrophylla,Lauraceae,Laurales,AM,FRED4,['Ampelodaphne macrophylla']
Endlicheria oreocola,Endlicheria,oreocola,Lauraceae,Laurales,,,
Endlicheria ruforamula,Endlicheria,ruforamula,Lauraceae,Laurales,,,
Endospermum chinense,Endospermum,chinense,Euphorbiaceae,Malpighiales,AM,FRED4,
Engelhardia roxburghiana,Engelhardia,roxburghiana,Juglandaceae,Fagales,EcM,FRED4,"['Alfaropsis roxburghiana', 'Alfaroa roxburghiana']"
Engelhardia serrata,Engelhardia,serrata,Juglandaceae,Fagales,,,
Engelhardia spicata,Engelhardia,spicata,Juglandaceae,Fagales,,,['Engelhardia pterococca var. spicata']
Ephedra distachya,Ephedra,distachya,Ephedraceae,Ephedrales,AM,FRED4,['Chaetocladus distachys']
Ephedra fragilis,Ephedra,fragilis,Ephedraceae,Ephedrales,,,
Equisetum hyemale,Equisetum,hyemale,Equisetaceae,Equisetales,NMAM,FRED4,"['Presla hyemalis', 'Hippochaete hyemalis']"
Equisetum pratense,Equisetum,pratense,Equisetaceae,Equisetales,NM,FRED4,
Eragrostis trichodes,Eragrostis,trichodes,Poaceae,Poales,AM,FungalRoot,['Poa trichodes']
Erica arborea,Erica,arborea,Ericaceae,Ericales,ErM,FungalRoot,"['Arsace arborea', 'Ericoides arborea']"
Erica scoparia,Erica,scoparia,Ericaceae,Ericales,,,"['Ericoides scoparia', 'Ericoides scoparia', 'Chlorocodon scoparius']"
Erigeron canadensis,Erigeron,canadensis,Asteraceae,Asterales,AM,FRED4,"['Leptilon canadense', 'Marsea canadensis', 'Conyzella canadensis', 'Tessenia canadensis', 'Trimorpha canadensis', 'Conyza canadensis']"
Erigeron glabellus,Erigeron,glabellus,Asteraceae,Asterales,,,['Tessenia glabella']
Erigeron pumilus,Erigeron,pumilus,Asteraceae,Asterales,,,"['Tessenia pumila', 'Fragmosa pumila', 'Erigeron hirsutus']"
Eriobotrya japonica,Eriobotrya,japonica,Rosaceae,Rosales,AM,FRED4,"['Photinia japonica', 'Mespilus japonica']"
Eriotheca longitubulosa,Eriotheca,longitubulosa,Malvaceae,Malvales,,,
Eriotheca surinamensis,Eriotheca,surinamensis,Malvaceae,Malvales,,,['Bombax surinamense']
Erysimum inconspicuum,Erysimum,inconspicuum,Brassicaceae,Brassicales,NM,FungalRoot,['Erysimum asperum var. inconspicuum']
Eschweilera albiflora,Eschweilera,albiflora,Lecythidaceae,Ericales,AM,FRED4,['Lecythis albiflora']
Eschweilera atropetiolata,Eschweilera,atropetiolata,Lecythidaceae,Ericales,AM,FRED4,
Eschweilera bracteosa,Eschweilera,bracteosa,Lecythidaceae,Ericales,AM,FRED4,['Lecythis bracteosa']
Eschweilera coriacea,Eschweilera,coriacea,Lecythidaceae,Ericales,AM,FRED4,"['Lecythis coriacea', 'Jugastrum coriaceum']"
Eschweilera decolorans,Eschweilera,decolorans,Lecythidaceae,Ericales,AM,FRED4,['Chytroma decolorans']
Eschweilera grandiflora,Eschweilera,grandiflora,Lecythidaceae,Ericales,AM,FRED4,['Lecythis grandiflora']
Eschweilera ovata,Eschweilera,ovata,Lecythidaceae,Ericales,AM,FRED4,['Lecythis ovata']
Eschweilera parviflora,Eschweilera,parviflora,Lecythidaceae,Ericales,AM,FRED4,['Lecythis parviflora']
Eschweilera pedicellata,Eschweilera,pedicellata,Lecythidaceae,Ericales,AM,FRED4,['Lecythis pedicellata']
Eschweilera tenuifolia,Eschweilera,tenuifolia,Lecythidaceae,Ericales,AM,FRED4,['Lecythis tenuifolia']
Eschweilera truncata,Eschweilera,truncata,Lecythidaceae,Ericales,AM,FRED4,
Eschweilera wachenheimii,Eschweilera,wachenheimii,Lecythidaceae,Ericales,AM,FRED4,['Lecythis wachenheimii']
Eucalyptus urophylla,Eucalyptus,urophylla,Myrtaceae,Myrtales,EcMAM,FRED4,
Eugenia biflora,Eugenia,biflora,Myrtaceae,Myrtales,AM,FRED4,['Myrtus biflora']
Eugenia florida,Eugenia,florida,Myrtaceae,Myrtales,,,
Eugenia lambertiana,Eugenia,lambertiana,Myrtaceae,Myrtales,AM,FRED4,
Eugenia lisboae,Eugenia,lisboae,Myrtaceae,Myrtales,AM,FRED4,
Eugenia patrisii,Eugenia,patrisii,Myrtaceae,Myrtales,AM,FRED4,"['Myrtus patrisii', 'Stenocalyx patrisii']"
Eugenia protenta,Eugenia,protenta,Myrtaceae,Myrtales,AM,FRED4,
Eugenia pseudopsidium,Eugenia,pseudopsidium,Myrtaceae,Myrtales,AM,FRED4,"['Eugenia willdenowii', 'Myrtus pseudopsidium', 'Stenocalyx pseudopsidium']"
Eugenia pusilliflora,Eugenia,pusilliflora,Myrtaceae,Myrtales,AM,FRED4,
Eugenia sinemariensis,Eugenia,sinemariensis,Myrtaceae,Myrtales,,,"['Myrtus sinemariensis', 'Epleienda sinemariensis']"
Eugenia spruceana,Eugenia,spruceana,Myrtaceae,Myrtales,AM,FRED4,
Eumachia astrellantha,Eumachia,astrellantha,Rubiaceae,Gentianales,AM,FRED4,"['Chytropsia astrellantha', 'Margaritopsis astrellantha', 'Psychotria astrellantha']"
