binominal,F01286,F01289,F00679,F00727,F00709,state,state_source,synonym
Anaphalis_aureopunctata,Anaphalis,Asteraceae,-1.988139383,6.1720241358809,-1.911718784,AM,"(Soudzilovskaia et al., 2020)",
Anaphalis_hancockii,Anaphalis,Asteraceae,-1.722046857,5.76787698692392,-2.073010648,AM,FRED4,
Antennaria_parvifolia,Antennaria,Asteraceae,-1.051108666,3.80529693426811,-1.38462908,AM,FRED4,"('Antennaria dioica var. parvifolia',)"
Antennaria_neglecta,Antennaria,Asteraceae,-1.291166016,4.82618325904432,-1.836495363,AM,"(Soudzilovskaia et al., 2020)",
Inula_conyza,Inula,Asteraceae,-1.096614286,5.28826703069454,-2.603690186,AM,FRED4,
Xanthisma_spinulosum,Xanthisma,Asteraceae,-1.151064149,4.75115187600315,-2.238046569,AM,"(Soudzilovskaia et al., 2020)","('Dieteria spinulosa', 'Sideranthus spinulosus', 'Haplopappus spinulosus', 'Amellus spinulosus')"
Symphyotrichum_oolentangiense,Symphyotrichum,Asteraceae,-1.049822124,4.46590811865458,-2.120263536,AM,"(Brundrett and Tedersoo, 2018)","('Aster oolentangiensis',)"
Symphyotrichum_falcatum,Symphyotrichum,Asteraceae,-1.167383756,4.135191437,-1.448405776,AM,FRED4,"('Aster falcatus', 'Virgulus falcatus', 'Lasallea falcata')"
Symphyotrichum_ciliolatum,Symphyotrichum,Asteraceae,-1.740686199,4.710763094,-1.008664053,AM,"(Brundrett and Tedersoo, 2018)","('Aster ciliolatus', 'Aster lindleyanus var. ciliolatus')"
Symphyotrichum_puniceum,Symphyotrichum,Asteraceae,-1.272965676,4.95582705760126,-2.120263536,AM,"(Soudzilovskaia et al., 2020)","('Aster puniceus',)"
Symphyotrichum_laeve,Symphyotrichum,Asteraceae,-1.126857454,4.1192193121269,-1.272579352,AM,"(Soudzilovskaia et al., 2020)","('Aster laevis',)"
Symphyotrichum_novae-angliae,Symphyotrichum,Asteraceae,-0.776528789,3.95124371858143,-2.120263536,AM,"(Soudzilovskaia et al., 2020)","('Aster spurius var. novae-angliae', 'Lasallea novae-angliae', 'Virgulus novae-angliae', 'Aster novae-angliae')"
Symphyotrichum_ericoides,Symphyotrichum,Asteraceae,-1.119938075,4.49149744149952,-1.884380959,AM,Maherali et. al. 2016,"('Aster ericoides', 'Lasallea ericoides', 'Virgulus ericoides')"
Chrysopsis_villosa,Chrysopsis,Asteraceae,-1.516403046,4.64999026646069,-1.378164236,AM,"(Soudzilovskaia et al., 2020)","('Heterotheca villosa',)"
Solidago_ptarmicoides,Solidago,Asteraceae,-0.94160854,3.52636052461616,-1.427116356,AM,"(Brundrett and Tedersoo, 2018)","('Doellingeria ptarmicoides', 'Aster albus', 'Aster ptarmicoides', 'Chrysopsis alba', 'Diplopappus albus', 'Eucephalus albus', 'Heleastrum album', 'Inula alba', 'Oligoneuron album', 'Solidago asteroides', 'Unamia alba', 'Unamia ptarmicoides')"
Solidago_nemoralis,Solidago,Asteraceae,-1.002870384,5.76465718112043,-2.366930417,AM,Maherali et. al. 2016,
Solidago_decurrens,Solidago,Asteraceae,-1.393419686,5.31263315491084,-2.286836732,AM,FRED4,
Solidago_speciosa,Solidago,Asteraceae,-0.967584026,3.8286413964891,-1.660731207,AM,"(Soudzilovskaia et al., 2020)","('Aster speciosus', 'Leioligo speciosa')"
Solidago_rigida,Solidago,Asteraceae,-0.729036753,3.58669647122897,-1.547495955,AM,Maherali et. al. 2016,"('Leioligo rigida',)"
Solidago_missouriensis,Solidago,Asteraceae,-1.12788663,4.60729495806029,-1.569380069,AM,"(Soudzilovskaia et al., 2020)","('Aster missouriensis',)"
Gutierrezia_sarothrae,Gutierrezia,Asteraceae,-1.323883101,4.43871541663599,-1.491654877,AM,Maherali et. al. 2016,"('Xanthocephalum sarothrae', 'Solidago sarothrae')"
Erigeron_glabellus,Erigeron,Asteraceae,-1.184714989,3.98110572821168,-1.290742923,AM,"(Brundrett and Tedersoo, 2018)","('Tessenia glabella',)"
Erigeron_pumilus,Erigeron,Asteraceae,-1.694723507,4.43738608281715,-1.203972804,AM,"(Brundrett and Tedersoo, 2018)","('Tessenia pumila', 'Fragmosa pumila', 'Erigeron hirsutus')"
Erigeron_canadensis,Erigeron,Asteraceae,-1.049822124,4.779123493,-2.407945609,AM,FRED4,"('Leptilon canadense', 'Marsea canadensis', 'Conyzella canadensis', 'Tessenia canadensis', 'Trimorpha canadensis', 'Conyza canadensis')"
Aster_scaber,Aster,Asteraceae,-1.554476354,5.38998820470224,-2.02814825,AM,FRED4,"('Cardiagyris scabra', 'Doellingeria scabra')"
Aster_lanceolatus,Aster,Asteraceae,-1.021651248,4.21950770517611,-1.897119985,AM,"(Soudzilovskaia et al., 2020)","('Symphyotrichum lanceolatum',)"
Aster_tataricus,Aster,Asteraceae,-1.62455155,5.69410244060289,-2.184802057,AM,FRED4,
Olearia_avicenniaefolia,Olearia,Asteraceae,-0.733969175,2.98568193770049,-1.30933332,AM,FRED4,
Olearia_rani,Olearia,Asteraceae,-0.621695113,3.808917993,-2.211013539,AM,FRED4,"('Brachyglottis rani', 'Aster rani')"
Artemisia_igniaria,Artemisia,Asteraceae,-1.788564578,5.3188690127693,-1.501807247,AM,FRED4,
Artemisia_barrelieri,Artemisia,Asteraceae,-0.856019114,1.6239199287813,-0.798939999,AM,"(Brundrett and Tedersoo, 2018)","('Seriphidium barrelieri',)"
Artemisia_frigida,Artemisia,Asteraceae,-1.171950301,4.16399364532301,-1.389809983,AM,FRED4,"('Absinthium frigidum',)"
Artemisia_mongolica,Artemisia,Asteraceae,-1.795165262,5.27643036558358,-1.439538876,AM,FRED4,"('Artemisia vulgaris var. mongolica',)"
