binominal,F01286,F01287,F00679_mean,F00679_sem,F00727_mean,F00727_sem,F00709_mean,F00709_sem
Aidia_oxyodonta,Aidia,oxyodonta,-1.4196066472283984,0.3744367076058233,3.3326545237162266,0.6513192671027358,-0.251876737303216,0.11365261396855668
Ailanthus_fordii,Ailanthus,fordii,-0.23216594269983903,0.1794681540507603,1.9419718875903103,0.09295012063138797,-0.9662754677085847,0.02491224134806674
Aiouea_montana,Aiouea,montana,-0.3782877805899664,,2.626453652342642,,-1.6204667369525432,
Alangium_chinense,Alangium,chinense,-2.3735441819345398,,5.135268885097667,,-1.1394342831883648,
Alchornea_tiliifolia,Alchornea,tiliifolia,-0.7909110095833776,0.1650283047981228,3.0414093688502577,0.37771327780347513,-1.1419790922472506,0.1108288681933121
Alchornea_trewioides,Alchornea,trewioides,-1.369240606554063,,4.527772527776599,,-1.518466134445765,
Alectryon_excelsus,Alectryon,excelsus,-0.7708157040719819,0.0571163589569814,3.564243773368105,0.1697254472683316,-1.7562515007870703,0.09566330100537586
Alibertia_claviflora,Alibertia,claviflora,-0.4668087383492164,,1.888583653863595,,-0.7940730991499059,
Alibertia_edulis,Alibertia,edulis,-0.33267943838251673,,1.8764069432883397,,-1.018877320649256,
Allantoma_lineata,Allantoma,lineata,-0.9238189982949466,,2.8414149131696336,,-0.8651224452997557,
Allium_bidentatum,Allium,bidentatum,-0.6933472205706153,0.020002667306849572,3.357885716123624,0.09748414442692455,-1.7163440243767631,0.05561281755511216
Allium_tenuissimum,Allium,tenuissimum,-0.916290731874155,0.0,3.8865144654747943,0.05331824059261913,-1.8345384134088782,0.06258157147700304
Allium_textile,Allium,textile,-1.168659288052703,,5.23566960080539,,-2.25380866225225,
Allophylus_abyssinicus,Allophylus,abyssinicus,-0.5978370007556204,,2.3561258599220753,,-0.8915981192837836,
Allophylus_cobbe,Allophylus,cobbe,-1.8568101214823827,,4.318421011584911,,-0.5108256237659907,
Alniphyllum_fortunei,Alniphyllum,fortunei,-1.1780936419859003,0.05534866179878796,4.289030592753673,0.1337587732651397,-1.6507135206100159,0.021771766572712004
Alnus_glutinosa,Alnus,glutinosa,-0.9526305986530476,,3.2857469622150157,,-0.9007259785570098,
Alpinia_japonica,Alpinia,japonica,-1.7781524658218382,,5.505626207959451,,-1.7272209468404838,
Alseis_blackiana,Alseis,blackiana,-0.42920598578943203,0.023730531047879398,2.52665947810726,0.06988630571504087,-1.4261759455349314,0.03841649801024709
Alseodaphnopsis_andersonii,Alseodaphnopsis,andersonii,-0.18032355413128162,,1.3272188234777798,,-0.6442685707781323,
Alsophila_smithii,Alsophila,smithii,-0.4986021796252533,0.09096012730468866,2.645238943653146,0.14835076223975482,-1.408596866456442,0.12576111076686713
Alsophila_tricolor,Alsophila,tricolor,-0.47114013564240775,0.04748072519651254,2.747439480770231,0.10093534204704802,-1.5494195228460843,0.05458560182320225
Alstonia_scholaris,Alstonia,scholaris,-0.6468362776966949,,3.248822901236153,,-1.7719568419318752,
Amaioua_glomerulata,Amaioua,glomerulata,-0.6772738314036552,,2.2460147415056513,,-0.7011793522572096,
Amaioua_guianensis,Amaioua,guianensis,-0.7830718880879323,,2.8148097376737438,,-0.7985076962177716,
Ambrosia_artemisiifolia,Ambrosia,artemisiifolia,-1.0216512475319814,,4.859812404361672,,-2.5257286443082556,
