F01286,F01287,F01289,F01290
Anthyllis,terniflora,Fabaceae,Fabales
Arbutus,unedo,Ericaceae,Ericales
Armeria,velutina,Plumbaginaceae,Caryophyllales
Artemisia,barrelieri,Asteraceae,Asterales
Atractylis,humilis,Asteraceae,Asterales
Pseudodictamnus,hirsutus,Lamiaceae,Lamiales
Calluna,vulgaris,Ericaceae,Ericales
Celtis,australis,Cannabaceae,Rosales
Cistus,albidus,Cistaceae,Malvales
Cistus,crispus,Cistaceae,Malvales
Cistus,ladanifer,Cistaceae,Malvales
Cistus,libanotis,Cistaceae,Malvales
Cistus,monspeliensis,Cistaceae,Malvales
Cistus,salviifolius,Cistaceae,Malvales
Coronilla,juncea,Fabaceae,Fabales
Crataegus,monogyna,Rosaceae,Rosales
Cydonia,oblonga,Rosaceae,Rosales
Cytisus,grandiflorus,Fabaceae,Fabales
Ephedra,fragilis,Ephedraceae,Ephedrales
Erica,arborea,Ericaceae,Ericales
Erica,scoparia,Ericaceae,Ericales
Ficus,carica,Moraceae,Rosales
Fraxinus,angustifolia,Oleaceae,Lamiales
Fumana,thymifolia,Cistaceae,Malvales
Genista,hirsuta,Fabaceae,Fabales
Genista,triacanthos,Fabaceae,Fabales
Cistus,calycinus,Cistaceae,Malvales
Cistus,halimifolius,Cistaceae,Malvales
Hedera,helix,Araliaceae,Apiales
Helianthemum,almeriense,Cistaceae,Malvales
Helianthemum,syriacum,Cistaceae,Malvales
Helichrysum,italicum,Asteraceae,Asterales
Helichrysum,stoechas,Asteraceae,Asterales
Chrysojasminum,fruticans,Oleaceae,Lamiales
Juniperus,phoenicea,Cupressaceae,Cupressales
Launaea,arborescens,Asteraceae,Asterales
Lavandula,multifida,Lamiaceae,Lamiales
Myrtus,communis,Myrtaceae,Myrtales
Nerium,oleander,Apocynaceae,Gentianales
Osyris,alba,Santalaceae,Santalales
Phillyrea,angustifolia,Oleaceae,Lamiales
Phillyrea,latifolia,Oleaceae,Lamiales
Phlomis,purpurea,Lamiaceae,Lamiales
Pinus,pinea,Pinaceae,Pinales
Pistacia,lentiscus,Anacardiaceae,Sapindales
Pistacia,terebinthus,Anacardiaceae,Sapindales
Populus,alba,Salicaceae,Malpighiales
Pyrus,bourgaeana,Rosaceae,Rosales
Quercus,canariensis,Fagaceae,Fagales
Quercus,coccifera,Fagaceae,Fagales
Quercus,faginea,Fagaceae,Fagales
Quercus,ilex,Fagaceae,Fagales
Quercus,suber,Fagaceae,Fagales
Rhamnus,alaternus,Rhamnaceae,Rosales
Rhamnus,lycioides,Rhamnaceae,Rosales
Rhododendron,ponticum,Ericaceae,Ericales
Rosa,canina,Rosaceae,Rosales
Salvia,rosmarinus,Lamiaceae,Lamiales
Rubus,ulmifolius,Rosaceae,Rosales
Salix,atrocinerea,Salicaceae,Malpighiales
Sideritis,pusilla,Lamiaceae,Lamiales
Smilax,aspera,Smilacaceae,Liliales
Stauracanthus,genistoides,Fabaceae,Fabales
Teucrium,charidemi,Lamiaceae,Lamiales
Teucrium,fruticans,Lamiaceae,Lamiales
Thymelaea,hirsuta,Thymelaeaceae,Malvales
Thymus,hyemalis,Lamiaceae,Lamiales
Thymus,mastichina,Lamiaceae,Lamiales
Ulex,parviflorus,Fabaceae,Fabales
Ulmus,minor,Ulmaceae,Rosales
Viburnum,tinus,Viburnaceae,Dipsacales
Vitis,vinifera,Vitaceae,Vitales
Withania,frutescens,Solanaceae,Solanales
Allium,textile,Amaryllidaceae,Asparagales
Amelanchier,alnifolia,Rosaceae,Rosales
Androsace,occidentalis,Primulaceae,Ericales
Lygodesmia,juncea,Asteraceae,Asterales
Antennaria,neglecta,Asteraceae,Asterales
Antennaria,parvifolia,Asteraceae,Asterales
Arnica,fulgens,Asteraceae,Asterales
Arnica,sororia,Asteraceae,Asterales
Artemisia,cana,Asteraceae,Asterales
Artemisia,frigida,Asteraceae,Asterales
Symphyotrichum,ciliolatum,Asteraceae,Asterales
Symphyotrichum,falcatum,Asteraceae,Asterales
Astragalus,aboriginum,Fabaceae,Fabales
Astragalus,bisulcatus,Fabaceae,Fabales
Astragalus,agrestis,Fabaceae,Fabales
Bouteloua,gracilis,Poaceae,Poales
Campanula,rotundifolia,Campanulaceae,Asterales
Carex,filifolia,Cyperaceae,Poales
Carex,obtusata,Cyperaceae,Poales
Cerastium,arvense,Caryophyllaceae,Caryophyllales
Comandra,umbellata,Santalaceae,Santalales
Danthonia,intermedia,Poaceae,Poales
Descurainia,sophia,Brassicaceae,Brassicales
Draba,nemorosa,Brassicaceae,Brassicales
Elaeagnus,commutata,Elaeagnaceae,Rosales
Elymus,lanceolatus,Poaceae,Poales
Erigeron,glabellus,Asteraceae,Asterales
Erigeron,pumilus,Asteraceae,Asterales
Erysimum,inconspicuum,Brassicaceae,Brassicales
Krascheninnikovia,ceratoides,Amaranthaceae,Caryophyllales
Festuca,hallii,Poaceae,Poales
Galium,boreale,Rubiaceae,Gentianales
Gutierrezia,sarothrae,Asteraceae,Asterales
Xanthisma,spinulosum,Asteraceae,Asterales
Chrysopsis,villosa,Asteraceae,Asterales
Heuchera,richardsonii,Saxifragaceae,Saxifragales
Hymenoxys,richardsonii,Asteraceae,Asterales
Koeleria,macrantha,Poaceae,Poales
Lactuca,tatarica,Asteraceae,Asterales
Lathyrus,venosus,Fabaceae,Fabales
Lepidium,densiflorum,Brassicaceae,Brassicales
Linum,lewisii,Linaceae,Malpighiales
Musineon,divaricatum,Apiaceae,Apiales
Nassella,viridula,Poaceae,Poales
Orthocarpus,luteus,Orobanchaceae,Lamiales
Oxytropis,sericea,Fabaceae,Fabales
Penstemon,confertus,Plantaginaceae,Lamiales
Penstemon,nitidus,Plantaginaceae,Lamiales
Penstemon,procerus,Plantaginaceae,Lamiales
Phlox,hoodii,Polemoniaceae,Ericales
Plantago,patagonica,Plantaginaceae,Lamiales
Poa,cusickii,Poaceae,Poales
Puccinellia,rupestris,Poaceae,Poales
Rosa,arkansana,Rosaceae,Rosales
Solidago,missouriensis,Asteraceae,Asterales
Sphaeralcea,coccinea,Malvaceae,Malvales
Hesperostipa,comata,Poaceae,Poales
Hesperostipa,spartea,Poaceae,Poales
Symphoricarpos,occidentalis,Caprifoliaceae,Dipsacales
Thermopsis,rhombifolia,Fabaceae,Fabales
Tragopogon,dubius,Asteraceae,Asterales
Viola,adunca,Violaceae,Malpighiales
Toxicoscordion,venenosum,Melanthiaceae,Liliales
Aglaia,exstipulata,Meliaceae,Sapindales
Aglaia,odoratissima,Meliaceae,Sapindales
Anaxagorea,javanica,Annonaceae,Magnoliales
Aporosa,subcaudata,Phyllanthaceae,Malpighiales
Blumeodendron,tokbrai,Euphorbiaceae,Malpighiales
Galearia,maingayi,Pandaceae,Malpighiales
Hypobathrum,racemosum,Rubiaceae,Gentianales
Pentaspadon,motleyi,Anacardiaceae,Sapindales
Rubroshorea,acuminata,Dipterocarpaceae,Malvales
Rubroshorea,leprosula,Dipterocarpaceae,Malvales
Richetia,multiflora,Dipterocarpaceae,Malvales
Magnolia,macrophylla,Magnoliaceae,Magnoliales
Magnolia,virginiana,Magnoliaceae,Magnoliales
Nyssa,aquatica,Nyssaceae,Cornales
Platanus,acerifolia,Platanaceae,Proteales
Leymus,chinensis,Poaceae,Poales
Stipa,krylovii,Poaceae,Poales
Agropyron,cristatum,Poaceae,Poales
Cleistogenes,squarrosa,Poaceae,Poales
Carex,korshinskyi,Cyperaceae,Poales
Potentilla,acaulis,Rosaceae,Rosales
Potentilla,tenacetifolia,Rosaceae,Rosales
Sibbaldianthe,bifurca,Rosaceae,Rosales
Lespedeza,davurica,Fabaceae,Fabales
Medicago,ruthenica,Fabaceae,Fabales
Astragalus,scaberrimus,Fabaceae,Fabales
Allium,tenuissimum,Amaryllidaceae,Asparagales
Allium,bidentatum,Amaryllidaceae,Asparagales
Chamaerhodos,erecta,Rosaceae,Rosales
Protium,aracouchini,Burseraceae,Sapindales
Protium,giganteum,Burseraceae,Sapindales
Protium,opacum,Burseraceae,Sapindales
Protium,sagotianum,Burseraceae,Sapindales
Protium,subserratum,Burseraceae,Sapindales
Licania,irwinii,Chrysobalanaceae,Malpighiales
Licania,micrantha,Chrysobalanaceae,Malpighiales
Licania,ovalifolia,Chrysobalanaceae,Malpighiales
Inga,loubryana,Fabaceae,Fabales
Inga,rubiginosa,Fabaceae,Fabales
Inga,stipularis,Fabaceae,Fabales
Ocotea,nigra,Lauraceae,Laurales
Unonopsis,rufescens,Annonaceae,Magnoliales
Sextonia,rubra,Lauraceae,Laurales
Eschweilera,coriacea,Lecythidaceae,Ericales
Eriotheca,longitubulosa,Malvaceae,Malvales
Eriotheca,surinamensis,Malvaceae,Malvales
Eugenia,sinemariensis,Myrtaceae,Myrtales
Micropholis,egensis,Sapotaceae,Ericales
Micropholis,guyanensis,Sapotaceae,Ericales
Micropholis,venulosa,Sapotaceae,Ericales
Mallotus,paniculatus,Euphorbiaceae,Malpighiales
Blastus,cochinchinensis,Melastomataceae,Myrtales
Sarcandra,glabra,Chloranthaceae,Chloranthales
Alchornea,trewioides,Euphorbiaceae,Malpighiales
Calamus,rhabdocladus,Arecaceae,Arecales
Cibotium,barometz,Cibotiaceae,Cyatheales
Dicranopteris,pedata,Gleicheniaceae,Gleicheniales
Machilus,nanmu,Lauraceae,Laurales
Syzygium,jambos,Myrtaceae,Myrtales
Blechnopsis,orientalis,Blechnaceae,Polypodiales
Syzygium,acuminatissimum,Myrtaceae,Myrtales
Heptapleurum,heptaphyllum,Araliaceae,Apiales
Caryota,maxima,Arecaceae,Arecales
Podocarpus,neriifolius,Podocarpaceae,Araucariales
Sorbus,discolor,Rosaceae,Rosales
Eleutherococcus,senticosus,Araliaceae,Apiales
Deutzia,grandiflora,Hydrangeaceae,Cornales
Nabalus,tatarinowii,Asteraceae,Asterales
Aster,scaber,Asteraceae,Asterales
Lespedeza,bicolor,Fabaceae,Fabales
Saussurea,mongolica,Asteraceae,Asterales
Veratrum,nigrum,Melanthiaceae,Liliales
Convallaria,majalis,Asparagaceae,Asparagales
Zabelia,biflora,Caprifoliaceae,Dipsacales
Asparagus,schoberioides,Asparagaceae,Asparagales
Agrimonia,pilosa,Rosaceae,Rosales
Veronica,spuria,Plantaginaceae,Lamiales
Astilbe,rubra,Saxifragaceae,Saxifragales
Corylus,sieboldiana,Betulaceae,Fagales
Aster,tataricus,Asteraceae,Asterales
Acer,pictum,Sapindaceae,Sapindales
Vitis,amurensis,Vitaceae,Vitales
Prunus,armeniaca,Rosaceae,Rosales
Rubus,crataegifolius,Rosaceae,Rosales
Rhamnus,davurica,Rhamnaceae,Rosales
Spiraea,ouensanensis,Rosaceae,Rosales
Galium,aparine,Rubiaceae,Gentianales
Saussurea,nivea,Asteraceae,Asterales
Ulmus,pumila,Ulmaceae,Rosales
Prunus,padus,Rosaceae,Rosales
Rosa,acicularis,Rosaceae,Rosales
Salix,abscondita,Salicaceae,Malpighiales
Salix,viminalis,Salicaceae,Malpighiales
Rubus,irritans,Rosaceae,Rosales
Spiraea,dahurica,Rosaceae,Rosales
Populus,suaveolens,Salicaceae,Malpighiales
Juniperus,sabina,Cupressaceae,Cupressales
Pinus,pumila,Pinaceae,Pinales
Betula,fruticosa,Betulaceae,Fagales
Diplospora,dubia,Rubiaceae,Gentianales
Styrax,suberifolius,Styracaceae,Ericales
Iris,japonica,Iridaceae,Asparagales
Daphniphyllum,pentandrum,Daphniphyllaceae,Saxifragales
Litsea,elongata,Lauraceae,Laurales
Rubus,rosifolius,Rosaceae,Rosales
Chloranthus,henryi,Chloranthaceae,Chloranthales
Dryopteris,lepidopoda,Dryopteridaceae,Polypodiales
Dryopteris,sparsa,Dryopteridaceae,Polypodiales
Trachelospermum,axillare,Apocynaceae,Gentianales
Cryptomeria,japonica,Cupressaceae,Cupressales
Smilax,trinervula,Smilacaceae,Liliales
Strobilanthes,dimorphotricha,Acanthaceae,Lamiales
Wurfbainia,villosa,Zingiberaceae,Zingiberales
Alpinia,japonica,Zingiberaceae,Zingiberales
Castanopsis,fargesii,Fagaceae,Fagales
Castanopsis,eyrei,Fagaceae,Fagales
Embelia,vestita,Primulaceae,Ericales
Parthenocissus,quinquefolia,Vitaceae,Vitales
Blastus,pauciflorus,Melastomataceae,Myrtales
Dendropanax,dentigerus,Araliaceae,Apiales
Ardisia,japonica,Primulaceae,Ericales
Oreocnide,frutescens,Urticaceae,Rosales
Abies,nephrolepis,Pinaceae,Pinales
Philadelphus,incanus,Hydrangeaceae,Cornales
Betula,costata,Betulaceae,Fagales
Actinidia,kolomikta,Actinidiaceae,Ericales
Deutzia,glabrata,Hydrangeaceae,Cornales
Acer,caudatum,Sapindaceae,Sapindales
Euonymus,verrucosus,Celastraceae,Celastrales
Caltha,palustris,Ranunculaceae,Ranunculales
Acer,tegmentosum,Sapindaceae,Sapindales
Filipendula,digitata,Rosaceae,Rosales
Saussurea,amurensis,Asteraceae,Asterales
Tilia,amurensis,Malvaceae,Malvales
Lithocarpus,cleistocarpus,Fagaceae,Fagales
Sanicula,orthacantha,Apiaceae,Apiales
Corylus,ferox,Betulaceae,Fagales
Astilbe,rivularis,Saxifragaceae,Saxifragales
Cornus,controversa,Cornaceae,Cornales
Quercus,multinervis,Fagaceae,Fagales
Rhododendron,hypoglaucum,Ericaceae,Ericales
Salvia,chinensis,Lamiaceae,Lamiales
Cornus,ulotricha,Cornaceae,Cornales
Pteridium,aquilinum,Dennstaedtiaceae,Polypodiales
Euptelea,pleiosperma,Eupteleaceae,Ranunculales
Coriaria,nepalensis,Coriariaceae,Cucurbitales
Quercus,oxyodon,Fagaceae,Fagales
Lespedeza,thunbergii,Fabaceae,Fabales
Fagus,engleriana,Fagaceae,Fagales
Schoepfia,jasminodora,Schoepfiaceae,Santalales
Lindera,obtusiloba,Lauraceae,Laurales
Actaea,cimicifuga,Ranunculaceae,Ranunculales
Cornus,kousa,Cornaceae,Cornales
Anaphalis,aureopunctata,Asteraceae,Asterales
Cotoneaster,adpressus,Rosaceae,Rosales
Solidago,decurrens,Asteraceae,Asterales
Litsea,ichangensis,Lauraceae,Laurales
Acer,campbellii,Sapindaceae,Sapindales
Tilia,oliveri,Malvaceae,Malvales
Hosta,ventricosa,Asparagaceae,Asparagales
Osmunda,japonica,Osmundaceae,Osmundales
Phlomoides,umbrosa,Lamiaceae,Lamiales
Acer,tataricum,Sapindaceae,Sapindales
Dioscorea,nipponica,Dioscoreaceae,Dioscoreales
Rubus,idaeus,Rosaceae,Rosales
Adenocaulon,himalaicum,Asteraceae,Asterales
Rosa,xanthina,Rosaceae,Rosales
Lonicera,chrysantha,Caprifoliaceae,Dipsacales
Cotoneaster,acutifolius,Rosaceae,Rosales
Caulophyllum,robustum,Berberidaceae,Ranunculales
Anaphalis,hancockii,Asteraceae,Asterales
Artemisia,mongolica,Asteraceae,Asterales
Cotoneaster,multiflorus,Rosaceae,Rosales
Artemisia,igniaria,Asteraceae,Asterales
Crataegus,pinnatifida,Rosaceae,Rosales
Potentilla,indica,Rosaceae,Rosales
Adina,pilulifera,Rubiaceae,Gentianales
Thalictrum,simplex,Ranunculaceae,Ranunculales
Lamium,album,Lamiaceae,Lamiales
Acer,barbinerve,Sapindaceae,Sapindales
Quercus,mongolica,Fagaceae,Fagales
Acer,triflorum,Sapindaceae,Sapindales
Pinus,massoniana,Pinaceae,Pinales
Saurauia,herthae,Actinidiaceae,Ericales
Viburnum,stipitatum,Viburnaceae,Dipsacales
Tapirira,guianensis,Anacardiaceae,Sapindales
Ilex,teratopis,Aquifoliaceae,Aquifoliales
Critoniopsis,floribunda,Asteraceae,Asterales
Clusia,alata,Clusiaceae,Malpighiales
Clusia,ducuoides,Clusiaceae,Malpighiales
Weinmannia,fagaroides,Cunoniaceae,Oxalidales
Weinmannia,microphylla,Cunoniaceae,Oxalidales
Weinmannia,ovata,Cunoniaceae,Oxalidales
Dussia,tessmannii,Fabaceae,Fabales
Inga,extra-nodis,Fabaceae,Fabales
Inga,marginata,Fabaceae,Fabales
Aniba,coto,Lauraceae,Laurales
Aniba,muca,Lauraceae,Laurales
Endlicheria,oreocola,Lauraceae,Laurales
Endlicheria,ruforamula,Lauraceae,Laurales
Ocotea,aciphylla,Lauraceae,Laurales
Ocotea,andina,Lauraceae,Laurales
Ocotea,pedanomischa,Lauraceae,Laurales
Persea,weberbaueri,Lauraceae,Laurales
Persea,areolatocostae,Lauraceae,Laurales
Ocotea,cuneifolia,Lauraceae,Laurales
Graffenrieda,emarginata,Melastomataceae,Myrtales
Meriania,franciscana,Melastomataceae,Myrtales
Miconia,calophylla,Melastomataceae,Myrtales
Miconia,crebribullata,Melastomataceae,Myrtales
Cedrela,montana,Meliaceae,Sapindales
Guarea,kunthiana,Meliaceae,Sapindales
Ruagea,glabra,Meliaceae,Sapindales
Trichilia,septentrionalis,Meliaceae,Sapindales
Ficus,citrifolia,Moraceae,Rosales
Ficus,sodiroi,Moraceae,Rosales
Ficus,pertusa,Moraceae,Rosales
Ficus,tonduzii,Moraceae,Rosales
Morus,insignis,Moraceae,Rosales
Pseudolmedia,rigida,Moraceae,Rosales
Eugenia,florida,Myrtaceae,Myrtales
Myrcianthes,rhopaloides,Myrtaceae,Myrtales
Hieronyma,asperifolia,Phyllanthaceae,Malpighiales
Hieronyma,fendleri,Phyllanthaceae,Malpighiales
Piper,arboreum,Piperaceae,Piperales
Podocarpus,oleifolius,Podocarpaceae,Araucariales
Prumnopitys,montana,Podocarpaceae,Araucariales
Prunus,herthae,Rosaceae,Rosales
Prunus,opaca,Rosaceae,Rosales
Bathysa,australis,Rubiaceae,Gentianales
Faramea,bangii,Rubiaceae,Gentianales
Palicourea,stenosepala,Rubiaceae,Gentianales
Palicourea,thyrsiflora,Rubiaceae,Gentianales
Palicourea,tinctoria,Rubiaceae,Gentianales
Matayba,inelegans,Sapindaceae,Sapindales
Pouteria,austin-smithii,Sapotaceae,Ericales
Picrasma,longistaminea,Simaroubaceae,Sapindales
Siparuna,aspera,Siparunaceae,Laurales
Cestrum,schlechtendalii,Solanaceae,Solanales
Turpinia,occidentalis,Staphyleaceae,Crossosomatales
Gordonia,fruticosa,Theaceae,Ericales
Cecropia,angustifolia,Urticaceae,Rosales
Myriocarpa,stipitata,Urticaceae,Rosales
Leonia,glycycarpa,Violaceae,Malpighiales
Sciodaphyllum,acuminatum,Araliaceae,Apiales
Oreopanax,sessiliflorus,Araliaceae,Apiales
Critoniopsis,pycnantha,Asteraceae,Asterales
Matayba,peruviana,Sapindaceae,Sapindales
Dacryodes,peruviana,Burseraceae,Sapindales
Trattinnickia,lawrancei,Burseraceae,Sapindales
Hedyosmum,purpurascens,Chloranthaceae,Chloranthales
Licania,harlingii,Chrysobalanaceae,Malpighiales
Clusia,elliptica,Clusiaceae,Malpighiales
Weinmannia,magnifolia,Cunoniaceae,Oxalidales
Sloanea,grandiflora,Elaeocarpaceae,Oxalidales
Sloanea,rufa,Elaeocarpaceae,Oxalidales
Sapium,stylare,Euphorbiaceae,Malpighiales
Inga,nobilis,Fabaceae,Fabales
Inga,umbellifera,Fabaceae,Fabales
Roucheria,columbiana,Linaceae,Malpighiales
Persea,ferruginea,Lauraceae,Laurales
Ocotea,infrafoveolata,Lauraceae,Laurales
Aiouea,montana,Lauraceae,Laurales
Graffenrieda,uribei,Melastomataceae,Myrtales
Miconia,punctata,Melastomataceae,Myrtales
Pleroma,ochypetalum,Melastomataceae,Myrtales
Andesanthus,lepidotus,Melastomataceae,Myrtales
Miconia,jahnii,Melastomataceae,Myrtales
Graffenrieda,harlingii,Melastomataceae,Myrtales
Centronia,laurifolia,Melastomataceae,Myrtales
Miconia,radula,Melastomataceae,Myrtales
Miconia,dolichorrhyncha,Melastomataceae,Myrtales
Guarea,macrophylla,Meliaceae,Sapindales
Guarea,subandina,Meliaceae,Sapindales
Pseudolmedia,laevigata,Moraceae,Rosales
Helicostylis,tovarensis,Moraceae,Rosales
Clarisia,racemosa,Moraceae,Rosales
Helicostylis,tomentosa,Moraceae,Rosales
Pseudolmedia,laevis,Moraceae,Rosales
Clarisia,biflora,Moraceae,Rosales
Ficus,apollinaris,Moraceae,Rosales
Myrica,pubescens,Myricaceae,Fagales
Myrsine,andina,Primulaceae,Ericales
Geissanthus,vanderwerffii,Primulaceae,Ericales
Hieronyma,oblonga,Phyllanthaceae,Malpighiales
Hieronyma,macrocarpa,Phyllanthaceae,Malpighiales
Picramnia,latifolia,Picramniaceae,Picramniales
Ladenbergia,riveroana,Rubiaceae,Gentianales
Hedyosmum,goudotianum,Chloranthaceae,Chloranthales
Heliocarpus,americanus,Malvaceae,Malvales
Naucleopsis,francisci,Moraceae,Rosales
Clethra,revoluta,Clethraceae,Ericales
Ilex,laurina,Aquifoliaceae,Aquifoliales
Ocotea,rotundata,Lauraceae,Laurales
Siparuna,muricata,Siparunaceae,Laurales
Weinmannia,elliptica,Cunoniaceae,Oxalidales
Grias,peruviana,Lecythidaceae,Ericales
Pourouma,cecropiifolia,Urticaceae,Rosales
Carex,tibetikobresia,Cyperaceae,Poales
Carex,pseuduncinoides,Cyperaceae,Poales
Carex,atrofusca,Cyperaceae,Poales
Carex,coriophora,Cyperaceae,Poales
Theobroma,cacao,Malvaceae,Malvales
Calocedrus,decurrens,Cupressaceae,Cupressales
Callitropsis,nootkatensis,Cupressaceae,Cupressales
Juniperus,chinensis,Cupressaceae,Cupressales
Juniperus,communis,Cupressaceae,Cupressales
Metasequoia,glyptostroboides,Cupressaceae,Cupressales
Microbiota,decussata,Cupressaceae,Cupressales
Platycladus,orientalis,Cupressaceae,Cupressales
Sequoiadendron,giganteum,Cupressaceae,Cupressales
Taxodium,distichum,Cupressaceae,Cupressales
Thuja,occidentalis,Cupressaceae,Cupressales
Cedrus,libani,Pinaceae,Pinales
Cephalotaxus,harringtonii,Cephalotaxaceae,Pinales
Taxus,cuspidata,Taxaceae,Cupressales
Torreya,californica,Taxaceae,Cupressales
Torreya,nucifera,Taxaceae,Cupressales
Agathis,moorei,Araucariaceae,Araucariales
Araucaria,luxurians,Araucariaceae,Araucariales
Araucaria,rulei,Araucariaceae,Araucariales
Cycas,nathorstii,Cycadaceae,Cycadales
Cycas,panzhihuaensis,Cycadaceae,Cycadales
Gnetum,gnemon,Gnetaceae,Gnetales
Dacrydium,balansae,Podocarpaceae,Araucariales
Nageia,nagi,Podocarpaceae,Araucariales
Dioon,rzedowskii,Zamiaceae,Cycadales
Encephalartos,gratus,Zamiaceae,Cycadales
Zamia,lucayana,Zamiaceae,Cycadales
Chamaecyparis,pisifera,Cupressaceae,Cupressales
Ephedra,distachya,Ephedraceae,Ephedrales
Pinus,resinosa,Pinaceae,Pinales
Sciadopitys,verticillata,Sciadopityaceae,Cupressales
Ficus,maclellandii,Moraceae,Rosales
Phoebe,lanceolata,Lauraceae,Laurales
Glochidion,eriocarpum,Phyllanthaceae,Malpighiales
Litsea,szemaois,Lauraceae,Laurales
Ficus,langkokensis,Moraceae,Rosales
Barringtonia,fusicarpa,Lecythidaceae,Ericales
Micromelum,integerrimum,Rutaceae,Sapindales
Baccaurea,ramiflora,Phyllanthaceae,Malpighiales
Castanopsis,indica,Fagaceae,Fagales
Litsea,panamanja,Lauraceae,Laurales
Ficus,vasculosa,Moraceae,Rosales
Ficus,simplicissima,Moraceae,Rosales
Monoon,simiarum,Annonaceae,Magnoliales
Phoebe,puwenensis,Lauraceae,Laurales
Toxicodendron,acuminatum,Anacardiaceae,Sapindales
Cinnamomum,glanduliferum,Lauraceae,Laurales
Lindera,metcalfiana,Lauraceae,Laurales
Machilus,rufipes,Lauraceae,Laurales
Litsea,umbellata,Lauraceae,Laurales
Croton,kongensis,Euphorbiaceae,Malpighiales
Castanopsis,fleuryi,Fagaceae,Fagales
Lithocarpus,variolosus,Fagaceae,Fagales
Canarium,subulatum,Burseraceae,Sapindales
Acer,laurinum,Sapindaceae,Sapindales
Lepisanthes,senegalensis,Sapindaceae,Sapindales
Imbralyx,leptobotrys,Fabaceae,Fabales
Litsea,salicifolia,Lauraceae,Laurales
Castanopsis,calathiformis,Fagaceae,Fagales
Machilus,tenuipilis,Lauraceae,Laurales
Actinodaphne,henryi,Lauraceae,Laurales
Lithocarpus,elegans,Fagaceae,Fagales
Engelhardia,spicata,Juglandaceae,Fagales
Planchonella,grandifolia,Sapotaceae,Ericales
Litsea,martabanica,Lauraceae,Laurales
Cleidion,brevipetiolatum,Euphorbiaceae,Malpighiales
Harpullia,cupanioides,Sapindaceae,Sapindales
Celtis,timorensis,Cannabaceae,Rosales
Cryptocarya,acutifolia,Lauraceae,Laurales
Celtis,tetrandra,Cannabaceae,Rosales
Lithocarpus,bacgiangensis,Fagaceae,Fagales
Antiaris,toxicaria,Moraceae,Rosales
Symplocos,cochinchinensis,Symplocaceae,Ericales
Glochidion,lanceolarium,Phyllanthaceae,Malpighiales
Xanthophyllum,flavescens,Polygalaceae,Fabales
Garcinia,xanthochymus,Clusiaceae,Malpighiales
Castanopsis,boisii,Fagaceae,Fagales
Castanopsis,ferox,Fagaceae,Fagales
Semecarpus,reticulata,Anacardiaceae,Sapindales
Horsfieldia,amygdalina,Myristicaceae,Magnoliales
Pseuduvaria,trimera,Annonaceae,Magnoliales
Artocarpus,lakoocha,Moraceae,Rosales
Garuga,floribunda,Burseraceae,Sapindales
Litsea,mollis,Lauraceae,Laurales
Alseodaphnopsis,andersonii,Lauraceae,Laurales
Cryptocarya,yunnanensis,Lauraceae,Laurales
Ficus,fistulosa,Moraceae,Rosales
Pometia,pinnata,Sapindaceae,Sapindales
Cinnamomum,contractum,Lauraceae,Laurales
Mitrephora,tomentosa,Annonaceae,Magnoliales
Cryptocarya,brachythyrsa,Lauraceae,Laurales
Ailanthus,fordii,Simaroubaceae,Sapindales
Beilschmiedia,purpurascens,Lauraceae,Laurales
Engelhardia,serrata,Juglandaceae,Fagales
Litsea,glutinosa,Lauraceae,Laurales
Lithocarpus,fohaiensis,Fagaceae,Fagales
Agouticarpa,curviflora,Rubiaceae,Gentianales
Kutchubaea,oocarpa,Rubiaceae,Gentianales
Cordiera,myrciifolia,Rubiaceae,Gentianales
Allantoma,lineata,Lecythidaceae,Ericales
Amaioua,glomerulata,Rubiaceae,Gentianales
Alibertia,edulis,Rubiaceae,Gentianales
Amaioua,guianensis,Rubiaceae,Gentianales
Aniba,guianensis,Lauraceae,Laurales
Aniba,hostmanniana,Lauraceae,Laurales
Aniba,terminalis,Lauraceae,Laurales
Blepharocalyx,eggersii,Myrtaceae,Myrtales
Alibertia,claviflora,Rubiaceae,Gentianales
Brosimum,lactescens,Moraceae,Rosales
Brosimum,rubescens,Moraceae,Rosales
Brosimum,utile,Moraceae,Rosales
Calycolpus,goetheanus,Myrtaceae,Myrtales
Myrcia,crebra,Myrtaceae,Myrtales
Myrcia,cuspidata,Myrtaceae,Myrtales
Myrcia,neospeciosa,Myrtaceae,Myrtales
Syzygium,borbonicum,Myrtaceae,Myrtales
Catostemma,sclerophyllum,Malvaceae,Malvales
Chomelia,tenuiflora,Rubiaceae,Gentianales
Chromolucuma,rubriflora,Sapotaceae,Ericales
Chrysophyllum,sanguinolentum,Sapotaceae,Ericales
Corythophora,alta,Lecythidaceae,Ericales
Couepia,magnoliifolia,Chrysobalanaceae,Malpighiales
Endlicheria,anomala,Lauraceae,Laurales
Endlicheria,arenosa,Lauraceae,Laurales
Endlicheria,bracteolata,Lauraceae,Laurales
Endlicheria,citriodora,Lauraceae,Laurales
Endlicheria,longicaudata,Lauraceae,Laurales
Endlicheria,macrophylla,Lauraceae,Laurales
Eschweilera,albiflora,Lecythidaceae,Ericales
Eschweilera,atropetiolata,Lecythidaceae,Ericales
Eschweilera,bracteosa,Lecythidaceae,Ericales
Eschweilera,decolorans,Lecythidaceae,Ericales
