species,number of plants studied,mycorrhiza type,AM intensity,AM method,EcM intensity,EcM frequency,EcM method,ErM intensity,ErM frequency,ErM method,OrM intensity,OrM frequency,OrM method,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum cristatum,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum cristatum,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum cristatum,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum cristatum,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum cristatum,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum cristatum,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum nemorosum,,EcM; others not addressed,,,,,,,,,,,,,Leho Tedersoo,incorrect report for EcM (this genus is NM),,,Laura M. Suz,do not know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum pratense,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum pratense,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum pratense,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum pratense,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum pratense,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum pratense,,AM; no others,,,,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is NM, most reports of this species are NM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum sylvaticum,,AM; no others,,,,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is NM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampyrum sylvaticum,,AM; no others,,,,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is NM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica altissima,,AM; others not addressed,80.82626,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica ciliata,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,96.50182,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,87.08393,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,7.221314,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,67.57482,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,99.97932,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,99.30432,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,76.92249,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,89.50335,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,99.8648,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica nutans,,AM; others not addressed,99.8648,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica persica,,AM; others not addressed,76.92249,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica ciliata,,AM; others not addressed,67.57482,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica ciliata,,AM; others not addressed,99.78393,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica uniflora,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus albus,,AM; others not addressed,98.60276,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus albus,,AM; others not addressed,98.60276,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus officinalis,,AM; others not addressed,67.57482,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus officinalis,,AM; others not addressed,87.08393,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menispermum dauricum,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha aquatica,,AM; others not addressed,98.60276,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha aquatica,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha arvensis,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha arvensis,,AM; others not addressed,26.36953,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha arvensis,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha longifolia var. asiatica,,AM; others not addressed,98.89194,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha arvensis,,AM; others not addressed,98.60276,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha longifolia,,AM; others not addressed,98.60276,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha longifolia,,AM; others not addressed,39.17886,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha micrantha,,AM; others not addressed,87.08393,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,,AM; others not addressed,16.60479,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is NM, most reports of this species are NM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,,AM; no others,,,,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is NM, most reports of this species are NM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurialis perennis,,AM; others not addressed,99.98707,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurialis perennis,,AM; others not addressed,99.98707,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurialis perennis,,AM; others not addressed,99.98707,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merendera trigyna,,AM; others not addressed,67.57482,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merendera trigyna,,AM; others not addressed,39.17886,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merendera trigyna,,AM; others not addressed,67.57482,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merendera trigyna,,AM; others not addressed,39.17886,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merendera trigyna,,AM; others not addressed,39.17886,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merendera trigyna,,AM; others not addressed,39.17886,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbiota decussata,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microstegium vimineum,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,39.17886,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,87.08393,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,67.57482,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,39.17886,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,99.8648,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,95.61651,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,13.60233,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,16.60479,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,AM; others not addressed,16.60479,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium effusum,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium schmidtianum,,AM; others not addressed,98.60276,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium schmidtianum,,AM; others not addressed,98.60276,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium vernale,,AM; others not addressed,98.60276,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milium vernale,,AM; others not addressed,98.60276,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa pudica,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minuartia abchasica,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minuartia aizoides,,AM; no others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minuartia aizoides,,AM; no others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minuartia arctica,,AM; no others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minuartia biebersteinii,,AM; no others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minuartia biflora,,AM; no others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minuartia colchica,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenaria tetraquetra,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
