species,number of plants studied,mycorrhiza type,AM intensity,AM method,EcM intensity,EcM frequency,EcM method,ErM intensity,ErM frequency,ErM method,OrM intensity,OrM frequency,OrM method,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies grandis,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies holophylla,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies holophylla,,EcM; others not addressed,,,9,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies holophylla,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies homolepis,,EcM; others not addressed,,,42,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies koreana,,EcM; others not addressed,,,9,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies lasiocarpa,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies magnifica,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sachalinensis var. mayriana,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies nephrolepis,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies nephrolepis,,EcM; others not addressed,,,11,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies nephrolepis,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies procera,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies nordmanniana,,EcM; others not addressed,,,70,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies nordmanniana,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies nordmanniana,,EcM; others not addressed,,,33,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies nordmanniana,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies nordmanniana,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies numidica,,EcM; others not addressed,,,62,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies pindrow,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies pinsapo,,EcM; others not addressed,,,26,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sachalinensis,,EcM; others not addressed,,,39,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sachalinensis,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
