"binominal","F01286","F01289","F00679D","F00727D","F00709D","F00679O","F00727O","F00709O","state","synonym"
"Fraxinus_mandshurica","Fraxinus","Oleaceae",-0.575685518449619,3.88931065628673,-1.36739418532236,-1.07237964432424,4.24264478575752,-1.52136457776193,"AM","('Fraxinus nigra var. mandshurica', 'Fraxinus nigra subsp. mandshurica')"
"Fraxinus_excelsior","Fraxinus","Oleaceae",-0.415116520511904,2.690352933093,-1.10001719133186,-0.656227859733481,2.913495759631,-1.1213399606194,"AM",""
"Fraxinus_chinensis","Fraxinus","Oleaceae",-0.436356901647073,3.05800780856033,-1.21208111620185,-0.822913208707861,3.44476236840574,-1.39126503734458,"AM",""
"Fraxinus_americana","Fraxinus","Oleaceae",-0.772485052521875,3.26369644834931,-1.54881329061767,-0.772485052521875,3.26369644834931,-1.54881329061767,"AM","('Ornus americana', 'Ornanthes americana', 'Calycomelia americana')"
"Syringa_reticulata","Syringa","Oleaceae",-0.596650830745627,4.24193205300374,-1.90082656131645,-0.897837045116755,4.41408475716382,-1.98818526384362,"AM","('Ligustrum reticulatum', 'Ligustrina reticulata')"
"Galium_aparine","Galium","Rubiaceae",-1.66547930331773,5.48313026196246,-1.89711998488588,-1.66547930331773,5.48313026196246,-1.89711998488588,"NMAM","('Asterophyllum aparine', 'Aparine vulgaris', 'Rubia aparine', 'Galion aparinum')"
"Saprosma_ternatum","Saprosma","Rubiaceae",-1.93060782904687,4.76174649303019,-1.07880966137193,-1.93060782904687,4.76174649303019,-1.07880966137193,"AM",""
"Psychotria_asiatica","Psychotria","Rubiaceae",-1.56709707194458,4.47493506895872,-1.46283443767404,-1.56709707194458,4.47493506895872,-1.46283443767404,"AM","('Psychotrophum asiaticum',)"
"Catunaregam_spinosa","Catunaregam","Rubiaceae",-1.35871810534979,4.38502214365368,-0.967584026261706,-1.35871810534979,4.38502214365368,-0.967584026261706,"AM","('Xeromphis spinosa', 'Randia spinosa', 'Canthium spinosum', 'Gardenia spinosa')"
"Aidia_oxyodonta","Aidia","Rubiaceae",-1.16347541864543,4.07597690486392,-0.223746650141752,-1.82326482992583,4.53213343474412,-0.12806078183535,"AM","('Randia oxyodonta',)"
"Diplospora_dubia","Diplospora","Rubiaceae",-1.19964883284588,4.42302743668712,-1.79664945172813,-1.19964883284588,4.42302743668712,-1.79664945172813,"AM","('Canthium dubium', 'Discospermum dubium', 'Tricalysia dubia')"
"Wendlandia_uvariifolia","Wendlandia","Rubiaceae",-1.49535058639633,3.81264456144787,-0.843970070294529,-1.49535058639633,3.81264456144787,-0.843970070294529,"AM",""
"Adina_metcalfii","Adina","Rubiaceae",-1.8679496075861,4.60477010596675,-1.23787435600162,-1.8679496075861,4.60477010596675,-1.23787435600162,"AM","('Pertusadina metcalfii',)"
"Adina_pilulifera","Adina","Rubiaceae",-1.98340435348289,6.3634967437115,-2.16905370286952,-1.98340435348289,6.3634967437115,-2.16905370286952,"AM","('Cephalanthus pilulifer', 'Nauclea pilulifera')"
"Trachelospermum_axillare","Trachelospermum","Apocynaceae",-1.23305838522103,4.35051664122187,-1.6094379124341,-1.23305838522103,4.35051664122187,-1.6094379124341,"AM",""
"Alstonia_scholaris","Alstonia","Apocynaceae",-0.646836277696695,3.24882290123615,-1.77195684193188,-0.646836277696695,3.24882290123615,-1.77195684193188,"AM","('Echites scholaris', 'Pala scholaris')"
"Rhododendron_hypoglaucum","Rhododendron","Ericaceae",-1.94718596255937,5.09644749970053,-0.928869514081015,-1.94718596255937,5.09644749970053,-0.928869514081015,"ErM","('Rhododendron argyrophyllum subsp. hypoglaucum', 'Azalea hypoglauca')"
"Vaccinium_mandarinorum","Vaccinium","Ericaceae",-2.54950917297366,4.67011487462847,-0.63487827243597,-2.54950917297366,4.67011487462847,-0.63487827243597,"ErM",""
"Vaccinium_corymbosum","Vaccinium","Ericaceae",-2.41484890388112,5.72834059016322,-1.01216750131007,-2.68087496545521,6.18131818613975,-1.20646012848685,"ErM","('Cyanococcus corymbosus',)"
"Actinidia_kolomikta","Actinidia","Actinidiaceae",-1.46967597005894,5.41398157284783,-2.22736167175646,-1.46967597005894,5.41398157284783,-2.22736167175646,"AM","('Prunus kolomikta', 'Trochostigma kolomikta')"
"Styrax_suberifolius","Styrax","Styracaceae",-1.27421645771454,3.99735766880215,-1.20397280432594,-1.27421645771454,3.99735766880215,-1.20397280432594,"AM",""
"Alniphyllum_fortunei","Alniphyllum","Styracaceae",-1.17016378815375,4.3285157579382,-1.6495161358776,-1.17016378815375,4.3285157579382,-1.6495161358776,"AM","('Halesia fortunei',)"
"Ardisia_depressa","Ardisia","Primulaceae",-0.674408662364343,3.5664293962336,-1.25707261298702,-1.15899347736679,3.94765335053228,-1.30531506080159,"AM",""
"Ardisia_quinquegona","Ardisia","Primulaceae",-0.136965855073157,2.38453367564121,-1.25176346816228,-0.573883759733128,2.79320800944252,-1.29706322739195,"AM","('Bladhia quinquegona',)"
"Ardisia_japonica","Ardisia","Primulaceae",-1.46924128194082,4.62005723493382,-1.41754690589384,-1.46924128194082,4.62005723493382,-1.41754690589384,"AM","('Tinus japonica', 'Bladhia japonica')"
