"binominal","F01286","F01287","F01289","F00679","F00727","F00709","state","taxa"
"Acer_platanoides","Acer","platanoides","Sapindaceae",0.394,18.612,0.493,"AM","Acer_platanoides"
"Acer_platanoides","Acer","platanoides","Sapindaceae",0.41,52.1,0.143,"AM","Acer_platanoides"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.333,22.394,0.491,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.34,33.88,0.34,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.301891675,23.11007683,0.596629217,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.387,75.69,0.12,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.502834976,14.06702815,0.529213544,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.398554037,19.42587374,0.52584276,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.266508286,62.63158463,0.380898991,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.46,49.1,0.133,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.317,28.038,0.454,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.363,19.472,0.54,"AM","Acer_pseudoplatanus"
"Acer_pseudoplatanus","Acer","pseudoplatanus","Sapindaceae",0.318,34.769,0.509,"AM","Acer_pseudoplatanus"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4933,19.59536765,0.266666667,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6146,50.57178947,0.066433566,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.8597,7.463523207,0.231219512,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.592,9.954408602,0.364705882,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.27,35.82,0.48,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7546,7.912586207,0.282467532,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4929,35.962827,0.145398773,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5295,26.68577114,0.170338983,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5578,24.26203911,0.168470588,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4744,25.26852778,0.223602484,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5641,13.31799458,0.3,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5631,26.45218182,0.151724138,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6156,13.76327957,0.243668122,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4976,60.90795455,0.084615385,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4386,30.47167539,0.217045455,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6634,21.64292308,0.133744856,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6332,36.93527197,0.085971223,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5247,22.47333333,0.206666667,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.539,32.00796703,0.136842105,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5505,24.00618519,0.175324675,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5402,37.03698795,0.118571429,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5426,28.94408163,0.148484848,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5907,14.17969144,0.257400722,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4937,56.77670103,0.092380952,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.43,12.53,0.56,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5249,24.95710843,0.185820896,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5057,50.78030303,0.098019802,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.29,28.01,0.56,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5702,20.3725,0.191304348,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4525,50.89925926,0.122727273,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5096,43.68861538,0.112068966,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5209,38.91097403,0.1203125,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6025,26.96536946,0.130128205,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.552,23.84317597,0.17518797,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6182,63.3569697,0.052380952,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4771,16.71914894,0.334387352,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7097,22.91522613,0.110555556,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5434,14.94371274,0.28828125,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5814,38.72676692,0.097080292,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4623,32.61752874,0.183157895,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.567,24.28659574,0.162068966,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4977,23.89242718,0.214583333,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5009,24.12444706,0.21039604,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4677,35.74423729,0.163888889,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5187,39.62424837,0.11953125,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6083,23.3776824,0.147468354,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6929,22.44821782,0.118823529,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5217,28.10122137,0.165822785,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.543,10.49528139,0.410666667,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5356,35.60451429,0.125,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5148,45.46894737,0.105555556,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4931,39.19386364,0.133333333,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5338,57.09126214,0.078030303,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4932,50.05387387,0.104716981,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4334,30.57506329,0.219444444,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6359,11.39174165,0.276706827,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5083,29.46353333,0.166666667,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6453,19.54379913,0.156313993,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.24,42.25,0.53,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4425,44.21082645,0.147560976,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7215,13.46358312,0.181690141,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5211,22.05480418,0.212777778,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5168,25.7062439,0.184684685,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5542,22.81270471,0.181531532,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5298,16.35841365,0.276666667,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5366,23.77034913,0.185648148,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4974,18.91369565,0.270588235,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4838,29.02628099,0.186153846,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4729,23.56503226,0.2421875,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6035,8.442214112,0.415151515,"AM","Acer_rubrum"
