binominal,F00645
Cyathea smithii,AM
Cycas nathorstii,AM
Cycas panzhihuaensis,AM
Cydonia oblonga,AM
Dacrycarpus dacrydioides,AM
Dacrycarpus imbricatus,AM
Dacrydium balansae,AM
Dacrydium cupressinum,AM
Dacrydium gracile,AM
Dacrydium pectinatum,AM
Dactylis glomerata,EcM
Dactylis glomerata,AM
Dactylis glomerata,NM
Daphniphyllum pentandrum,AM
Daucus carota,AM
Decaspermum gracilentum,AM
Dendropanax dentigerus,AM
Deschampsia cespitosa,AM
Deschampsia cespitosa,NM
Descurainia sophia,NM
Deutzia glabrata,AM
Deutzia grandiflora,AM
Dicksonia squarrosa,AM
Dicranopteris linearis,AM
Dicranopteris pedata,NM
Didymocheton spectabilis,AM
Dioon rzedowskii,AM
Dioscorea nipponica,AM
Diospyros strigosa,AM
Diospyros virginiana,AM
Diplospora dubia,AM
Dracophyllum longifolium,ErM
Dracophyllum longifolium,AM
Dryopteris lepidopoda,NM
Dryopteris sparsa,AM
Elaeocarpus dentatus,AM
Elaeocarpus dubius,AM
Elaeocarpus glabripetalus,AM
Elaeocarpus hookerianus,AM
Elaeocarpus sylvestris,AM
Eleutherococcus senticosus,AM
Elymus canadensis,AM
Elymus repens,AM
Elymus virginicus,AM
Embelia vestita,AM
Encephalartos gratus,AM
Endlicheria anomala,AM
Endlicheria arenosa,AM
Endlicheria bracteolata,AM
Endlicheria citriodora,AM
Endlicheria longicaudata,AM
Endlicheria macrophylla,AM
Endospermum chinense,AM
Engelhardia roxburghiana,EcM
Ephedra distachya,AM
Equisetum hyemale,AM
Equisetum hyemale,NM
Equisetum pratense,NM
Erigeron canadensis,AM
Eriobotrya japonica,AM
Eschweilera albiflora,AM
Eschweilera atropetiolata,AM
Eschweilera bracteosa,AM
Eschweilera coriacea,AM
Eschweilera decolorans,AM
Eschweilera grandiflora,AM
Eschweilera ovata,AM
Eschweilera parviflora,AM
Eschweilera pedicellata,AM
Eschweilera tenuifolia,AM
Eschweilera truncata,AM
Eschweilera wachenheimii,AM
Eucalyptus urophylla,EcMAM
Eugenia biflora,AM
Eugenia lambertiana,AM
Eugenia lisboae,AM
Eugenia patrisii,AM
Eugenia protenta,AM
Eugenia pseudopsidium,AM
Eugenia pusilliflora,AM
Eugenia spruceana,AM
Eumachia astrellantha,AM
Eumachia podocephala,AM
Euonymus alatus,AM
Euonymus verrucosus,AM
Eurya japonica,AM
Fagus engleriana,EcM
Fagus grandifolia,EcM
Fagus sylvatica,EcM
Fallopia convolvulus,NMAM
Faramea capillipes,AM
Faramea platyneura,AM
Faramea torquata,AM
Ferdinandusa hirsuta,AM
Ferdinandusa rudgeoides,AM
Festuca ovina,NM
Festuca ovina,AM
Festuca rubra,AM
Festuca rubra,EcM
Festuca rubra,NM
Ficus carica,AM
Ficus variolosa,AM
Filipendula digitata,NMAM
Fraxinus americana,AM
Fraxinus angustifolia,AM
Fraxinus chinensis,AM
Fraxinus excelsior,AM
Fraxinus mandshurica,AM
Fuchsia excorticata,AM
Gahnia procera,AM
Gahnia xanthocarpa,AM
Galium aparine,AM
Galium aparine,NMAM
Galium boreale,AM
Garcinia cowa,AM
Garcinia oblongifolia,AM
Genista hirsuta,AM
Ginkgo biloba,AM
Gironniera subaequalis,NM
Gleditsia triacanthos,AM
Gnetum gnemon,AM
Goniothalamus griffithii,AM
Halocarpus biformis,AM
Halocarpus kirkii,AM
Hamamelis virginiana,AM
Handroanthus guayacan,AM
Handroanthus ochraceus,AM
Hedera helix,AM
Hedycarya arborea,AM
Helicia formosana,AM
Helicostylis scabra,AM
Heptapleurum heptaphyllum,AM
Heptapleurum minutistellatum,AM
Hoheria lyallii,AM
Hoheria sexstylosa,AM
Holcus lanatus,AM
Hosta ventricosa,AM
Hymenopus adolphoduckei,AM
Hymenopus caudatus,AM
Hymenopus macrophyllus,AM
Hymenopus reticulatus,AM
Hymenopus sothersiae,AM
Ilex opaca,AM
Inga alba,AM
Inga auristellae,AM
Inga bicoloriflora,AM
Inga brevipes,AM
Inga cayennensis,AM
Inga cordatoalata,AM
Inga gracilifolia,AM
Inga huberi,AM
Inga lateriflora,AM
Inga macrophylla,AM
Inga marginata,AM
Inga obidensis,AM
Inga paraensis,AM
Inga ruiziana,AM
Inga splendens,AM
Inga stipularis,AM
Inga suberosa,AM
Inga thibaudiana,AM
Inga umbellifera,AM
Inga umbratica,AM
Inula conyza,AM
Iris japonica,AM
Itea chinensis,AM
Ixora intensa,AM
Ixora panurensis,AM
Juglans mandshurica,AM
Juglans nigra,AM
Juniperus chinensis,AM
Juniperus communis,AM
Juniperus sabina,AM
Knema erratica,AM
Knightia excelsa,NM
Knightia excelsa,AM
Koeleria macrantha,AM
Koeleria pyramidata,AM
Koelreuteria paniculata,AM
Krascheninnikovia ceratoides,AM
Kubitzkia mezii,AM
Kunzea ericoides,EcMAM
Kunzea ericoides,AM
Kutchubaea oocarpa,AM
Kutchubaea semisericea,AM
Kutchubaea sericantha,AM
Lactuca tatarica,AM
Lamium album,AM
Lamium album,NM
Lamium album,NMAM
Larix decidua,EcM
Larix gmelinii,AM
Larix gmelinii,EcM
Larix kaempferi,EcM
Laurelia novae-zelandiae,AM
Lavandula multifida,AM
Lepidothamnus intermedius,AM
Leptecophylla juniperina,ErM
Leptobalanus granvillei,AM
Leptobalanus latus,AM
Leptobalanus longistylus,AM
Leptobalanus octandrus,AM
Leptobalanus sprucei,AM
Leptospermum scoparium,EcMAM
Leptospermum scoparium,AM
Lespedeza bicolor,AM
Leymus chinensis,AM
Licania bracteata,AM
Licania gracilipes,AM
Licania hypoleuca,AM
Licania micrantha,AM
Licania niloi,AM
Licania parviflora,AM
Licania rodriguesii,AM
Licaria chrysophylla,AM
Licaria guianensis,AM
Licaria hirsuta,AM
Licaria macrophylla,AM
Licaria oppositifolia,AM
Lindera benzoin,AM
Lindera communis,AM
Lindera obtusiloba,AM
Liquidambar formosana,AM
Liquidambar styraciflua,AM
Liriodendron chinense,AM
Liriodendron tulipifera,AM
Lithocarpus chiungchungensis,EcM
Lithocarpus cleistocarpus,EcM
Lithocarpus clementianus,EcM
Lithocarpus confertus,EcM
Lithocarpus fenestratus,EcM
Lithocarpus lampadarius,EcM
Lithocarpus rigidus,EcM
Litsea baviensis,AM
Litsea cubeba,AM
Litsea elongata,AM
Litsea ichangensis,AM
Litsea verticillata,AM
Lolium arundinaceum,AM
Lolium perenne,EcM
Lolium perenne,AM
Lomaria discolor,AM
Lonicera chrysantha,AM
Lonicera maackii,AM
Lotus corniculatus,AM
Lotus corniculatus,NM
Lygodesmia juncea,AM
Macaranga sampsonii,AM
Machilus breviflora,AM
Machilus kwangtungensis,AM
Machilus nanmu,AM
Machilus oculodracontis,AM
Machilus robusta,AM
Machilus shweliensis,AM
Machilus velutina,AM
Macropanax undulatus,AM
Madhuca endertii,AM
Magnolia acuminata,AM
Magnolia baillonii,AM
Magnolia balansae,AM
Magnolia carsonii,AM
Magnolia cavaleriei,AM
Magnolia champaca,AM
Magnolia championii,AM
Magnolia chapensis,AM
Magnolia dandyi,AM
Magnolia denudata,AM
Magnolia ernestii,AM
Magnolia fulva,AM
Magnolia grandiflora,AM
Magnolia kobus,AM
Magnolia lotungensis,AM
Magnolia macclurei,AM
Magnolia macrophylla,AM
Magnolia maudiae,AM
Magnolia odora,AM
Magnolia opipara,AM
Magnolia stellata,AM
Magnolia tripetala,AM
Magnolia virginiana,AM
Magnolia yunnanensis,AM
Magnolia yuyuanensis,AM
Mallotus paniculatus,AM
Malus baccata,AM
Manglietia paruicula,AM
Manoao colensoi,AM
Maquira calophylla,AM
Maquira coriacea,AM
Maquira sclerophylla,AM
Matteuccia struthiopteris,AM
Maytenus schippii,AM
Medicago minima,AM
Medicago ruthenica,AM
Medicago sativa,AM
Melicope pteleifolia,AM
Melicytus ramiflorus,AM
Melilotus officinalis,AM
Memecylon nigrescens,AM
Metasequoia glyptostroboides,AM
Metrosideros diffusa,AM
Metrosideros excelsa,AM
Metrosideros fulgens,AM
Metrosideros robusta,AM
Metrosideros umbellata,AM
Mezilaurus ita-uba,AM
Microbiota decussata,AM
Microcos paniculata,AM
Micropholis casiquiarensis,AM
Micropholis cylindrocarpa,AM
Micropholis egensis,AM
Micropholis guyanensis,AM
Micropholis mensalis,AM
Micropholis trunciflora,AM
Micropholis venulosa,AM
Microtropis discolor,AM
Millettia leptobotrya,AM
Myrcia bracteata,AM
Myrcia caudata,AM
Myrcia citrifolia,AM
Myrcia crebra,AM
Myrcia cuspidata,AM
Myrcia fenestrata,AM
Myrcia ferruginea,AM
Myrcia grandis,AM
Myrcia integra,AM
Myrcia neospeciosa,AM
Myrcia paivae,AM
Myrcia servata,AM
Myrcia splendens,AM
Myrcia subsericea,AM
Myrcia sylvatica,AM
Myrcia umbraticola,AM
Myrciaria floribunda,AM
