binominal,F01286,F01289,F00679,F00727,F00709,state,state_source,synonyms
Calocedrus decurrens,Calocedrus,Cupressaceae,-0.4246224436498589,2.480733175391062,-1.3101305142018609,AM,FRED4,"['Heyderia decurrens', 'Thuja decurrens', 'Libocedrus decurrens']"
Chamaecyparis obtusa,Chamaecyparis,Cupressaceae,-0.8754687373538999,3.1105479479825724,-0.4410922857513153,AM,FRED4,"['Retinispora obtusa', 'Cupressus obtusa', 'Chamaepeuce obtusa']"
Chamaecyparis pisifera,Chamaecyparis,Cupressaceae,-0.7316019285261405,3.1411255436760595,-1.6513841480516198,AM,FRED4,"['Thuja pisifera', 'Retinispora pisifera', 'Cupressus pisifera']"
Cryptomeria japonica,Cryptomeria,Cupressaceae,-0.5082871816713437,3.260886302718273,-1.7908018324085988,AM,FRED4,"['Cupressus japonica', 'Schubertia japonica', 'Taxodium japonicum']"
Cunninghamia lanceolata,Cunninghamia,Cupressaceae,-0.6241027499844086,2.61275148324953,-2.0264889580610483,AM,FRED4,"['Araucaria lanceolata', 'Belis lanceolata', 'Abies lanceolata', 'Pinus lanceolata']"
Juniperus chinensis,Juniperus,Cupressaceae,-0.6468359333520277,2.945335262735172,-1.4479784611518796,AM,FRED4,['Sabina chinensis']
Juniperus communis,Juniperus,Cupressaceae,-0.4875251271450355,3.364703940723232,-1.6467554696048148,AM,FRED4,
Juniperus phoenicea,Juniperus,Cupressaceae,-0.6554661135922568,2.083632139845222,-0.4698095296842743,AM,"(Soudzilovskaia et al., 2020)","['Sabinella phoenicea', 'Sabina phoenicea']"
Juniperus sabina,Juniperus,Cupressaceae,-0.9167908569158374,3.643283461866482,-1.5702171992808192,AM,FRED4,['Sabina vulgaris']
Metasequoia glyptostroboides,Metasequoia,Cupressaceae,-0.4115954322065589,2.696246804765789,-1.5350211260041302,AM,FRED4,['Sequoia glyptostroboides']
Microbiota decussata,Microbiota,Cupressaceae,-0.7853355715548481,3.0154570586048552,-1.0052349920431412,AM,FRED4,['Platycladus decussata']
Platycladus orientalis,Platycladus,Cupressaceae,-0.5774997576278429,2.533966695075929,-1.0359577745953317,AM,FRED4,"['Thuja orientalis', 'Biota orientalis']"
Sequoiadendron giganteum,Sequoiadendron,Cupressaceae,-0.4869463499760474,2.7949339320380213,-1.53827438519254,AM,FRED4,"['Americus gigantea', 'Wellingtonia gigantea', 'Gigantabies wellingtoniana', 'Washingtonia gigantea', 'Taxodium giganteum', 'Sequoia wellingtonia', 'Steinhauera gigantea']"
Taxodium distichum,Taxodium,Cupressaceae,-0.5219457808324381,3.251478004280816,-1.8752635411001677,AM,FRED4,"['Schubertia disticha', 'Cuprespinnata disticha', 'Cupressus disticha']"
Thuja occidentalis,Thuja,Cupressaceae,-0.4782802090340305,2.584654130648892,-1.3136102300994097,AM,FRED4,
Alsophila smithii,Alsophila,Cyatheaceae,-0.4785466841097563,2.7003031910162543,-1.363973074976162,AM,FRED4,"['Hemitelia smithii', 'Cyathea smithii']"
Alsophila tricolor,Alsophila,Cyatheaceae,-0.4642601546186699,2.774645527930081,-1.5405216812172728,AM,FRED4,
Cyathea smithii,Cyathea,Cyatheaceae,-1.171182981502945,3.40452517175483,-0.916290731874155,AM,FRED4,
Sphaeropteris medullaris,Sphaeropteris,Cyatheaceae,-0.588805183416047,3.2221471559730768,-1.6102201838285983,AM,FRED4,"['Polypodium medullare', 'Cyathea medullaris']"
Cycas nathorstii,Cycas,Cycadaceae,-0.1441270107393119,2.458595772805501,-1.6619240653630176,AM,FRED4,
Cycas panzhihuaensis,Cycas,Cycadaceae,-0.0820238354785906,2.1546484518245945,-1.5803392257382185,AM,FRED4,
Carex atrofusca,Carex,Cyperaceae,-0.443899330626304,3.178414996119736,-2.037094698428553,NMAM,"(Brundrett and Tedersoo, 2018)",['Proteocarpus atrofuscus']
Carex coriophora,Carex,Cyperaceae,-0.3457420690659525,3.090638745924889,-2.094918171251748,NMAM,"(Brundrett and Tedersoo, 2018)","['Carex atrofusca subsp. coriophora', 'Carex atrofusca var. coriophora']"
Carex filifolia,Carex,Cyperaceae,-1.703905587745027,4.678025021150672,-0.6715565487753447,NMAM,"(Soudzilovskaia et al., 2020)","['Olotrema filifolia', 'Uncinia filifolia']"
Carex flacca,Carex,Cyperaceae,-1.0505826421903877,4.429905674768823,-1.8594501339543847,NMAM,FRED4,
Carex humulis,Carex,Cyperaceae,-1.2909841813155656,4.7159062275827575,-1.5394455406140657,NMAM,"(Soudzilovskaia et al., 2020)",
Carex korshinskyi,Carex,Cyperaceae,-1.40649706843741,5.531609248914061,-2.4651040224918206,NMAM,FRED4,"['Carex supina var. korshinskyi', 'Carex supina subsp. korshinskyi']"
Carex lasiocarpa,Carex,Cyperaceae,-1.4696759700589417,5.529429087511423,-2.407945608651872,NMAM,"(Soudzilovskaia et al., 2020)",
Carex obtusata,Carex,Cyperaceae,-1.799321322107072,4.619216429009954,-0.5603064511383525,NMAM,FRED4,"['Genersichia obtusata', 'Psyllophora obtusata']"
Carex pseuduncinoides,Carex,Cyperaceae,-0.4896840240126154,3.2270267660874463,-1.9606431201910584,NMAM,"(Brundrett and Tedersoo, 2018)",['Kobresia pseuduncinoides']
Carex tibetikobresia,Carex,Cyperaceae,-0.3765171208891698,2.818033012931397,-1.9781912863807127,NMAM,"(Soudzilovskaia et al., 2020)","['Kobresia capillifolia var. tibetica', 'Kobresia tibetica']"
Gahnia procera,Gahnia,Cyperaceae,-1.1394342831883648,4.072439726834051,-1.6607312068216509,NMAM,"(Soudzilovskaia et al., 2020)",
Gahnia xanthocarpa,Gahnia,Cyperaceae,-0.7765287894989963,3.819907716520341,-2.302585092994045,NMAM,"(Soudzilovskaia et al., 2020)","['Gahnia setifolia var. xanthocarpa', 'Mariscus xanthocarpus', 'Lampocarya xanthocarpa', 'Cladium xanthocarpum']"
Cystopteris sudetica,Cystopteris,Cystopteridaceae,-0.7112585843411714,5.201413878835869,-2.6334333777209507,AM,"(Soudzilovskaia et al., 2020)",['Rhizomatopteris sudetica']
Daphniphyllum pentandrum,Daphniphyllum,Daphniphyllaceae,-1.2999943494238988,4.145923991344203,-1.3139736995402644,AM,FRED4,
Pteridium aquilinum,Pteridium,Dennstaedtiaceae,-1.3819040128185978,4.693539043184408,-1.6882187894675424,AM,FRED4,"['Eupteris aquilina', 'Filix aquilina', 'Cincinalis aquilina', 'Paesia aquilina', 'Asplenium aquilinum', 'Filix-foemina aquilina', 'Pteris aquilina', 'Ornithopteris aquilina', 'Allosorus aquilinus']"
Dicksonia squarrosa,Dicksonia,Dicksoniaceae,-0.416563973274428,2.803815831516592,-1.5989355520465838,AM,FRED4,['Trichomanes squarrosum']
Dioscorea nipponica,Dioscorea,Dioscoreaceae,-1.6004781710626284,5.5768851853391865,-2.1541650878757723,AM,FRED4,
Richetia multiflora,Richetia,Dipterocarpaceae,-0.1259034168891556,0.6628897455013167,-0.1574242822214462,EcM,"(Brundrett and Tedersoo, 2018)","['Doona multiflora', 'Balanocarpus multiflorus', 'Shorea multiflora']"
Rubroshorea acuminata,Rubroshorea,Dipterocarpaceae,-0.8721661967494261,3.313569615107139,-1.3059872096454677,EcM,"(Brundrett and Tedersoo, 2018)",['Shorea acuminata']
Rubroshorea leprosula,Rubroshorea,Dipterocarpaceae,-1.0734262544155966,3.218846728444904,-0.7335835452782646,EcM,(Maherali et. al. 2016),['Shorea leprosula']
Dryopteris lepidopoda,Dryopteris,Dryopteridaceae,-1.6101047997540257,4.809019966164863,-1.3745983232171646,AM,"(Soudzilovskaia et al., 2020)",
Dryopteris sparsa,Dryopteris,Dryopteridaceae,-1.6156865621454148,5.246567760697824,-1.688254121731035,AM,FRED4,"['Aspidium sparsum', 'Lastrea sparsa', 'Nephrodium sparsum', 'Polystichum sparsum']"
Polystichum chilense,Polystichum,Dryopteridaceae,-1.203972804325936,3.777348102101545,-1.2378743560016174,AM,FRED4,
Diospyros strigosa,Diospyros,Ebenaceae,-0.7134368523730527,3.1829261188349403,-1.0399672246486908,AM,FRED4,
Diospyros virginiana,Diospyros,Ebenaceae,-0.7284135321169493,3.089293805667744,-2.0427882240318005,AM,FRED4,['Persimon virginiana']
Elaeagnus commutata,Elaeagnus,Elaeagnaceae,-0.920298753271694,2.917456692508743,-0.8399177525013457,AM,(Maherali et. al. 2016),
Aristotelia serrata,Aristotelia,Elaeocarpaceae,-1.0205407532479542,4.317114146402651,-1.7643160572165044,AM,FRED4,['Dicera serrata']
Elaeocarpus dentatus,Elaeocarpus,Elaeocarpaceae,-0.5211164887848129,3.336762761818721,-1.988006555293324,AM,FRED4,"['Monocera dentata', 'Skidanthera dentata', 'Cassine dentata', 'Eriostemon dentatus', 'Dicera dentata']"
Elaeocarpus dubius,Elaeocarpus,Elaeocarpaceae,-1.2108631550306903,4.067165311631414,-1.1454044504742698,AM,FRED4,
Elaeocarpus glabripetalus,Elaeocarpus,Elaeocarpaceae,-1.030953640194295,3.9846536964630537,-1.4842747694800944,AM,FRED4,
Elaeocarpus hookerianus,Elaeocarpus,Elaeocarpaceae,-0.8581790688169394,3.509292251862945,-1.550621245552317,AM,FRED4,['Cassine hookeriana']
Elaeocarpus sylvestris,Elaeocarpus,Elaeocarpaceae,-1.3208366600576509,3.914020790925127,-0.7923725797762123,AM,FRED4,['Adenodus sylvestris']
Sloanea grandiflora,Sloanea,Elaeocarpaceae,-0.8465314874593023,3.0099530650753907,-1.0751212747815655,AM,"(Brundrett and Tedersoo, 2018)",
Sloanea rufa,Sloanea,Elaeocarpaceae,-0.9654809760649268,2.980724382944389,-0.8075575316164775,AM,"(Brundrett and Tedersoo, 2018)",
Ephedra distachya,Ephedra,Ephedraceae,-1.3173777801874338,3.883413725085303,-1.6284364555925948,AM,FRED4,['Chaetocladus distachys']
Ephedra fragilis,Ephedra,Ephedraceae,-0.6789813257443353,1.2210552998275397,-0.6619703133346029,AM,"(Soudzilovskaia et al., 2020)",
Equisetum hyemale,Equisetum,Equisetaceae,-0.5148118682922136,4.010996642449863,-2.470915357992677,NMAM,FRED4,"['Presla hyemalis', 'Hippochaete hyemalis']"
Equisetum pratense,Equisetum,Equisetaceae,-1.0454486269585386,5.314638012961702,-3.068747480941392,NMAM,"(Soudzilovskaia et al., 2020)",
Arbutus unedo,Arbutus,Ericaceae,-0.6933805417865585,2.4945979586490235,-0.5830853416610542,EcM,(Maherali et. al. 2016),
Calluna vulgaris,Calluna,Ericaceae,-1.1501161315352253,2.611930551632364,0.1777698685600747,ErM,FRED4,"['Ericoides vulgaris', 'Erica vulgaris']"
Dracophyllum longifolium,Dracophyllum,Ericaceae,-1.5132190546935576,4.871479538812571,-1.479375237402205,ErM,FRED4,['Epacris longifolia']
Erica arborea,Erica,Ericaceae,-0.9663348068612736,2.649813790196861,-0.4240025318619962,ErM,"(Soudzilovskaia et al., 2020)","['Arsace arborea', 'Ericoides arborea']"
Erica scoparia,Erica,Ericaceae,-1.3508306968443216,3.00616006713636,0.1201997663421699,ErM,"(Soudzilovskaia et al., 2020)","['Ericoides scoparia', 'Ericoides scoparia', 'Chlorocodon scoparius']"
Leptecophylla juniperina,Leptecophylla,Ericaceae,-2.302585092994045,4.853591544486569,-0.342490308946776,ErM,FRED4,"['Styphelia juniperina', 'Epacris juniperina', 'Cyathodes juniperina']"
Rhododendron hypoglaucum,Rhododendron,Ericaceae,-1.9471859625593653,5.096447499700531,-0.9288695140810151,ErM,FRED4,"['Rhododendron argyrophyllum subsp. hypoglaucum', 'Azalea hypoglauca']"
Rhododendron ponticum,Rhododendron,Ericaceae,-0.8505029913361519,2.854882490144274,-0.703000040963512,ErM,"(Soudzilovskaia et al., 2020)",['Hymenanthes pontica']
Vaccinium corymbosum,Vaccinium,Ericaceae,-2.414848903881121,5.728340590163221,-1.0121675013100746,ErM,FRED4,['Cyanococcus corymbosus']
Vaccinium mandarinorum,Vaccinium,Ericaceae,-2.549509172973659,4.6701148746284735,-0.6348782724359695,ErM,FRED4,
Alchornea tiliifolia,Alchornea,Euphorbiaceae,-0.6773633126797123,3.920967219741512,-1.0817226497384662,AM,FRED4,['Stipellaria tiliifolia']
Alchornea trewioides,Alchornea,Euphorbiaceae,-1.369240606554063,4.527772527776599,-1.518466134445765,AM,FRED4,['Stipellaria trewioides']
Blumeodendron tokbrai,Blumeodendron,Euphorbiaceae,-0.7907600094269457,3.21107720250907,-1.3878114553255747,AM,"(Brundrett and Tedersoo, 2018)","['Mallotus tokbrai', 'Elateriospermum tokbrai', 'Blumeodendron elateriospermum', 'Rottlera tokbrai']"
Cleidion brevipetiolatum,Cleidion,Euphorbiaceae,-0.2025242641114739,2.070811868849666,-1.386600270572083,AM,"(Soudzilovskaia et al., 2020)",
Croton kongensis,Croton,Euphorbiaceae,-0.3357462783593553,2.1386880923726794,-0.9235036282140374,AM,(Maherali et. al. 2016),
Endospermum chinense,Endospermum,Euphorbiaceae,-0.4293536979115015,3.2236847491146934,-1.4887454643367324,AM,FRED4,
Macaranga sampsonii,Macaranga,Euphorbiaceae,-1.054157928144129,4.232890646949557,-1.4909639991923096,AM,FRED4,
Mallotus paniculatus,Mallotus,Euphorbiaceae,-1.4447712908788664,4.575959027819343,-1.408767218790131,AM,FRED4,"['Croton paniculatus', 'Rottlera paniculata']"
Sapium stylare,Sapium,Euphorbiaceae,-0.0184695162836613,2.203557032950177,-1.925290864138292,AM,"(Brundrett and Tedersoo, 2018)",['Excoecaria stylaris']
Euptelea pleiosperma,Euptelea,Eupteleaceae,-1.1412849539986585,4.099012521328839,-1.5705438487788042,AM,"(Brundrett and Tedersoo, 2018)",
Acacia auriculiformis,Acacia,Fabaceae,-0.7110735690934007,3.6204221534690286,-1.2264456601779945,EcMAM,"(Soudzilovskaia et al., 2020)",['Racosperma auriculiforme']
Acacia crassicarpa,Acacia,Fabaceae,-1.487530062200767,4.684720464746101,-1.0216512475319814,EcMAM,FRED4,['Racosperma crassicarpum']
Acacia mangium,Acacia,Fabaceae,-1.3761460300680757,4.597037202757902,-1.2378743560016174,EcMAM,FRED4,['Racosperma mangium']
Anthyllis cytisoides,Anthyllis,Fabaceae,-1.250627749698357,2.2408114559060697,-0.5132099356464621,AM,(Maherali et. al. 2016),['Zenopogon cytisoides']
Anthyllis terniflora,Anthyllis,Fabaceae,-1.0109448769163498,1.796225088823567,-0.5986780470632063,AM,(Maherali et. al. 2016),"['Anthyllis cytisoides subsp. terniflora', 'Genista terniflora']"
Archidendron clypearia,Archidendron,Fabaceae,-1.306263961214402,4.253198450319927,-0.8915981192837836,AM,FRED4,"['Pithecellobium clypearia', 'Abarema clypearia', 'Feuilleea clypearia', 'Inga clypearia', 'Albizia clypearia']"
Archidendron lucidum,Archidendron,Fabaceae,-1.3449221180141588,4.07567129695648,-1.171182981502945,AM,FRED4,"['Pithecellobium lucidum', 'Abarema lucida']"
Astragalus aboriginum,Astragalus,Fabaceae,-1.5329399414613754,3.7607826164598617,-0.4307829160924542,AM,"(Brundrett and Tedersoo, 2018)",
Astragalus agrestis,Astragalus,Fabaceae,-0.9450760833059084,3.0361683041597565,-0.87638008370386,AM,"(Brundrett and Tedersoo, 2018)",['Phaca agrestis']
Astragalus bisulcatus,Astragalus,Fabaceae,-1.0367648853420297,4.505276183130613,-2.1594842526867057,AM,"(Soudzilovskaia et al., 2020)","['Phaca bisulcata', 'Diholcos bisulcatus', 'Tragacantha bisulcata']"
Astragalus canadensis,Astragalus,Fabaceae,-0.8675005677047231,3.5263605246161616,-1.5141277326297755,AM,"(Brundrett and Tedersoo, 2018)","['Phaca canadensis', 'Tragacantha canadensis']"
Astragalus scaberrimus,Astragalus,Fabaceae,-1.2552660987134865,4.091757886325333,-1.2909841813155656,AM,"(Soudzilovskaia et al., 2020)",['Tragacantha scaberrima']
Baptisia alba,Baptisia,Fabaceae,-1.4271163556401458,5.765191102784844,-2.659260036932778,AM,(Maherali et. al. 2016),"['Podalyria alba', 'Sophora alba', 'Crotalaria alba']"
Bituminaria bituminosa,Bituminaria,Fabaceae,-1.0700248318161971,4.897839799950911,-2.396895772465287,AM,"(Soudzilovskaia et al., 2020)","['Aspalthium bituminosum', 'Lotodes bituminosum', 'Rhynchodium bituminosum', 'Psoralea bituminosa', 'Bipontinia bituminosa']"
Calliandra houstoniana,Calliandra,Fabaceae,-0.7507762933965817,3.15997471694804,-1.1116975282167652,AM,FRED4,"['Mimosa houstoniana', 'Anneslia houstoniana']"
Calpurnia aurea,Calpurnia,Fabaceae,-0.6348782724359695,2.830267833826459,-1.1394342831883648,AM,"(Brundrett and Tedersoo, 2018)","['Virgilia aurea', 'Podalyria aurea', 'Sophora aurea']"
Cercis canadensis,Cercis,Fabaceae,-0.5978370007556204,3.299533727885655,-1.8388510767619053,AM,FRED4,['Siliquastrum canadense']
Chamaecrista fasciculata,Chamaecrista,Fabaceae,-1.0788096613719298,4.248495242049359,-1.8325814637483104,AM,"(Soudzilovskaia et al., 2020)",['Cassia fasciculata']
Clitoria javitensis,Clitoria,Fabaceae,-0.3222197900242901,2.520045233152446,-1.5286206046868307,AM,FRED4,"['Ternatea javitensis', 'Neurocarpum javitense']"
Coronilla juncea,Coronilla,Fabaceae,-1.2036395265358155,2.056111871040096,-0.5289693909317653,AM,"(Brundrett and Tedersoo, 2018)",['Ornithopus junceus']
Coronilla minima,Coronilla,Fabaceae,-0.8036555138945713,4.110837661113617,-1.6820084654839995,AM,"(Brundrett and Tedersoo, 2018)",['Ornithopus minimus']
Cytisus grandiflorus,Cytisus,Fabaceae,-0.2984060358147566,1.1790898931449365,-0.2323726689041977,AM,"(Brundrett and Tedersoo, 2018)","['Laburnum grandiflorum', 'Sarothamnus grandiflorus', 'Genista grandiflora']"
Dalea purpurea,Dalea,Fabaceae,-0.978698192002772,3.924799106860037,-1.5284341282810134,AM,(Maherali et. al. 2016),"['Petalostemon purpureus', 'Psoralea purpurea', 'Kuhnistera purpurea']"
Desmodium canadense,Desmodium,Fabaceae,-1.0788096613719298,4.836281906951478,-2.407945608651872,AM,"(Soudzilovskaia et al., 2020)","['Pleurolobus canadensis', 'Hedysarum canadense', 'Edusaron canadense']"
Dussia tessmannii,Dussia,Fabaceae,-0.8942846516115405,2.3821233962462887,-0.3505035505074508,AM,"(Brundrett and Tedersoo, 2018)",
Genista hirsuta,Genista,Fabaceae,-0.8415601857027184,2.4158881056500805,-0.3819824149801116,AM,FRED4,
Genista triacanthos,Genista,Fabaceae,-0.8679173212010655,2.553395823996329,-0.3380860108546838,AM,"(Soudzilovskaia et al., 2020)",
Gleditsia triacanthos,Gleditsia,Fabaceae,-0.5519490743098253,2.7540868672380068,-1.6753106565848082,AM,FRED4,['Caesalpiniodes triacanthum']
Imbralyx leptobotrys,Imbralyx,Fabaceae,-0.7533927068671636,3.0030105991646803,-1.1439646799559864,AM,"(Soudzilovskaia et al., 2020)","['Fordia leptobotrys', 'Millettia leptobotrys']"
Inga alba,Inga,Fabaceae,-0.527632742082372,2.540814281726296,-0.9187938620922736,AM,FRED4,"['Feuilleea alba', 'Mimosa alba']"
Inga auristellae,Inga,Fabaceae,-0.770028224895903,2.966303462863179,-1.152013065395225,AM,FRED4,
Inga bicoloriflora,Inga,Fabaceae,-0.5191938734365074,2.5718485799218085,-1.0244328904938582,AM,FRED4,
Inga brevipes,Inga,Fabaceae,-0.8989420935395421,3.1432898379116057,-1.0244328904938582,AM,FRED4,['Feuilleea alata']
Inga cayennensis,Inga,Fabaceae,-0.6871651088823978,2.854168709232204,-1.2378743560016174,AM,FRED4,['Feuilleea cayennensis']
Inga cordatoalata,Inga,Fabaceae,-0.2930296787783762,2.0241930674493576,-0.8347107448817322,AM,FRED4,
Inga extra-nodis,Inga,Fabaceae,-0.6681164136379998,2.744090559502368,-0.9534312379592068,AM,"(Soudzilovskaia et al., 2020)",
Inga gracilifolia,Inga,Fabaceae,-0.5960204698292225,2.5217206229107165,-0.8603830999358592,AM,FRED4,
Inga huberi,Inga,Fabaceae,-0.7507762933965817,2.9882040071331994,-1.2378743560016174,AM,FRED4,
Inga lateriflora,Inga,Fabaceae,-0.3354727362881294,2.360854001118021,-1.2517634681622845,AM,FRED4,['Feuilleea lateriflora']
Inga loubryana,Inga,Fabaceae,-0.7719739611059164,3.0538935636232005,-1.0364790040441614,AM,"(Soudzilovskaia et al., 2020)",
Inga macrophylla,Inga,Fabaceae,-0.8556661100577202,3.237501288991365,-1.2344320118106449,AM,FRED4,"['Feuilleea macrophylla', 'Mimosa macrophylla']"
Inga marginata,Inga,Fabaceae,-0.6287961770026967,2.4993008542721795,-0.9185331183111102,AM,FRED4,"['Inga fagifolia var. marginata', 'Feuilleea marginata']"
Inga nobilis,Inga,Fabaceae,-0.6937473606319777,2.409853786621745,-0.7814397874287006,AM,(Maherali et. al. 2016),['Feuilleea nobilis']
Inga obidensis,Inga,Fabaceae,-0.5208759596194922,2.2905125117597764,-0.9238189982949466,AM,FRED4,
Inga paraensis,Inga,Fabaceae,-0.6891551592904078,2.702702594775615,-0.991553216374702,AM,FRED4,
Inga rubiginosa,Inga,Fabaceae,-0.3948219480096846,2.0464513198324688,-0.8599106646636656,AM,"(Soudzilovskaia et al., 2020)","['Feuilleea rubiginosa', 'Mimosa rubiginosa']"
Inga ruiziana,Inga,Fabaceae,-0.6597124044737079,2.9090844668283187,-1.2378743560016174,AM,FRED4,['Feuilleea ruiziana']
Inga splendens,Inga,Fabaceae,-0.6635883783184009,2.545531271604435,-0.941608539858445,AM,FRED4,"['Mimosa splendens', 'Feuilleea splendens']"
Inga stipularis,Inga,Fabaceae,-0.3627060817550682,2.092878329637505,-0.6885319770148005,AM,FRED4,['Feuilleea stipularis']
Inga suberosa,Inga,Fabaceae,-0.8521429120504033,3.355502422400026,-1.3394107752210402,AM,FRED4,
Inga thibaudiana,Inga,Fabaceae,-0.5727010274840783,2.6837575085331657,-1.0244328904938582,AM,FRED4,['Feuilleea thibaudiana']
Inga umbellifera,Inga,Fabaceae,-0.8326391593785443,2.6833374305586686,-0.5510027143023635,AM,FRED4,"['Feuilleea umbellifera', 'Mimosa umbellifera']"
Inga umbratica,Inga,Fabaceae,-0.7571525105358577,2.7750856024383683,-0.9493305859523552,AM,FRED4,['Feuilleea umbratica']
Lathyrus venosus,Lathyrus,Fabaceae,-0.9875182411625228,3.84651487154136,-1.637608791686511,AM,"(Soudzilovskaia et al., 2020)",
Lespedeza bicolor,Lespedeza,Fabaceae,-1.406905315024015,4.931618323063865,-1.8971199848858813,AM,FRED4,
Lespedeza capitata,Lespedeza,Fabaceae,-0.9942522733438668,4.290459441148391,-2.0402208285265546,AM,(Maherali et. al. 2016),['Despeleza capitata']
Lespedeza davurica,Lespedeza,Fabaceae,-1.171182981502945,3.694240060356032,-1.0788096613719298,AM,"(Soudzilovskaia et al., 2020)",
Lespedeza thunbergii,Lespedeza,Fabaceae,-1.474470052023616,4.757488255324351,-1.5672375562908314,AM,"(Soudzilovskaia et al., 2020)",['Desmodium thunbergii']
Lotus corniculatus,Lotus,Fabaceae,-0.884454966842179,5.030743020890601,-3.021768657600949,AM,"(Soudzilovskaia et al., 2020)",
Lupinus perennis,Lupinus,Fabaceae,-1.0788096613719298,4.762173934797756,-1.1394342831883648,NM,"(Brundrett and Tedersoo, 2018)",
Medicago minima,Medicago,Fabaceae,-1.3586791940869172,5.342334251964811,-2.09557092360972,AM,FRED4,"['Spirocarpus minimus', 'Medicago polymorpha var. minima']"
Medicago ruthenica,Medicago,Fabaceae,-1.3470736479666092,4.18920009323478,-1.2378743560016172,AM,FRED4,"['Trigonella ruthenica', 'Turukhania ruthenica', 'Pocockia ruthenica', 'Melilotoides ruthenica', 'Melissitus ruthenicus']"
Medicago sativa,Medicago,Fabaceae,-0.973566800576342,5.764768430399355,-3.772474303178351,AM,FRED4,['Medica sativa']
Melilotus officinalis,Melilotus,Fabaceae,-1.2378743560016174,4.605170185988092,-1.8971199848858813,AM,FRED4,"['Trifolium officinale', 'Medicago officinalis', 'Sertula officinalis', 'Brachylobus officinalis', 'Trigonella officinalis']"
Millettia leptobotrya,Millettia,Fabaceae,-1.0741733667910915,3.2433732964685884,-0.843970070294529,AM,FRED4,
Oxytropis sericea,Oxytropis,Fabaceae,-1.266380264454553,4.571144285822836,-1.6932077923927629,AM,"(Soudzilovskaia et al., 2020)","['Aragallus lambertii var. sericeus', 'Aragallus sericeus', 'Oxytropis lambertii var. sericea', 'Spiesia lambertii var. sericea']"
Platypodium elegans,Platypodium,Fabaceae,-0.1336108352085726,1.8629676225874312,-1.333459280096423,AM,FRED4,['Callisemaea elegans']
Sophora microphylla,Sophora,Fabaceae,-0.6643653791344931,3.267919444914978,-1.6620132089370616,AM,FRED4,"['Edwardsia grandiflora var. microphylla', 'Edwardsia microphylla', 'Sophora tetraptera var. microphylla']"
Stauracanthus genistoides,Stauracanthus,Fabaceae,-0.816445396904439,2.5758454344059665,-0.2909682286200484,AM,"(Soudzilovskaia et al., 2020)",['Ulex genistoides']
Styphnolobium japonicum,Styphnolobium,Fabaceae,-0.8282123202019007,3.451044314239236,-1.8140050781753747,AM,FRED4,['Sophora japonica']
Thermopsis rhombifolia,Thermopsis,Fabaceae,-1.3938226275406822,4.643452580211669,-1.30029702976746,AM,"(Soudzilovskaia et al., 2020)","['Drepilia rhombifolia', 'Thermia rhombifolia', 'Cytisus rhombifolius']"
Trifolium angustifolium,Trifolium,Fabaceae,-1.2006450142332614,5.0369526024136295,-2.312635428847547,AM,FRED4,['Triphylloides angustifolia']
Trifolium pratense,Trifolium,Fabaceae,-1.1620314365377646,5.447760538785026,-2.4934115501393337,AM,FRED4,['Lagopus pratensis']
Trifolium purpureum,Trifolium,Fabaceae,-1.0074926962135342,5.6625187808650725,-3.623022390136162,AM,FRED4,"['Trifolium angustifolium subsp. purpureum', 'Trifolium angustifolium subsp. purpureum']"
Trifolium repens,Trifolium,Fabaceae,-1.1188149949652209,6.218383034377429,-3.9737159789791177,AM,"(Soudzilovskaia et al., 2020)",['Amoria repens']
Trifolium subterraneum,Trifolium,Fabaceae,-0.8513554753839625,4.868486562529492,-2.865901808142103,AM,FRED4,['Calycomorphum subterraneum']
Ulex parviflorus,Ulex,Fabaceae,-0.9856966355221471,2.2180232141147225,-0.3330534839215755,AM,(Maherali et. al. 2016),
Vicia americana,Vicia,Fabaceae,-1.0128612884947492,5.1088861286613305,-2.339507803778487,AM,"(Soudzilovskaia et al., 2020)",['Abacosa americana']
Vicia villosa,Vicia,Fabaceae,-0.843970070294529,4.0943445622221,-2.120263536200091,AM,(Maherali et. al. 2016),
Zygia inaequalis,Zygia,Fabaceae,-1.0023934309275668,3.264231526588998,-1.016111067156366,AM,FRED4,"['Inga inaequalis', 'Pithecellobium inaequale', 'Feuilleea inaequalis', 'Mimosa inaequalis']"
Castanea henryi,Castanea,Fagaceae,-1.7836127440922864,3.712595980731253,-0.7133498878774648,EcM,FRED4,['Castanopsis henryi']
Castanopsis boisii,Castanopsis,Fagaceae,-0.4307829160924542,2.1110774809303208,-0.8135401401066132,EcM,"(Brundrett and Tedersoo, 2018)",
Castanopsis calathiformis,Castanopsis,Fagaceae,-0.4189556987974545,1.9015820043045208,-0.7712935607328995,EcM,"(Soudzilovskaia et al., 2020)","['Lithocarpus calathiformis', 'Pasania calathiformis', 'Quercus calathiformis', 'Synaedrys calathiformis']"
Castanopsis carlesii,Castanopsis,Fagaceae,-0.6959539045271556,3.5060422494504677,-0.5522082535378237,EcM,FRED4,"['Shiia carlesii', 'Synaedrys carlesii', 'Quercus carlesii', 'Castanopsis cuspidata var. carlesii']"
Castanopsis echinocarpa,Castanopsis,Fagaceae,-0.5783914835614747,2.90510310213995,-0.8341634062196073,EcM,FRED4,['Castanopsis tribuloides var. echinocarpa']
