Dataset,SpeciesName,AccSpeciesName,TraitID,OrigValueStr
Mycorrhizal Intensity Database Across the Former Soviet Union,Picea wilsonii,Picea wilsonii,7.0,EcM
Mycorrhizal Intensity Database Across the Former Soviet Union,Pinus armandii,Pinus armandii,7.0,EcM
Mycorrhizal Intensity Database Across the Former Soviet Union,Pinus strobus,Pinus strobus,7.0,EcM
Mycorrhizal Intensity Database Across the Former Soviet Union,Pinus virginiana,Pinus virginiana,7.0,EcM
Mycorrhizal Intensity Database Across the Former Soviet Union,Populus deltoides,Populus deltoides,7.0,AM
Mycorrhizal Intensity Database Across the Former Soviet Union,Populus deltoides,Populus deltoides,7.0,EcM
Mycorrhizal Intensity Database Across the Former Soviet Union,Populus monilifera,Populus deltoides,7.0,EcM
Mycorrhizal Intensity Database Across the Former Soviet Union,Populus tremula,Populus tremula,7.0,EcM
Mycorrhizal Intensity Database Across the Former Soviet Union,Quercus rubra,Quercus rubra,7.0,EcM
Mycorrhizal Intensity Database Across the Former Soviet Union,Sorbus amurensis,Sorbus aucuparia,7.0,AM
Mycorrhizal Intensity Database Across the Former Soviet Union,Sorbus aucuparia,Sorbus aucuparia,7.0,AM
Mycorrhizal Intensity Database Across the Former Soviet Union,Sorbus sibirica,Sorbus aucuparia,7.0,AM
Mycorrhizal Intensity Database Across the Former Soviet Union,Syringa amurensis,Syringa reticulata,7.0,AM
Mycorrhizal Intensity Database Across the Former Soviet Union,Tilia cordata,Tilia cordata,7.0,EcM
Mycorrhizal Intensity Database Across the Former Soviet Union,Tilia mandshurica,Tilia mandshurica,7.0,EcM
Ecological Flora of the British Isles,Aesculus hippocastanum,Aesculus hippocastanum,7.0,AM
Ecological Flora of the British Isles,Carpinus betulus,Carpinus betulus,7.0,EM
Ecological Flora of the British Isles,Populus tremula,Populus tremula,7.0,EM
Ecological Flora of the British Isles,Tilia cordata,Tilia cordata,7.0,EM
Mycorrhiza Database,Larix dahurica,Larix gmelinii,7.0,EcM
Mycorrhiza Database,Larix gmelinii,Larix gmelinii,7.0,EcM
Mycorrhiza Database,Picea meyeri,Picea meyeri,7.0,EcM
Mycorrhiza Database,Pinus armandii,Pinus armandii,7.0,EcM
Mycorrhiza Database,Pinus strobus,Pinus strobus,7.0,EcM
Mycorrhiza Database,Pinus virginiana,Pinus virginiana,7.0,EcM
Mycorrhiza Database,Acacia auriculiformis,Acacia auriculiformis,7.0,EcM
Mycorrhiza Database,Acacia mangium,Acacia mangium,7.0,EcM
Mycorrhiza Database,Carpinus betulus,Carpinus betulus,7.0,EcM
Mycorrhiza Database,Castanopsis echinocarpa,Castanopsis echinocarpa,7.0,EcM
Mycorrhiza Database,Castanopsis fissa,Castanopsis fissa,7.0,EcM
Mycorrhiza Database,Castanopsis hystrix,Castanopsis hystrix,7.0,EcM
Mycorrhiza Database,Quercus alba,Quercus alba,7.0,EcM
Mycorrhiza Database,Quercus borealis,Quercus rubra,7.0,EcM
Mycorrhiza Database,Quercus liaotungensis,Quercus wutaishanica,7.0,EcM
Mycorrhiza Database,Quercus patelliformis,Quercus asymmetrica,7.0,EcM
Mycorrhiza Database,Quercus rubra,Quercus rubra,7.0,EcM
Mycorrhiza Database,Populus cathayana,Populus cathayana,7.0,EcM
Mycorrhiza Database,Populus deltoides,Populus deltoides,7.0,EcM
Mycorrhiza Database,Populus deltoides x P. trichopcarpa,Populus deltoides,7.0,EcM
Mycorrhiza Database,Populus tremula,Populus tremula,7.0,EcM
Mycorrhiza Database,Populus tremuloides,Populus tremuloides,7.0,EcM
Mycorrhiza Database,Eucalyptus urophylla,Eucalyptus urophylla,7.0,EcM
Mycorrhiza Database,Tilia cordata,Tilia cordata,7.0,EcM
Mycorrhiza Database,Tilia mongolica,Tilia mongolica,7.0,EcM
FRED - Fine Root Ecology Database,Populus deltoides,Populus deltoides,7.0,EM
FRED - Fine Root Ecology Database,Platanus occidentalis,Platanus occidentalis,7.0,AM
FRED - Fine Root Ecology Database,Liquidambar styraciflua,Liquidambar styraciflua,7.0,AM
FRED - Fine Root Ecology Database,Fraxinus americana,Fraxinus americana,7.0,AM
FRED - Fine Root Ecology Database,Juglans nigra,Juglans nigra,7.0,NM/AM
FRED - Fine Root Ecology Database,Pinus strobus,Pinus strobus,7.0,EM
FRED - Fine Root Ecology Database,Quercus rubra,Quercus rubra,7.0,EM
FRED - Fine Root Ecology Database,Populus tremuloides,Populus tremuloides,7.0,EM
FRED - Fine Root Ecology Database,Magnolia acuminata,Magnolia acuminata,7.0,AM
FRED - Fine Root Ecology Database,Liriodendron tulipifera,Liriodendron tulipifera,7.0,AM
FRED - Fine Root Ecology Database,Juglans nigra,Juglans nigra,7.0,AM
FRED - Fine Root Ecology Database,Acer rubrum,Acer rubrum,7.0,AM
FRED - Fine Root Ecology Database,Acer saccharum,Acer saccharum,7.0,AM
FRED - Fine Root Ecology Database,Phellodendron amurense,Phellodendron amurense,7.0,NM/AM
FRED - Fine Root Ecology Database,Fraxinus mandshurica,Fraxinus mandshurica,7.0,NM
FRED - Fine Root Ecology Database,Tilia cordata,Tilia cordata,7.0,EM
FRED - Fine Root Ecology Database,Quercus alba,Quercus alba,7.0,EM
FRED - Fine Root Ecology Database,Michelia maudiae,Magnolia maudiae,7.0,AM
FRED - Fine Root Ecology Database,Michelia wilsonii,Magnolia ernestii,7.0,AM
FRED - Fine Root Ecology Database,Knema erratica,Knema erratica,7.0,AM
FRED - Fine Root Ecology Database,Dysoxylum gobara,Dysoxylum excelsum,7.0,AM
FRED - Fine Root Ecology Database,Fraxinus mandshurica,Fraxinus mandshurica,7.0,AM
FRED - Fine Root Ecology Database,Larix gmelinii,Larix gmelinii,7.0,EM
FRED - Fine Root Ecology Database,Phellodendron amurense,Phellodendron amurense,7.0,AM
FRED - Fine Root Ecology Database,Acer platanoides,Acer platanoides,7.0,AM
FRED - Fine Root Ecology Database,Acer platanoides,Acer platanoides,7.0,NM/AM
FRED - Fine Root Ecology Database,Fraxinus excelsior,Fraxinus excelsior,7.0,AM
