,RD,SRL,RN,RTD,F00056,F00645,F01286,F01287,F01289,F01290
22,1.285846,8.709764,18.398060,0.220690,2.000000,NA,Cryptocarya,chinensis,Lauraceae,Laurales
23,1.444406,5.806541,18.252429,0.282759,3.000000,NA,Cryptocarya,chinensis,Lauraceae,Laurales
24,0.230711,96.774214,18.398060,0.324138,1.000000,NA,Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales
25,0.254855,48.387157,14.902917,0.393104,2.000000,NA,Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales
26,0.279281,30.967816,14.466024,0.544828,3.000000,NA,Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales
27,0.493753,50.322640,15.339810,0.137932,1.000000,NA,Endospermum,chinense,Euphorbiaceae,Malpighiales
28,0.551501,30.967817,14.611655,0.200001,2.000000,NA,Endospermum,chinense,Euphorbiaceae,Malpighiales
29,0.642571,22.258147,14.466024,0.248276,3.000000,NA,Endospermum,chinense,Euphorbiaceae,Malpighiales
30,0.310000,23.800000,13.010000,0.550000,NA,AM,Aristotelia,serrata,Elaeocarpaceae,Oxalidales
31,0.530000,22.200000,9.010000,0.200000,NA,AM,Ascarina,lucida,Chloranthaceae,Chloranthales
32,0.430000,31.800000,16.180000,0.200000,NA,AM,Asplenium,bulbiferum,Aspleniaceae,Polypodiales
33,0.940000,12.900000,10.120000,0.090000,NA,AM,Astelia,fragrans,Asteliaceae,Asparagales
34,0.950000,14.500000,6.490000,0.090000,NA,AM,Astelia,nervosa,Asteliaceae,Asparagales
35,0.410000,32.400000,13.990000,0.210000,NA,AM,Blechnum,chambersii,Blechnaceae,Polypodiales
36,0.360000,26.300000,5.500000,0.300000,NA,AM,Blechnum,discolor,Blechnaceae,Polypodiales
37,0.310000,42.900000,12.760000,0.290000,NA,AM,Blechnum,fluviatile,Blechnaceae,Polypodiales
38,0.330000,28.000000,4.990000,0.380000,NA,AM,Blechnum,novae-zelandiae,Blechnaceae,Polypodiales
39,0.270000,31.100000,4.320000,0.530000,NA,AM,Blechnum,procerum,Blechnaceae,Polypodiales
40,0.440000,35.100000,17.910000,0.170000,NA,AM,Carpodetus,serratus,Rousseaceae,Asterales
41,0.200000,91.500000,8.390000,0.340000,NA,AM,Coprosma,ciliata,Rubiaceae,Gentianales
42,0.370000,44.500000,6.860000,0.210000,NA,AM,Coprosma,foetidissima,Rubiaceae,Gentianales
43,0.450000,26.000000,11.360000,0.230000,NA,AM,Coprosma,lucida,Rubiaceae,Gentianales
44,0.200000,158.300000,9.640000,0.200000,NA,AM,Coprosma,rhamnoides,Rubiaceae,Gentianales
45,0.310000,27.400000,15.990000,0.460000,NA,AM,Coriaria,arborea,Coriariaceae,Cucurbitales
46,0.310000,30.100000,5.290000,0.400000,NA,AM,Cyathea,smithii,Cyatheaceae,Cyatheales
47,0.490000,11.300000,6.600000,0.240000,NA,AM,Dacrydium,cupressinum,Podocarpaceae,Pinales
48,0.360000,25.800000,4.920000,0.350000,NA,AM,Dicksonia,squarrosa,Dicksoniaceae,Cyatheales
49,0.320000,58.700000,4.020000,0.190000,NA,AM,Gahnia,procera,Cyperaceae,Poales
50,0.460000,45.600000,4.730000,0.100000,NA,AM,Gahnia,xanthocarpa,Cyperaceae,Poales
51,0.270000,42.800000,1.920000,0.390000,NA,AM,Gleichenia,microphylla,Gleicheniaceae,Gleicheniales
52,0.290000,21.500000,5.870000,0.370000,NA,AM,Lepidothamnus,intermedius,Podocarpaceae,Pinales
53,0.100000,128.200000,3.850000,0.710000,NA,ErM,Leptecophylla,juniperina,Ericaceae,Ericales
54,0.210000,91.300000,5.710000,0.300000,NA,AM + EM,Leptospermum,scoparium,Myrtaceae,Myrtales
55,0.440000,55.500000,4.190000,0.100000,NA,AM,Lycopodium,volubile,Lycopodiaceae,Lycopodiales
56,0.470000,18.900000,7.090000,0.190000,NA,AM,Manoao,colensoi,Podocarpaceae,Pinales
57,0.340000,29.000000,16.830000,0.360000,NA,AM,Melicytus,ramiflorus,Violaceae,Malpighiales
58,0.170000,84.700000,5.390000,0.500000,NA,AM,Metrosideros,diffusa,Myrtaceae,Myrtales
59,0.190000,76.500000,6.040000,0.460000,NA,AM,Metrosideros,fulgens,Myrtaceae,Myrtales
60,0.310000,21.500000,3.790000,0.470000,NA,AM,Metrosideros,umbellata,Myrtaceae,Myrtales
61,0.390000,23.600000,5.130000,0.340000,NA,AM,Rapanea,australis,Primulaceae,Ericales
62,0.480000,22.900000,10.140000,0.230000,NA,AM,Rapanea,divaricata,Primulaceae,Ericales
63,0.210000,42.300000,5.030000,0.680000,NA,AM,Neomyrtus,pedunculata,Myrtaceae,Myrtales
64,0.480000,19.800000,14.430000,0.270000,NA,AM,Olearia,avicenniaefolia,Asteraceae,Asterales
65,0.360000,19.100000,6.990000,0.370000,NA,AM,Phyllocladus,trichomanoides,Podocarpaceae,Pinales
66,0.610000,10.300000,9.260000,0.180000,NA,AM,Podocarpus,cunninghamii,Podocarpaceae,Pinales
67,0.300000,43.700000,8.560000,0.290000,NA,AM,Polystichum,chilense,Dryopteridaceae,Polypodiales
68,0.690000,5.900000,8.990000,0.180000,NA,AM,Prumnopitys,ferruginea,Podocarpaceae,Pinales
69,0.440000,22.300000,7.420000,0.280000,NA,AM,Neopanax,colensoi,Araliaceae,Apiales
70,0.660000,14.100000,5.040000,0.200000,NA,AM,Pseudopanax,crassifolius,Araliaceae,Apiales
71,0.980000,6.200000,10.250000,0.200000,NA,AM,Pseudowintera,colorata,Winteraceae,Canellales
72,0.270000,33.700000,4.970000,0.500000,NA,AM,Quintinia,serrata,Paracryphiaceae,Paracryphiales
73,0.360000,31.800000,6.050000,0.300000,NA,AM,Raukaua,simplex,Araliaceae,Apiales
74,0.330000,50.300000,19.250000,0.210000,NA,AM,Schefflera,digitata,Araliaceae,Apiales
75,0.290000,16.800000,2.070000,0.840000,NA,AM,Sticherus,cunninghamii,Gleicheniaceae,Gleicheniales
76,0.230000,41.500000,4.060000,0.540000,NA,AM,Leiospermum,racemosum,Cunoniaceae,Oxalidales
77,0.482000,13.536000,14.267000,0.341000,NA,AM,Fraxinus,excelsior,Oleaceae,Lamiales
78,0.317000,28.038000,11.635000,0.454000,NA,AM,Acer,pseudoplatanus,Sapindaceae,Sapindales
79,0.436000,15.313000,9.902000,0.556000,NA,AM,Acer,platanoides,Sapindaceae,Sapindales
80,0.374000,21.994000,12.196000,0.493000,NA,EM,Carpinus,betulus,Betulaceae,Fagales
81,0.468000,10.911000,9.953000,0.606000,NA,EM,Tilia,cordata,Malvaceae,Malvales
82,0.411000,29.240000,10.946000,0.620000,NA,EM,Fagus,sylvatica,Fagaceae,Fagales
83,0.524000,10.921000,13.440000,0.371000,NA,AM,Fraxinus,excelsior,Oleaceae,Lamiales
84,0.318000,34.769000,9.519000,0.509000,NA,AM,Acer,pseudoplatanus,Sapindaceae,Sapindales
85,0.394000,18.612000,8.892000,0.493000,NA,AM,Acer,platanoides,Sapindaceae,Sapindales
86,0.363000,17.615000,11.362000,0.514000,NA,EM,Carpinus,betulus,Betulaceae,Fagales
87,0.567000,7.455000,7.923000,0.563000,NA,EM,Tilia,cordata,Malvaceae,Malvales
88,0.460000,12.522000,10.315000,0.487000,NA,EM,Fagus,sylvatica,Fagaceae,Fagales
89,0.587000,10.894000,13.344000,0.378000,NA,AM,Fraxinus,excelsior,Oleaceae,Lamiales
