"Package","Version"
"systemfonts","1.3.1"
"taxize","0.10.0"
"taxonlookup","1.1.5"
"terra","1.8-93"
"testthat","3.3.2"
"textshaping","1.0.4"
"TH.data","1.1-5"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4052.112"
"tinytex","0.58"
"TMB","1.9.19"
"triebeard","0.4.1"
"tseries","0.10-59"
"TTR","0.24.4"
"tzdb","0.5.0"
"U.PhyloMaker","0.1.0"
"units","1.0-0"
"unmarked","1.5.1"
"urca","1.3-4"
"urlchecker","1.0.1"
"urltools","1.7.3.1"
"usethis","3.2.1"
"utf8","1.2.6"
"uuid","1.2-2"
"vctrs","0.7.1"
"VGAM","1.1-14"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.7.0"
"waldo","0.6.2"
"whisker","0.4.1"
"WikidataQueryServiceR","1.0.0"
"WikidataR","2.3.3"
"WikipediR","1.7.1"
"wikitaxa","0.4.0"
"withr","3.0.2"
"wk","0.9.5"
"worrms","0.4.3"
"xfun","0.56"
"XML","3.99-0.20"
"xml2","1.5.2"
"xopen","1.0.1"
"xtable","1.8-4"
"xts","0.14.1"
"yaml","2.3.12"
"zip","2.3.3"
"zoo","1.8-15"
"base","4.5.2"
"boot","1.3-32"
"class","7.3-23"
"cluster","2.1.8.1"
"codetools","0.2-20"
"compiler","4.5.2"
"datasets","4.5.2"
"foreign","0.8-90"
"graphics","4.5.2"
"grDevices","4.5.2"
"grid","4.5.2"
"KernSmooth","2.23-26"
"lattice","0.22-7"
"MASS","7.3-65"
"Matrix","1.7-4"
"methods","4.5.2"
"mgcv","1.9-3"
"nlme","3.1-168"
"nnet","7.3-20"
"parallel","4.5.2"
"rpart","4.1.24"
"spatial","7.3-18"
"splines","4.5.2"
"stats","4.5.2"
"stats4","4.5.2"
"survival","3.8-3"
"tcltk","4.5.2"
"tools","4.5.2"
"utils","4.5.2"
