binominal,SRL
Abelia_biflora,3.43227790769518
Abies_fargesii,3.4228014783114546
Abies_nephrolepis,3.2975338379252603
Acacia_auriculiformis,4.34756458111878
Acacia_crassicarpa,4.684720464746101
Acacia_mangium,4.597037202757902
Acer_barbinerve,4.96758145600384
Acer_campbellii,4.370364110801968
Acer_caudatum,4.452395919427671
Acer_coriaceifolium,4.870606649492553
Acer_davidii,4.514543248584607
Acer_fabri,4.926383741648665
Acer_negundo,3.7960133963209044
Acer_pictum,4.461404079115766
Acer_platanoides,3.3947978251119246
Acer_pseudoplatanus,4.137269697670223
Acer_rubrum,3.832907645412601
Acer_saccharum,3.959630610332453
Acer_tataricum,4.876593896355516
Acer_tegmentosum,4.450033256242896
Acer_triflorum,4.70622041830678
Acer_truncatum,4.081728383535411
Acronychia_pedunculata,4.43844831886184
Actaea_cimicifuga,4.763139807722203
Actinidia_kolomikta,5.413981572847829
Adenocaulon_himalaicum,5.262232519941716
Adiantum_pedatum,5.095985882628778
Adina_pilulifera,6.363496743711504
Aesculus_hippocastanum,2.9681729912394377
Aesculus_parviflora,3.7658181535653057
Agrimonia_pilosa,5.086378117704167
Aidia_oxyodonta,5.251540174989108
Alangium_chinense,5.135268885097667
Alchornea_tiliifolia,5.63645607098297
Alchornea_trewioides,4.527772527776599
Allophylus_cobbe,4.318421011584911
Alniphyllum_fortunei,4.480711519573874
Alnus_formosana,5.312971321708953
Alnus_hirsuta,4.243669755378868
Alnus_mandshurica,4.691245507264235
Alpinia_japonica,5.505626207959451
Alstonia_scholaris,3.248822901236153
Altingia_gracilipes,2.566897930067926
Altingia_obovata,3.918454412918559
Anaphalis_aureopunctata,6.172024135880895
Anaphalis_hancockii,5.7678769869239215
Antidesma_maclurei,2.995232148512309
Aphanamixis_polystachya,5.14913363092185
Aporosa_octandra,3.3724549127965013
Aporosa_yunnanensis,4.181223737980477
Archidendron_clypearia,4.2531984503199265
Archidendron_lucidum,4.07567129695648
Ardisia_depressa,4.163815965105749
Ardisia_japonica,4.620057234933822
Ardisia_quinquegona,3.0007198150650303
Artemisia_halodendron,2.792391349535961
Artemisia_igniaria,5.318869012769295
Artemisia_mongolica,5.276430365583576
Artocarpus_styracifolius,3.5421180727185324
Asimina_triloba,2.606252773433732
Asparagus_schoberioides,4.78553148940686
Aster_tataricus,5.694102440602895
Astilbe_rivularis,3.6047036853482144
Astilbe_rubra,5.3774425203207885
Athyrium_multidentatum,4.919563036334691
Athyrium_sinense,4.755675483475596
Athyrium_spinulosum,5.462427447342916
Barringtonia_racemosa,3.0684273961771193
Betula_albosinensis,4.046792440037325
Betula_costata,4.5926809503540955
Betula_dahurica,4.001737692895864
Betula_fruticosa,3.88699799929116
Betula_platyphylla,4.626467453243464
Blastus_cochinchinesis,5.32488948298348
Blastus_pauciflorus,5.490746388301094
Blechnum_orientale,5.222220751507993
Calamus_rhabdocladus,4.637108263275592
Caltha_palustris,5.84841055554281
Canarium_album,4.647678586222547
Caragana_microphylla,3.2204745462318978
Carallia_brachiata,4.693547296605504
