"binominal","state","SRL"
"Ilex_macropoda","AM",4.40745068701404
"Ilex_verticillata","AM",3.42350697304656
"Ilex_opaca","AM",3.79476347534381
"Ilex_pedunculosa","AM",4.00369019395397
"Hedeoma_hispida","AM",5.11198778835654
"Monarda_fistulosa","AM",4.79579054559674
"Pycnanthemum_virginianum","AM",4.43081679884331
"Clinopodium_nepeta","AM",4.8605872978526
"Thymus_mastichina","AM",3.05793305446118
"Thymus_hyemalis","AM",1.59961006233386
"Thymus_dolomiticus","AM",4.16817273902247
"Prunella_vulgaris","AM",5.56630375841588
"Agastache_foeniculum","AM",3.68887945411394
"Salvia_chinensis","AM",5.79714861725624
"Rosmarinus_officinalis","AM",2.46736396312619
"Lavandula_multifida","AM",2.80121346562929
"Teucrium_charidemi","AM",1.29584995155706
"Teucrium_chamaedrys","AM",4.88510986330171
"Teucrium_fruticans","AM",2.70075197975555
"Lamium_album","NMAM",5.79215628641549
"Ballota_hirsuta","AM",1.66605328648796
"Phlomoides_umbrosa","AM",4.81088261253778
"Phlomis_purpurea","AM",2.07078330950627
"Sideritis_pusilla","AM",1.96704601268702
"Vitex_lucens","AM",3.72221360896298
"Orthocarpus_luteus","NM",4.43521781443709
"Strobilanthes_villosum","AM",5.23327101995561
"Strobilanthes_dimorphotricha","AM",4.9158935561649
"Rungia_pectinata","AM",2.91614779421115
"Handroanthus_guayacan","AM",2.39604057985005
"Tanaecium_pyramidatum","AM",2.96605195845281
"Catalpa_bignonioides","AM",3.6179878535026
"Verbena_hastata","AM",4.52178857704904
"Verbascum_thapsus","AM",4.0943445622221
"Veronica_persica","NMAM",6.20713020856623
"Veronica_spuria","NMAM",5.42457917031199
"Veronicastrum_virginicum","AM",4.87519732320115
"Plantago_varia","AM",3.22485789654575
"Plantago_lanceolata","AM",5.88022147648056
"Plantago_patagonica","AM",5.14620371390475
"Penstemon_grandiflorus","AM",3.93182563272433
"Penstemon_nitidus","AM",3.25243643481652
"Penstemon_procerus","AM",3.86429205288597
"Penstemon_confertus","AM",4.38132138604452
"Olea_rosea","AM",3.36418755602825
"Olea_europaea","AM",2.40977251027897
"Chionanthus_mildbraedii","AM",2.24707238306379
"Chionanthus_virginicus","AM",2.63064372357402
"Phillyrea_angustifolia","AM",2.52569849905389
"Phillyrea_latifolia","AM",2.54683556805166
"Osmanthus_didymopetalus","AM",1.48613969608961
"Nestegis_lanceolata","AM",2.39457415024377
"Fraxinus_mandshurica","AM",4.64061694012487
"Fraxinus_angustifolia","AM",2.93742068847937
"Fraxinus_excelsior","AM",3.49112888348973
"Fraxinus_chinensis","AM",3.77572110924329
"Fraxinus_nigra","AM",3.29536351023745
"Fraxinus_americana","AM",3.66181636118501
"Syringa_reticulata","AM",4.76764123208114
"Jasminum_fruticans","AM",2.68622805190374
"Galium_boreale","NMAM",5.15235633994251
"Galium_aparine","NMAM",5.48313026196246
"Rubia_peregrina","AM",4.64535197562092
"Saprosma_ternatum","AM",4.76174649303019
"Serissa_japonica","AM",6.22890540312302
"Coprosma_lucida","AM",3.25809653802148
"Coprosma_linariifolia","AM",3.1038419942108
"Coprosma_rhamnoides","AM",5.06449196688697
"Coprosma_ciliata","AM",4.51633897228148
"Coprosma_foetidissima","AM",3.79548918917219
"Psychotria_asiatica","AM",4.47493506895872
"Catunaregam_spinosa","AM",4.38502214365368
"Aidia_oxyodonta","AM",5.25154017498911
"Coffea_arabica","AM",2.20634948511322
"Diplospora_dubia","AM",4.42302743668712
"Hypobathrum_racemosum","AM",2.43491984192601
"Wendlandia_uvariifolia","AM",3.81264456144787
"Alseis_blackiana","AM",2.54935017262431
"Pertusadina_metcalfii","AM",4.60477010596675
"Adina_pilulifera","AM",6.3634967437115
"Chomelia_psilocarpa","AM",2.94251170442817
"Asclepias_tuberosa","AM",3.13549421592915
"Asclepias_syriaca","AM",3.87120101090789
"Asclepias_incarnata","AM",4.24849524204936
"Nerium_oleander","AM",2.65173530833948
"Trachelospermum_axillare","AM",4.35051664122187
"Alstonia_scholaris","AM",3.24882290123615
"Gentiana_andrewsii","AM",4.85981240436167
"Solanum_americanum","AM",3.73957256842945
"Physalis_virginiana","AM",3.98898404656427
"Withania_frutescens","AM",1.76334231742391
"Merremia_umbellata","AM",3.45568556694622
"Apodytes_dimidiata","AM",2.55722731136763
"Erica_arborea","ErM",2.64981379019686
"Erica_scoparia","ErM",3.00616006713636
"Calluna_vulgaris","ErM",2.61193055163236
"Rhododendron_hypoglaucum","ErM",5.09644749970053
"Rhododendron_ponticum","ErM",2.85488249014427
"Vaccinium_mandarinorum","ErM",4.67011487462847
"Vaccinium_bracteatum","ErM",6.31155330447867
"Vaccinium_corymbosum","ErM",6.73351651788659
"Leptecophylla_juniperina","ErM",4.85359154448657
"Dracophyllum_longifolium","ErM",4.87147953881257
"Arbutus_unedo","EcM",2.49459795864902
"Actinidia_kolomikta","AM",5.41398157284783
"Styrax_suberifolius","AM",3.99735766880215
"Halesia_tetraptera","AM",3.92248407187329
"Alniphyllum_fortunei","AM",4.48071151957387
"Androsace_occidentalis","AM",5.3349184133891
"Lysimachia_nemorum","AM",4.45620603284813
"Ardisia_depressa","AM",4.16381596510575
"Ardisia_quinquegona","AM",3.00071981506503
"Ardisia_japonica","AM",4.62005723493382
"Embelia_vestita","NM",4.5688211275408
